chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
обрѣзаниѥ|обрѣзание|Nb|obrězanьje|nt_jo
громъ|громъ|Nb|gromъ|masc_o
въноушити|вънушити|V-|vъnušiti|40
съвести|съвести|V-|sъvesti|11
застѫплѥниѥ|заступление|Nb|zastǫpĺenьje|nt_jo
защититель|защититель|Nb|zaščititeĺь|masc_tel
срамъ|соромъ|Nb|sormъ|masc_o
попещи|попечи|V-|popeћi|11
соуѥта|суета|Nb|sujeta|fem_a
излиꙗти|излияти|V-|jьzlьjǢti|53_abl
хвальнъ|хвальныи|A-|xvalьnъ|adj_hard
сътѫжити|сътужити|V-|sъtǫžiti|40
мѫжьство|мужьство|Nb|mǫžьstvo|nt_o
оувѣрити|увѣрити|V-|uvěriti|40
еда|еда|Df|jeda|
трѫба|труба|Nb|trǫba|fem_a
оукротити|укротити|V-|ukrotiti|40
работа|робота|Nb|orbota|fem_a
желѣзо|желѣзо|Nb|želězo|nt_o
насꙑщати|насыщати|V-|nasyћǢti|54
сотонинъ|сотонинъ|A-|sotoninъ|adj_hard
бѣсити|бѣсити|V-|běsiti|40
вьсꙗчьскꙑ|вьсячьскы|Df|vьxačьsky|
обꙑчьнъ|обычьныи|A-|obyčьnъ|adj_hard
съврѣщи|съврѣщи|V-|sъverћi|14
чрьньць|чьрньць|Nb|čŕ̥nьkь|masc_o_PV3
прѣставити|переставити|V-|perstaviti|40
свобода|свобода|Nb|svoboda|fem_a
нежели|нежели|Df|neželi|
оградити|огородити|V-|ogorditi|40
мразъ|морозъ|Nb|morzъ|masc_o
питиѥ|питие|Nb|pitьje|nt_jo
подроугъ|подругъ|Nb|podrugъ|masc_o
наслѣдьникъ|наслѣдьникъ|Nb|naslědьnikъ|masc_o
обѣщаниѥ|обѣщание|Nb|obvěћǢnьje|nt_jo
поганьскъ|поганьскыи|A-|poganьskъ|adj_hard
съкрꙑвати|съкрывати|V-|sъkryvati|54
сь|се|I-|se|
растръгнѫти|растъргнути|V-|orstr̥gnǫti|21
даꙗниѥ|даяние|Nb|dajǢnьje|nt_jo
пѣсъкъ|пѣсъкъ|Nb|pěsъkъ|masc_o
проказа|проказа|Nb|prokaza|fem_a
гнѣздо|гнѣздо|Nb|gnězdo|nt_o
тишина|тишина|Nb|tišina|fem_a
проглаголати|проглаголати|V-|progolgolati|52
благоизволити|благоизволити|V-|bolgojьzvoliti|40
оугасити|угасити|V-|ugasiti|40
проповѣдь|проповѣдь|Nb|propovědь|fem_i
изврѣщи|изврѣщи|V-|jьzverћi|14
блазнити|блазнити|V-|blazniti|40
оусѫмьнѣти|усумьнѣти|V-|usǫmьněti|31
садъ|садъ|Nb|sadъ|masc_o_u
присѣдѣти|присѣдѣти|V-|prisěděti|31
ослабѣти|ослабѣти|V-|oslaběti|32
ключь|ключь|Nb|kĺučь|masc_jo
отътолѣ|отътолѣ|Df|otъtolě|
свободьнъ|свободьныи|A-|svobodьnъ|adj_hard
потопити|потопити|V-|potopiti|40
полъ#2|полъ#2|Nb|polъ|masc_u
съчетати|съчетати|V-|sъčetati|54
испити|испити|V-|jьspiti|17
оустоꙗти|устояти|V-|ustojǢti|31
потрѧсти|потрясти|V-|potręsti|11
окоушати|окушати|V-|okušǢti|54
оженити|оженити|V-|oženiti|40
непраздьнъ|непраздьныи|A-|neporzdьnъ|adj_hard
орьлъ|орьлъ|Nb|orьlъ|masc_o
лихва|лихва|Nb|lixva|fem_a
оурѣзати#1|урѣзати|V-|urězati|52
неистовъ|неистовыи|A-|nejьstovъ|adj_hard
объходити|объходити|V-|obъxoditi|40
блюдо|блюдо|Nb|bĺudo|nt_o
обида|обида|Nb|obida|fem_a
прѣдълагати|прѣдълагати|V-|perdъlagati|54
обложити|обложити|V-|obložiti|40
скърбь|скърбь|Nb|skr̥bь|fem_i
ароматъ|ароматъ|Nb|aromatъ|masc_o
оутѣха|утѣха|Nb|utěxa|fem_a
оутѣшати|утѣшати|V-|utěšǢti|54
вьсꙗко|вьсяко|Df|vьxako|
ловити|ловити|V-|loviti|40
соломонь|соломонь|A-|solomońь|adj_soft
тлъкнѫти|тълкнути|V-|tĺ̥knǫti|21
възгорѣти|възгорѣти|V-|vъzgorěti|31
посѣщи|посѣщи|V-|posěћi|11
въздаꙗниѥ|въздаяние|Nb|vъzdajǢnьje|nt_jo
изгꙑбнѫти|изгыбнути|V-|jьzgybnǫti|21
сѫмьнѣниѥ|сумьнѣние|Nb|sǫmьněnьje|nt_jo
скоръ|скорыи|A-|skorъ|adj_hard
разбити|розбити|V-|orzbiti|17
право|право|Df|pravo|
тѫга|туга|Nb|tǫga|fem_a
капати|капати|V-|kapati|52
стратигъ|стратигъ|Nb|stratigъ|masc_o
желѣти|желѣти|V-|želěti|32
оукорити|укорити|V-|ukoriti|40
позоръ|позоръ|Nb|pozorъ|masc_o
несъмꙑсльнъ|несъмысльныи|A-|nesъmyslьnъ|adj_hard
истовъ|истовыи|A-|jьstovъ|adj_hard
римлꙗнинъ|римлянинъ|Nb|rimĺǢninъ|masc_anin
прѣльщениѥ|прѣльщение|Nb|perlьšћenьje|nt_jo
изводити|изводити|V-|jьzvoditi|40
особь|особь|Df|osobь|
застѫпити|заступити|V-|zastǫpiti|40
начинаниѥ|начинание|Nb|načinanьje|nt_jo
благостꙑни|благостыни|Nb|bolgostyńi|fem_ji
въразоумити|въразумити|V-|vъorzumiti|40
дꙑмъ|дымъ|Nb|dymъ|masc_o
мощь|мочь|Nb|moћь|fem_i
законопрѣстѫпьнъ|законопрѣступьныи|A-|zakonoperstǫpьnъ|adj_hard
просвѣщениѥ|просвѣщение|Nb|prosvěћenьje|nt_jo
кедръ|кедръ|Nb|ḱedrъ|masc_o
оугаждати|угажати|V-|ugaђǢti|54
подражаниѥ|подражание|Nb|podražǢnьje|nt_jo
пожрѣти|пожрѣти|V-|požerti|13
оублажити|ублажити|V-|ubolžiti|40
лѫкавьновати|лукавьновати|V-|lǫkavьnovati|61
кънижьнъ|кънижьныи|A-|kъńižьnъ|adj_hard
крꙑти|крыти|V-|kryti|18
ижде|иже|Df|jьђe|
омꙑти|омыти|V-|omyti|18
саоулъ|саулъ|Ne|saulъ|masc_o
плѣнѥниѥ|полонение|Nb|pelńenьje|nt_jo
пожещи|пожечи|V-|požeћi|11
тьма|тьма|Nb|tьma|fem_a
молитвьникъ|молитвьникъ|Nb|modlitvьnikъ|masc_o
оутѣшениѥ|утѣшение|Nb|utěšenьje|nt_jo
коло|коло|Nb|kolo|nt_S
прѣвратити|прѣвратити|V-|pervortiti|40
прѣмилостивъ|прѣмилостивыи|A-|permilostivъ|adj_hard
оукланꙗти|укланяти|V-|uklańǢti|54
чрьмьнъ|чьрмьныи|A-|čŕ̥mьnъ|adj_hard
сꙑтость|сытость|Nb|sytostь|fem_i
възводити|възводити|V-|vъzvoditi|40
вънъ|вънъ|R-|vъnъ|
прѣкрьстити|перекрьстити|V-|perkrьstiti|40
благовѣрьнъ|благовѣрьныи|A-|bolgověrьnъ|adj_hard
племѧ|племя|Nb|plemę|nt_N
грѫбъ|грубыи|A-|grǫbъ|adj_hard
освѧтити|освятити|V-|osvętiti|40
шьствиѥ|шьствие|Nb|šьstvьje|nt_jo
стоуденъ|студеныи|A-|studenъ|adj_hard
распѧтиѥ|распятие|Nb|orspętьje|nt_jo
дьрати|дьрати|V-|dьrati|51_abl
бѣсовьскъ|бѣсовьскыи|A-|běsovьskъ|adj_hard
знои|знои|Nb|znojь|masc_jo
долоу|долу|Df|dolu|
проречениѥ|проречение|Nb|prorečenьje|nt_jo
ѥстьствьнъ|естьствьныи|A-|jestьstvьnъ|adj_hard
сътворѥниѥ|сътворение|Nb|sъtvoŕenьje|nt_jo
изглаголати|изглаголати|V-|jьzgolgolati|52
свѣтъ#2|свѣтъ|Nb|světъ|masc_o
отъложити|отъложити|V-|otъložiti|40
приносъ|приносъ|Nb|prinosъ|masc_o
скръбьнъ|скърбьныи|A-|skr̥bьnъ|adj_hard
бꙑтиѥ|бытие|Nb|bytьje|nt_jo
тьлꙗ|тьля|Nb|tьĺǢ|fem_ja
тьлити|тьлити|V-|tьliti|40
ѫзъкъ|узъкыи|A-|ǫzъkъ|adj_hard
възвѣꙗти|възвѣяти|V-|vъzvějǢti|53
лисъ|лисъ|Nb|lisъ|masc_o
тоунѥ|туне|Df|tune|
свекрꙑ|свекры|Nb|svekry|fem_uu
иго|иго|Nb|jьgo|nt_o
въстръгати|въстъргати|V-|vъstr̥gati|54
прѣдъложениѥ|прѣдъложение|Nb|perdъloženьje|nt_jo
пѣшь|пѣшии|A-|pěšь|adj_soft
градьць|городьць|Nb|gordьkь|masc_o_PV3
зълословити|зълословити|V-|zъlosloviti|40
прѣлюбодѣꙗние|прѣлюбодѣяние|Nb|perĺubodějǢnьje|nt_jo
приврѣщи|приврѣщи|V-|priverћi|14
бѣдьнъ|бѣдьныи|A-|bědьnъ|adj_hard
иѥремиꙗ|иеремия|Ne|ijeremijǢ|masc_ja
неволꙗ|неволя|Nb|nevoĺǢ|fem_ja
постьлати|постьлати|V-|postьlati|52_abl
тръжьникъ|тържьникъ|Nb|tr̥žьnikъ|masc_o
точило|точило|Nb|točidlo|nt_o
досадити|досадити|V-|dosaditi|40
исходище|исходище|Nb|jьsxodišče|nt_jo
чисто|чисто|Df|čisto|
рака|рака|Nb|orka|fem_a
запоустѣниѥ|запустѣние|Nb|zapustěnьje|nt_jo
троупъ|трупъ|Nb|trupъ|masc_o
трѫбьнъ|трубьныи|A-|trǫbьnъ|adj_hard
ноевъ|ноевъ|A-|nojevъ|adj_hard
млѣти|млѣти|V-|melti|16
раскопати|раскопати|V-|orskopati|54
больнъ|больныи|A-|bolьnъ|adj_hard
задѣти|задѣти|V-|zaděti|dedj
покꙑвати|покывати|V-|pokyvati|54
гѫба|губа|Nb|gǫba|fem_a
ремень|ремень|Nb|remy|masc_N
ловьць|ловьць|Nb|lovьkь|masc_o_PV3
каменьнъ|каменьныи|A-|kamenьnъ|adj_hard
врѣменьнъ|врѣменьныи|A-|vermenьnъ|adj_hard
оугнѣтати|угнѣтати|V-|ugnětati|54
милъ|милыи|A-|milъ|adj_hard
пристати|пристати|V-|pristati|stati
зазьрѣти|зазьрѣти|V-|zazьrěti|31
въспомѧнѫти|въспомянути|V-|vъspomęnǫti|22
пльвати|пльвати|V-|pĺьvati|52_abl
опона|опона|Nb|opona|fem_a
таꙗти|таяти|V-|tajǢti|53
низъложити|низъложити|V-|nizъložiti|40
милосрьдиѥ|милосьрдие|Nb|milosŕ̥dьje|nt_jo
ложесна|ложесно|Nb|ložesno|nt_o
дьбрь|дьбрь|Nb|dьbrь|fem_i
запрѣщати|запрѣщати|V-|zaperћǢti|54
раздаꙗти|роздаяти|V-|orzdajǢti|53
съсьць|съсьць|Nb|sъsьkь|masc_o_PV3
обѣдовати|обѣдовати|V-|obědovati|61
лаꙗти|лаяти|V-|lajǢti|53
владꙑчьствиѥ|владычьствие|Nb|voldyčьstvьje|nt_jo
въсклонити|въсклонити|V-|vъskloniti|40
истѧѕати#2|истязати|V-|jьstęgati|52
извѣстьнъ|извѣстьныи|A-|jьzvěstьnъ|adj_hard
възмѫщениѥ|възмущение|Nb|vъzmǫћenьje|nt_jo
оукрѣплꙗти|укрѣпляти|V-|ukrěpĺǢti|54
почрѣти|почрѣти|V-|počerti|14
оупити|упити|V-|upiti|17
почрьпати|почьрпати|V-|počŕ̥pati|54
истещи|истещи|V-|jьsteћi|11
съложити|съложити|V-|sъložiti|40
пажить|пажить|Nb|pažitь|fem_i
потъкнѫти|потъкнути|V-|potъknǫti|21
оусъпениѥ|усъпение|Nb|usъpenьje|nt_jo
вонꙗ|воня|Nb|vońǢ|fem_ja
палица|палица|Nb|palika|fem_a_PV3
вражьдовати|вражьдовати|V-|voržьdovati|61
оудивити|удивити|V-|udiviti|40
щитъ|щитъ|Nb|ščitъ|masc_o
избавлꙗти|избавляти|V-|jьzbavĺǢti|54
горѥсть|горесть|Nb|goŕestь|fem_i
мракъ|мракъ|Nb|morkъ|masc_o
оумалити|умалити|V-|umaliti|40
вънѥгда|вънегда|Dq|vъńegъda|
хотѣниѥ|хотѣние|Nb|xotěnьje|nt_jo
ѫтрьнь|утрьнии|A-|ǫtrьńь|adj_soft
воскъ|воскъ|Nb|voskъ|masc_o
львовъ|львовъ|A-|lьvovъ|adj_hard
ништета|нищета|Nb|nišћeta|fem_a
сѣтовати|сѣтовати|V-|sětovati|61
порадовати|порадовати|V-|poradovati|61
грѣшьничь|грѣшьничь|A-|grěšьničь|adj_soft
завидѣти|завидѣти|V-|zaviděti|viděti
озълобити|озълобити|V-|ozъlobiti|40
нищета|нищета|Nb|nišћeta|fem_a
изострити|изострити|V-|jьzostriti|40
оустрьмлѥниѥ|устрьмление|Nb|ustrьmĺenьje|nt_jo
застѫпати|заступати|V-|zastǫpati|54
съкроушениѥ|съкрушение|Nb|sъkrušenьje|nt_jo
вольнъ|вольныи|A-|voĺьnъ|adj_hard
годѣ|годѣ|Df|godě|
сънабъдѣти|сънабъдѣти|V-|sъnabъděti|31
пожити|пожити|V-|požiti|11
оумѫдрити|умудрити|V-|umǫdriti|40
ковати|ковати|V-|kovati|61
гадъ|гадъ|Nb|gadъ|masc_o
трѧсти|трясти|V-|tręsti|11
въстѫжити|въстужити|V-|vъstǫžiti|40
оумлькнѫти|умълкнути|V-|umĺ̥knǫti|21
сирота|сирота|Nb|sirota|masc_a
сьребрьнъ|сьребрьныи|A-|sьrebrьnъ|adj_hard
ноздри|ноздри|Nb|nozdrь|fem_i
породьнъ|породьныи|A-|porodьnъ|adj_hard
побѣждати|побѣждати|V-|poběђǢti|54
пронꙑривъ|проныривыи|A-|pronyrivъ|adj_hard
примꙑслити|примыслити|V-|primysliti|40
сѫмьнѣти|сумьнѣти|V-|sǫmьněti|31
сътещи|сътечи|V-|sъteћi|11
несꙑтъ|несытыи|A-|nesytъ|adj_hard
коза|коза|Nb|koza|fem_a
испасти|испасти|V-|jьspasti|11
польѕьнъ|пользьныи|A-|polьgьnъ|adj_hard
мльчаливъ|мълчаливыи|A-|mĺ̥čǢlivъ|adj_hard
зарꙗ|заря|Nb|zaŕǢ|fem_ja
прорицати|прорицати|V-|prorikati|54
поустошьнъ|пустошьныи|A-|pustošьnъ|adj_hard
опечалити|опечалити|V-|opečǢliti|40
оустроѥниѥ|устроение|Nb|ustrojenьje|nt_jo
оучинѥниѥ|учинение|Nb|učińenьje|nt_jo
размѣсити|размѣсити|V-|orzměsiti|40
защитити|защитити|V-|zaščititi|40
въплътити|въплътити|V-|vъplъtiti|40
тврьдь|твьрдь|Nb|tvŕ̥dь|fem_i
отъвести|отъвести|V-|otъvesti|11
лѫкавьство|лукавьство|Nb|lǫkavьstvo|nt_o
приспѣти|приспѣти|V-|prispěti|32
съмирити|съмирити|V-|sъmiriti|40
срачица|сорочица|Nb|sorčika|fem_a_PV3
въстрѫбити|въструбити|V-|vъstrǫbiti|40
настати|настати|V-|nastati|stati
възливати|възливати|V-|vъzlivati|54
прозирати|прозирати|V-|prozirati|54
покоити|покоити|V-|pokojiti|40
глѧдати|глядати|V-|ględati|54
помориѥ|поморие|Nb|pomoŕьje|nt_jo
подавити|подавити|V-|podaviti|40
пророчьство|пророчьство|Nb|proročьstvo|nt_o
омꙑвати|омывати|V-|omyvati|54
искоренити|искоренити|V-|jьskoreniti|40
вождь|вожь|Nb|voђь|masc_jo
хлѣбьнъ|хлѣбьныи|A-|xlěbьnъ|adj_hard
филиповъ|филиповъ|A-|filipovъ|adj_hard
измѣна|измѣна|Nb|jьzměna|fem_a
матерьнь|матерьнии|A-|materьńь|adj_soft
порѫганиѥ|поругание|Nb|porǫganьje|nt_jo
испроврѣщи|испроврѣщи|V-|jьsproverћi|14
любодѣица|любодѣица|Nb|ĺubodějьka|fem_a_PV3
срамити|соромити|V-|sormiti|40
хранилище|хранилище|Nb|xornilišče|nt_jo
лицемѣриѥ|лицемѣрие|Nb|likeměrьje|nt_jo
пътеньць|пътеньць|Nb|pъtenьkь|masc_o_PV3
слꙑшаниѥ|слышание|Nb|slyšǢnьje|nt_jo
оумъножениѥ|умъножение|Nb|umъnoženьje|nt_jo
данилъ|данилъ|Ne|daniilъ|masc_o
ключити|ключити|V-|kĺučiti|40
съзидати|съзидати|V-|sъzidati|54
нижьнь|нижьнии|A-|nižьńь|adj_soft
свитати|свитати|V-|svitati|54
заходити|заходити|V-|zaxoditi|40
покровъ|покровъ|Nb|pokrovъ|masc_o
назирати|назирати|V-|nazirati|54
нападати|нападати|V-|napadati|54
плодити|плодити|V-|ploditi|40
кръма|кърма|Nb|kr̥ma|fem_a
оумѫчити|умучити|V-|umǫčiti|40
окрьстьнь|окрьстьнии|A-|okrьstьńь|adj_soft
зеленъ|зеленыи|A-|zelenъ|adj_hard
дѣтьскъ|дѣтьскыи|A-|dětьskъ|adj_hard
оутворити|утворити|V-|utvoriti|40
приристати|приристати|V-|priristati|52
лъгати|лъгати|V-|lъgati|52
горьница|горьница|Nb|gorьnika|fem_a_PV3
аронь|аронь|A-|arońь|adj_soft
порокъ|порокъ|Nb|porokъ|masc_o
чрѣда|череда|Nb|čerda|fem_a
обрѣзати#1|обрѣзати|V-|obrězati|52
направити|направити|V-|napraviti|40
законьнъ|законьныи|A-|zakonьnъ|adj_hard
знаниѥ|знание|Nb|znanьje|nt_jo
лопата|лопата|Nb|lopata|fem_a
соухо|сухо|Nb|suxo|nt_o
сънимати|сънимати|V-|sъnьmati|52_abl
влага|волога|Nb|volga|fem_a
въсхꙑщати|въсхыщати|V-|vъsxyћǢti|54
прикрꙑти|прикрыти|V-|prikryti|18
содомлꙗнинъ|содомлянинъ|Nb|sodomĺǢninъ|masc_anin
скоръпии|скоръпии|Nb|skorъpijь|masc_jo
цѣсарица|цѣсарица|Nb|kěsarika|fem_a_PV3
обоуꙗти|обуяти|V-|obujǢti|54
оправьдати|оправьдати|V-|opravьdati|54
лотовъ|лотовъ|A-|lotovъ|adj_hard
занѥже|занеже|G-|zańeže|
ꙗръ|ярыи|A-|jǢrъ|adj_hard
оулоучити|улучити|V-|ulučiti|40
остѫпити|оступити|V-|ostǫpiti|40
крамола|крамола|Nb|kormola|fem_a
съвъкоупити|съвъкупити|V-|sъvъkupiti|40
обѣтованиѥ|обѣтование|Nb|obvětovanьje|nt_jo
запечатьлѣти|запечатьлѣти|V-|zapečǢtьlěti|32
дꙑхати|дыхати|V-|dyxati|54
оумꙑвати|умывати|V-|umyvati|54
вълагати|вълагати|V-|vъlagati|54
тети|тети|V-|teti|11
прѣдъстати|прѣдъстати|V-|perdъstati|stati
ꙗвити|явити|V-|aviti|40
забꙑвати|забывати|V-|zabyvati|54
оувѧзати|увязати|V-|uvęzati|52
мѣдьнъ|мѣдьныи|A-|mědьnъ|adj_hard
възданиѥ|въздание|Nb|vъzdanьje|nt_jo
тоучьнъ|тучьныи|A-|tučьnъ|adj_hard
длъгота|дългота|Nb|dĺ̥gota|fem_a
поработати|поработати|V-|porabotati|54
безаконьновати|безаконьновати|V-|bezakonьnovati|61
исхождениѥ|исхожение|Nb|jьsxoђenьje|nt_jo
оузда|узда|Nb|uzda|fem_a
ꙗдра|ядро|Nb|jǢdro|nt_o
рьвьновати|рьвьновати|V-|rьvьnovati|61
вꙑгънати|выгънати|V-|vygъnati|51_abl
расѫдити|рассудити|V-|orssǫditi|40
заколѥниѥ|заколение|Nb|zakoĺenьje|nt_jo
правость|правость|Nb|pravostь|fem_i
въсплескати|въсплескати|V-|vъspleskati|52
мъножити|мъножити|V-|mъnožiti|40
растворити|ростворити|V-|orstvoriti|40
неразоумьнъ|неразумьныи|A-|neorzumьnъ|adj_hard
заити|заити|V-|zajьti|jьti
потещи|потещи|V-|poteћi|11
распрострѣти|распрострѣти|V-|orsprosterti|13
прѣтръгнѫти|прѣтъргнути|V-|pertr̥gnǫti|21
пристанище|пристанище|Nb|pristanišče|nt_jo
въздвиѕати|въздвизати|V-|vъzdvigati|52
поспѣшити|поспѣшити|V-|pospěšiti|40
оунꙑниѥ|уныние|Nb|unynьje|nt_jo
ꙗдъ|ядъ|Nb|jǢdъ|masc_o
прибѣгнѫти|прибѣгнути|V-|priběgnǫti|21
обоѭдоу|обоюду|Df|obojǫdu|
боуѥсть|буесть|Nb|bujestь|fem_i
примꙑшлꙗти|примышляти|V-|primyšĺǢti|54
отътръгнѫти|отътъргнути|V-|otъtr̥gnǫti|21
плътьскъ|плътьскыи|A-|plъtьskъ|adj_hard
самодрьжьць|самодьржьць|Nb|samodŕ̥žьkь|masc_o_PV3
отъгонити|отъгонити|V-|otъgoniti|40
бьрати|бьрати|V-|bьrati|51_abl
почоути|почути|V-|počuti|čuti
ꙗснъ|ясныи|A-|jǢsnъ|adj_hard
свѣтити|свѣтити|V-|světiti|40
ледъ|ледъ|Nb|ledъ|masc_o
обрадовати|обрадовати|V-|obradovati|61
лоука|лука|Ne|luka|masc_a
садити|садити|V-|saditi|40
градъ#2|градъ|Nb|gradъ|masc_o
приношениѥ|приношение|Nb|prinošenьje|nt_jo
лещи|лечи|V-|leћi|infix_11
съставъ|съставъ|Nb|sъstavъ|masc_o
въсꙑлати|высылати|V-|vysylati|54
съдравиѥ|съдоровие|Nb|sъdorvьje|nt_jo
небꙑтиѥ|небытие|Nb|nebytьje|nt_jo
достоино|достоино|Df|dostojьno|
прѣставлѥниѥ|прѣставление|Nb|perstavĺenьje|nt_jo
заѩти|заяти|V-|zajęti|12
мамона|мамона|Nb|mamona|fem_a
възмѣрити|възмѣрити|V-|vъzměriti|40
вратити|воротити|V-|vortiti|40
хꙑщьникъ|хыщьникъ|Nb|xyћьnikъ|masc_o
посѣкати|посѣкати|V-|posěkati|54
свинъ|свиныи|A-|svinъ|adj_hard
домащьнь|домашьнии|A-|domašьńь|adj_soft
колѣбати|колѣбати|V-|kolěbati|52
възглашати|възглашати|V-|vъzgolšǢti|54
помести|помести|V-|pomesti|11
събꙑвати|събывати|V-|sъbyvati|54
тѧжько|тяжько|Df|tęžьko|
домовитъ|домовитыи|A-|domovitъ|adj_hard
навадити|навадити|V-|navaditi|40
оутапати|утапати|V-|utapati|54
татьба|татьба|Nb|tatьba|fem_a
рꙑбица|рыбица|Nb|rybika|fem_a_PV3
прѣобразити|прѣобразити|V-|per+obraziti|40
сътѧжаниѥ|сътяжание|Nb|sъtęžǢnьje|nt_jo
варъ|варъ|Nb|varъ|masc_o
сионовъ|сионовъ|A-|sijonovъ|adj_hard
одѣꙗниѥ|одѣяние|Nb|odějǢnьje|nt_jo
послѣжде|послѣже|R-|poslěђe|
побивати|побивати|V-|pobivati|54
мрькнѫти|мьркнути|V-|mŕ̥knǫti|21
отъданиѥ|отъдание|Nb|otъdanьje|nt_jo
бъдръ|бъдрыи|A-|bъdrъ|adj_hard
цѣнити|цѣнити|V-|kěniti|40
хламида|хламида|Nb|xlamüda|fem_a
зачѧло|зачало|Nb|začęlo|nt_o
чрѣсла|чрѣсла|Nb|čerslo|nt_o
тьща|тьща|Nb|tьščǢ|fem_ja
юда|июда|Ne|ijuda|masc_a
настоꙗти|настояти|V-|nastojǢti|31
погрѧзнѫти|погрязнути|V-|pogręznǫti|21
осѣнꙗти|осѣняти|V-|osěńǢti|54
прѫжати|пружати|V-|prǫžǢti|54
гласити|гласити|V-|golsiti|40
благословлꙗти|благословляти|V-|bolgoslovĺǢti|54
прѣгрѣшениѥ|прѣгрѣшение|Nb|pergrěšenьje|nt_jo
пробити|пробити|V-|probiti|17
вратьникъ|воротьникъ|Nb|vortьnikъ|masc_o
разбѣгнѫти|розбѣгнути|V-|orzběgnǫti|21
ковъ|ковъ|Nb|kovъ|masc_o
помавати|помавати|V-|pomavati|54
повити|повити|V-|poviti|17
спѣти|спѣти|V-|spěti|32
гоумьно|гумьно|Nb|gumьno|nt_o
истѧѕати#1|истязати|V-|jьstęgati|54
оучинити|учинити|V-|učiniti|40
вѣстьникъ|вѣстьникъ|Nb|věstьnikъ|masc_o
отирати|отирати|V-|otirati|54
настѫпати|наступати|V-|nastǫpati|54
радити|радити|V-|raditi|40
користь|користь|Nb|koristь|fem_i
десѧтина|десятина|Nb|desętina|fem_a
вранъ|воронъ|Nb|vornъ|masc_o
подъкопати|подъкопати|V-|podъkopati|54
раздѣлѥниѥ|раздѣление|Nb|orzděĺenьje|nt_jo
дѣланиѥ|дѣлание|Nb|dělanьje|nt_jo
осьлъ|осьлъ|Nb|osьlъ|masc_o
пиръ|пиръ|Nb|pirъ|masc_o
самариꙗ|самария|Ne|samarijǢ|fem_ja
одъждити|одъждити|V-|odъžђiti|40
неправьдьникъ|неправьдьникъ|Nb|nepravьdьnikъ|masc_o
посѣщениѥ|посѣчение|Nb|posěћenьje|nt_jo
оуꙗзвити|уязвити|V-|ujǢzviti|40
болѥ|боле|Df|boĺe|
мьщениѥ|мьщение|Nb|mьšћenьje|nt_jo
пиꙗньство|пияньство|Nb|pьjǢnьstvo|nt_o
повести|повести|V-|povesti|11
никогдаже|никъгдаже|Df|nikъgъdaže|
недомꙑслити|недомыслити|V-|nedomysliti|40
бльщати|бльщати|V-|blьšћǢti|40
осѧѕати|осязати|V-|osęgati|52
сътъ|сътъ|Nb|sъtъ|masc_o
водоносъ|водоносъ|Nb|vodonosъ|adj_hard
въдаꙗти|въдаяти|V-|vъdajǢti|53
притворъ|притворъ|Nb|pritvorъ|masc_o
пьшеничьнъ|пьшеничьныи|A-|pьšeničьnъ|adj_hard
измꙑти|измыти|V-|jьzmyti|18
параклитъ|параклитъ|Nb|paraklitъ|masc_o
прѣбити|перебити|V-|perbiti|17
тъщетьнъ|тъщетьныи|A-|tъščetьnъ|adj_hard
вꙑринѫти|выринути|V-|vyrinǫti|22
постелꙗ|постеля|Nb|posteĺǢ|fem_ja
похꙑтити|похытити|V-|poxytiti|40
наводити|наводити|V-|navoditi|40
ограда|огорода|Nb|ogorda|fem_a
оцѣщениѥ|оцѣщение|Nb|okěšћenьje|nt_jo
оустраꙗти|устраяти|V-|ustrajǢti|54
исто|исто|Nb|jьsto|nt_S
ловъ|ловъ|Nb|lovъ|masc_o
разгънати|разгънати|V-|orzgъnati|51_abl
постоꙗти|постояти|V-|postojǢti|31
възрадовати|възрадовати|V-|vъzradovati|61
мѫжати|мужати|V-|mǫžǢti|54
дѫбрава|дубрава|Nb|dǫbrava|fem_a
въсклицаниѥ|въсклицание|Nb|vъsklikanьje|nt_jo
съхранꙗти|съхраняти|V-|sъxorńǢti|54
оумилити|умилити|V-|umiliti|40
подъимати|подъимати|V-|podъjьmati|52_abl
състарѣти|състарѣти|V-|sъstarěti|32
останъкъ|останъкъ|Nb|ostanъkъ|masc_o
сънѣдь|сънѣдь|Nb|sъnědь|fem_i
свѧтитель|святитель|Nb|svętiteĺь|masc_tel
разоумьно|разумьно|Df|orzumьno|
мѧсо|мясо|Nb|męso|nt_o
оумꙑслити|умыслити|V-|umysliti|40
плодовитъ|плодовитыи|A-|plodovitъ|adj_hard
истьлѣти|истьлѣти|V-|jьstьlěti|32
призирати|призирати|V-|prizirati|54
оущѣдрити|ущедрити|V-|uščedriti|40
колесьница|колесьница|Nb|kolesьnika|fem_a_PV3
разгорѣти|разгорѣти|V-|orzgorěti|31
зорѩ|зоря|Nb|zoŕǢ|fem_ja
провѣщати|провѣщати|V-|prověšћǢti|54
въвѣрити|въвѣрити|V-|vъvěriti|40
понѥже|понеже|Df|pońeže|
хамовъ|хамовъ|A-|xamovъ|adj_hard
попалꙗти|попаляти|V-|popaĺǢti|54
досаждениѥ|досажение|Nb|dosaђenьje|nt_jo
свѣтьлость|свѣтьлость|Nb|světьlostь|fem_i
прибꙑти|прибыти|V-|pribyti|pref_byti
аронъ|аронъ|Ne|aronъ|masc_o
