chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
страхъ|страхъ|Nb|straxъ|masc_o
пилатъ|пилатъ|Ne|pilatъ|masc_o_u
волꙗ|воля|Nb|voĺǢ|fem_ja
достоинъ|достоиныи|A-|dostojьnъ|adj_hard
мѫченикъ|мученикъ|Nb|mǫčenikъ|masc_o
сѫбота|субота|Nb|sǫbota|fem_a
ѥлико|елико|Pr|jeliko|
оубоꙗти|убояти|V-|ubojǢti|31
родити#1|родити|V-|roditi|40
иже|иже|Pd|jьže|jьže
истиньнъ|истиньныи|A-|jьstinьnъ|adj_hard
въпросити|въспросити|V-|vъsprositi|40
оу|у|R-|u|
даꙗти|даяти|V-|dajǢti|53
ꙗко|яко|Dq|ako|
корабль|корабль|Nb|korabĺь|masc_jo
исходити|исходити|V-|jьsxoditi|40
вести#1|вести|V-|vesti|11
оупъвати|упъвати|V-|upъvati|54
въздати|въздати|V-|vъzdati|dati
въпрашати|въпрашати|V-|vъprašǢti|54
симонъ|симонъ|Ne|simonъ|masc_o
надъ|надъ|R-|nadъ|
въврѣщи|въврѣщи|V-|vъverћi|14
нищь|нищии|A-|nišћь|adj_soft
село|село|Nb|selo|nt_o
сѣсти|сѣсти|V-|sěsti|infix_11
псалъмъ|псалъмъ|Nb|pъsalъmъ|masc_o
подобати|подобати|V-|podobati|54
чьсть|чьсть|Nb|čьstь|fem_i
дьньсь|дьньсь|Df|dьnьsь|
новъ|новыи|A-|novъ|adj_hard
миръ#1|миръ|Nb|mirъ|masc_o
бити|бити|V-|biti|17
наоучити|научити|V-|naučiti|40
грѣшьникъ|грѣшьникъ|Nb|grěšьnikъ|masc_o
хвала|хвала|Nb|xvala|fem_a
лежати|лежати|V-|ležǢti|31
оухо|ухо|Nb|uxo|oko
радовати|радовати|V-|radovati|61
поѩти|пояти|V-|pojęti|12
сънити|сънити|V-|sъnjьti|jьti
съвѧзати|съвязати|V-|sъvęzati|52
доньде|доньдеже|G-|dońьdeže|
воинъ|воинъ|Nb|vojinъ|masc_o
помѧнѫти|помянути|V-|pomęnǫti|22
цѣсарьство|цѣсарьство|Nb|kěsaŕьstvo|nt_o
приходити|приходити|V-|prixoditi|40
ицѣлити|исцѣлити|V-|jьskěliti|40
възвѣстити|възвѣстити|V-|vъzvěstiti|40
носити|носити|V-|nositi|40
подъ|подъ|R-|podъ|
двьрь|двьрь|Nb|dvьrь|fem_i
гнѣвъ|гнѣвъ|Nb|gněvъ|masc_o
давꙑдъ|давыдъ|Ne|davydъ|masc_o_u
