orv_lemma|chu_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|ch_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|bitflag
мы||Pp|992|azъ|||||||azъ|2||||||||0|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||gol-gol||kiev-hyp|klem|kur|lav||mikh|mst||nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth||schism|sergrad||smol-pol-lit|spi|stefan|suz-lav||usp-sbor|||vest-kur|zadon|28018209570175
приити|прити|V-|963|prijьti|||||||jьti|1||||||||1|e_sl|afnik|avv|birchbark||const|domo|drac||||kiev-hyp||kur|lav|luk-koloc_subtitle_added|mikh||mstislav-col||||nov-sin||||||pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad||||stefan|suz-lav|turch|usp-sbor|||vest-kur|zadon|28466374440055
дьнь|дьнь|Nb|938|dьnь|||||||den|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|||golitsyn|kiev-hyp||kur|lav|luk-koloc_subtitle_added|mikh|mst|||||nov-sin|||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30785774155391
нъ|нъ|C-|925|nъ||||||||0||||||||1|e_sl||avv|birchbark|bur-alph|const|domo|drac|||golitsyn|kiev-hyp|||lav|luk-koloc_subtitle_added|||mstislav-col||||nov-sin|novgorod-jaroslav|ostromir-col||peter||pskov_subtitle_added|pvl-hyp|||rusprav||sergrad|shch||spi|stefan|suz-lav||usp-sbor|ust-vlad||vest-kur|zadon|30196218619518
или|или|C-|874|ili||||||||0||||||||1|e_sl|afnik|avv|birchbark||const|domo|drac|||golitsyn||||lav||mikh|mst||nevsky-treaty|||nov-sin|novgorod-jaroslav||paz|peter||pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad||smol-pol-lit||stefan|suz-lav||usp-sbor|ust-vlad|varlaam|vest-kur||16956453659255
онъ|онъ|Pd|822|onъ|||||||pron_hard|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp||kur|lav|luk-koloc_subtitle_added|mikh||||||nov-sin|||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|||rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch|usp-sbor|||vest-kur||10959131310079
великыи|великъ|A-|815|velikъ|||||||adj_hard|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||||kiev-hyp||kur|lav|luk-koloc_subtitle_added|mikh||||nov-list||nov-sin||||peter||pskov_subtitle_added|pvl-hyp|rig-smol1281||rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30785153856639
мои|мои|Ps|809|mojь|||||||pron_soft|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|||kur|lav||mikh|mst||nevsky-treaty|nov-list||nov-sin|||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|||rusprav||sergrad|shch||spi|stefan|suz-lav||usp-sbor|ust-vlad|||zadon|21400197641215
ити|ити|V-|804|jьti|||||||jьti|1||||||||1|e_sl|afnik|avv|birchbark||const|domo|drac||||kiev-hyp|||lav||||||||nov-sin||||peter||pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|||spi|stefan|suz-lav||usp-sbor|||vest-kur|zadon|27985371473015
тако|тако|Df|790|tako||||||||0||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||gol-gol|golitsyn||||lav|luk-koloc_subtitle_added|||mstislav-col||||nov-sin|novgorod-jaroslav|ostromir-col||peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav||sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30782011892607
мъногыи|мъногъ|A-|751|mъnogъ|||||||adj_hard|2|||great, large; many|This behaves mostly as an adjective but occasionally takes the pronominal endings; see Diels 1963 p.212||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||gol-gol|golitsyn|kiev-hyp|||lav|luk-koloc_subtitle_added|mikh||mstislav-col||nov-list|nov-marg|nov-sin||ostromir-col||||pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav||usp-sbor|ust-vlad||vest-kur|zadon|30201551185791
за|за|R-|746|za||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo||dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst||nevsky-treaty|nov-list||nov-sin|||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35183821455295
земля|землꙗ|Nb|729|zemĺǢ|zemjǢ||||||fem_ja|2||||||||1|e_sl|afnik|avv||bur-alph|const|domo|drac||gol-gol|golitsyn||||lav|||mst|||||nov-sin|novgorod-jaroslav|||||pskov_subtitle_added|pvl-hyp||riga-goth|rusprav||sergrad||smol-pol-lit|spi|stefan|suz-lav||usp-sbor|ust-vlad|varlaam|vest-kur|zadon|34612476715899
из|из|R-|727|jьz|||||||voice_assim_prep|0|||||||1|1|e_sl|afnik|avv|birchbark||const|domo|drac|dux-grjaz||golitsyn|kiev-hyp|||lav|luk-koloc_subtitle_added|mikh||mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav|||peter||pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30751872444151
