orv_lemma|chu_lemma|pos|lcs_lemma|conj_type
прѣдъреченыи|прѣдъреченъ|A-|perdъrečenъ|adj_hard
противьникъ|противьникъ|Nb|protivьnikъ|masc_o
мужьскы|мѫжьскꙑ|Df|mǫžьsky|
сквьрньныи|скврьньнъ|A-|skvŕ̥nьnъ|adj_hard
единосущьныи|ѥдиносѫщьнъ|A-|jedinosǫћьnъ|adj_hard
възмьздие|възмьздиѥ|Nb|vъzmьzdьje|nt_jo
супротивьныи|сѫпротивьнъ|A-|sǫprotivьnъ|adj_hard
възвысити|възвꙑсити|V-|vъzvysiti|40
съблюдение|съблюдениѥ|Nb|sъbĺudenьje|nt_jo
тъчьныи|тъчьнъ|A-|tъčьnъ|adj_hard
переставити|прѣставити|V-|perstaviti|40
бесцѣньныи|бецѣньнъ|A-|beskěnьnъ|adj_hard
вихъръ|вихъръ|Nb|vixъrъ|masc_o
одьнако|ѥдьнако|Df|jedьnako|
прѣдътеча|прѣдътеча|Nb|perdъtečǢ|masc_ja
подвижьныи|подвижьнъ|A-|podvižьnъ|adj_hard
въгодьникъ|въгодьникъ|Nb|vъgodьnikъ|masc_o
тържьство|тръжьство|Nb|tr̥žьstvo|nt_o
городьскыи|градьскъ|A-|gordьskъ|adj_hard
нашьствие|нашьствиѥ|Nb|našьstvьje|nt_jo
страстьныи|страстьнъ|A-|strastьnъ|adj_hard
вѣрьно|вѣрьно|Df|věrьno|
послушьство|послоушьство|Nb|poslušьstvo|nt_o
шьствие|шьствиѥ|Nb|šьstvьje|nt_jo
гонение|гонѥниѥ|Nb|gońenьje|nt_jo
ротьныи|ратьнъ|A-|ortьnъ|adj_hard
перекрьстити|прѣкрьстити|V-|perkrьstiti|40
болярьскыи|болꙗрьскъ|A-|boĺǢrьskъ|adj_hard
