id,lemma,pos,normalised,count,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,bitflag
4159,прѣтръгнѫти,V-,прѣтръгнѫті,5,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4160,верѣꙗ,Nb,верѣѣ,4,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4161,възгнѫшати,V-,възгнѫшаті,1,,,,,psal-sin_pipe_removed,,,,,16
4162,въсколѣбати,V-,въсколѣбаті,1,,,,,psal-sin_pipe_removed,,,,,16
4163,пиꙗнъ,A-,піѣнъ,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4164,поглътити,V-,поглътіті,3,,,,,psal-sin_pipe_removed,,vit-const,,,80
4165,хладъ,Nb,хладъ,1,,,,,psal-sin_pipe_removed,,,,,16
4166,оумлькнѫти,V-,оумлькнѫті,6,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4167,пристанище,Nb,прістаніште,5,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4168,слатина,Nb,слатіна,2,,,,,psal-sin_pipe_removed,,vit-const,,,80
4169,насѣꙗти,V-,насѣѣті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4170,житьнъ,A-,жітьнъ,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4171,селомъ,Ne,селомъ,1,,,,,psal-sin_pipe_removed,,,,,16
4172,наложити,V-,наложіті,9,,,,,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,,240
4173,объстоꙗниѥ,Nb,объстоѣніе,1,,,,,psal-sin_pipe_removed,,,,,16
4174,ненавидѣньнъ,A-,ненавідѣньнъ,1,,,,,psal-sin_pipe_removed,,,,,16
4175,облещи,V-,облешті,2,,,,,psal-sin_pipe_removed,,,,zogr,272
4176,ненависть,Nb,ненавість,4,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4177,епискоупьство,Nb,епіскоупьство,6,,,,,psal-sin_pipe_removed,supr_fixed,,vit-meth,,176
4178,въсхлѫпати,V-,въсхлѫпаті,1,,,,,psal-sin_pipe_removed,,,,,16
4179,сирота,Nb,сірота,6,,,,,psal-sin_pipe_removed,supr_fixed,,vit-meth,,176
4180,матерь,A-,матерь,5,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4181,благовѣщениѥ,Nb,благовѣштеніе,9,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4182,поꙗсати#2,V-,поѣсаті#2,2,,,,,psal-sin_pipe_removed,,,,zogr,272
4183,благодарьствити,V-,благодарьствіті,11,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4184,свѣтьлота,Nb,свѣтьлота,1,,,,,psal-sin_pipe_removed,,,,,16
4185,дьньница,Nb,дьньніца,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4186,мельхиседековъ,A-,мельхіседековъ,1,,,,,psal-sin_pipe_removed,,,,,16
4187,поконъ,Nb,поконъ,1,,,,,psal-sin_pipe_removed,,,,,16
4188,расъмотрити,V-,расъмотріті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4189,въздвиѕати#2,V-,въздвізаті#2,3,,,,,psal-sin_pipe_removed,,vit-const,vit-meth,,208
4190,гноище,Nb,гноіште,1,,,,,psal-sin_pipe_removed,,,,,16
4191,триѥ на десѧте,Ma,тріе на десѧте,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4192,варъваръ,Nb,варъваръ,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4193,иорданъ,Ne,іорданъ,7,,,,,psal-sin_pipe_removed,supr_fixed,,,zogr,304
4194,акротомъ,Nb,акротомъ,1,,,,,psal-sin_pipe_removed,,,,,16
4195,сьребрьнъ,A-,сьребрьнъ,6,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4196,ноздри,Nb,ноздрі,6,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4197,обонꙗти,V-,обонѣті,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4198,ароновъ,A-,ароновъ,4,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4199,четꙑрe на десѧтe,Ma,четъіре на десѧте,3,,,,,psal-sin_pipe_removed,,vit-const,,,80
4200,лъжь,Nb,лъжь,1,,,,,psal-sin_pipe_removed,,,,,16
4201,съто,I-,съто,1,,,,,psal-sin_pipe_removed,,,,,16
4202,пространьство,Nb,пространьство,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4203,поспѣшити,V-,поспѣшіті,5,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4204,олътарьвьнъ,A-,олътарьвьнъ,1,,,,,psal-sin_pipe_removed,,,,,16
4205,поносъ,Nb,поносъ,1,,,,,psal-sin_pipe_removed,,,,,16
4206,оунꙑниѥ,Nb,оунъініе,5,,,,,psal-sin_pipe_removed,supr_fixed,vit-const,,,112
4207,отъставити,V-,отъставіті,2,,,,,psal-sin_pipe_removed,,,,zogr,272
4208,лихоимьство,Nb,ліхоімьство,1,,,,,psal-sin_pipe_removed,,,,,16
4209,пришьльство,Nb,прішьльство,2,,,,,psal-sin_pipe_removed,,,,,16
4210,полоунощь,Nb,полоуношть,9,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4211,млѣко,Nb,млѣко,9,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4212,сланъ,Nb,сланъ,1,,,,,psal-sin_pipe_removed,,,,,16
