ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000008|| |10|1|1|MATT 1.9|1|1|9|1
ⰻ̄ⰵ̄ⰸⰵⰽⰹⱙ̄|||ⰻⰵⰸⰵⰽіⱙ||5000008|| ·|10|1|1|MATT 1.9|1|1|9|1
ⰻ̄ⰵ̄ⰸⰵⰽⰹⱑ̄|||ⰻⰵⰸⰵⰽіⱑ||5000009| | |10|1|1|MATT 1.10|1|1|10|1
ⰶⰵ|||ⰶⰵ||5000009|| |10|1|1|MATT 1.10|1|1|10|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000009|| |10|1|1|MATT 1.10|1|1|10|1
ⰿⰰⱀⰰⱄⰻⱙ̄|||ⰿⰰⱀⰰⱄⰻⱙ||5000009|| · |10|1|1|MATT 1.10|1|1|10|1
ⰿⰰⱀⰰⱄⰹⰻ̄|||ⰿⰰⱀⰰⱄіⰻ||5000009|| |10|1|1|MATT 1.10|1|1|10|1
ⰶⰵ|||ⰶⰵ||5000009|| |10|1|1|MATT 1.10|1|1|10|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000009|| |10|1|1|MATT 1.10|1|1|10|1
ⰰ̄ⰿⱁ̄ⱄ̄ⰰ|||ⰰⰿⱁⱄⰰ||5000009|| · |10|1|1|MATT 1.10|1|1|10|1
Ⰰ̄ⰿⱁⱄⱐ|||Ⰰⰿⱁⱄⱐ||5000009|| |10|1|1|MATT 1.10|1|1|10|1
ⰶⰵ|||ⰶⰵ||5000009|| |10|1|1|MATT 1.10|1|1|10|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000009|| |10|1|1|MATT 1.10|1|1|10|1
ⰻ̄ⱁ̄ⱄⰹⱙ̄|||ⰻⱁⱄіⱙ||5000009|| ·|10|1|1|MATT 1.10|1|1|10|1
Ⰻ̄ⱁ̄ⱄⰹⰰ̄|||Ⰻⱁⱄіⰰ||5000010| | |10|1|1|MATT 1.11|1|1|11|1
ⰶⰵ|||ⰶⰵ||5000010|| |10|1|1|MATT 1.11|1|1|11|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000010|| |10|1|1|MATT 1.11|1|1|11|1
ⰻ̄ⱁ̄ⱈⱁⱀⰹⱙ̄|||ⰻⱁⱈⱁⱀіⱙ||5000010|| · |10|1|1|MATT 1.11|1|1|11|1
ⰻ|||ⰻ||5000010|| |10|1|1|MATT 1.11|1|1|11|1
ⰱⱃⰰⱅⰻⱙ̄|||ⰱⱃⰰⱅⰻⱙ||5000010|| |10|1|1|MATT 1.11|1|1|11|1
ⰵ̄ⰳⱁ|||ⰵⰳⱁ||5000010|| · |10|1|1|MATT 1.11|1|1|11|1
Ⰲⱏ|||Ⰲⱏ||5000010|| |10|1|1|MATT 1.11|1|1|11|1
ⱂⱃⱑⱄⰵⰾⰵⱀⰹⰻ̄|||ⱂⱃⱑⱄⰵⰾⰵⱀіⰻ||5000010|| |10|1|1|MATT 1.11|1|1|11|1
ⰲⰰⰲⰹⰾⱁⱀⱄⱅⱑⰰ̄ⰿⱐ|||ⰲⰰⰲіⰾⱁⱀⱄⱅⱑⰰⰿⱐ||5000010|| ·|10|1|1|MATT 1.11|1|1|11|1
Ⱂⱁ|||Ⱂⱁ||5000011| | |10|1|1|MATT 1.12|1|1|12|1
ⱂⱃⱑⱄⰵⰾⰵⱀⰻⰻ̄|||ⱂⱃⱑⱄⰵⰾⰵⱀⰻⰻ||5000011|| |10|1|1|MATT 1.12|1|1|12|1
ⰶⰵ|||ⰶⰵ||5000011|| |10|1|1|MATT 1.12|1|1|12|1
ⰲⰰⰲⰹⰾⱁⱀⱐⱄⱅⱑ|||ⰲⰰⰲіⰾⱁⱀⱐⱄⱅⱑ||5000011|| · |10|1|1|MATT 1.12|1|1|12|1
Ⰻ̄ⱁ̄ⱈⱁⱀⰻⱑ̄|||Ⰻⱁⱈⱁⱀⰻⱑ||5000011|| |10|1|1|MATT 1.12|1|1|12|1
ⱃⱁⰴⰻ|||ⱃⱁⰴⰻ||5000011|| |10|1|1|MATT 1.12|1|1|12|1
ⱄⰰⰾⰰⱅⰻⰾⱑ|||ⱄⰰⰾⰰⱅⰻⰾⱑ||5000011|| · |10|1|1|MATT 1.12|1|1|12|1
ⱄⰰⰾⰰⱅⰹⰾⱐ|||ⱄⰰⰾⰰⱅіⰾⱐ||5000011|| |10|1|1|MATT 1.12|1|1|12|1
ⰶⰵ|||ⰶⰵ||5000011|| |10|1|1|MATT 1.12|1|1|12|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000011|| |10|1|1|MATT 1.12|1|1|12|1
ⰸⱁⱃⱁⰲ̄ⰰⰲⰵⰾⱑ|||ⰸⱁⱃⱁⰲⰰⰲⰵⰾⱑ||5000011|| ·|10|1|1|MATT 1.12|1|1|12|1
Ⰸⱁⱃⱁⰲ̄ⰰⰲⰵⰾⱐ|||Ⰸⱁⱃⱁⰲⰰⰲⰵⰾⱐ||5000012| | |10|1|1|MATT 1.13|1|1|13|1
ⰶⰵ|||ⰶⰵ||5000012|| |10|1|1|MATT 1.13|1|1|13|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000012|| · |10|1|1|MATT 1.13|1|1|13|1
Ⰰ̄ⰲⰹⱆ̄ⰴⰰ|||Ⰰⰲіⱆⰴⰰ||5000012|| · |10|1|1|MATT 1.13|1|1|13|1
Ⰰ̄ⰲⰹⱆ̄ⰴⱏ|||Ⰰⰲіⱆⰴⱏ||5000012|| |10|1|1|MATT 1.13|1|1|13|1
ⰶⰵ|||ⰶⰵ||5000012|| |10|1|1|MATT 1.13|1|1|13|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000012|| |10|1|1|MATT 1.13|1|1|13|1
ⰵ̄ⰾⰻⰰ̄ⰽⰹⰿⰰ|||ⰵⰾⰻⰰⰽіⰿⰰ||5000012|| · |10|1|1|MATT 1.13|1|1|13|1
ⰵ̄ⰾⰻⰰ̄ⰽⰻⰿⱐ|||ⰵⰾⰻⰰⰽⰻⰿⱐ||5000012|| |10|1|1|MATT 1.13|1|1|13|1
ⰶⰵ|||ⰶⰵ||5000012|| |10|1|1|MATT 1.13|1|1|13|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000012|| |10|1|1|MATT 1.13|1|1|13|1
Ⰰ̄ⰸⰰⱃⰰ|||Ⰰⰸⰰⱃⰰ||5000012|| ·|10|1|1|MATT 1.13|1|1|13|1
Ⰰ̄ⰸⰰⱃⱐ|||Ⰰⰸⰰⱃⱐ||5000013| | |10|1|1|MATT 1.14|1|1|14|1
ⰶⰵ|||ⰶⰵ||5000013|| |10|1|1|MATT 1.14|1|1|14|1
