вѣсте,V-,138
г҃лахѫ,V-,102
же,Df,20
оученици,Nb,359
къ,R-,59
себѣ,Pk,21
еда,Du,869
къто,Pi,265
принесе,V-,535
емоу,Pp,64
ѣсти,V-,818
г҃ла,V-,102
ꙇмъ,Pp,64
и҃с,Ne,343
мое,Ps,447
брашьно,Nb,1416
естъ,V-,18
да,G-,366
твор҄ѭ,V-,637
вол҄ѭ,Nb,505
посълавъшаего,V-,63
мѧ,Pp,440
ꙇ,C-,13
съвръшѫ,V-,1179
дѣло,Nb,470
его,Pp,64
не,Df,8
вꙑ,Pp,266
ли,Du,752
г҃лете,V-,102
ѣко,G-,115
еште,Df,253
четꙑре,Ma,137
мѣсѧци,Nb,1532
сѫтъ,V-,18
ꙇ,C-,13
жѧтва,Nb,1099
придетъ,V-,221
се,I-,419
г҃л҄ѭ,V-,102
вамъ,Pp,266
вьзведѣте,V-,1268
очи,Nb,427
ваши,Ps,723
ꙇ,C-,13
видите,V-,479
н҄ивꙑ,Nb,2803
ѣко,G-,115
плавꙑ,A-,3105
сѫтъ,V-,18
къ,R-,59
жѧтвѣ,Nb,1099
юже,Df,694
ꙇ,C-,13
жьн҄ѧі,V-,824
мьздѫ,Nb,750
приемл҄етъ,V-,589
ꙇ,C-,13
събираетъ,V-,152
плодъ,Nb,344
животънꙑ,A-,3131
да,G-,366
сѣѩи,V-,823
въ коупѣ,Df,1754
радоуетъ,V-,1566
сѧ,Pk,21
ꙇ,C-,13
жьн҄ѧі,V-,824
о,R-,1
семь,Pd,47
бо,Df,94
слово,Nb,520
естъ,V-,18
ꙇстинъное,A-,72
ѣко,G-,115
ꙇнъ,Px,259
естъ,V-,18
сѣѩи,V-,823
ꙇ,C-,13
инъ,Px,259
естъ,V-,18
жьн҄ѧі,V-,824
азъ,Pp,440
же,Df,20
посълахъ,V-,63
вꙑ,Pp,266
жѧтъ,V-,824
ꙇдеже,Dq,798
вꙑ,Pp,266
не,Df,8
троудисте,V-,2631
сѧ,Pk,21
ꙇни,Px,259
троудишѧ,V-,2631
сѧ,Pk,21
ꙇ,C-,13
вꙑ,Pp,266
въ,R-,111
троудъ,Nb,2765
ꙇхъ,Pp,64
вьнидете,V-,380
отъ,R-,80
града,Nb,718
же,Df,20
того,Pd,105
мънози,A-,49
вѣровашѧ,V-,968
вь,R-,111
н҄его,Pp,64
отъ,R-,80
самарѣнъ,Nb,1116
за,R-,726
слово,Nb,520
женѣ,Nb,693
съвѣдѣтел҄ьствоуѭшти,V-,1810
ѣко,G-,115
рече,V-,106
ми,Pp,440
вьсѣ,Px,54
елико,Pr,2092
сътворихъ,V-,73
егда,Dq,300
же,Df,20
придѫ,V-,221
къ,R-,59
н҄емоу,Pp,64
самарѣне,Nb,1116
мол҄ѣахѫ,V-,409
і,C-,13
да,G-,366
би,V-,18
прѣбꙑлъ,V-,1131
оу,R-,736
н҄ихъ,Pp,64
ꙇ,C-,13
прѣбꙑстъ,V-,1131
тоу,Df,177
дъва,Ma,230
дьни,Nb,523
ꙇ,C-,13
мъного,Df,1049
паче,Df,827
вѣровашѧ,V-,968
за,R-,726
слово,Nb,520
его,Pp,64
женѣ,Nb,693
г҃лаахѫ,V-,102
ѣко,G-,115
юже,Df,694
не,Df,8
за,R-,726
твоѭ,Ps,307
бесѣдѫ,Nb,1955
вѣроуемъ,V-,968
сами,Pd,567
бо,Df,94
слꙑшахомъ,V-,689
ꙇ,C-,13
вѣмъ,V-,138
ѣко,G-,115
сь,Pd,47
естъ,V-,18
въ,R-,111
ꙇстинѫ,Nb,385
с҃пъ,Nb,337
мира,Nb,284
х҃ъ,Ne,305
По,R-,77
дъвою,Ma,230
же,Df,20
дъноу,Nb,523
ꙇзиде,V-,684
отътѫдоу,Df,1039
ꙇ,C-,13
иде,V-,671
въ,R-,111
галилеѭ,Ne,1542
самъ,Pd,567
бо,Df,94
ꙇ҃с,Ne,343
съвѣдѣтел҄ьствова,V-,1810
ѣко,G-,115
пророкъ,Nb,878
въ,R-,111
своемь,Pt,217
отьчьстви,V-,4667
не,Df,8
