сапогоу,сапогоу
с҃нове,снове
его,его
ꙇ,і
скоти,скоті
его,его
отъвѣшта,отъвѣшта
и҃с,іс
ꙇ,і
рече,рече
еи,еі
вьсѣкъ,вьсѣкъ
пиѩи,піѧі
отъ,отъ
водꙑ,водъі
сеѩ,сеѧ
вьждѩждетъ,вьждѧждетъ
сѧ,сѧ
пакꙑ,пакъі
а,а
ꙇже,іже
пиетъ,піетъ
отъ,отъ
водꙑ,водъі
ѭже,ѭже
азъ,азъ
дамь,дамь
емоу,емоу
не,не
ꙇматъ,іматъ
въждѧдати,въждѧдаті
сѧ,сѧ
въ,въ
вѣкъ,вѣкъ
нъ,нъ
вода,вода
ѭже,ѭже
азъ,азъ
дамь,дамь
емоу,емоу
бѫдетъ,бѫдетъ
вь,вь
н҄емь,немь
ꙇсточьникъ,істочьнікъ
водꙑ,водъі
вьслѣплѫштѫѭ,вьслѣплѫштѫѭ
въ,въ
животъ,жівотъ
вѣчьнꙑ,вѣчьнъі
г҃ла,гла
къ,къ
н҄емоу,немоу
жена,жена
г҃и,гі
даждь,даждь
ми,мі
сиѭ,сіѭ
водѫ,водѫ
да,да
ни,ні
жѧждѫ,жѧждѫ
ни,ні
прихождѫ,пріхождѫ
сѣмо,сѣмо
почръпатъ,почръпатъ
г҃ла,гла
еи,еі
ꙇ҃с,іс
ꙇди,іді
пригласи,прігласі
мѫжа,мѫжа
своего,своего
ꙇ,і
приди,пріді
сѣмо,сѣмо
отъвѣшта,отъвѣшта
жена,жена
ꙇ,і
рече,рече
емоу,емоу
не,не
ꙇмамь,імамь
мѫжа,мѫжа
г҃ла,гла
еи,еі
ꙇ҃с,іс
добрѣ,добрѣ
рече,рече
ѣко,ѣко
мѫжа,мѫжа
не,не
ꙇмамь,імамь
пѧть,пѧть
бо,бо
мѫжь,мѫжь
ꙇмѣла,імѣла
еси,есі
ꙇ,і
нꙑн҄ѣ,нъінѣ
егоже,егоже
ꙇмаши,імаші
нѣстъ,нѣстъ
ти,ті
мѫжь,мѫжь
се,се
въ,въ
ꙇстинѫ,істінѫ
рече,рече
г҃ла,гла
емоу,емоу
жена,жена
г҃и,гі
виждѫ,віждѫ
ѣко,ѣко
пророкъ,пророкъ
еси,есі
тꙑ,тъі
о҃ци,оці
наши,наші
въ,въ
горѣ,горѣ
сеі,сеі
поклонишѧ,поклонішѧ
сѧ,сѧ
ꙇ,і
вꙑ,въі
г҃лете,глете
ѣко,ѣко
въ,въ
е҃рмѣхъ,ермѣхъ
естъ,естъ
мѣсто,мѣсто
ꙇдеже,ідеже
клан҄ѣти,кланѣті
сѧ,сѧ
подобаетъ,подобаетъ
г҃ла,гла
еі,еі
и҃с,іс
жено,жено
вѣрѫ,вѣрѫ
ми,мі
ꙇми,імі
ѣко,ѣко
грѧдетъ,грѧдетъ
часъ,часъ
егда,егда
ни,ні
горѣ,горѣ
сеі,сеі
ни,ні
въ,въ
е҃рлмѣхъ,ерлмѣхъ
поклоните,поклоніте
сѧ,сѧ
о҃цю,оцоу
д҃хомь,дхомь
ꙇ,і
истиноѭ,істіноѭ
ꙇбо,ібо
о҃ць,оць
тацѣхъ,тацѣхъ
