torot_word|deep_cleaned
животворѧща|жівотворѧща
и|і
творѧща|творѧща
чѹдеса|чоудеса
велиꙗ|веліꙗ
единого:|едіного
ѹмилосрьди|оумілосрьді
бо|бо
сѧ|сѧ
на|на
насъ|насъ
благость|благость
ѥго:|его
и|і
на|на
спѣхъ|спѣхъ
великъ|велікъ
приведе|пріведе
мѣсто|мѣсто
наше:|наше
елико|еліко
противѹ|протівоу
врѣменемъ:|врѣменемъ
прѣжде|прѣжде
работавъшиихъ|работавъшііхъ
ѥмѹ:|емоу
ради|раді
присно|прісно
въ|въ
немь|немь
ст҃ꙑихъ|ст҃ъііхъ
рабъ|рабъ
ѥго:|его
дарова|дарова
же|же
намъ|намъ
от҃цѧ|от҃цѧ
и|і
пастѹха|пастоуха
благость|благость
ѥго:|его
достоина|достоіна
промꙑсла|промъісла
своѥго:|своего
ѳомѹ|ѳомоу
прѣподобьнааго:|прѣподобьнааго
хꙑтра|хъітра
сѫща|сѫща
и|і
вьсѣми|вьсѣмі
дѣтельми|дѣтельмі
ѹкрашена:|оукрашена
живъшааго|жівъшааго
ѡтъ|отъ
дѣтьска|дѣтьска
беꙁмлъвьномь|безмлъвьномь
житиѥмь|жітіемь
и|і
постомь:|постомь
кротъкааго|кротъкааго
и|і
братолюбьцѧ|братолюбьцѧ
и|і
милостивьнаго:|мілостівьнаго
съмѣренааго|съмѣренааго
срьдьцемъ:|срьдьцемъ
о|о
молитвѣ|молітвѣ
и|і
о|о
правилѣ|правілѣ
теплааго:|теплааго
тѣмьже|тѣмьже
и|і
б҃ъ|б҃ъ
въ|въ
игѹменьство|ігоуменьство
ѥго|его
въ|въ
пространьство|пространьство
приведе|пріведе
ѹченикꙑ|оученікъі
ѥго:|его
Число|чісло
же|же
иꙁбиѥнꙑихъ|ізбіенъііхъ
оц҃ь|оц҃ь
ѥсть|есть
именъ:|іменъ
м҃д:|м҃д
бꙑваѥть|бъіваеть
же|же
памѧть|памѧть
ихъ:|іхъ
мѣсѧцѧ|мѣсѧцѧ
маиѧ:|маіѧ
въ|въ
е҃⸱|е҃
благодѣтиѭ|благодѣтіѭ
же|же
х҃воѭ|х҃воѭ
и|і
спѣхомь|спѣхомь
прѣждереченааго|прѣждереченааго
прѣподобьнааго|прѣподобьнааго
оц҃ѧ|оц҃ѧ
нашего|нашего
модеста:|модеста
живѹть|жівоуть
и|і
въ|въ
прочиїхъ|прочііхъ
моностꙑрихъ|моностъіріхъ
пѹстꙑньнъихъ:|поустъіньнъіхъ
Се|се
ѹже|оуже
чьстьнꙑи|чьстьнъіі
от҃че|от҃че
еѵстаѳе:|еустаѳе
въ|въ
кратъцѣ|кратъцѣ
ꙗже|ꙗже
о|о
с҃тꙑихъ|с҃тъііхъ
оц҃ихъ|оц҃іхъ
нашихъ|нашіхъ
и|і
лаврѣ:|лаврѣ
въꙁвѣстихъ|възвѣстіхъ
вашемѹ|вашемоу
б҃олюбью:|б҃олюбью
и|і
ина|іна
же|же
благовѣщениꙗ|благовѣщеніꙗ
радость|радость
творѧща|творѧща
вашеи|вашеі
дш҃и|дш҃і
и|і
вьсемѹ|вьсемоу
крьстиꙗнѹ|крьстіꙗноу
слꙑшащѹѹмѹ|слъішащоуоумоу
ꙗ:|ꙗ
благовѣщаѭ|благовѣщаѭ
вамъ:|вамъ
прѣждереченꙑи|прѣждереченъіі
бо|бо
прѣподобьнꙑи|прѣподобьнъіі
модестъ:|модестъ
не|не
тъчиѭ|тъчіѭ
пѹстꙑньнꙑꙗ|поустъіньнъіꙗ
строить|строіть
моностꙑрѧ:|моностъірѧ
нъ|нъ
и|і
градꙑ|градъі
вьсѧ|вьсѧ
живѹщаꙗ|жівоущаꙗ
окръстъ:|окръстъ
б҃ѹ|б҃оу
поспѣваѭщѹ|поспѣваѭщоу
ѥмѹ|емоу
о|о
вьсемь:|вьсемь
сь|сь
бо|бо
ꙗкоже|ꙗкоже
ѥ|е
истина:|істіна
новꙑи|новъіі
нашъ|нашъ
веселеиль:|веселеіль
ли|лі
ꙁоровавель:|зоровавель
исплънь|ісплънь
сѧ|сѧ
дх҃а|дх҃а
с҃та:|с҃та
въꙁдвиже|въздвіже
и|і
пожъженꙑꙗ|пожъженъіꙗ
чьстьнꙑꙗ|чьстьнъіꙗ
црькъви|црькъві
съпаса|съпаса
нашего|нашего
х҃а:|х҃а
ст҃оѥ|ст҃ое
же|же
и|і
краниѥ:|краніе
и|і
ст҃оѥ|ст҃ое
ѥго|его
въстааниѥ:|въстааніе
и|і
храмъ|храмъ
чъстьнааго|чъстьнааго
кръста:|кръста
и|і
матере|матере
црькъвь|црькъвь
сиона:|сіона
и|і
ст҃оѥ|ст҃ое
ѥго|его
въꙁитиѥ:|възітіе
и|і
прочѧꙗ|прочѧꙗ
чьстьнꙑꙗ|чьстьнъіꙗ
храмꙑ:|храмъі
ꙗко|ꙗко
ѡтъ|отъ
сего|сего
благꙑ|благъі
надеждѧ|надеждѧ
имѣти|імѣті
намъ|намъ
и|і
о|о
бѹдѹщиихъ:|боудоущііхъ
паче|паче
же|же
отъ|отъ
кромѣшъниихъ|кромѣшънііхъ
странъ|странъ
приходѧщиимъ|пріходѧщіімъ
на|на
покланѧниѥ|покланѧніе
ст҃ꙑихъ|ст҃ъііхъ
мѣстъ:|мѣстъ
и|і
вьсѣмъ|вьсѣмъ
славити|славіті
б҃а:|б҃а
ꙗко|ꙗко
томѹ|томоу
подобаѥть|подобаеть
слава|слава
въ|въ
вѣкꙑ|вѣкъі
вѣкъ|вѣкъ
амин͗|амін
тогожде|тогожде
анътиѡха|анътіоха
прологъ:|прологъ
Рече|рече
въ|въ
пѣсньхъ|пѣсньхъ
соломонъ:|соломонъ
шесть|шесть
десѧтъ|десѧтъ
ѥсть|есть
цесариць:|цесаріць
и|і
осмь|осмь
десѧтъ|десѧтъ
женимъ:|женімъ
и|і
дѣвиць|дѣвіць
ихъже|іхъже
нѣсть|нѣсть
числа:|чісла
мꙑ|мъі
ѹбо|оубо
по|по
нашемѹ|нашемоу
достижениѭ|достіженіѭ
ѯ҃:|ѯ҃
цср҃иць:|цср҃іць
челеснꙑꙗ|челеснъіꙗ
гл҃емъ|гл҃емъ
бꙑти|бъіті
кънигꙑ:|кънігъі
сирѣчъ|сірѣчъ
шесть|шесть
десѧтꙑꙗ|десѧтъіꙗ
ꙁавѣщанꙑꙗ:|завѣщанъіꙗ
ветъхааго|ветъхааго
же|же
и|і
новааго|новааго
ꙁавѣта:|завѣта
осмьдесѧтъ|осмьдесѧтъ
же|же
женимъ:|женімъ
неприлагаѥмꙑꙗ:|непрілагаемъіꙗ
гл҃емꙑꙗ|гл҃емъіꙗ
потаѥнꙑ:|потаенъі
женимꙑ|женімъі
же|же
именѹѭ|іменоуѭ
ꙁане|зане
беꙁ|без
дрьꙁновениꙗ|дрьзновеніꙗ
и|і
любодѣицѧ|любодѣіцѧ
сѹть:|соуть
дѣвицѧ|дѣвіцѧ
же:|же
реченꙑꙗ|реченъіꙗ
новꙑꙗ|новъіꙗ
повѣсти|повѣсті
црькъвьнꙑихъ|црькъвьнъііхъ
ѹчитель:|оучітель
ꙁа|за
чистотѹ|чістотоу
словесе|словесе
ихъ:|іхъ
дѣвицѧ|дѣвіцѧ
бо:|бо
чистꙑ|чістъі
именѹѭть|іменоуѭть
сѧ:|сѧ
рече|рече
бо:|бо
да|да
поищѹть|поіщоуть
цесарю|цесарю
дѣвицѧ|дѣвіцѧ
дѣвоѭ:|дѣвоѭ
и|і
обрѣтоша|обрѣтоша
суманитѣнꙑию|суманітѣнъіію
да|да
съгрѣѥть|съгрѣеть
и:|і
сирѣчь|сірѣчь
небесьнꙑꙗ|небесьнъіꙗ
раꙁѹмꙑ:|разоумъі
и|і
пѣваꙗ|пѣваꙗ
речеть:|речеть
съгрѣ|съгрѣ
сѧ|сѧ
срьдьце|срьдьце
моѥ|мое
въ|въ
мънѣ:|мънѣ
и|і
въ|въ
поѹчении|пооученіі
моѥмь|моемь
раꙁгорить|разгоріть
сѧ|сѧ
огнь:|огнь
суманитѣнꙑни|суманітѣнъіні
же|же
небеснаꙗ|небеснаꙗ
съкаꙁаѥть|съказаеть
