mysql> select tokens.id, token_alignment_id from tokens left join sentences on sentence_id = sentences.id left join source_divisions on source_division_id = source_divisions.id left join sources on source_id = sources.id where code = "psal-sin";
+---------+--------------------+
| id      | token_alignment_id |
| 2347416 |            3320636 |
| 2347417 |            3320638 |
| 2347418 |            3320640 |
| 2347819 |            3320641 |
| 2347419 |            3320642 |
| 2347420 |            3320643 |
| 2347421 |            3320644 |
| 2347422 |            3320645 |
| 2347423 |            3320646 |
| 2347424 |            3320647 |
| 2347425 |            3320648 |
| 2347426 |            3320649 |
| 2347427 |               NULL |
| 2347428 |            3320652 |
| 2347429 |            3320654 |
| 2347430 |            3320655 |
| 2347431 |            3320656 |
| 2347432 |            3320657 |
| 2347433 |            3320658 |
| 2347434 |            3320659 |
| 2347435 |               NULL |
| 2347436 |            3320660 |
| 2347437 |            3320661 |
| 2347438 |               NULL |
| 2347439 |            3320662 |
| 2347440 |            3320663 |
| 2347441 |            3320664 |
| 2347442 |            3320665 |
| 2347443 |               NULL |
| 2347444 |            3320667 |
| 2347445 |            3320670 |
| 2347822 |            3320672 |
| 2347446 |            3320673 |
| 2347447 |            3320674 |
| 2347448 |            3320675 |
| 2347449 |            3320676 |
| 2347450 |            3320677 |
| 2347451 |            3320678 |
| 2347452 |            3320679 |
| 2347453 |            3320680 |
| 2347454 |            3320681 |
| 2347455 |            3320682 |
| 2347456 |            3320683 |
| 2347457 |               NULL |
| 2347458 |            3320684 |
| 2347459 |            3320686 |
| 2347460 |            3320687 |
| 2347461 |            3320688 |
| 2347462 |            3320689 |
| 2347463 |            3320691 |
| 2347464 |            3320692 |
| 2347465 |            3320694 |
| 3354613 |               NULL |
| 2347466 |            3320695 |
| 2347467 |            3320696 |
| 2347468 |            3320698 |
| 2347469 |            3320699 |
| 2347470 |            3320700 |
| 2347471 |            3320701 |
| 2347472 |            3320702 |
| 2347473 |            3320704 |
| 2347474 |            3320705 |
| 2347475 |            3320706 |
| 2347476 |            3320707 |
| 2347477 |            3320708 |
| 2347478 |            3320709 |
| 2347479 |            3320710 |
| 2347480 |            3320711 |
| 2347481 |            3320712 |
| 2347482 |            3320713 |
| 2347483 |               NULL |
| 2347484 |            3320714 |
| 2347485 |            3320715 |
| 2347486 |               NULL |
| 2347487 |            3320716 |
| 2347488 |            3320717 |
| 2347489 |               NULL |
| 2347490 |            3320719 |
| 2347491 |            3320720 |
| 2347492 |            3320721 |
| 2347493 |            3320723 |
| 2347494 |            3320724 |
| 2347495 |            3320725 |
| 2347496 |               NULL |
| 2347497 |            3320726 |
| 2347498 |            3320727 |
| 2347499 |            3320728 |
| 2347500 |            3320729 |
| 2347501 |            3320730 |
| 2347829 |               NULL |
| 2347502 |            3320732 |
| 2347503 |            3320733 |
| 2347504 |            3320734 |
| 2347505 |            3320736 |
| 2347506 |            3320737 |
| 2347507 |            3320738 |
| 2347508 |            3320742 |
| 2347509 |            3320743 |
| 2347510 |            3320740 |
| 2347511 |            3320744 |
| 2347512 |            3320746 |
| 2347513 |            3320747 |
| 2347514 |            3320749 |
| 2347515 |            3320751 |
| 2347516 |            3320752 |
| 2347517 |            3320753 |
| 2347518 |            3320756 |
| 2347519 |            3320754 |
| 2347520 |            3320757 |
| 2347521 |            3320758 |
| 2347522 |               NULL |
| 2347523 |            3320759 |
| 2347524 |            3320760 |
| 2347525 |               NULL |
| 2347526 |            3320763 |
| 2347825 |            3320764 |
| 2347527 |            3320765 |
| 2347528 |               NULL |
| 2347529 |            3320767 |
| 2347530 |            3320768 |
| 2347531 |            3320770 |
| 2347532 |            3320771 |
| 2347533 |            3320773 |
| 2347534 |            3320774 |
| 2347535 |            3320776 |
| 2347536 |            3320777 |
| 2347537 |            3320778 |
| 2347538 |            3320779 |
| 2347539 |               NULL |
| 2347540 |            3320780 |
| 2347541 |            3320781 |
| 2347542 |            3320783 |
| 2347543 |            3320784 |
| 2347544 |            3320785 |
| 2347545 |            3320786 |
| 2347546 |            3320787 |
| 2347547 |            3320789 |
| 2347548 |            3320790 |
| 2347549 |            3320791 |
| 2347550 |            3320792 |
| 2347551 |            3320793 |
| 2347552 |            3320794 |
| 2347553 |            3320796 |
| 2347554 |            3320798 |
| 2347555 |            3320799 |
| 2347556 |            3320800 |
| 2347557 |            3320801 |
| 2347558 |            3320803 |
| 2347559 |            3320805 |
| 2347560 |            3320806 |
| 2347561 |            3320807 |
| 2347562 |            3320808 |
| 2347563 |            3320810 |
| 2347564 |            3320811 |
| 2347565 |            3320812 |
| 2347566 |            3320814 |
| 2347567 |            3320815 |
| 2347568 |            3320816 |
