къ,3522999,ἔτι,268734
томоу,3523000,,
да,3523001,εἰ,268735
ꙇсꙑпана,3523002,βληθὲν,268737
бѫдетъ,3523003,,
вънъ,3523004,ἔξω,268738
ꙇ,3523005,,
попираема,3523006,καταπατεῖσθαι,268739
чк҃ꙑ,3523007,ἀνθρώπων,268742
Вꙑ,3523008,Ὑμεῖς,268744
есте,3523009,ἐστε,268745
свѣтъ,3523010,φῶς,268747
мироу,3523011,κόσμου,268749
не,3523012,οὐ,268751
можетъ,3523013,δύναται,268752
градъ,3523014,πόλις,268753
оукрꙑти,3523015,κρυβῆναι,268754
сѧ,3523016,,
вр?xоу,3523017,ἐπάνω,268755
горꙑ,3523018,ὄρους,268756
стоѩ,3523019,κειμένη,268757
ни,3523020,οὐδὲ,268759
въжагаѭтъ,3523021,καίουσιν,268760
свѣтильника,3523022,λύχνον,268761
ꙇ,3523023,καὶ,268762
поставл҄ѣѭтъ,3523024,τιθέασιν,268763
его,3523025,αὐτὸν,268764
подъ,3523026,ὑπὸ,268765
спѫдомь,3523027,μόδιον,268767
нъ,3523028,ἀλλ’,268768
на,3523029,ἐπὶ,268769
свѣштьницѣ,3523030,λυχνίαν,268771
ꙇ,3523032,καὶ,268773
свѣтитъ,3523033,λάμπει,268774
вьсѣмъ,3523034,πᾶσιν,268775
ꙇже,3523035,,
въ,3523036,ἐν,268777
xраминѣ,3523037,οἰκίᾳ,268779
сѫтъ,3523038,,
тако,3523039,οὕτως,268781
да,3523040,,
просвѣтититъ,3523041,λαμψάτω,268782
сѧ,3523042,,
свѣтъ,3523043,φῶς,268784
вашь,3523044,ὑμῶν,268785
прѣдъ,3523045,ἔμπροσθεν,268786
чк҃ꙑ,3523046,ἀνθρώπων,268788
да,3523047,ὅπως,268790
оузьрѧтъ,3523048,ἴδωσιν,268791
дѣла,3523049,ἔργα,268795
ваша,3523050,ὑμῶν,268792
добраѣ,3523051,καλὰ,268794
ꙇ,3523052,καὶ,268796
прославѧтъ,3523053,δοξάσωσιν,268797
оц҃а,3523054,πατέρα,268799
вашего,3523055,ὑμῶν,268800
ꙇжь,3523056,,
естъ,3523057,,
на,3523058,ἐν,268802
нбx҃ъ,3523059,οὐρανοῖς,268804
Не,3523060,Μὴ,268806
мните,3523061,νομίσητε,268807
ѣко,3523062,ὅτι,268808
придъ,3523063,ἦλθον,268809
разоритъ,3523064,καταλῦσαι,268810
закона,3523065,νόμον,268812
ли,3523066,ἢ,268813
пророкъ,3523067,προφήτας,268815
не,3523068,οὐκ,268817
придъ,3523069,ἦλθον,268818
разоритъ,3523070,καταλῦσαι,268819
нъ,3523071,ἀλλὰ,268820
ꙇсплънитъ,3523072,πληρῶσαι,268821
аминꙿ ,3523073,ἀμὴν,268823
аминꙿ ,3523074,,
гл҃ѭ,3523075,λέγω,268825
вамъ,3523076,ὑμῖν,268826
доꙇдеже,3523077,ἕως,268828
прѣꙇдетъ,3523078,παρέλθῃ,268830
нб҃о,3523079,οὐρανὸς,268832
ꙇ,3523080,καὶ,268833
земл҄ѣ,3523081,γῆ,268835
