sqlite> select corpus.tokno, corpus.chu_word_torot, corpus.autoreconstructed_lcs, corpus.lemma_id, lemmas.lemma_ocs from corpus LEFT JOIN lemmas ON corpus.lemma_id = lemmas.lemma_id where morph_tag LIKE '__i_______' AND corpus.inflexion_class = '40' ORDER BY corpus.tokno;

tokno|chu_word_torot|autoreconstructed_lcs|lemma_id|lemma_ocs
177792|ѿхождахѹ|otъxoђǢaxǫ|697|отъходити
178224|хождааше|xoђǢaše|129|ходити
178320|молѧше|modĺǢaše|118|молити
178524|блгсвѧхѹ|bolgoslovĺǢaxǫ|327|благословити
178856|молѧша|modĺǢaše|118|молити
179510|любѧше|ĺubĺǢaše|233|любити
179535|ношаше|nošǢaše|496|носити
179850|хождаше|xoђǢaše|129|ходити
179963|молѧше|modĺǢaše|118|молити
180547|тѣшаше|těšǢaše|1627|тѣшити
180550|хвалѧше|xvaĺǢaše|649|хвалити
180555|бл҃годарѧше|bolgodaŕǢaše|954|благодарити
180707|просих|prošǢaxъ|222|просити
181000|прошаше|prošǢaše|222|просити
181201|хранѧше|xorńǢaše|587|хранити
181256|приношаше|prinošǢaše|720|приносити
181354|нахожаху|naxoђǢaxǫ|2006|находити
181409|ѿхожахѹ|otъxoђǢaxǫ|697|отъходити
181804|творѧше|tvoŕǢaše|101|творити
182040|творѧше|tvoŕǢaše|101|творити
182459|прохождаахꙋ|proxoђǢaxǫ|1871|проходити
182534|изношаше|jьznošǢaše|1787|износити
182566|ѿхожаше|otъxoђǢaše|697|отъходити
182588|ѿхожаше|otъxoђǢaše|697|отъходити
182741|творѧше|tvoŕǢaše|101|творити
182753|бл҃годарѧше|bolgodaŕǢaše|954|благодарити
183480|молѧхѹ|modĺǢaxǫ|118|молити
183946|творѧше|tvoŕǢaše|101|творити
184425|слѹжаше|služǢaše|512|служити
184433|ношаше|nošǢaše|496|носити
184441|разношаше|orznošǢaše|3669|разносити
184529|слѹжаше|služǢaše|512|служити
184549|варѧше|vaŕǢaše|607|варити
184581|возношаше|vъznošǢaše|2054|възносити
184735|молѧше|modĺǢaše|118|молити
185511|претѧхѹ|perћǢaxǫ|3342|прѣтити
186389|творѧше|tvoŕǢaše|101|творити
186715|молѧше|modĺǢaše|118|молити
186734|слꙋжаше|služǢaše|512|служити
186742|славословѧше|slavoslovĺǢaše|2572|славословити
