tokno|orv_word_torot|lemma_id|lemma_orv|text_title|subtitle|sentence_no|sentence_txt
89913|творѧху|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265017|попове же стояще мл҃твы творѧху. 
89953|веселѧхъ|782|веселити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265023|но веселѧхъсѧ ѡ службѣ ихъ. еже служаху мнѣ. 
90082|творѧху|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265033|и постави цр҃квь ст҃аго василья на холмѣ. идеже стояше кумиръ перунъ. и прочии. идеже творѧху потребы. кнѧзь и людье. 
91468|възвращашеть|1506|възвращати|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265223|Праздновавъ кнѧзь д҃нии .и҃. и възвращашетьсѧ кыеву на оуспенье с҃тыя бц҃а. 
91500|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265226|и тако по всѧ лѣта творѧше. 
91640|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265244|се же пакы творѧше людем своимъ 
93317|люблѧше|233|любити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265474|ѥго же люблѧше повелику борисъ. 
94533|творѧху|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265603|и насилье творѧху новгородцем. и женамъ ихъ. 
95386|бѣжаху|278|бѣжати|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265730|и бѣжаху с нимь. 
96061|посвѣтѧше|3563|посвѣтити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265824|яко посвѣтѧше молонья. блещашетьсѧ ѡружье. 
96460|любѧше|233|любити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265884|любѧше дружину по велику. 
96471|бранѧше|886|бранити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265886|ни ѣденья бранѧше. 
96699|любѧше|233|любити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265926|попы любѧше повелику. излиха же черноризьцѣ. 
96965|ставлѧше|8577|ставляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265964|и ины црк҃ви ставлѧше по градомъ и по мѣстомъ. поставлѧя попы и дая имъ ѿ имѣнья своѥго ѹрокъ. велѧ имъ оучити люди. понеже тѣмь есть поручено б҃мь. и приходити часто къ црк҃вамъ. 
97503|хожаше|129|ходити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266027|хожаше с берестоваго на днѣпръ на холмъ. кдѣ нынѣ ветхыи манастырь печерьскыи. 
97517|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266028|ту млт҃ву творѧше. 
97534|молѧше|118|молити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266032|и молѧшесѧ ту б҃у втаинѣ. 
97667|мыслѧше|1124|мыслити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266052|и мыслѧше кдѣ бы жити. 
97785|приходѧху|244|приходити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266065|и приходѧху к нему. приносѧще же ѥму еже на потребу бѣ. 
97803|просѧху|222|просити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266067|приходѧще к нему просѧху оу него блгвня. 
99186|проявлѧше|1613|проявляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266235|Се же проявлѧше не на добро. 
99323|проявлѧше|1613|проявляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266253|се же проявлѧше нахоженье антиѡхово нашествие на иерлсмъ. 
99347|проявлѧше|1613|проявляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266255|се же проявлѧше нахоженье рати ѿ римлѧнъ. 
99398|проявлѧше|1613|проявляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266261|се же проявлѧше крамолы. недузи члквомъ оумертвие бѧше. 
101411|привожаху|1003|приводити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266521|и привожаху к нима сестры своя. мт҃ре и жены своя. 
102457|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266674|при аплсѣхъ бо. быс симонъ волхвъ еже творѧше волшьствомь. псомъ гл҃ати члв҃чьскыи. и сам премѣнѧшетсѧ. ѡво старъ. ово молодъ. ово ли ї иного 
102464|премѣнѧшет|6873|прѣмѣняти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266674|при аплсѣхъ бо. быс симонъ волхвъ еже творѧше волшьствомь. псомъ гл҃ати члв҃чьскыи. и сам премѣнѧшетсѧ. ѡво старъ. ово молодъ. ово ли ї иного 
102474|премѣнѧше|6873|прѣмѣняти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266675|премѣнѧше во иного образ. в мечтаньи 
102481|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266676|сице творѧше. анни и маврии. волъшвеньемь чюдеса противу моисиѡви. 
102498|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266678|но и конобъ творѧше мечтанье бѣсовьско. яко и по водам ходити 
102508|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266679|ина мечтанья творѧше бѣсомь лстим на пагубу собѣ и инѣмъ. 
102823|просѧше|222|просити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|266723|и падъ ниць просѧше прощенья. 
