TOROT form,Autoreconstructed LCS,Autonormalised OCS
ѣко,ako,ако
азъ,azъ,азъ
рѣхъ,rěxъ,рѣхъ
вамъ,vamъ,вамъ
идѫ,jьdǫ,идѫ
и,i,и
придѫ,prijьdǫ,приидѫ
къ,kъ,къ
вамъ,vamъ,вамъ
аште,aћe,аще
бисте,biste,бисте
любили,ĺubili,любили
мѧ,mę,мѧ
въздрадовали,vъzradovali,въздрадовали
сѧ,sę,сѧ
бисте,biste,бисте
оубо,ubo,оубо
ѣко,ako,ако
рѣхъ,rěxъ,рѣхъ
идѫ,jьdǫ,идѫ
къ,kъ,къ
о҃тцю,otьku,отьцоу
ѣко,ako,ако
отецъ,otьkь,отьць
мои,mojь,мои
болии,boĺьjь,бол҄ии
мене,mene,мене
естъ,jestъ,ѥстъ
ꙇ,i,и
нꙑнѣ,nyně,нъінѣ
рѣхъ,rěxъ,рѣхъ
вамъ,vamъ,вамъ
прѣжде,perђe,прѣжде
даже,daže,даже
не,ne,не
бѫдетъ,bǫdetъ,бѫдетъ
да,da,да
егда,jegъda,ѥгъда
бѫдетъ,bǫdetъ,бѫдетъ
вѣрѫ,věrǫ,вѣрѫ
имете,jьmete,имете
Ю҅же,juže,юже
не,ne,не
мъного,mъnogo,мъного
г҃лѭ,golgoĺǫ,глаголѭ
съ,﻿sъ,﻿съ
вами,vami,вами
грѧдетъ,grędetъ,грѧдетъ
бо,bo,бо
сего,sego,сего
мира,mira,мира
кънѧѕъ,kъnęgь,кънѧѕь
ꙇ,i,и
вь,vъ,въ
мьнѣ,mъně,мънѣ
не,ne,не
иматъ,jьmatъ,иматъ
ничесоже,ničesože,ничесоже
нъ,nъ,нъ
да,da,да
разоумѣатъ,orzumějetъ,разоумѣѥтъ
миръ,mirъ,миръ
ѣко,ako,ако
люблю,ĺubĺǫ,люблѭ
о҃тца,otьka,отьца
и҅,i,и
ѣкоже,akože,акоже
заповѣдѣ,zapovědě,заповѣдѣ
мьнѣ,mъně,мънѣ
о҃тцъ,otьkь,отьць
тако,tako,тако
творѭ,tvoŕǫ,творѭ
въстанѣте,vъstaněte,въстанѣте
идѣмъ,jьděmъ,идѣмъ
отъ сѫдоу,otъsǫdu,отъсѫдоу
азъ,azъ,азъ
есмъ,jesmь,ѥсмь
лоза,loza,лоза
истинънаѣ,jьstinьnajǞ,истиньнаꙗ
ꙇ,i,и
о҃тцъ,otьkь,отьць
мои,mojь,мои
дѣлатель,dělateĺь,дѣлател҄ь
естъ,jestъ,ѥстъ
вьсѣкѫ,vьxakǫ,вьсꙗкѫ
разгѫ,orzgǫ,разгѫ
не,ne,не
творѧштѫѭ,tvoręћǫjǫ,творѧщѫѭ
плода,ploda,плода
ꙇзъметъ,jьzьmetъ,изьметъ
ѭ,jǫ,ѭ
ꙇ,i,и
вьсѣкѫ,vьxakǫ,вьсꙗкѫ
творѧштѫ,tvoręћǫ,творѧщѫ
плодъ,plodъ,плодъ
отрѣбитъ,oterbitъ,отрѣбитъ
ѭ,jǫ,ѭ
да,da,да
плодъ,plodъ,плодъ
болии,boĺьjь,бол҄ии
сътворитъ,sъtvoritъ,сътворитъ
Оуже,juže,юже
вꙑ,vy,въі
чисти,čisti,чисти
есте,jeste,ѥсте
за,za,за
слово,slovo,слово
еже,ježe,ѥже
г҃лахъ,golgolaxъ,глаголахъ
вамъ,vamъ,вамъ
бѫдѣте,bǫděte,бѫдѣте
въ,vъ,въ
мънѣ,mъně,мънѣ
и,i,и
азъ,azъ,азъ
въ,vъ,въ
васъ,vasъ,васъ
ѣкоже,akože,акоже
розга,orzga,разга
не,ne,не
можетъ,možetъ,можетъ
плода,ploda,плода
творити,tvoriti,творити
о,o,о
себѣ,sebě,себѣ
аште,aћe,аще
не,ne,не
бодетъ,bǫdetъ,бѫдетъ
на,na,на
лозѣ,lozě,лозѣ
тако,tako,тако
и,i,и
вꙑ,vy,въі
аште,aћe,аще
вь,vъ,въ
мьнѣ,mъně,мънѣ
не,ne,не
прѣбѫдете,perbǫdete,прѣбѫдете
азъ,azъ,азъ
есмъ,jesmь,ѥсмь
лоза,loza,лоза
вꙑ,vy,въі
раждие,oržǯьje,раждиѥ
ꙇже,jьže,иже
бѫдетъ,bǫdetъ,бѫдетъ
въ,vъ,въ
мьнѣ,mъně,мънѣ
и,i,и
азъ,azъ,азъ
въ,vъ,въ
немь,ńemь,н҄емь
сътворитъ,sъtvoritъ,сътворитъ
плодъ,plodъ,плодъ
мъногъ,mъnogъ,мъногъ
ѣко,ako,ако
без,bez,без
мене,mene,мене
не,ne,не
можете,možete,можете
творити,tvoriti,творити
ничесоже,ničesože,ничесоже
аште,aћe,аще
кто,kъto,къто
въ,vъ,въ
мьнѣ,mъně,мънѣ
не,ne,не
прѣбѫдетъ,perbǫdetъ,прѣбѫдетъ
ꙇзвръжетъ,jьzvŕ̥žetъ,изврьжетъ
сѧ,sę,сѧ
вонъ,vъnъ,вънъ
ѣкоже,akože,акоже
розга,orzga,разга
и,i,и
ꙇсъшетъ,jьssъšetъ,иссъшетъ
ꙇ,i,и
събираѭтъ,sъbirajǫtъ,събираѭтъ
ѭ,jǫ,ѭ
и,i,и
въ,vъ,въ
огнь,ogńь,огн҄ь
вълагаѭтъ,vъlagajǫtъ,вълагаѭтъ
и,i,и
съгараатъ,sъgarajetъ,съгараѥтъ
аште,aћe,аще
прѣбѫдете,perbǫdete,прѣбѫдете
въ,vъ,въ
мьнѣ,mъně,мънѣ
ꙇ,i,и
г҃ли,golgoli,глаголи
мои,moji,мои
въ,vъ,въ
васъ,vasъ,васъ
прѣбѫдѫтъ,perbǫdǫtъ,прѣбѫдѫтъ
Емоуже,jemuže,ѥмоуже
колижъдо,koližьdo,колижьдо
хоштете,xoћete,хощете
просите,prosite,просите
и,i,и
бѫдетъ,bǫdetъ,бѫдетъ
вамъ,vamъ,вамъ
О҅,o,о
семь,semь,семь
прослави,proslavi,прослави
сѧ,sę,сѧ
отⷰ҇ъ,otьkь,отьць
мои,mojь,мои
да,da,да
плодъ,plodъ,плодъ
мъногъ,mъnogъ,мъногъ
сътворите,sъtvorite,сътворите
ꙇ,i,и
бѫдете,bǫdete,бѫдете
мои,moji,мои
оученици,učeniki,оученици
ѣкоже,akože,акоже
възлюби,vъžĺubi,въжлюби
мѧ,mę,мѧ
о҃цъ,otьkь,отьць
и,i,и
азъ,azъ,азъ
възлюбихъ,vъžĺubixъ,въжлюбихъ
вꙑ,vy,въі
бѫдѣте,bǫděte,бѫдѣте
въ,vъ,въ
любьви,ĺubъvi,любъви
моеи,mojejь,моѥи
аще,aћe,аще
заповѣди,zapovědi,заповѣди
моѩ,moję,моѩ
съблюдете,sъbĺudete,съблюдете
прѣбѫдете,perbǫdete,прѣбѫдете
въ,vъ,въ
любьви,ĺubъvi,любъви
моеи,mojejь,моѥи
ѣкоже,akože,акоже
азъ,azъ,азъ
заповѣди,zapovědi,заповѣди
о҃тца,otьka,отьца
моего,mojego,моѥго
съблюсъ,sъbĺudъ,съблюдъ
ꙇ,i,и
прѣбꙑваѭ,perbyvajǫ,прѣбъіваѭ
въ,vъ,въ
него,ńego,н҄его
любьве,ĺubъve,любъве
се,se,се
г҃лахъ,golgolaxъ,глаголахъ
вамъ,vamъ,вамъ
да,da,да
радость,radostь,радость
моѣ,mojǞ,моꙗ
=въ=,vъ,въ
=васъ=,vasъ,васъ
бѫдетъ,bǫdetъ,бѫдетъ
ꙇ,i,и
радость,radostь,радость
ваша,vašǞ,ваша
исплънитъ,jьspĺ̥nitъ,испльнитъ
сѧ,sę,сѧ
си,si,си
естъ,jestъ,ѥстъ
заповѣдь,zapovědь,заповѣдь
моѣ,mojǞ,моꙗ
да,da,да
любите,ĺubite,любите
дроугъ,drugъ,дроугъ
дроуга,druga,дроуга
ѣкоже,akože,акоже
възлюбихъ,vъžĺubixъ,въжлюбихъ
вꙑ,vy,въі
большѧ,boĺьšę,бол҄ьшѧ
сеѩ,seję,сеѩ
любьве,ĺubъve,любъве
никтоже,nikъtože,никътоже
не,ne,не
иматъ,jьmatъ,иматъ
да,da,да
кто,kъto,къто
д҃шѫ,dušǫ,доушѫ
своѭ,svojǫ,своѭ
положитъ,položitъ,положитъ
за,za,за
дроугꙑ,drugy,дроугъі
своѩ,svoję,своѩ
Вꙑ,vy,въі
дроуѕи,drugi,дроуѕи
мои,moji,мои
есте,jeste,ѥсте
аште,aћe,аще
творите,tvorite,творите
елико,jeliko,ѥлико
азъ,azъ,азъ
заповѣдаѭ,zapovědajǫ,заповѣдаѭ
вамъ,vamъ,вамъ
Юже,juže,юже
не,ne,не
г҃лѭ,golgoĺǫ,глаголѭ
васъ,vasъ,васъ
рабъ,orbъ,рабъ
рабъ,orbъ,рабъ
бо,bo,бо
не,ne,не
вѣстъ,věstъ,вѣстъ
что,čьto,чьто
творитъ,tvoritъ,творитъ
г҃ъ,gospodь,господь
его,jego,ѥго
вꙑ,vy,въі
же,že,же
рѣхъ,rěxъ,рѣхъ
дроугꙑ,drugy,дроугъі
ѣко,ako,ако
вьсѣ,vьxa,вьсꙗ
ѣже,jǞže,ꙗже
слꙑшахъ,slyšǞxъ,слъішахъ
отъ,otъ,отъ
о҃тца,otьka,отьца
моего,mojego,моѥго
съказахъ,sъkazaxъ,съказахъ
вамъ,vamъ,вамъ
не,ne,не
вꙑ,vy,въі
мене,mene,мене
избърасте,jьzbьraste,избьрасте
нъ,nъ,нъ
азъ,azъ,азъ
избърахъ,jьzbьraxъ,избьрахъ
вꙑ,vy,въі
и,i,и
положихъ,položixъ,положихъ
вꙑ,vy,въі
да,da,да
вꙑ,vy,въі
идете,jьdete,идете
и,i,и
плодъ,plodъ,плодъ
принесете,prineseši,принесеши
ꙇ,i,и
плодъ,plodъ,плодъ
вашъ,vašь,вашь
прѣбѫдетъ,perbǫdetъ,прѣбѫдетъ
да,da,да
егоже,jegože,ѥгоже
колижъдо,koližьdo,колижьдо
просите,prosite,просите
отъ,otъ,отъ
о҃тца,otьka,отьца
въ,vъ,въ
імѧ,jьmę,имѧ
мое,moje,моѥ
дастъ,dastъ,дастъ
вамъ,vamъ,вамъ
Си,si,си
заповѣдаѭ,zapovědajǫ,заповѣдаѭ
вамъ,vamъ,вамъ
да,da,да
любите,ĺubite,любите
дроугъ,drugъ,дроугъ
дроуга,druga,дроуга
аште,aћe,аще
миръ,mirъ,миръ
васъ,vasъ,васъ
ненавидитъ,nenaviditъ,ненавидитъ
вѣдите,vědite,вѣдите
ѣко,ako,ако
мене,mene,мене
прѣжде,perђe,прѣжде
васъ,vasъ,васъ
възненавидѣ,vъznenavidě,възненавидѣ
аште,aћe,аще
отъ,otъ,отъ
мира,mira,мира
бисте,biste,бисте
бꙑли,byli,бъіли
миръ,mirъ,миръ
оубо,ubo,оубо
свое,svoje,своѥ
любилъ,ĺubilъ,любилъ
би,bi,би
ѣко,ako,ако
же,že,же
отъ,otъ,отъ
мира,mira,мира
нѣсте,něste,нѣсте
нъ,nъ,нъ
азъ,azъ,азъ
избърахъ,jьzbьraxъ,избьрахъ
вꙑ,vy,въі
отъ,otъ,отъ
мира,mira,мира
сего,sego,сего
ради,radi,ради
ненавидитъ,nenaviditъ,ненавидитъ
васъ,vasъ,васъ
миръ,mirъ,миръ
Помьните,pomьnite,помьните
слово,slovo,слово
еже,ježe,ѥже
азъ,azъ,азъ
рѣхъ,rěxъ,рѣхъ
вамъ,vamъ,вамъ
нѣстъ,něstъ,нѣстъ
рабъ,orbъ,рабъ
болеи,boĺьjь,бол҄ии
г҃а,gospoda,господа
своего,svojego,своѥго
Аште,aћe,аще
мене,mene,мене
изгънашѧ,jьzgъnašę,изгънашѧ
и,i,и
васъ,vasъ,васъ
ижденѫтъ,jьžǯenǫtъ,ижденѫтъ
аште,aћe,аще
слово,slovo,слово
мое,moje,моѥ
съблюсѧ,sъbĺudǫ,съблюдѫ
и,i,и
ваше,vaše,ваше
съблюдѫтъ,sъbĺudǫtъ,съблюдѫтъ
нъ,nъ,нъ
си,si,си
вьсѣ,vьxa,вьсꙗ
сътворѧтъ,sъtvorętъ,сътворѧтъ
вамъ,vamъ,вамъ
за,za,за
имѧ,jьmę,имѧ
мое,moje,моѥ
ѣко,ako,ако
не,ne,не
вѣдѧтъ,vědętъ,вѣдѧтъ
посълавъшааго,posъlavъšǞjego,посълавъшаѥго
мѧ,mę,мѧ
а҅ще,aћe,аще
не,ne,не
бимь,bimь,бимь
пришелъ,prišьdlъ,пришьлъ
и,i,и
г҃лалъ,golgolalъ,глаголалъ
имъ,jimъ,имъ
грѣха,grěxa,грѣха
не,ne,не
бѫ,bǫ,бѫ
имѣли,jьměli,имѣли
нꙑнѣ,nyně,нъінѣ
же,že,же
и,i,и
винꙑ,viny,винъі
не,ne,не
имѫтъ,jьmǫtъ,имѫтъ
о,o,о
грѣсѣ,grěxě,грѣсѣ
своемъ,svojemь,своѥмь
ненавидѧи,nenavidęjь,ненавидѧи
мене,mene,мене
и,i,и
о҃тца,otьka,отьца
моего,mojego,моѥго
ненавидитъ,nenaviditъ,ненавидитъ
аште,aћe,аще
дѣлъ,dělъ,дѣлъ
не,ne,не
бимь,bimь,бимь
сътворилъ,sъtvorilъ,сътворилъ
въ,vъ,въ
нихъ,ńixъ,н҄ихъ
ꙇхъже,jixъže,ихъже
инъ,jьnъ,инъ
никтоже,nikъtože,никътоже
сътвори,sъtvori,сътвори
грѣха,grěxa,грѣха
не,ne,не
бѫ,bǫ,бѫ
имѣли,jьměli,имѣли
нꙑнѣ,nyně,нъінѣ
же,že,же
и,i,и
видѣшѧ,viděšę,видѣшѧ
и,i,и
възненавидѣшѧ,vъznenaviděšę,възненавидѣшѧ
и,i,и
мене,mene,мене
и,i,и
о҃тца,otьka,отьца
моего,mojego,моѥго
нъ,nъ,нъ
да,da,да
събѫдетъ,sъbǫdetъ,събѫдетъ
сѧ,sę,сѧ
слово,slovo,слово
писаное,pisanoje,писаноѥ
въ,vъ,въ
законѣ,zakoně,законѣ
ихъ,jixъ,ихъ
ѣко,ako,ако
възненавидѣшѧ,vъznenaviděšę,възненавидѣшѧ
мѧ,mę,мѧ
спꙑти,spyti,спъіти
Е҅гда,jegъda,ѥгъда
же,že,же
придетъ,prijьdetъ,приидетъ
параклитъ,paraklitъ,параклитъ
егоже,jegože,ѥгоже
азъ,azъ,азъ
посълѭ,posъĺǫ,посълѭ
вамъ,vamъ,вамъ
отъ,otъ,отъ
о҃тца,otьka,отьца
д҃хъ,duxъ,доухъ
истинънꙑ,jьstinьnъjь,истиньнъіи
ꙇже,jьže,иже
отъ,otъ,отъ
о҃тца,otьka,отьца
исходитъ,jьsxoditъ,исходитъ
тъ,tъ,тъ
съвѣдѣтельствоуоутъ,sъvěděteĺьstvujetъ,съвѣдѣтел҄ьствоуѥтъ
о,o,о
мънѣ,mъně,мънѣ
ꙇ,i,и
вꙑ,vy,въі
же,že,же
съвѣдѣтельствоуоуте,sъvěděteĺьstvujete,съвѣдѣтел҄ьствоуѥте
ѣко,ako,ако
искони,jьskoni,искони
съ,﻿sъ,﻿съ
мъноѭ,mъnojǫ,мъноѭ
есте,jeste,ѥсте
си,si,си
г҃лахъ,golgolaxъ,глаголахъ
вамъ,vamъ,вамъ
да,da,да
не,ne,не
съблазните,sъblaznite,съблазните
сѧ,sę,сѧ
отъ,otъ,отъ
съньмиштъ,sъnьmiščь,съньмищь
ижденѫтъ,jьžǯenǫtъ,ижденѫтъ
вꙑ,vy,въі
нъ,nъ,нъ
придетъ,prijьdetъ,приидетъ
година,godina,година
да,da,да
вьсѣкъ,vьxakъ,вьсꙗкъ
иже,jьže,иже
оубиетъ,ubьjetъ,оубиѥтъ
вꙑ,vy,въі
мьнитъ,mьnitъ,мьнитъ
сѧ,sę,сѧ
слоужъбѫ,služьbǫ,слоужьбѫ
приносити,prinositi,приносити
б҃оу,bogu,богоу
Ꙇ,i,и
си,si,си
сътворѧтъ,sъtvorętъ,сътворѧтъ
вамъ,vamъ,вамъ
ѣко,ako,ако
не,ne,не
познашѧ,poznašę,познашѧ
о҃тца,otьka,отьца
ни,ni,ни
мене,mene,мене
нъ,nъ,нъ
се,se,се
г҃лахъ,golgolaxъ,глаголахъ
вамъ,vamъ,вамъ
да,da,да
егда,jegъda,ѥгъда
придетъ,prijьdetъ,приидетъ
година,godina,година
поминаате,pominajete,поминаѥте
си,si,си
ѣко,ako,ако
азъ,azъ,азъ
рѣхъ,rěxъ,рѣхъ
вамъ,vamъ,вамъ
сихъ,sixъ,сихъ
же,že,же
вамъ,vamъ,вамъ
испръва,jьspŕ̥va,испрьва
не,ne,не
рѣхъ,rěxъ,рѣхъ
ѣко,ako,ако
съ,﻿sъ,﻿съ
вами,vami,вами
бѣхъ,běxъ,бѣхъ
нъінѣ,nyně,нъінѣ
же,že,же
идѫ,jьdǫ,идѫ
къ,kъ,къ
посълавъшюмоу,posъlavъšujemu,посълавъшоуѥмоу
мѧ,mę,мѧ
ꙇ,i,и
никтоже,nikъtože,никътоже
отъ,otъ,отъ
васъ,vasъ,васъ
не,ne,не
въпрашаатъ,vъprašǞjetъ,въпрашаѥтъ
мене,mene,мене
камо,kamo,камо
идеши,jьdeši,идеши
нъ,nъ,нъ
ѣко,ako,ако
си,si,си
г҃лахъ,golgolaxъ,глаголахъ
вамъ,vamъ,вамъ
скръби,skr̥bi,скръби
исплънь,jьspĺ̥nь,испльнь
сръдъца,sŕ̥dьka,срьдьца
ваша,vašǞ,ваша
нъ,nъ,нъ
азъ,azъ,азъ
истинѫ,jьstinǫ,истинѫ
вамъ,vamъ,вамъ
г҃лѭ,golgoĺǫ,глаголѭ
оунѣе,uńe,оун҄е
естъ,jestъ,ѥстъ
вамъ,vamъ,вамъ
да,da,да
азъ,azъ,азъ
идѫ,jьdǫ,идѫ
аште,aћe,аще
бо,bo,бо
не,ne,не
идѫ,jьdǫ,идѫ
азъ,azъ,азъ
параклитъ,paraklitъ,параклитъ
не,ne,не
придетъ,prijьdetъ,приидетъ
къ,kъ,къ
вамъ,vamъ,вамъ
аште,aћe,аще
ли,li,ли
же,že,же
идѫ,jьdǫ,идѫ
посълѭ,posъĺǫ,посълѭ
и,jь,и
къ,kъ,къ
вамъ,vamъ,вамъ
и,i,и
пришедъ,prišьdъ,пришьдъ
онъ,onъ,онъ
обличитъ,obličitъ,обличитъ
мира,mira,мира
о,o,о
грѣсѣ,grěxě,грѣсѣ
и,i,и
о,o,о
правъдѣ,pravьdě,правьдѣ
и,i,и
о,o,о
сѫдѣ,sǫdě,сѫдѣ
о,o,о
грѣсѣ,grěxě,грѣсѣ
оубо,ubo,оубо
ѣко,ako,ако
не,ne,не
вѣроуѭтъ,věrujǫtъ,вѣроуѭтъ
въ,vъ,въ
мѧ,mę,мѧ
о,o,о
правьдѣ,pravьdě,правьдѣ
же,že,же
ѣко,ako,ако
къ,kъ,къ
отьцю,otьku,отьцоу
идѫ,jьdǫ,идѫ
ꙇ,i,и
къ,kъ,къ
томоу,tomu,томоу
не,ne,не
видите,vidite,видите
мене,mene,мене
о,o,о
сѫдѣ,sǫdě,сѫдѣ
же,že,же
ѣко,ako,ако
кънѧѕъ,kъnęgь,кънѧѕь
мира,mira,мира
сего,sego,сего
осѫжденъ,osǫђenъ,осѫжденъ
бꙑстъ,bystъ,бъістъ
еще,ješčě,ѥщѣ
мъного,mъnogo,мъного
имамъ,jьmamь,имамь
г҃лати,golgolati,глаголати
вамъ,vamъ,вамъ
нъ,nъ,нъ
не,ne,не
можете,možete,можете
носити,nositi,носити
нꙑнѣ,nyně,нъінѣ
егда,jegъda,ѥгъда
же,že,же
придетъ,prijьdetъ,приидетъ
онъ,onъ,онъ
д҃хъ,duxъ,доухъ
истинънꙑ,jьstinьnъjь,истиньнъіи
наставитъ,nastavitъ,наставитъ
вꙑ,vy,въі
на,na,на
вьсѣкѫ,vьxakǫ,вьсꙗкѫ
истинѫ,jьstinǫ,истинѫ
не,ne,не
о,o,о
себѣ,sebě,себѣ
бо,bo,бо
г҃лати,golgolati,глаголати
иматъ,jьmatъ,иматъ
нъ,nъ,нъ
елико,jeliko,ѥлико
аще,aћe,аще
оуслꙑшитъ,uslyšitъ,оуслъішитъ
г҃лати,golgolati,глаголати
иматъ,jьmatъ,иматъ
ꙇ,i,и
грѧдѫштаа,grędǫћǞjǞ,грѧдѫщаꙗ
възвѣститъ,vъzvěstitъ,възвѣститъ
вамъ,vamъ,вамъ
онъ,onъ,онъ
мѧ,mę,мѧ
прославитъ,proslavitъ,прославитъ
ѣко,ako,ако
отъ,otъ,отъ
моего,mojego,моѥго
прииметъ,prijьmetъ,прииметъ
ꙇ,i,и
вьзвѣститъ,vъzvěstitъ,възвѣститъ
вамъ,vamъ,вамъ
Вьсѣ,vьxa,вьсꙗ
елико,jeliko,ѥлико
иматъ,jьmatъ,иматъ
отецъ,otьkь,отьць
моѣ,mojǞ,моꙗ
сѫтъ,sǫtъ,сѫтъ
сего,sego,сего
ради,radi,ради
рѣхъ,rěxъ,рѣхъ
вамъ,vamъ,вамъ
ѣко,ako,ако
отъ,otъ,отъ
моего,mojego,моѥго
прииметъ,prijьmetъ,прииметъ
и,i,и
възвѣститъ,vъzvěstitъ,възвѣститъ
вамь,vamъ,вамъ
въ,vъ,въ
малѣ,malě,малѣ
и,i,и
к,kъ,къ
томоу,tomu,томоу
не,ne,не
видите,vidite,видите
мене,mene,мене
и,i,и
пакꙑ,paky,пакъі
въ,vъ,въ
малѣ,malě,малѣ
и,i,и
оузърите,uzьrite,оузьрите
мѧ,mę,мѧ
и,i,и
ѣко,ako,ако
идѫ,jьdǫ,идѫ
къ,kъ,къ
о҃тцю,otьku,отьцоу
Рѣшѧ,rěšę,рѣшѧ
же,že,же
отъ,otъ,отъ
оученикъ,učenikъ,оученикъ
его,jego,ѥго
къ,kъ,къ
себѣ,sebě,себѣ
что,čьto,чьто
естъ,jestъ,ѥстъ
се,se,се
еже,ježe,ѥже
г҃летъ,golgoĺetъ,глагол҄етъ
намъ,namъ,намъ
въ,vъ,въ
малѣ,malě,малѣ
и,i,и
не,ne,не
видите,vidite,видите
мене,mene,мене
ꙇ,i,и
пакꙑ,paky,пакъі
въ,vъ,въ
малѣ,malě,малѣ
и,i,и
оузьрите,uzьrite,оузьрите
мѧ,mę,мѧ
ꙇ,i,и
ѣко,ako,ако
идѫ,jьdǫ,идѫ
къ,kъ,къ
о҃тцю,otьku,отьцоу
г҃лаахѫ,golgolaaxǫ,глаголаахѫ
же,že,же
что,čьto,чьто
естъ,jestъ,ѥстъ
се,se,се
еже,ježe,ѥже
г҃летъ,golgoĺetъ,глагол҄етъ
въ,vъ,въ
малѣ,malě,малѣ
не,ne,не
вѣмь,věmъ,вѣмъ
что,čьto,чьто
г҃летъ,golgoĺetъ,глагол҄етъ
Разоумѣ,orzumě,разоумѣ
же,že,же
и҃с,jisusъ,исоусъ
ѣко,ako,ако
хотѣхѫ,xotěaxǫ,хотѣахѫ
и,jь,и
въпрашати,vъprašǞti,въпрашати
и,i,и
рече,reče,рече
имъ,jimъ,имъ
о,o,о
семь,semь,семь
ли,li,ли
сътѧѕаете,sъtęgajete,сътѧгаѥте
сѧ,sę,сѧ
междю,meђu,междоу
собоѭ,sobojǫ,собоѭ
ѣко,ako,ако
рѣхъ,rěxъ,рѣхъ
въ,vъ,въ
малѣ,malě,малѣ
и,i,и
не,ne,не
видите,vidite,видите
мене,mene,мене
ꙇ,i,и
пакꙑ,paky,пакъі
въ,vъ,въ
малѣ,malě,малѣ
и,i,и
оузьрите,uzьrite,оузьрите
мѧ,mę,мѧ
аминь,aminь,аминь
аминь,aminь,аминь
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
ѣко,ako,ако
въсплачете,vъsplačete,въсплачете
сѧ,sę,сѧ
и,i,и
въздрꙑдаате,vъzrydajete,въздръідаѥте
вꙑ,vy,въі
и,i,и
миръ,mirъ,миръ
въздрадоуоутъ,vъzradujetъ,въздрадоуѥтъ
сѧ,sę,сѧ
вꙑ,vy,въі
же,že,же
печальни,pečǞlьni,печальни
бѫдете,bǫdete,бѫдете
нъ,nъ,нъ
печаль,pečǞlь,печаль
ваша,vašǞ,ваша
въ,vъ,въ
радостъ,radostь,радость
бѫдетъ,bǫdetъ,бѫдетъ
жена,žena,жена
егда,jegъda,ѥгъда
раждаатъ,raђǞjetъ,раждаѥтъ
печаль,pečǞlь,печаль
иматъ,jьmatъ,иматъ
ѣко,ako,ако
приде,prijьde,прииде
годь,godъ,годъ
еѩ,jeję,ѥѩ
егда,jegъda,ѥгъда
же,že,же
родитъ,roditъ,родитъ
отрочѧ,otročę,отрочѧ
къ,kъ,къ
томоу,tomu,томоу
не,ne,не
помьнитъ,pomьnitъ,помьнитъ
скръби,skr̥bi,скръби
за,za,за
радостъ,radostь,радость
ѣко,ako,ако
роди,rodi,роди
сѧ,sę,сѧ
ч҃лвкъ,čьlověkъ,чьловѣкъ
въ,vъ,въ
миръ,mirъ,миръ
ꙇ,i,и
вꙑ,vy,въі
же,že,же
оубо,ubo,оубо
нꙑнѣ,nyně,нъінѣ
печальни,pečǞlьni,печальни
бѫдете,bǫdete,бѫдете
пакꙑ,paky,пакъі
же,že,же
оузьрѭ,uzьŕǫ,оузьрѭ
вꙑ,vy,въі
и,i,и
въздрадоуоутъ,vъzradujetъ,въздрадоуѥтъ
сѧ,sę,сѧ
с҃рдце,sŕ̥dьke,срьдьце
ваше,vaše,ваше
ꙇ,i,и
радости,radosti,радости
вашеѩ,vašeję,вашеѩ
никтоже,nikъtože,никътоже
не,ne,не
вьзъметъ,vъzьmetъ,възьметъ
отъ,otъ,отъ
васъ,vasъ,васъ
ꙇ,i,и
въ,vъ,въ
тъ,tъ,тъ
дьнь,dьnь,дьнь
мене,mene,мене
не,ne,не
въпросите,vъsprosite,въспросите
ничесоже,ničesože,ничесоже
Аминь,aminь,аминь
амин,aminь,аминь
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
ѣко,ako,ако
ащте,aћe,аще
чесо,česo,чесо
просите,prosite,просите
отъ,otъ,отъ
о҃тца,otьka,отьца
въ,vъ,въ
імѧ,jьmę,имѧ
мое,moje,моѥ
дастъ,dastъ,дастъ
вамъ,vamъ,вамъ
до селѣ,doselě,доселѣ
не,ne,не
просисте,prosiste,просисте
ничесоже,ničesože,ничесоже
въ,vъ,въ
імѧ,jьmę,имѧ
мое,moje,моѥ
просите,prosite,просите
и,i,и
примете,prijьmete,приимете
да,da,да
радостъ,radostь,радость
ваша,vašǞ,ваша
исплънена,jьspĺ̥ńena,испльн҄ена
бѫдетъ,bǫdetъ,бѫдетъ
си,si,си
въ,vъ,въ
притъчахъ,pritъčǞxъ,притъчахъ
г҃лахъ,golgolaxъ,глаголахъ
вамъ,vamъ,вамъ
нъ,nъ,нъ
придетъ,prijьdetъ,приидетъ
година,godina,година
егда,jegъda,ѥгъда
къ,kъ,къ
томоу,tomu,томоу
въ,vъ,въ
притъчахъ,pritъčǞxъ,притъчахъ
не,ne,не
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
нъ,nъ,нъ
не,ne,не
обиноуѩ,obvinuję,обиноуѩ
сѧ,sę,сѧ
о,o,о
о҃тци,otьki,отьци
възвѣштѫ,vъzvěšћǫ,възвѣщѫ
вамъ,vamъ,вамъ
въ,vъ,въ
тъ,tъ,тъ
день,dьnь,дьнь
въ,vъ,въ
імѧ,jьmę,имѧ
мое,moje,моѥ
въспросите,vъsprosite,въспросите
ꙇ,i,и
не,ne,не
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
ѣко,ako,ако
азъ,azъ,азъ
оумолѭ҄,umodĺǫ,оумодлѭ
о҃тца,otьka,отьца
о,o,о
