TOROT form,Autoreconstructed LCS,Autonormalised OCS
въстрѫби,vъstrǫbi,въстрѫби
прѣдъ,perdъ,прѣдъ
собоѭ҄,sobojǫ,собоѭ
ѣко,ako,ако
ѵпокрити,üpokriti,ѵпокрити
творѧтъ,tvorętъ,творѧтъ
въ,vъ,въ
съньмиштихъ,sъnьmiščixъ,съньмищихъ
и,i,и
въ,vъ,въ
стъгнахъ,stьgnaxъ,стьгнахъ
да,da,да
прославѧтъ,proslavętъ,прославѧтъ
сѧ,sę,сѧ
отъ,otъ,отъ
ч҃лвкъ,čьlověkъ,чьловѣкъ
аминь,aminь,аминь
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
вьсприимѫтъ,vъsprijьmǫtъ,въсприимѫтъ
мъздѫ,mьzdǫ,мьздѫ
своѭ҄,svojǫ,своѭ
Тебѣ,tebě,тебѣ
же,že,же
творѧщю,tvoręћu,творѧщоу
милостꙑнѭ,milostyńǫ,милостъінѭ
да,da,да
не,ne,не
чюетъ,čujetъ,чоуѥтъ
шюица,šujika,шоуица
твоѣ,tvojǞ,твоꙗ
чьто,čьto,чьто
творитъ,tvoritъ,творитъ
десꙿница,desnika,десница
твоѣ,tvojǞ,твоꙗ
да,da,да
бѫдетъ,bǫdetъ,бѫдетъ
милостꙑни,milostyńi,милостъін҄и
твоѣ,tvojǞ,твоꙗ
въ,vъ,въ
таинѣ,tajьně,таинѣ
и,i,и
о҃тцъ,otьkь,отьць
твои,tvojь,твои
видѧи,vidęjь,видѧи
въ,vъ,въ
таинѣ,tajьně,таинѣ
въздастъ,vъzdastъ,въздастъ
тебѣ,tebě,тебѣ
авѣ,avě,авѣ
ꙇ҅,i,и
егда,jegъda,ѥгъда
молиши,modliši,молиши
сѧ,sę,сѧ
не,ne,не
бѫди,bǫdi,бѫди
ѣко,ako,ако
и,i,и
лицемѣри,likeměri,лицемѣри
ѣко,ako,ако
любѧтъ,ĺubętъ,любѧтъ
на,na,на
сонъмиштихъ,sъnьmiščixъ,съньмищихъ
и,i,и
въ,vъ,въ
стъгнахъ,stьgnaxъ,стьгнахъ
и,i,и
на,na,на
распѫтихъ,orspǫtьjixъ,распѫтиихъ
стоѩште,stojęћe,стоѩще
молити,modliti,молити
сѧ,sę,сѧ
да,da,да
ѣвѧтъ,avĺǞjǫtъ,авлꙗѭтъ
сѧ,sę,сѧ
чловѣкомъ,čьlověkomъ,чьловѣкомъ
аминь,aminь,аминь
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
ѣко,ako,ако
въсприемлѭтъ,vъsprijemĺǫtъ,въсприѥмлѭтъ
мъздѫ,mьzdǫ,мьздѫ
своѭ҄,svojǫ,своѭ
тꙑ,ty,тъі
же,že,же
егда,jegъda,ѥгъда
молиши,modliši,молиши
сѧ,sę,сѧ
въниди,vъnidi,въниди
въ,vъ,въ
клѣть,klětь,клѣть
твоѭ,tvojǫ,твоѭ
и,i,и
затвори,zatvori,затвори
двьри,dvьri,двьри
твоѩ,tvoję,твоѩ
помоли,pomodli,помоли
сѧ,sę,сѧ
о҃тцоу,otьku,отьцоу
твоемоу,tvojemu,твоѥмоу
въ,vъ,въ
таинѣ,tajьně,таинѣ
ꙇ҅,i,и
о҃тцъ,otьkь,отьць
твои,tvojь,твои
видѧи,vidęjь,видѧи
въ,vъ,въ
таинѣ,tajьně,таинѣ
въздастъ,vъzdastъ,въздастъ
тебѣ,tebě,тебѣ
авѣ,avě,авѣ
Молѧще,modlęћe,молѧще
же,že,же
сѧ,sę,сѧ
не,ne,не
лихо,lixo,лихо
г҃лте,golgoĺite,глагол҄ите
ѣкоже,akože,акоже
и,i,и
ѩзꙑчъници,języčьniki,ѩзъічьници
мьнѧтъ,mьnętъ,мьнѧтъ
бо,bo,бо
сѧ,sę,сѧ
ѣко,ako,ако
во,vъ,въ
мъноѕѣ,mъnogě,мъноѕѣ
г҃лни,golgolanьji,глаголании
своемь,svojemь,своѥмь
оуслꙑшани,uslyšǞni,оуслъішани
бѫдѫтъ,bǫdǫtъ,бѫдѫтъ
не,ne,не
подобите,podobite,подобите
сѧ,sę,сѧ
оубо,ubo,оубо
имъ,jimъ,имъ
вѣстъ,věstъ,вѣстъ
бо,bo,бо
отецъ,otьkь,отьць
вашъ,vašь,вашь
ихъже,jixъže,ихъже
трѣбоуете,terbujǫtъ,трѣбоуѭтъ
прѣжде,perђe,прѣжде
прошениѣ,prošenьjǞ,прошениꙗ
вашего,vašego,вашего
тако,tako,тако
оубо,ubo,оубо
молите,modlite,молите
вꙑ,vy,въі
сѧ,sę,сѧ
Ѡ҅тьче,otьče,отьче
нашъ,našь,нашь
иже,jьže,иже
си,jesi,ѥси
на,na,на
н҃бсхъ,nebesьxъ,небесьхъ
да,da,да
с҃вт,svętitъ,свѧтитъ
сѧ,sę,сѧ
имѧ,jьmę,имѧ
твое,tvoje,твоѥ
да,da,да
придетъ,prijьdetъ,приидетъ
ц҃срествие,kěsaŕьstvьje,цѣсар҄ьствиѥ
твое,tvoje,твоѥ
да,da,да
бодетъ,bǫdetъ,бѫдетъ
волѣ,voĺǞ,волꙗ
твоѣ,tvojǞ,твоꙗ
ѣко,ako,ако
на,na,на
н҃бси,nebese,небесе
и,i,и
на,na,на
земи,zemĺi,земл҄и
хлѣбъ,xlěbъ,хлѣбъ
нашъ,našь,нашь
наставъшааго,nastavъšǞjego,наставъшаѥго
дьне,dьne,дьне
даждъ,daђь,даждь
намъ,namъ,намъ
дънесь,dьnьsь,дьньсь
ꙇ,i,и
отъпоусти,otъpusti,отъпоусти
намъ,namъ,намъ
длъгꙑ,dl̥gy,длъгъі
нашѧ,našę,нашѧ
ѣко,ako,ако
и,i,и
мꙑ,my,мъі
отъпоуштаемъ,otъpušћǞjemъ,отъпоущаѥмъ
длъжъникомъ,dl̥žьnikomъ,длъжьникомъ
