že,же,же,,,
golgoĺǫћu,глаголѭщоу,глагол҄ѫштоу,,,
,,прѣпростоуоумоу,,,
i,и,и,,,
sъměŕenujemu,съмѣр҄еноуѥмоу,сьмѣреноуоумоу,,,
pavьlu,павьлоу,паулоу,,,
jisusovu,исоусовоу,їсоусовоу,,,
perђe,прѣжде,прѣжде,,,
sъkonьčǞnьjǞ,съконьчаниꙗ,съконьчаниꙗ,,,
modlitvy,модлитвъі,молитвꙑ,,,
vъzъpi,възъпи,вьзьпи,,,
golsomь,гласомь,гласомъ,,,
běsъ,бѣсъ,бѣсъ,,,
jьdǫ,идѫ,идѫ,,,
jьdǫ,идѫ,идѫ,,,
i,и,и,,,
jьsxoђǫ,исхождѫ,исхождѫ,,,
nǫђejǫ,нѫждеѭ,ноуждею,,,
i,и,и,,,
mǫkojǫ,мѫкоѭ,мѫкоѭ,,,
ženomъ,женомъ,женомъ,,,
jesmь,ѥсмь,ѥсмъ,,,
oxoђǫ,охождѫ,отъхождѫ,,,
otъ,отъ,отъ,,,
čьlověka,чьловѣка,чловѣка,,,
juže,юже,оуже,,,
kъ,къ,к’,,,
tomu,томоу,томоу,,,
ne,не,не,,,
približǫ,приближѫ,приближѫ,,,
sę,сѧ,сꙙ,,,
kъ,къ,къ,,,
sъměŕenujemu,съмѣр҄еноуѥмоу,сьмѣреноуоумоу,,,
i,и,и,,,
,,прѣпростоуоумоу,,,
pavьlu,павьлоу,паулоу,,,
ženǫ,женѫ,женетъ,,,
bo,бо,бо,,,
mę,мѧ,мꙙ,,,
i,и,и,,,
ne,не,не,,,
vědě,вѣдѣ,вѣдѣ,,,
kamo,камо,камо,,,
jьdǫ,идѫ,идѫ,,,
i,и,и,,,
abьje,абиѥ,абиѥ,,,
jьzide,изиде,изиде,,,
běsъ,бѣсъ,бѣсъ,,,
i,и,и,,,
,,прѣложи,,,
sę,сѧ,сꙙ,,,
vъ,въ,въ,,,
,,змии,,,
velikъ,великъ,великъ,,,
ako,ако,ꙗко,,,
sedmь,седмь,седмь,,,
desętъ,десѧтъ,десꙙтъ,,,
olkъtъ,лакътъ,лакътъ,,,
i,и,и,,,
jьde,иде,иде,,,
,,пльзꙙ,,,
kъ,къ,къ,,,
,,чръмъноуоумоу,,,
moŕu,морю,мороу,,,
da,да,да,,,
sъkonьčǞjetъ,съконьчаѥтъ,съконьчаѥтъ,,,
sę,сѧ,сѧ,,,
rečenoje,реченоѥ,реченоѥ,,,
svętomьjimь,свѧтъіимь,ст҃ꙑимъ,,,
duxomь,доухомь,доухомъ,,,
na,на,на,,,
kogo,кого,кого,,,
vъzьŕǫ,възьрѭ,вьзьрѫ,,,
nъ,нъ,нъ,,,
na,на,на,,,
krotъkajego,кротъкаѥго,кротъкааго,,,
i,и,и,,,
,,мльчаливааго,,,
i,и,и,,,
sъměŕenajego,съмѣр҄енаѥго,сьмѣренааго,,,
sŕ̥dьkemь,срьдьцемь,срьдьцемъ,,,
i,и,и,,,
trepeћǫћǞjego,трепещѫщаѥго,трепештѫштааго,,,
mojixъ,моихъ,моих’,,,
slovesъ,словесъ,словесъ,,,
si,си,си,,,
