to|то
ako|ако
vlasvimĺǞješi|власвимлꙗѥши
zańe|зан҄е
rěxъ|рѣхъ
ako|ако
synъ|съінъ
božьjь|божии
jesmь|ѥсмь
aћe|аще
ne|не
tvoŕǫ|творѭ
dělъ|дѣлъ
otьka|отьца
mojego|моѥго
ne|не
jemĺěte|ѥмл҄ѣте
mi|ми
věry|вѣръі
aћe|аще
li|ли
tvoŕǫ|творѭ
aћe|аще
i|и
mъně|мънѣ
věry|вѣръі
ne|не
jemĺete|ѥмл҄ете
dělomъ|дѣломъ
mojimъ|моимъ
věrǫ|вѣрѫ
jьměte|имѣте
da|да
orzumějete|разоумѣѥте
i|и
věrujete|вѣроуѥте
ako|ако
vъ|въ
mъně|мънѣ
otьkь|отьць
i|и
azъ|азъ
vъ|въ
otьki|отьци
i|и
jьskaaxǫ|искаахѫ
že|же
jego|ѥго
paky|пакъі
jęti|ѩти
i|и
jьzide|изиде
otъ|отъ
rǫkъ|рѫкъ
jixъ|ихъ
i|и
jьde|иде
paky|пакъі
na|на
onъ|онъ
polъ|полъ
ijorъdana|иоръдана
na|на
město|мѣсто
jьђeže|иждеже
bě|бѣ
ijoanъ|иоанъ
perђe|прѣжде
krьstę|крьстѧ
i|и
perbystъ|прѣбъістъ
tu|тоу
i|и
mъnogi|мъноѕи
prijьdǫ|приидѫ
kъ|къ
ńemu|н҄емоу
i|и
golgolaaxǫ|глаголаахѫ
ako|ако
ijoanъ|иоанъ
ubo|оубо
znamenьjǞ|знамениꙗ
ne|не
sъtvori|сътвори
ni|ни
jedinogo|ѥдиного
že|же
vьxa|вьсꙗ
že|же
jeliko|ѥлико
reče|рече
ijoanъ|иоанъ
o|о
semь|семь
jьstina|истина
bě|бѣ
i|и
mъnogi|мъноѕи
věrovašę|вѣровашѧ
vъ|въ
ńego|н҄его
tu|тоу
bě|бѣ
že|же
jedinъ|ѥдинъ
bolę|болѧ
lazarъ|лазаръ
otъ|отъ
vitaniję|витаниѩ
gordьka|градьца
marijina|мариина
i|и
marъty|марътъі
sestry|сестръі
jeję|ѥѩ
bě|бѣ
že|же
marijǞ|мариꙗ
pomazavъšijǞ|помазавъшиꙗ
gospoda|господа
mürojǫ|мѵроѭ
i|и
otьrъši|отьръши
nogě|ноѕѣ
volsy|власъі
svojimi|своими
jejęže|ѥѩже
bratrъ|братръ
lazarъ|лазаръ
bolěaše|болѣаше
posъlaste|посъласте
že|же
sestrě|сестрѣ
jego|ѥго
kъ|къ
ńemu|н҄емоу
golgoĺǫћi|глаголѭщи
gospodi|господи
se|се
jegože|ѥгоже
ĺubiši|любиши
bolitъ|болитъ
slyšǞvъ|слъішавъ
že|же
jisusъ|исоусъ
reče|рече
si|си
bolěznь|болѣзнь
něstъ|нѣстъ
kъ|къ
sъmŕ̥ti|съмрьти
nъ|нъ
o|о
slavě|славѣ
božьji|божии
da|да
proslavitъ|прославитъ
sę|сѧ
synъ|съінъ
božьjь|божии
jejǫ|ѥѭ
ĺubĺǞaše|люблꙗаше
že|же
jisusъ|исоусъ
marъtǫ|марътѫ
i|и
sestrǫ|сестрѫ
jeję|ѥѩ
i|и
lazara|лазара
jegъda|ѥгъда
že|же
uslyšǞ|оуслъіша
ako|ако
bolitъ|болитъ
tъgъda|тъгъда
že|же
perbystъ|прѣбъістъ
na|на
ńemьže|н҄емьже
bě|бѣ
městě|мѣстѣ
dъva|дъва
dьni|дьни
po|по
tomь|томь
že|же
golgola|глагола
učenikomъ|оученикомъ
jьděmъ|идѣмъ
vъ|въ
ijudejǫ|июдеѭ
paky|пакъі
golgolašę|глаголашѧ
jemu|ѥмоу
učeniki|оученици
jego|ѥго
učiteĺu|оучителю
nyně|нъінѣ
jьskaaxǫ|искаахѫ
tebe|тебе
kamenьjemь|камениѥмь
pobiti|побити
ijudeji|июдеи
i|и
paky|пакъі
li|ли
jьdeši|идеши
tamo|тамо
otъvěћǞ|отъвѣща
jisusъ|исоусъ
ne|не
dъvě|дъвѣ
li|ли
na|на
desęte|десѧте
godině|годинѣ
jeste|ѥсте
vъ|въ
dьni|дьни
aћe|аще
kъto|къто
xoditъ|ходитъ
vъ|въ
dьne|дьне
ne|не
potъknetъ|потъкнетъ
sę|сѧ
ako|ако
světъ|свѣтъ
mira|мира
sego|сего
viditъ|видитъ
aћe|аще
li|ли
kъto|къто
xoditъ|ходитъ
noћьjǫ|нощиѭ
potъknetъ|потъкнетъ
sę|сѧ
ako|ако
něstъ|нѣстъ
světa|свѣта
o|о
ńemь|н҄емь
si|си
reče|рече
i|и
po|по
semь|семь
golgola|глагола
jimъ|имъ
lazarъ|лазаръ
drugъ|дроугъ
našь|нашь
usъpe|оусъпе
nъ|нъ
jьdǫ|идѫ
da|да
vъzbuђǫ|възбоуждѫ
jь|и
rěšę|рѣшѧ
že|же
učeniki|оученици
jego|ѥго
gospodi|господи
aћe|аще
usъpe|оусъпе
sъpasenъ|съпасенъ
bǫdetъ|бѫдетъ
jisusъ|исоусъ
že|же
reče|рече
o|о
sъmŕ̥ti|съмрьти
jego|ѥго
oni|они
že|же
mьněšę|мьнѣшѧ
ako|ако
o|о
usъpenьji|оусъпении
sъna|съна
golgoĺetъ|глагол҄етъ
tъgъda|тъгъда
reče|рече
jimъ|имъ
jisusъ|исоусъ
ne|не
obvinuję|обиноуѩ
sę|сѧ
lazarъ|лазаръ
umertъ|оумрѣтъ
i|и
radujǫ|радоуѭ
sę|сѧ
vasъ|васъ
radi|ради
da|да
věrǫ|вѣрѫ
jьmete|имете
ako|ако
ne|не
běxъ|бѣхъ
tu|тоу
nъ|нъ
jьděmъ|идѣмъ
kъ|къ
ńemu|н҄емоу
reče|рече
že|же
toma|тома
narikajemъjь|нарицаѥмъіи
bliznьkь|близньць
kъ|къ
učenikomъ|оученикомъ
jьděmъ|идѣмъ
i|и
my|мъі
da|да
umьremъ|оумьремъ
﻿sъ|﻿съ
ńimь|н҄имь
prišьdъ|пришьдъ
že|же
jisusъ|исоусъ
vъ|въ
vitanijǫ|витаниѭ
obrěte|обрѣте
jь|и
četyri|четъіри
dьni|дьни
juže|юже
jьmǫћь|имѫщь
vъ|въ
grobě|гробѣ
bě|бѣ
že|же
vitanijǞ|витаниꙗ
blizъ|близъ
ijerusalima|иѥроусалима
ako|ако
pętь|пѧть
na|на
desęte|десѧте
stadijь|стадии
i|и
mъnogi|мъноѕи
otъ|отъ
ijudejь|июдеи
běaxǫ|бѣахѫ
prišьdli|пришьли
kъ|къ
marъtě|марътѣ
i|и
marijǞmъ|мариꙗмъ
da|да
utěšętъ|оутѣшѧтъ
ji|и
o|о
bratrě|братрѣ
jeju|ѥю
marъta|маръта
že|же
jegъda|ѥгъда
uslyšǞ|оуслъіша
ako|ако
jisusъ|исоусъ
grędetъ|грѧдетъ
sъrěte|сърѣте
jь|и
a|а
marijǞ|мариꙗ
doma|дома
sěděaše|сѣдѣаше
reče|рече
že|же
marъta|маръта
kъ|къ
jisusu|исоусоу
gospodi|господи
aћe|аще
bi|би
sьde|сьде
bylъ|бъілъ
ne|не
bi|би
bratrъ|братръ
mojь|мои
umŕ̥lъ|оумрьлъ
nъ|нъ
i|и
nyně|нъінѣ
věmь|вѣмь
ako|ако
jegože|ѥгоже
koližьdo|колижьдо
prosiši|просиши
u|оу
boga|бога
dastъ|дастъ
tebě|тебѣ
bogъ|богъ
golgola|глагола
jejь|ѥи
jisusъ|исоусъ
vъskrьsnetъ|въскрьснетъ
bratrъ|братръ
tvojь|твои
golgola|глагола
jemu|ѥмоу
marъta|маръта
věmь|вѣмь
ako|ако
vъskrьsnetъ|въскрьснетъ
vъ|въ
vъskrěšenьje|въскрѣшениѥ
vъ|въ
poslědьńь|послѣдьн҄ь
dьnь|дьнь
reče|рече
jejь|ѥи
jisusъ|исоусъ
azъ|азъ
jesmь|ѥсмь
vъskrěšenьje|въскрѣшениѥ
i|и
životъ|животъ
věrujęjь|вѣроуѩи
vъ|въ
mę|мѧ
aћe|аще
umьretъ|оумьретъ
oživetъ|оживетъ
i|и
vьxakъ|вьсꙗкъ
živъjь|живъіи
i|и
věrujęjь|вѣроуѩи
vъ|въ
mę|мѧ
ne|не
umьretъ|оумьретъ
vъ|въ
věkъ|вѣкъ
jьmeši|имеши
li|ли
věrǫ|вѣрѫ
semu|семоу
golgola|глагола
jemu|ѥмоу
????|????
gospodi|господи
azъ|азъ
věrovaxъ|вѣровахъ
ako|ако
ty|тъі
jesi|ѥси
xristosъ|христосъ
synъ|съінъ
božьjь|божии
grędyjь|грѧдъіи
vъ|въ
vьxь|вьсь
mirъ|миръ
i|и
se|се
rekъši|рекъши
jьde|иде
i|и
prizъva|призъва
marijǫ|мариѭ
sestrǫ|сестрѫ
svojǫ|своѭ
taji|таи
rekъši|рекъши
učiteĺь|оучител҄ь
se|се
jestъ|ѥстъ
i|и
zovetъ|зоветъ
tę|тѧ
ona|она
že|же
ako|ако
uslyšǞ|оуслъіша
vъsta|въста
jędro|ѩдро
i|и
jьde|иде
kъ|къ
ńemu|н҄емоу
ne|не
bě|бѣ
že|же
ne|не
ju|ю
jisusъ|исоусъ
prišьdlъ|пришьлъ
vъ|въ
vьsь|вьсь
nъ|нъ
bě|бѣ
na|на
městě|мѣстѣ
ješčě|ѥщѣ
jьdeže|идеже
sъrěte|сърѣте
jь|и
marъta|маръта
ijudeji|июдеи
že|же
sǫћeji|сѫщеи
﻿sъ|﻿съ
ńejǫ|н҄еѭ
vъ|въ
domu|домоу
i|и
utěšǞjǫћe|оутѣшаѭще
jǫ|ѭ
viděvъše|видѣвъше
marijǫ|мариѭ
ako|ако
jędro|ѩдро
vъsta|въста
i|и
jьzide|изиде
po|по
ńejь|н҄еи
jьdǫ|идѫ
golgoĺǫћe|глаголѭще
ako|ако
jьdetъ|идетъ
na|на
grobъ|гробъ
da|да
plačetъ|плачетъ
sę|сѧ
tu|тоу
marijǞ|мариꙗ
že|же
ako|ако
prijьde|прииде
jьde|иде
bě|бѣ
jisusъ|исоусъ
viděvъši|видѣвъши
jь|и
pade|паде
jemu|ѥмоу
na|на
nogu|ногоу
golgoĺǫћi|глаголѭщи
jemu|ѥмоу
gospodi|господи
aћe|аще
bi|би
bylъ|бъілъ
sьde|сьде
ne|не
bi|би
mojь|мои
bratrъ|братръ
umŕ̥lъ|оумрьлъ
jisusъ|исоусъ
že|же
ako|ако
vidě|видѣ
jǫ|ѭ
plačǫћǫ|плачѫщѫ
sę|сѧ
i|и
prišьdъšęję|пришьдъшѧѩ
﻿sъ|﻿съ
ńejǫ|н҄еѭ
ijudeję|июдеѩ
plačǫћę|плачѫщѧ
sę|сѧ
zaperti|запрѣти
duxu|доухоу
i|и
vъzmǫti|възмѫти
sę|сѧ
samъ|самъ
i|и
reče|рече
kъde|къде
položiste|положисте
jь|и
golgolašę|глаголашѧ
jemu|ѥмоу
gospodi|господи
grędi|грѧди
viђь|виждь
i|и
proslьzi|просльзи
sę|сѧ
jisusъ|исоусъ
golgolaaxǫ|глаголаахѫ
že|же
ijudeji|июдеи
viђь|виждь
kako|како
ĺubĺǞaše|люблꙗаше
jь|и
jedini|ѥдини
že|же
otъ|отъ
ńixъ|н҄ихъ
rěšę|рѣшѧ
ne|не
možǞaše|можааше
li|ли
sь|сь
otvŕ̥zъjь|отврьзъіи
oči|очи
slěpujemu|слѣпоуѥмоу
sъtvoriti|сътворити
da|да
i|и
sь|сь
ne|не
umьretъ|оумьретъ
jisusъ|исоусъ
že|же
paky|пакъі
pertę|прѣтѧ
vъ|въ
sebě|себѣ
prijьde|прииде
kъ|къ
grobu|гробоу
bě|бѣ
že|же
peћь|пещь
i|и
kamenь|камень
naležǞaše|належааше
na|на
ńejь|н҄еи
golgola|глагола
jisusъ|исоусъ
vъzьměte|възьмѣте
kamenь|камень
golgola|глагола
jemu|ѥмоу
sestra|сестра
umьrъšǞjego|оумьръшаѥго
marъta|маръта
gospodi|господи
juže|юже
smŕ̥ditъ|смрьдитъ
četvrědьnevьnъ|четврѣдьневьнъ
bo|бо
jestъ|ѥстъ
golgola|глагола
jejь|ѥи
jisusъ|исоусъ
ne|не
rěxъ|рѣхъ
li|ли
ti|ти
ako|ако
aћe|аще
věrujete|вѣроуѥте
uzьriši|оузьриши
slavǫ|славѫ
božьjǫ|божиѭ
vъzęsę|възѧсѧ
že|же
kamenь|камень
jьdeže|идеже
bě|бѣ
umьrъjь|оумьръіи
ležę|лежѧ
jisusъ|исоусъ
že|же
vъzvede|възведе
vъjьsprь|въіиспрь
oči|очи
i|и
reče|рече
otьče|отьче
xvalǫ|хвалѫ
tebě|тебѣ
vъzdajǫ|въздаѭ
ako|ако
uslyšǞ|оуслъіша
mę|мѧ
azъ|азъ
že|же
věděxъ|вѣдѣхъ
ako|ако
vьxegъda|вьсегъда
mene|мене
poslušǞješi|послоушаѥши
nъ|нъ
naroda|народа
radi|ради
stojęћǞjego|стоѩщаѥго
okrьstъ|окрьстъ
rěxъ|рѣхъ
da|да
věrǫ|вѣрѫ
jьmǫtъ|имѫтъ
ako|ако
ty|тъі
mę|мѧ
posъla|посъла
i|и
se|се
rekъ|рекъ
golsomь|гласомь
velьjemь|велиѥмь
vъzъva|възъва
lazare|лазаре
grędi|грѧди
vъnъ|вънъ
i|и
jьzide|изиде
umьrъjь|оумьръіи
obvęzanъ|обѧзанъ
nogama|ногама
i|и
rǫkama|рѫкама
ukrojemь|оукроѥмь
i|и
like|лице
jego|ѥго
ubrusomь|оуброусомь
obvęzano|обѧзано
golgola|глагола
jimъ|имъ
jisusъ|исоусъ
orzrěšite|раздрѣшите
jь|и
i|и
ne|не
dějěte|дѣѣте
jego|ѥго
jьti|ити
mъnogi|мъноѕи
že|же
otъ|отъ
ijudejь|июдеи
prišьdъšeji|пришьдъшеи
kъ|къ
mariji|марии
i|и
viděvъše|видѣвъше
ježe|ѥже
sъtvori|сътвори
jisusъ|исоусъ
věrovašę|вѣровашѧ
vъ|въ
ńego|н҄его
jedini|ѥдини
že|же
otъ|отъ
ńixъ|н҄ихъ
jьdǫ|идѫ
kъ|къ
farisejomъ|фарисеомъ
i|и
rěšę|рѣшѧ
jimъ|имъ
ježe|ѥже
sъtvori|сътвори
jisusъ|исоусъ
sъbьrašę|събьрашѧ
že|же
arъx́ijereji|аръхиѥреи
i|и
fariseji|фарисеи
sъnьmъ|съньмъ
na|на
jisusa|исоуса
i|и
golgolaaxǫ|глаголаахѫ
čьto|чьто
sъtvorimъ|сътворимъ
ako|ако
čьlověkъ|чьловѣкъ
sь|сь
znamenьjǞ|знамениꙗ
mъnoga|мънога
tvoritъ|творитъ
aћe|аще
ostavimъ|оставимъ
jь|и
tako|тако
vьxi|вьси
věrǫ|вѣрѫ
jьmǫtъ|имѫтъ
vъ|въ
ńь|н҄ь
i|и
prijьdǫtъ|приидѫтъ
rimĺǞne|римлꙗне
i|и
vъzьmǫtъ|възьмѫтъ
i|и
město|мѣсто
i|и
językъ|ѩзъікъ
našь|нашь
jedinъ|ѥдинъ
že|же
jeterъ|ѥтеръ
otъ|отъ
ńixъ|н҄ихъ
kajijǞfa|каиꙗфа
arъx́ijerejь|аръхиѥреи
sy|съі
lětu|лѣтоу
tomu|томоу
reče|рече
jimъ|имъ
vy|въі
ne|не
věste|вѣсте
ničesože|ничесоже
ni|ни
pomyšĺǞjete|помъішлꙗѥте
ako|ако
uńe|оун҄е
jestъ|ѥстъ
namъ|намъ
da|да
jedinъ|ѥдинъ
čьlověkъ|чьловѣкъ
umьretъ|оумьретъ
za|за
ĺudi|люди
a|а
ne|не
vьxь|вьсь
językъ|ѩзъікъ
pogybnetъ|погъібнетъ
sego|сего
že|же
o|о
sebě|себѣ
ne|не
reče|рече
nъ|нъ
arъx́ijerejь|аръхиѥреи
sy|съі
lětu|лѣтоу
tomu|томоу
proreče|прорече
ako|ако
xotěaše|хотѣаше
jisusъ|исоусъ
umerti|оумрѣти
za|за
ĺudi|люди
i|и
ne|не
tъkъmo|тъкъмо
za|за
ĺudi|люди
nъ|нъ
i|и
da|да
čęda|чѧда
božьjǞ|божиꙗ
orstočenajǞ|расточенаꙗ
sъberetъ|съберетъ
vъ|въ
jedino|ѥдино
otъ|отъ
togo|того
že|же
dьne|дьне
sъvěšћǞšę|съвѣщашѧ
da|да
jь|и
bǫ|бѫ
ubili|оубили
jisusъ|исоусъ
že|же
kъ|къ
tomu|томоу
ne|не
avě|авѣ
xoђǞaše|хождааше
vъ|въ
ijudejixъ|июдеихъ
nъ|нъ
jьde|иде
otъtǫdu|отътѫдоу
vъ|въ
stornǫ|странѫ
blizъ|близъ
pustyńi|поустъін҄и
vъ|въ
efremъ|ефремъ
narikajemъ|нарицаѥмъ
gordъ|градъ
i|и
tu|тоу
živěaše|живѣаше
﻿sъ|﻿съ
učeniky|оученикъі
svojimi|своими
bě|бѣ
že|же
blizъ|близъ
pasxa|пасха
ijudejьska|июдеиска
i|и
vъzidǫ|възидѫ
mъnogi|мъноѕи
vъ|въ
ijerusalimъ|иѥроусалимъ
otъ|отъ
storny|странъі
perђe|прѣжде
pasxy|пасхъі
da|да
očistętъ|очистѧтъ
sę|сѧ
i|и
jьskaaxǫ|искаахѫ
že|же
jisusa|исоуса
i|и
golgolaaxǫ|глаголаахѫ
že|же
kъ|къ
sebě|себѣ
vъ|въ
kŕ̥kъve|црькъве
stojęћe|стоѩще
čьto|чьто
sę|сѧ
mьnitъ|мьнитъ
vamъ|вамъ
ako|ако
ne|не
jьmatъ|иматъ
li|ли
prijьti|приити
vъ|въ
porzdьnikъ|праздьникъ
dašę|дашѧ
bo|бо
arъx́ijereji|аръхиѥреи
i|и
fariseji|фарисеи
zapovědь|заповѣдь
da|да
aћe|аще
kъto|къто
oћutitъ|ощоутитъ
jь|и
kъde|къде
bǫdetъ|бѫдетъ
pověstъ|повѣстъ
da|да
jьmǫtъ|имѫтъ
jь|и
jisusъ|исоусъ
že|же
perђe|прѣжде
šesti|шести
|
pasxy|пасхъі
prijьde|прииде
vъ|въ
vitanijǫ|витаниѭ
jьdeže|идеже
bě|бѣ
lazarъ|лазаръ
umьrъjь|оумьръіи
jegože|ѥгоже
vъskrěsi|въскрѣси
otъ|отъ
mŕ̥tvъjixъ|мрьтвъіихъ
sъtvorišę|сътворишѧ
že|же
jemu|ѥмоу
večeŕǫ|вечерѭ
tu|тоу
i|и
marъta|маръта
služǞaše|слоужааше
lazarъ|лазаръ
že|же
jedinъ|ѥдинъ
bě|бѣ
otъ|отъ
vъzležęћьjixъ|възлежѧщиихъ
﻿sъ|﻿съ
ńimь|н҄имь
marijǞ|мариꙗ
že|же
prijьmъši|приимъши
litrǫ|литрѫ
xrizmy|хризмъі
narъda|наръда
pistiḱiję|пистик҄иѩ
mъnogokěnьny|мъногоцѣньнъі
pomaza|помаза
nogě|ноѕѣ
jisusově|исоусовѣ
i|и
otŕ̥|отрь
volsy|власъі
svojimi|своими
nogě|ноѕѣ
jego|ѥго
xormina|храмина
že|же
jьspĺ̥ni|испльни
sę|сѧ
otъ|отъ
vońę|вонѩ
xrizmьnyjeję|хризмьнъіѥѩ
golgola|глагола
že|же
jedinъ|ѥдинъ
otъ|отъ
učenikъ|оученикъ
jego|ѥго
ijuda|июда
simońь|симон҄ь
iskarijotьskъjь|искариотьскъіи
jьže|иже
jь|и
xotěaše|хотѣаше
perdati|прѣдати
česo|чесо
radi|ради
müro|мѵро
se|се
ne|не
prodano|продано
bystъ|бъістъ
na|на
300|300
pěnęgь|пѣнѧѕь
i|и
dano|дано
nišћemъjimъ|нищиимъ
se|се
reče|рече
ne|не
ako|ако
o|о
nišћixъjixъ|нищиихъ
pečǞaše|печааше
sę|сѧ
nъ|нъ
ako|ако
tatь|тать
bě|бѣ
i|и
skrinikǫ|скриницѫ
jьmy|имъі
i|и
vъmětajema|въмѣтаѥма
nošǞaše|ношааше
reče|рече
že|же
jisusъ|исоусъ
ne|не
ději|дѣи
jeję|ѥѩ
vъ|въ
dьnь|дьнь
pogrebenьjǞ|погребениꙗ
mojego|моѥго
sъbĺude|съблюде
jǫ|ѭ
nišћęję|нищѧѩ
bo|бо
﻿sъ|﻿съ
sobojǫ|собоѭ
vьxegъda|вьсегъда
jьmate|имате
a|а
mene|мене
ne|не
vьxegъda|вьсегъда
jьmate|имате
orzumě|разоумѣ
že|же
narodъ|народъ
mъnogъ|мъногъ
otъ|отъ
ijudejь|июдеи
ako|ако
tu|тоу
jestъ|ѥстъ
i|и
prijьdǫ|приидѫ
ne|не
jisusa|исоуса
radi|ради
tъkъmo|тъкъмо
nъ|нъ
da|да
i|и
lazara|лазара
vidętъ|видѧтъ
jegože|ѥгоже
vъskrěsi|въскрѣси
otъ|отъ
mŕ̥tvъjixъ|мрьтвъіихъ
sъvěšћǞšę|съвѣщашѧ
že|же
arъx́ijereji|аръхиѥреи
da|да
i|и
lazara|лазара
ubьjǫtъ|оубиѭтъ
ako|ако
mъnogi|мъноѕи
jego|ѥго
radi|ради
jьděaxǫ|идѣахѫ
ijudejь|июдеи
i|и
věrovaaxǫ|вѣроваахѫ
vъ|въ
jisusa|исоуса
vъ|въ
utrějь|оутрѣи
že|же
dьnь|дьнь
narodъ|народъ
mъnogъ|мъногъ
prišьdъjь|пришьдъіи
vъ|въ
porzdьnikъ|праздьникъ
slyšǞvъše|слъішавъше
ako|ако
jisusъ|исоусъ
grędetъ|грѧдетъ
vъ|въ
ijerusalimъ|иѥроусалимъ
prijęsę|приѩсѧ
vějьje|вѣиѥ
otъ|отъ
finikъ|финикъ
i|и
jьzidǫ|изидѫ
protivǫ|противѫ
jemu|ѥмоу
i|и
zъvaaxǫ|зъваахѫ
golgoĺǫћe|глаголѭще
osanъna|осанъна
bolgoslovĺenъ|благословл҄енъ
grędyjь|грѧдъіи
vъ|въ
jьmę|имѧ
gospodьńe|господьн҄е
kěsaŕь|цѣсар҄ь
jizrajiĺevъ|издраил҄евъ
obrětъ|обрѣтъ
že|же
jisusъ|исоусъ
osьlę|осьлѧ
vъsěde|въсѣде
na|на
ńe|н҄е
akože|акоже
jestъ|ѥстъ
pisano|писано
ne|не
boji|бои
sę|сѧ
dъћi|дъщи
sijonova|сионова
se|се
kěsaŕь|цѣсар҄ь
tvojь|твои
grędetъ|грѧдетъ
sědę|сѣдѧ
na|на
žerbęte|жрѣбѧте
osьĺi|осьл҄и
sixъ|сихъ
že|же
ne|не
orzuměšę|разоумѣшѧ
učeniki|оученици
jego|ѥго
perђe|прѣжде
nъ|нъ
jegъda|ѥгъда
proslavi|прослави
sę|сѧ
jisusъ|исоусъ
tъgъda|тъгъда
poměnǫšę|помѣнѫшѧ
ako|ако
si|си
běšę|бѣшѧ
o|о
ńemь|н҄емь
pisana|писана
i|и
si|си
sъtvorišę|сътворишѧ
jemu|ѥмоу
sъvěděteĺьstvovaaše|съвѣдѣтел҄ьствовааше
že|же
narodъ|народъ
jьže|иже
bě|бѣ
﻿sъ|﻿съ
ńimь|н҄имь
jegъda|ѥгъда
lazara|лазара
vъzъva|възъва
otъ|отъ
groba|гроба
i|и
vъskrěsi|въскрѣси
jego|ѥго
otъ|отъ
mŕ̥tvъjixъ|мрьтвъіихъ
sego|сего
radi|ради
i|и
protivǫ|противѫ
jemu|ѥмоу
jьzide|изиде
narodъ|народъ
ako|ако
slyšǞšę|слъішашѧ
jь|и
sъtvoŕьšь|сътвор҄ьшь
se|се
znamenьje|знамениѥ
fariseji|фарисеи
že|же
rěšę|рѣшѧ
kъ|къ
sebě|себѣ
vidite|видите
ako|ако
nikakože|ницакоже
polьga|польѕа
jestъ|ѥстъ
se|се
vьxь|вьсь
mirъ|миръ
po|по
ńemь|н҄емь
jьdetъ|идетъ
běaxǫ|бѣахѫ
že|же
jelini|ѥлини
jedini|ѥдини
otъ|отъ
vъšьdъšьjixъ|въшьдъшиихъ
da|да
poklonętъ|поклонѧтъ
sę|сѧ
vъ|въ
porzdьnikъ|праздьникъ
sьji|сии
že|же
pristǫpišę|пристѫпишѧ
kъ|къ
filipu|филипоу
jьže|иже
bě|бѣ
otъ|отъ
vitъsajidy|витъсаидъі
galilejьskyjeję|галилеискъіѥѩ
i|и
modĺǞaxǫ|модлꙗахѫ
jь|и
golgoĺǫћe|глаголѭще
gospodi|господи
xoћemъ|хощемъ
jisusa|исоуса
viděti|видѣти
prijьde|прииде
filipъ|филипъ
i|и
golgola|глагола
anьdrejovi|аньдреови
i|и
paky|пакъі
anьdrejь|аньдреи
i|и
filipъ|филипъ
golgolaste|глаголасте
jisusovi|исоусови
jisusъ|исоусъ
že|же
otъvěћǞ|отъвѣща
jima|има
golgoĺę|глаголѩ
prijьde|прииде
godina|година
da|да
proslavitъ|прославитъ
sę|сѧ
synъ|съінъ
čьlověčьskъjь|чьловѣчьскъіи
aminь|аминь
aminь|аминь
golgoĺǫ|глаголѭ
vamъ|вамъ
aћe|аще
zŕ̥no|зрьно
pьšeničьno|пьшеничьно
ne|не
umьretъ|оумьретъ
padъ|падъ
vъ|въ
zemĺi|земл҄и
to|то
jedino|ѥдино
perbyvajetъ|прѣбъіваѥтъ
aћe|аще
li|ли
umьretъ|оумьретъ
mъnogъ|мъногъ
plodъ|плодъ
sъtvoritъ|сътворитъ
ĺubęjь|любѧи
dušǫ|доушѫ
svojǫ|своѭ
pogubitъ|погоубитъ
jǫ|ѭ
i|и
nenavidęjь|ненавидѧи
dušę|доушѧ
svojeję|своѥѩ
vъ|въ
mirě|мирѣ
semь|семь
vъ|въ
životě|животѣ
věčьnějemь|вѣчьнѣѥмь
sъxornitъ|съхранитъ
jǫ|ѭ
aћe|аще
kъto|къто
mъně|мънѣ
služitъ|слоужитъ
po|по
mъně|мънѣ
da|да
xoditъ|ходитъ
i|и
jьdeže|идеже
jesmь|ѥсмь
azъ|азъ
tu|тоу
i|и
sluga|слоуга
mojь|мои
bǫdetъ|бѫдетъ
i|и
aћe|аще
kъto|къто
mъně|мънѣ
služitъ|слоужитъ
počьtetъ|почьтетъ
jь|и
otьkь|отьць
nyně|нъінѣ
dušǞ|доуша
mojǞ|моꙗ
vъzmǫti|възмѫти
sę|сѧ
i|и
čьto|чьто
rekǫ|рекѫ
otьče|отьче
sъpasi|съпаси
mę|мѧ
otъ|отъ
godiny|годинъі
seję|сеѩ
nъ|нъ
sego|сего
radi|ради
prijьdъ|приидъ
na|на
godinǫ|годинѫ
sьjǫ|сиѭ
otьče|отьче
proslavi|прослави
jьmę|имѧ
tvoje|твоѥ
prijьde|прииде
že|же
golsъ|гласъ
﻿sъ|﻿съ
nebese|небесе
i|и
proslavixъ|прославихъ
i|и
paky|пакъі
proslavĺǫ|прославлѭ
narodъ|народъ
že|же
stojęjь|стоѩи
i|и
slyšǞvъ|слъішавъ
golgolaaxǫ|глаголаахѫ
gromъ|громъ
bystъ|бъістъ
jьni|ини
golgolaaxǫ|глаголаахѫ
anǵelъ|анꙉелъ
golgola|глагола
jemu|ѥмоу
otъvěћǞ|отъвѣща
jisusъ|исоусъ
i|и
reče|рече
ne|не
mene|мене
radi|ради
golsъ|гласъ
sь|сь
bystъ|бъістъ
nъ|нъ
vasъ|васъ
radi|ради
nyně|нъінѣ
sǫdъ|сѫдъ
jestъ|ѥстъ
miru|мироу
semu|семоу
nyně|нъінѣ
kъnęgь|кънѧѕь
mira|мира
sego|сего
jьzgъnanъ|изгънанъ
bǫdetъ|бѫдетъ
vъnъ|вънъ
i|и
azъ|азъ
aћe|аще
vъznesenъ|възнесенъ
bǫdǫ|бѫдѫ
otъ|отъ
zemĺę|землѩ
vьxę|вьсѧ
privelkǫ|привлѣкѫ
kъ|къ
sebě|себѣ
se|се
že|же
golgolaaše|глаголааше
klepĺę|клеплѩ
kojejǫ|коѥѭ
sъmŕ̥tьjǫ|съмрьтиѭ
xotěaše|хотѣаше
umerti|оумрѣти
otъvěћǞ|отъвѣща
