povědaaše|повѣдааше
|
ješčě|ѥщѣ
živa|жива
viděvъše|видѣвъше
sъvęzana|съвѧзана
běžǞšę|бѣжашѧ
i|и
po|по
|
li|ли
xotěaxǫ|хотѣахѫ
za|за
ńь|н҄ь
|
aћe|аще
da|да
ne|не
by|бъі
vъstalъ|въсталъ
to|то
kako|како
to|то
jestъ|ѥстъ
orzuměti|разоумѣти
akože|акоже
tako|тако
xotěaxǫ|хотѣахѫ
|
|
ne|не
byvъšu|бъівъшоу
sirěčь|сирѣчь
otъ|отъ
togo|того
mъnogo|мъного
o|о
|
jimъ|имъ
golgola|глагола
i|и
čęsto|чѧсто
golgolaaše|глаголааше
akože|акоже
i|и
sami|сами
i|и
sьji|сии
rěšę|рѣшѧ
ako|ако
po|по
trьxъ|трьхъ
dьnьxъ|дьньхъ
vъstanǫ|въстанѫ
da|да
aћe|аще
ubo|оубо
ne|не
by|бъі
vъstalъ|въсталъ
avě|авѣ
akože|акоже
|
perlьšћeni|прѣльщени
sьjь|сии
i|и
protivǫ|противѫ
kělě|цѣлѣ
storně|странѣ
o|о
ńemь|н҄емь
boŕǫћe|борѭще
sę|сѧ
i|и
bez|без
domu|домоу
i|и
bez|без
gorda|града
byvъše|бъівъше
otъvŕ̥gli|отъврьгли
sę|сѧ
jego|ѥго
byšę|бъішѧ
i|и
ne|не
byšę|бъішѧ
takoję|такоѩ
račili|рачили
jemu|ѥмоу
vъzložiti|възложити
slavy|славъі
|
perlьšћeni|прѣльщени
i|и
vъ|въ
|
bědy|бѣдъі
togo|того
radi|ради
vъpadъšǞ|въпадъша
vъ|въ
bědy|бѣдъі
a|а
akože|акоже
ne|не
byšę|бъішѧ
mogli|могли
togo|того
|
aћe|аще
ne|не
bylo|бъіло
vъstanьje|въстаниѥ
se|се
ni|ни
slovese|словесе
terbujetъ|трѣбоуѥтъ
čimь|чимь
bo|бо
|
|
li|ли
|
nъ|нъ
vьxěxъ|вьсѣхъ
běaxǫ|бѣахѫ
|
nъ|нъ
bogatьstvomь|богатьствомь
li|ли
nъ|нъ
ni|ни
žьzla|жьзла
ni|ни
|
jьměaxǫ|имѣахѫ
nъ|нъ
|
li|ли
nъ|нъ
ubogi|оубоѕи
i|и
otъ|отъ
ubogъ|оубогъ
nъ|нъ
otьčьstvomь|отьчьствомь
li|ли
velikomь|великомь
nъ|нъ
otъ|отъ
městъ|мѣстъ
běaxǫ|бѣахѫ
|
nъ|нъ
mъnožьstvomь|мъножьствомь
li|ли
svojimь|своимь
nъ|нъ
ne|не
běaše|бѣаше
jixъ|ихъ
boĺe|бол҄е
|
na|на
desęte|десѧте
i|и
ti|ти
že|же
|
nъ|нъ
|
li|ли
|
|
aћe|аще
bo|бо
ne|не
vъstalъ|въсталъ
to|то
ni|ни
ta|та
xotěaxǫ|хотѣахѫ
jimъ|имъ
věrьna|вѣрьна
byti|бъіти
kako|како
li|ли
možǞaxǫ|можаахѫ
|
narodu|народоу
|
sę|сѧ
|
bo|бо
|
jixъ|ихъ
|
ženy|женъі
slovese|словесе
ne|не
|
i|и
proči|прочи
jь|и
že|же
vьxi|вьси
sъvęzana|съвѧзана
|
uzьrěvъše|оузьрѣвъше
orzběgošę|разбѣгошѧ
sę|сѧ
kako|како
ubo|оубо
|
byšę|бъішѧ
na|на
konьkę|коньцѧ
vъsedĺenyjeję|въседл҄енъіѥѩ
teћi|тещи
i|и
vъsaditi|въсадити
sъtvoŕenoje|сътвор҄еноѥ
slovo|слово
o|о
|
|
bo|бо
ovъ|овъ
protivǫ|противѫ
ženьsku|женьскоу
|
ne|не
|
ovъ|овъ
že|же
protivǫ|противѫ
ǫzě|ѫзѣ
kako|како
možǞaxǫ|можаахѫ
protivǫ|противѫ
kěsaŕemъ|цѣсар҄емъ
i|и
kъnęgemъ|кънѧѕемъ
i|и
narodomъ|народомъ
stati|стати
|
meči|мечи
i|и
|
i|и
peћi|пещи
i|и
|
po|по
vьxę|вьсѧ
dьni|дьни
sъmŕ̥ti|съмрьти
aћe|аще
da|да
ne|не
byšę|бъішѧ
vъstavъšǞjego|въставъшаѥго
nasytili|насъітили
sę|сѧ
|
tolika|толица
znamenьjǞ|знамениꙗ
byšę|бъішѧ
i|и
tolika|толица
čudesa|чоудеса
i|и
ničьsože|ничьсоже
sę|сѧ
otъ|отъ
těxъ|тѣхъ
|
|
nъ|нъ
orspęšę|распѧшѧ
sъtvoŕьšǞjego|сътвор҄ьшаѥго
a|а
těmъ|тѣмъ
li|ли
xotěaxǫ|хотѣахѫ
|
besědujǫћemъ|бесѣдоуѭщемъ
věrovati|вѣровати
o|о
vъstanьji|въстании
něstъ|нѣстъ
to|то
tako|тако
něstъ|нѣстъ
nъ|нъ
vъskrьsъšǞjego|въскрьсъшаѥго
sila|сила
to|то
sъtvori|сътвори
sъmotri|съмотри
že|же
mi|ми
|
jixъ|ихъ
|
pomęnǫxomъ|помѧнѫхомъ
rěšę|рѣшѧ
ako|ако
golgola|глагола
lьstьkь|льстьць
onъ|онъ
ješčě|ѥщѣ
živъ|живъ
sy|съі
po|по
trьxъ|трьхъ
dьnьxъ|дьньхъ
vъstanǫ|въстанѫ
da|да
aћe|аще
lьstьkь|льстьць
bě|бѣ
i|и
lъžejǫ|лъжеѭ
|
čьto|чьто
sę|сѧ
bojite|боите
i|и
|
i|и
toliko|толико
|
tvorite|творите
bojimъ|боимъ
sę|сѧ
rěšę|рѣшѧ
jeda|ѥда
kako|како
ukradǫtъ|оукрадѫтъ
jь|и
učeniki|оученици
jego|ѥго
i|и
perlьstętъ|прѣльстѧтъ
mъnogyję|мъногъіѩ
i|и
|
avi|ави
sę|сѧ
ne|не
jьmy|имъі
|
slovese|словесе
nъ|нъ
obače|обаче
|
|
byvajetъ|бъіваѥтъ
i|и
bez|без
studa|стоуда
i|и
|
načinajetъ|начинаѥтъ
i|и
do|до
tretьjǞjego|третиꙗѥго
dьne|дьне
povelěšę|повелѣшѧ
utvŕ̥diti|оутврьдити
|
o|о
|
boŕǫћe|борѭще
sę|сѧ
i|и
xotęћe|хотѧще
pokazati|показати
jь|и
perdъ|прѣдъ
simь|симь
lьstьka|льстьца
sǫћǞ|сѫща
i|и
do|до
groba|гроба
|
|
togo|того
|
skoro|скоро
vъsta|въста
da|да
ne|не
rekǫtъ|рекѫтъ
|
i|и
ukradenъ|оукраденъ
bystъ|бъістъ
se|се
bo|бо
grěxa|грѣха
ne|не
jьmǫtъ|имѫтъ
ježe|ѥже
skoro|скоро
vъstati|въстати
a|а
ježe|ѥже
pozdě|поздѣ
|
by|бъі
pĺ̥no|пльно
bylo|бъіло
|
aћe|аще
ne|не
tъgъda|тъгъда
vъstalъ|въсталъ
sědęћemъ|сѣдѧщемъ
těmь|тѣмь
tu|тоу
i|и
stergǫћemъ|стрѣгѫщемъ
nъ|нъ
otъšьdъšemъ|отъшьдъшемъ
po|по
trьxъ|трьхъ
dьnьxъ|дьньхъ
jьměli|имѣли
byšę|бъішѧ
čьto|чьто
otъvěћǞvati|отъвѣщавати
i|и
golgolati|глаголати
aћe|аще
i|и
|
togo|того
radi|ради
vari|вари
|
bo|бо
běaše|бѣаше
sědęћemъ|сѣдѧщемъ
jimъ|имъ
i|и
stergǫћemъ|стрѣгѫщемъ
byti|бъіти
vъstanьju|въстанию
da|да
i|и
vъ|въ
trьxъ|трьхъ
ubo|оубо
dьnьxъ|дьньхъ
|
podoba|подоба
byti|бъіти
aћe|аще
li|ли
mimošьdъšemъ|мимошьдъшемъ
i|и
otъšьdъšemъ|отъшьдъшемъ
bǫdǫtъ|бѫдѫтъ
storžemъ|стражемъ
xotěaše|хотѣаше
|
dělo|дѣло
byti|бъіти
togo|того
radi|ради
i|и
|
|
akože|акоже
xotěaxǫ|хотѣахѫ
i|и
vojьni|воини
prisěděaxǫ|присѣдѣахѫ
i|и
ne|не
roђǞaxǫ|рождаахѫ
vъ|въ
sǫbotǫ|сѫботѫ
to|то
tvoręћe|творѧще
i|и
dělajǫћe|дѣлаѭще
nъ|нъ
na|на
|
|
zьrěaxǫ|зьрѣахѫ
na|на
svoje|своѥ
|
akože|акоже
těmь|тѣмь
da|да
|
ježe|ѥже
|
bezumьjǞ|безоумиꙗ
jestъ|ѥстъ
i|и
straxa|страха
gělo|ѕѣло
|
vьxako|вьсꙗко
jьmъšiji|имъшии
bo|бо
togo|того
|
umьrъšǞ|оумьръша
bojętъ|боѩтъ
sę|сѧ
|
i|и
aћe|аще
prostъ|простъ
čьlověkъ|чьловѣкъ
|
by|бъі
|
nъ|нъ
da|да
uvědętъ|оувѣдѧтъ
ako|ако
i|и
živъ|живъ
|
postrada|пострада
ježe|ѥже
postrada|пострада
se|се
i|и
|
i|и
kamy|камъі
i|и
storžǞ|стража
i|и
ne|не
mogošę|могошѧ
jego|ѥго
udŕ̥žǞti|оудрьжати
nъ|нъ
|
byvajetъ|бъіваѥтъ
|
ježe|ѥже
obličenu|обличеноу
byti|бъіти
grobu|гробоу
i|и
|
byti|бъіти
otъ|отъ
sego|сего
vъstanьju|въстанию
|
i|и
vojьni|воини
steržǞaxǫ|стрѣжаахѫ
|
prisědętъ|присѣдѧтъ
večerъ|вечеръ
že|же
vъ|въ
sǫbotǫ|сѫботѫ
|
vъ|въ
jedinъ|ѥдинъ
otъ|отъ
sǫbotъ|сѫботъ
prijьde|прииде
marijǞ|мариꙗ
|
i|и
jьna|ина
marijǞ|мариꙗ
vidětъ|видѣтъ
groba|гроба
i|и
se|се
trǫsъ|трѫсъ
bystъ|бъістъ
velikъ|великъ
anǵelъ|анꙉелъ
bo|бо
gospodьńь|господьн҄ь
sъšьdъ|съшьдъ
﻿sъ|﻿съ
nebese|небесе
pristǫpivъ|пристѫпивъ
otъvali|отъвали
kamy|камъі
otъ|отъ
dvьrьjь|двьрии
grobu|гробоу
i|и
sěděaše|сѣдѣаше
na|на
ńemь|н҄емь
běaše|бѣаше
že|же
viděnьje|видѣниѥ
jego|ѥго
|
mĺ̥dnьję|мльдниѩ
i|и
odeђǞ|одежда
jego|ѥго
běla|бѣла
|
sněgъ|снѣгъ
po|по
|
anǵelъ|анꙉелъ
|
ubo|оубо
prijьde|прииде
i|и
kamy|камъі
otъvali|отъвали
ženъ|женъ
|
ty|тъі
bo|бо
togo|того
tъgъda|тъгъда
viděšę|видѣшѧ
na|на
grobě|гробѣ
da|да
jьmǫtъ|имѫтъ
ubo|оубо
věrǫ|вѣрѫ
ako|ако
vъsta|въста
viděšę|видѣшѧ
grobъ|гробъ
tъgъda|тъгъда
tъščь|тъщь
těla|тѣла
togo|того
radi|ради
vъzę|възѧ
kamy|камъі
togo|того
|
i|и
trǫsъ|трѫсъ
bystъ|бъістъ
da|да
|
i|и
podvignǫtъ|подвигнѫтъ
sę|сѧ
prišьdly|пришьдлъі
bo|бо
běšę|бѣшѧ
akože|акоже
|
|
i|и
vъ|въ
noћi|нощи
to|то
bystъ|бъістъ
i|и
|
bě|бѣ
|
i|и
usъnǫti|оусънѫти
i|и
čьso|чьсо
radi|ради
i|и
|
reče|рече
ne|не
bojite|боите
vy|въі
sę|сѧ
perђe|прѣжде
ję|ѩ
|
|
|
tъgъda|тъгъда
golgoĺetъ|глагол҄етъ
o|о
|
i|и
ježe|ѥже
vy|въі
mъnogǫ|мъногѫ
|
čьstь|чьсть
jestъ|ѥстъ
i|и
|
ako|ако
|
|
dŕ̥znǫvъšьjixъ|дрьзнѫвъшиихъ
ježe|ѥже
dŕ̥znǫšę|дрьзнѫшѧ
sъtvoriti|сътворити
aћe|аще
sę|сѧ
ne|не
pokajǫtъ|покаѭтъ
ne|не
bo|бо
jestъ|ѥстъ
vamъ|вамъ
reče|рече
bojǞti|боꙗти
sę|сѧ
nъ|нъ
oněmъ|онѣмъ
orspьnъšemъjimъ|распьнъшиимъ
otьmъ|отьмъ
ubo|оубо
jimъ|имъ
|
i|и
slovesy|словесъі
i|и
likemь|лицемь
|
obrazъ|образъ
světьlъ|свѣтьлъ
pokaza|показа
sika|сица
nesy|несъі
privede|приведе
golgoĺę|глаголѩ
vědě|вѣдѣ
ako|ако
jisusa|исоуса
orspętajego|распѧтаѥго
jьščete|ищете
i|и
ne|не
sormĺǞjetъ|срамлꙗѥтъ
sę|сѧ
orspęta|распѧта
narikaję|нарицаѩ
se|се
bo|бо
načęlo|начѧло
|
vъsta|въста
otъkǫdu|отъкѫдоу
akože|акоже
reče|рече
aћe|аще
i|и
mъně|мънѣ
ne|не
věrujeta|вѣроуѥта
to|то
togo|того
slovesa|словеса
poměněta|помѣнѣта
da|да
i|и
mъně|мънѣ
ne|не
ne|не
věrova|вѣрова
|
i|и
jьno|ино
|
gręděte|грѧдѣте
vidite|видите
město|мѣсто
|
ležǞ|лежа
togo|того
radi|ради
vъzę|възѧ
kamy|камъі
akože|акоже
i|и
otъ|отъ
sego|сего
těma|тѣма
vъzęti|възѧти
|
i|и
rьkěta|рьцѣта
učenikomъ|оученикомъ
ako|ако
uzьrite|оузьрите
jь|и
vъ|въ
galileji|галилеи
i|и
jьněmъ|инѣмъ
bolgověstiti|благовѣстити
|
ježe|ѥже
jima|има
pače|паче
tvoŕǞaše|творꙗаше
věrovati|вѣровати
i|и
dobrě|добрѣ
vъ|въ
galileji|галилеи
|
dělъ|дѣлъ
i|и
bědъ|бѣдъ
akože|акоже
ne|не
straxu|страхоу
sъtǫžǞti|сътѫжати
věrě|вѣрѣ
i|и
jьzidoste|изидосте
jьz|из
groba|гроба
﻿sъ|﻿съ
straxomь|страхомь
i|и
radostьjǫ|радостиѭ
|
|
|
viděšę|видѣшѧ
i|и
|
grobъ|гробъ
tъščь|тъщь
|
perђe|прѣжде
položena|положена
viděšę|видѣшѧ
|
i|и
vede|веде
ji|и
na|на
viděnьje|видѣниѥ
da|да
obojemu|обоѥмоу
bǫdeta|бѫдета
sъvěděteĺǞ|съвѣдѣтелꙗ
i|и
grobu|гробоу
i|и
|
|
pomyšĺǞaxǫ|помъішлꙗахѫ
ako|ако
nikъtože|никътоже
jego|ѥго
něstъ|нѣстъ
vъzęlъ|възѧлъ
vojьnomъ|воиномъ
mъnogomъ|мъногомъ
sědęћemъ|сѣдѧщемъ
aћe|аще
da|да
samъ|самъ
sę|сѧ
ne|не
vъskrěsi|въскрѣси
togo|того
radi|ради
i|и
radujǫtъ|радоуѭтъ
sę|сѧ
i|и
čudętъ|чоудѧтъ
sę|сѧ
i|и
|
toliko|толико
|
prijemĺǫtъ|приѥмлѭтъ
otъdanьje|отъданиѥ
ježe|ѥже
|
viděti|видѣти
i|и
bolgověstiti|благовѣстити
ne|не
golgolanajǞ|глаголанаꙗ
|
nъ|нъ
i|и
viděnajǞ|видѣнаꙗ
|
pońeže|пон҄еже
jьzidošę|изидошѧ
﻿sъ|﻿съ
straxomь|страхомь
i|и
radostьjǫ|радостиѭ
se|се
jisusъ|исоусъ
sъrěte|сърѣте
ji|и
golgoĺę|глаголѩ
radujita|радоуита
sę|сѧ
tě|тѣ
že|же
jęste|ѩсте
jь|и
za|за
nogě|ноѕѣ
﻿sъ|﻿съ
|
veselьjemь|веселиѥмь
kъ|къ
ńemu|н҄емоу
pritekъši|притекъши
prijьmasta|приимаста
že|же
i|и
|
znamenьje|знамениѥ
i|и
|
|
i|и
poklonista|поклониста
sę|сѧ
jemu|ѥмоу
čьto|чьто
ubo|оубо
tъ|тъ
ne|не
bojita|боита
sę|сѧ
paky|пакъі
i|и
tъ|тъ
|
jьzgonitъ|изгонитъ
|
pǫtь|пѫть
věrě|вѣрѣ
nъ|нъ
jьděta|идѣта
i|и
povědita|повѣдита
bratrьji|братрии
mojejь|моѥи
da|да
jьdǫtъ|идѫтъ
vъ|въ
galilejǫ|галилеѭ
i|и
tamo|тамо
mę|мѧ
vidętъ|видѧтъ
sъmotri|съмотри
kako|како
|
i|и
tъ|тъ
těmi|тѣми
učenikomъ|оученикомъ
bolgověstitъ|благовѣститъ
|
|
golgolaxъ|глаголахъ
jьže|иже
pače|паче
rodъ|родъ
beščьstьnъ|бещьстьнъ
vъ|въ
čьstь|чьсть
vedy|ведъі
i|и
vъ|въ
bolgy|благъі
|
i|и
bolęћę|болѧщѧ
jьskěli|исцѣли
|
kъto|къто
vasъ|васъ
by|бъі
xotělъ|хотѣлъ
|
byti|бъіти
i|и
po|по
nogě|ноѕѣ
jęti|ѩти
jisusově|исоусовѣ
možete|можете
i|и
nyně|нъінѣ
jelikože|ѥликоже
vasъ|васъ
xoћetъ|хощетъ
ne|не
po|по
nogě|ноѕѣ
|
i|и
po|по
rǫkě|рѫцѣ
nъ|нъ
i|и
po|по
golvǫ|главѫ
jęti|ѩти
čistǫjǫ|чистѫѭ
onǫ|онѫ
|
tajьnъ|таинъ
|
sę|сѧ
čistojǫjejǫ|чистоѭѥѭ
|
ne|не
sьde|сьде
že|же
|
nъ|нъ
i|и
vъ|въ
jьnъ|инъ
dьnь|дьнь
uzьrite|оузьрите
jь|и
﻿sъ|﻿съ
|
slavojǫ|славоѭ
onojǫ|оноѭ
i|и
narodomь|народомь
|
grędǫћǞ|грѧдѫща
aћe|аще
vъsxoћete|въсхощете
|
byti|бъіти
i|и
slyšǞti|слъішати
jьmate|имате
ne|не
si|си
slovesa|словеса
|
ako|ако
radujite|радоуите
sę|сѧ
nъ|нъ
i|и
ono|оно
jьděte|идѣте
bolgoslovĺeniji|благословл҄ении
otьka|отьца
mojego|моѥго
prijьměte|приимѣте
ugotovanoje|оуготованоѥ
vamъ|вамъ
kěsaŕьstvьje|цѣсар҄ьствиѥ
perdъ|прѣдъ
sъloženьjemь|съложениѥмь
mira|мира
bǫděte|бѫдѣте
ubo|оубо
|
da|да
to|то
uslyšite|оуслъішите
i|и
vy|въі
|
ženy|женъі
vidęћęję|видѧщѧѩ
|
ženьskoje|женьскоѥ
sьjǫ|сиѭ
jęgǫ|ѩгѫ
poně|понѣ
|
|
otъloživъšę|отъложивъшѧ
|
|
akože|акоже
aћe|аще
|
ženamъ|женамъ
|
|
jejǫže|ѥѭже
obloženy|обложенъі
jeste|ѥсте
milostьjǫ|милостиѭ
obloživъše|обложивъше
sę|сѧ
kъjь|къіи
|
pověђь|повѣждь
mi|ми
čьstьnajego|чьстьнаѥго
kamenьjǞ|камениꙗ
sego|сего
i|и
zoltomь|златомь
šьvenъjixъ|шьвенъіихъ
rizъ|ризъ
radujetъ|радоуѥтъ
sę|сѧ
golgoĺeši|глагол҄еши
o|о
sixъ|сихъ
dušǞ|доуша
i|и
veselitъ|веселитъ
sę|сѧ
azъ|азъ
tebe|тебе
o|о
|
vъprašǞxъ|въпрашахъ
ty|тъі
že|же
mi|ми
|
povědaješi|повѣдаѥши
ježe|ѥже
bo|бо
o|о
tomь|томь
|
i|и
radovati|радовати
sę|сѧ
i|и
|
ničьtože|ничьтоже
něstъ|нѣстъ
togo|того
goŕe|гор҄е
|
bo|бо
ĺutajǞ|лютаꙗ
si|си
|
byvajetъ|бъіваѥтъ
jegъda|ѥгъда
kъto|къто
i|и
orbotaję|работаѩ
radujetъ|радоуѥтъ
sę|сѧ
kъgъda|къгъда
bo|бо
akože|акоже
jestъ|ѥстъ
|
|
na|на
duxovьnoje|доуховьноѥ
dělo|дѣло
kъgъda|къгъда
že|же
li|ли
|
sę|сѧ
akože|акоже
jestъ|ѥстъ
|
žitьjьskamъ|житиискамъ
poterbamъ|потрѣбамъ
akože|акоже
mьnitъ|мьнитъ
radosti|радости
|
ježe|ѥже
zoltomь|златомь
vęzati|вѧзати
sę|сѧ
nikoliže|николиже
nъ|нъ
modĺǫ|модлѭ
to|то
otъloživъše|отъложивъше
milostь|милость
priobręћěmъ|приобрѧщѣмъ
vъvodęћęjeję|въводѧщѧѥѩ
vъ|въ
kěsaŕьstvo|цѣсар҄ьство
nebesьnoje|небесьноѥ
jegože|ѥгоже
bǫdi|бѫди
vьxěmъ|вьсѣмъ
namъ|намъ
|
bolgodětьjǫ|благодѣтиѭ
i|и
|
gospoda|господа
našego|нашего
jisusa|исоуса
xristosa|христоса
jemuže|ѥмоуже
slava|слава
vъ|въ
věky|вѣкъі
věkomъ|вѣкомъ
aminь|аминь
slovo|слово
svętajego|свѧтаѥго
|
|
|
o|о
pogrebenьji|погребении
tělese|тѣлесе
gospodi|господи
našego|нашего
|
i|и
o|о
ijosifě|иосифѣ
jьže|иже
otъ|отъ
arimateję|ариматеѩ
i|и
o|о
nikodimě|никодимѣ
i|и
o|о
|
gospodi|господи
našego|нашего
|
po|по
|
mǫkě|мѫцѣ
divьno|дивьно
byvъšu|бъівъшоу
čьto|чьто
se|се
dьnьsь|дьньсь
|
mъnogo|мъного
na|на
zemĺi|земл҄и
čьto|чьто
se|се
|
mъnogo|мъного
i|и
|
mъnogo|мъного
|
mъnogo|мъного
ako|ако
kěsaŕь|цѣсар҄ь
sъpitъ|съпитъ
zemĺǞ|землꙗ
ubojǞ|оубоꙗ
sę|сѧ
i|и
umĺ̥čǞ|оумльча
ako|ако
bogъ|богъ
plъtьjǫ|плътиѭ
usъpe|оусъпе
bogъ|богъ
plъtьjǫ|плътиѭ
i|и
usъpe|оусъпе
i|и
adъ|адъ
|
bogъ|богъ
vъ|въ
malě|малѣ
usъpe|оусъпе
i|и
sъpęћęję|съпѧщѧѩ
otъ|отъ
věka|вѣка
otъ|отъ
ada|ада
vъskrěsi|въскрѣси
kъde|къде
nyně|нъінѣ
sǫtъ|сѫтъ
|
ml̥vy|млъвъі
i|и
golsi|гласи
i|и
|
byvajǫћiji|бъіваѭщии
na|на
xristosa|христоса
otъ|отъ
|
kъde|къде
narodi|народи
i|и
čini|чини
i|и
orǫžьjǞ|орѫжиꙗ
i|и
|
kъde|къде
kěsaŕe|цѣсар҄е
i|и
ijereji|иѥреи
i|и
sǫdьję|сѫдиѩ
osǫђenyję|осѫжденъіѩ
kъde|къде
svěћę|свѣщѧ
i|и
meči|мечи
i|и
|
|
kъde|къде
ĺudьje|людиѥ
i|и
|
i|и
|
nepravьdьnъjь|неправьдьнъіи
vъ|въ
jьstinǫ|истинѫ
ubo|оубо
gělo|ѕѣло
vъ|въ
jьstinǫ|истинѫ
ĺudьje|людиѥ
|
sę|сѧ
|
i|и
bezumьnomъjimъ|безоумьнъіимъ
potъknǫšę|потъкнѫшѧ
sę|сѧ
vъ|въ
|
o|о
kamenь|камень
xristosa|христоса
i|и
sami|сами
sъkrušišę|съкроушишѧ
sę|сѧ
privŕ̥gošę|приврьгошѧ
sę|сѧ
vъ|въ
|
kamenь|камень
nъ|нъ
vъ|въ
pěny|пѣнъі
vĺ̥ny|вльнъі
jixъ|ихъ
orzidošę|разидошѧ
sę|сѧ
potъkošę|потъкошѧ
sę|сѧ
o|о
|
|
nъ|нъ
sami|сами
sъtŕ̥ti|сътрьти
byšę|бъішѧ
vъznesošę|възнесошѧ
na|на
dervo|дрѣво
kamenь|камень
i|и
sъšьdъ|съшьдъ
umŕ̥tvi|оумрьтви
ję|ѩ
sъvęzašę|съвѧзашѧ
velikajego|велицаѥго
|
sl̥nьka|слъньца
xristosa|христоса
nъ|нъ
|
věčьnyję|вѣчьнъіѩ
ǫzy|ѫзъі
jьnoplemenьniky|иноплеменьникъі
i|и
|
pogubi|погоуби
|
bogъ|богъ
sl̥nьke|слъньце
podъ|подъ
zemĺǫ|землѭ
i|и
tьmǫ|тьмѫ
|
ijudejemъ|июдеѥмъ
sъtvori|сътвори
dьnьsь|дьньсь
sъpasenьje|съпасениѥ
sǫћemъjimъ|сѫщиимъ
na|на
zemĺi|земл҄и
i|и
otъ|отъ
věka|вѣка
podъ|подъ
zemĺejǫ|земл҄еѭ
sǫћemъjimъ|сѫщиимъ
dьnьsь|дьньсь
sъpasenьje|съпасениѥ
vьxemu|вьсемоу
miru|мироу
jeliko|ѥлико
vidimъ|видимъ
i|и
jeliko|ѥлико
ne|не
vidimъ|видимъ
|
dьnьsь|дьньсь
prišьstvьje|пришьствиѥ
gospodьńe|господьн҄е
|
|
|
|
|
|
vъkupě|въкоупѣ
že|же
sъměŕenьje|съмѣр҄ениѥ
sugubo|соугоубо
kъ|къ
čьlověkomъ|чьловѣкомъ
posěћenьje|посѣщениѥ
otъ|отъ
nebese|небесе
na|на
zemĺǫ|землѭ
otъ|отъ
zemĺę|землѩ
podъ|подъ
zemĺǫ|землѭ
bogъ|богъ
prixoditъ|приходитъ
vorta|врата
adova|адова
otvŕ̥zajǫtъ|отврьзаѭтъ
sę|сѧ
sъpęћiji|съпѧщии
otъ|отъ
věka|вѣка
radujite|радоуите
sę|сѧ
sědęћiji|сѣдѧщии
vъ|въ
tьmě|тьмѣ
i|и
vъ|въ
sěni|сѣни
sъmŕ̥tьně|съмрьтьнѣ
velikъjь|великъіи
světъ|свѣтъ
prijьměte|приимѣте
﻿sъ|﻿съ
orby|рабъі
gospodь|господь
﻿sъ|﻿съ
mŕ̥tvyjimi|мрьтвъіими
bogъ|богъ
﻿sъ|﻿съ
umьrъšijimi|оумьръшиими
životъ|животъ
﻿sъ|﻿съ
povinьnyjimi|повиньнъіими
nepovinьnъjь|неповиньнъіи
﻿sъ|﻿съ
sǫћijimi|сѫщиими
vъ|въ
tьmě|тьмѣ
|
světъ|свѣтъ
﻿sъ|﻿съ
pelnьniky|плѣньникъі
|
﻿sъ|﻿съ
|
|
nebesъ|небесъ
corrupted morphology tag|црароуптед мрапhологъі таг
na|на
zemĺi|земл҄и
věrovaxomъ|вѣровахомъ
corrupted morphology tag|црароуптед мрапhологъі таг
vъ|въ
mŕ̥tvěxъjixъ|мрьтвъіихъ
﻿sъ|﻿съ
ńimь|н҄имь
sъniděmъ|сънидѣмъ
da|да
uvěmъ|оувѣмъ
tajьnyję|таинъіѩ
jęže|ѩже
tu|тоу
da|да
orzumějemъ|разоумѣѥмъ
božьjǫ|божиѭ
tajьnǫ|таинѫ
tajьna|таина
podъ|подъ
zemĺejǫ|земл҄еѭ
čudesa|чоудеса
da|да
uvěmъ|оувѣмъ
kako|како
i|и
sǫћemъjimъ|сѫщиимъ
vъ|въ
adě|адѣ
prosvětilъ|просвѣтилъ
jestъ|ѥстъ
propovědь|проповѣдь
čьto|чьто
ubo|оубо
vьxę|вьсѧ
li|ли
|
sъpasajetъ|съпасаѥтъ
avivъ|авивъ
sę|сѧ
vъ|въ
adě|адѣ
bogъ|богъ
ni|ни
nъ|нъ
i|и
tu|тоу
věrujǫћęję|вѣроуѭщѧѩ
vьčera|вьчера
|
tvorę|творѧ
a|а
dьnьsь|дьньсь
|
vьčera|вьчера
|
a|а
dьnьsь|дьньсь
|
děję|дѣѩ
vьčera|вьчера
čьlověčьskajǞ|чьловѣчьскаꙗ
a|а
dьnьsь|дьньсь
|
avĺǞjetъ|авлꙗѥтъ
vьčera|вьчера
za|за
uxo|оухо
udaŕenъ|оудар҄енъ
byvaaše|бъівааше
dьnьsь|дьньсь
že|же
|
božьjemь|божиѥмь
|
žilišče|жилище
bьjetъ|биѥтъ
vьčera|вьчера
sъvęzanъ|съвѧзанъ
byvaaše|бъівааше
dьnьsь|дьньсь
|
ǫzami|ѫзами
sъvęžetъ|съвѧжетъ
mǫčiteĺǞ|мѫчителꙗ
vьčera|вьчера
osǫђenъ|осѫжденъ
byvaaše|бъівааше
dьnьsь|дьньсь
osǫђenomъjimъ|осѫжденъіимъ
|
darujetъ|дароуѥтъ
vьčera|вьчера
slugy|слоугъі
|
rǫgaaxǫ|рѫгаахѫ
sę|сѧ
jemu|ѥмоу
dьnьsь|дьньсь
vortьniki|вратьници
|
viděvъše|видѣвъше
jьščezošę|ищезошѧ
nъ|нъ
ubo|оубо
slyši|слъіши
o|о
|
mǫkě|мѫцѣ
vyšьńeje|въішьн҄еѥ
slovo|слово
slyši|слъіши
i|и
vъspoji|въспои
slyši|слъіши
i|и
proslavi|прослави
slyši|слъіши
i|и
