povědaaše|повѣдааше
modlitvami|модлитвами
pričęstьniki|причѧстьници
bǫděmъ|бѫдѣмъ
kěsaŕьstva|цѣсар҄ьства
nebesьskajego|небесьскаѥго
nyně|нъінѣ
i|и
prisno|присно
i|и
vъ|въ
věky|вѣкъі
věkomъ|вѣкомъ
aminь|аминь
|
bo|бо
otъ|отъ
boga|бога
jesvě|ѥсвѣ
tvojejь|твоѥи
bo|бо
duši|доуши
|
|
|
i|и
do|до
sъmŕ̥ti|съмрьти
ne|не
dobrě|добрѣ
|
na|на
|
kъ|къ
bogu|богоу
mъnogo|мъного
bo|бо
|
ježe|ѥже
otъ|отъ
tebe|тебе
|
vъvŕ̥že|въврьже
tę|тѧ
vъ|въ
xulǫ|хоулѫ
anǵela|анꙉела
bo|бо
jegože|ѥгоже
posъla|посъла
gospodь|господь
jisusъ|исоусъ
xristosъ|христосъ
i|и
bogъ|богъ
|
usta|оуста
|
jegože|ѥгоже
ty|тъі
svojimь|своимь
|
|
vъ|въ
|
i|и
orzgněvavъ|разгнѣвавъ
sę|сѧ
|
povelě|повелѣ
|
|
biti|бити
jǞ|ꙗ
po|по
|
golgoĺę|глаголѩ
jemu|ѥмоу
ne|не
|
i|и
|
otъvěћǞvaji|отъвѣщаваи
věђь|вѣждь
ako|ако
perdъ|прѣдъ
kěsaŕemь|цѣсар҄емь
stojiši|стоиши
i|и
|
pavьla|павьла
|
sǫdьjiščǞ|сѫдиища
prizъvavъ|призъвавъ
|
reče|рече
kъ|къ
ńejь|н҄еи
|
mojeję|моѥѩ
dušę|доушѧ
|
umodĺena|оумодл҄ена
byvъši|бъівъши
otъ|отъ
mene|мене
ne|не
|
sę|сѧ
|
pavьla|павьла
bratra|братра
svojego|своѥго
viђǫ|виждѫ
bo|бо
tǫ|тѫ
děvikǫ|дѣвицѫ
mǫdrǫ|мѫдрѫ
sǫћǫ|сѫщѫ
i|и
mъnogǫ|мъногѫ
permǫdrostь|прѣмѫдрость
jьmǫћǫ|имѫщѫ
da|да
utěšivъši|оутѣшивъши
sę|сѧ
poslušǞji|послоушаи
mene|мене
i|и
bǫdeši|бѫдеши
|
mojejь|моѥи
duši|доуши
i|и
obrazy|образъі
|
postavĺǫ|поставлѭ
ti|ти
po|по
