317,призьрѣти,V-,прізьрѣті
318,оукоренити,V-,оукореніті
319,оуглѫбити,V-,оуглѫбіті
320,милость,Nb,мілость
321,оградити,V-,оградіті
322,острогъ,Nb,острогъ
323,въходъ,Nb,въходъ
324,исходъ,Nb,ісходъ
325,избавити,V-,ізбавіті
326,снѣгъ,Nb,снѣгъ
327,мразъ,Nb,мразъ
328,градъ#2,Nb,градъ#2
329,носити,V-,носіті
330,боурꙗ,Nb,боурѣ
331,възглашениѥ,Nb,възглашеніе
332,ꙗко#2,Df,ѣко#2
333,милостивъ,A-,мілостівъ
334,гроздъ,Nb,гроздъ
335,вино,Nb,віно
336,иманиѥ,Nb,іманіе
337,съпасъ,Nb,съпасъ
338,нашь,Ps,нашь
339,изволити,V-,ізволіті
340,ѥдиночѧдъ,A-,едіночѧдъ
341,сꙑнъ#1,Nb,съінъ#1
342,господь,Nb,господь
343,исоусъ,Ne,ісоусъ
344,плодъ,Nb,плодъ
345,бесъмрьтьнъ,A-,бесъмрьтьнъ
346,даровати,V-,дароваті
347,виньнъ,A-,віньнъ
348,благословити,V-,благословіті
349,богородица,Nb,богородіца
350,оугодити,V-,оугодіті
351,благодѣть,Nb,благодѣть
352,щедрота,Nb,штедрота
353,начѧтиѥ,Nb,начѧтіе
354,кꙑсѣлъ,A-,къісѣлъ
355,вода,Nb,вода
356,кана-галилеискъ,A-,канагалілеіскъ
357,бракъ,Nb,бракъ
358,авити,V-,авіті
359,оученикъ,Nb,оученікъ
360,посѣтити,V-,посѣтіті
361,жилище,Nb,жіліште
362,вьсꙗкъ,A-,вьсѣкъ
363,благъ,A-,благъ
364,растворѥниѥ,Nb,раствореніе
365,пити,V-,піті
366,да,G-,да
367,неприꙗзнинъ,A-,непріѣзнінъ
368,дѣтѣль,Nb,дѣтѣль
369,славити,V-,славіті
370,датель,Nb,датель
371,добръ,A-,добръ
372,приношениѥ,Nb,пріношеніе
373,благословлѥниѥ,Nb,благословленіе
374,домъ,Nb,домъ
375,храмъ,Nb,храмъ
376,съпаситель,Nb,съпасітель
377,подъ,R-,подъ
378,кровъ,Nb,кровъ
379,закьхеовъ,A-,закьхеовъ
380,вънити,V-,въніті
381,прѣчистъ,A-,прѣчістъ
