рѣзати|V-|58957|rězati|52|1|rěz|e_sl
вѣньць|Nb|65750|věnьkь|masc_o_PV3|2|věnьk|e_sl
како|Du|59133|kako||0|kako|e_sl
творити|V-|58852|tvoriti|40|1|tvor|e_sl
являти|V-|66191|avĺǢti|54|1|avjǢ|e_sl
образъ|Nb|60006|obrazъ|masc_o|2|obraz|e_sl
пьрвое|Df|79301|pŕ̥voje||0|pŕ̥voje|e_sl
человѣчьскыи|A-|60204|čьlověčьskъ|adj_hard|2|čьlověčьsk|e_sl
видѣние|Nb|67331|viděnьje|nt_jo|2|viděnьj|e_sl
лютыи|A-|68789|ĺutъ|adj_hard|2|ljut|e_sl
звѣрь|Nb|59018|zvěrь|masc_i|2|zvěr|e_sl
старыи|A-|65352|starъ|adj_hard|2|star|e_sl
борода|Nb|143039|borda|fem_a|2|bord|e_sl
правыи|A-|66214|pravъ|adj_hard|2|prav|e_sl
прострѣти|V-|64138|prosterti|13|1|prost|ch_sl
лѣвыи|A-|83919|lěvъ|adj_hard|2|lěv|e_sl
копие|Nb|69661|kopьje|nt_jo|2|kopьj|e_sl
обязати|V-|68591|obvęzati|52|1|obvęz|e_sl
передъ|R-|58985|perdъ||0|perdъ|e_sl
цѣловати|V-|65188|kělovati|61|1|kěl|e_sl
цвѣтъ|Nb|85697|květъ|masc_o|2|květ|e_sl
мясо|Nb|81241|męso|nt_o|2|męs|e_sl
ли|Df|73471|li||0|li|e_sl
свиния|Nb|60268|svinьjǢ|fem_ja|2|svinьj|e_sl
прияти|V-|59498|prijęti|12|1|prijьm|e_sl
съкрыти|V-|68377|sъkryti|18|1|sъkr|e_sl
покрывати|V-|68189|pokryvati|54|1|pokryva|e_sl
платъ|Nb|67458|poltъ|masc_o|2|polt|ch_sl
никъто|Px|82805|nikъto|kъto|2|ni|e_sl
вѣдѣти|V-|59476|věděti|wote|1||e_sl
въстокъ|Nb|68272|vъstokъ|masc_o|2|vъstok|e_sl
оба|Ma|59078|oba|pron_hard|2|ob|e_sl
ниць|A-|67330|nikь|masc_o_PV3|2|nik|ch_sl
садити|V-|66861|saditi|40|1|sad|e_sl
омывати|V-|69697|omyvati|54|1|omyva|e_sl
нога|Nb|60289|noga|fem_a|2|nog|e_sl
без|R-|66295|bez|voice_assim_prep|0|bez|e_sl
двьрь|Nb|60232|dvьrь|fem_i|2|dvьr|e_sl
жечи|V-|60191|žeћi|11|1|žeg|e_sl
дъчи|Nb|60290|dъћi|fem_R|2|dъkt|e_sl
кланяти|V-|65754|klańǢti|54|1|klanjǢ|e_sl
говорити|V-|122833|govoriti|40|1|govor|e_sl
иерусалимъ|Ne|58904|ijerusalimъ|masc_o|2|ijerusalim|e_sl
златыи|A-|78635|zoltъ|adj_hard|2|zolt|ch_sl
вънутрь|Df|65744|vъnǫtrь||0|vъnǫtrь|e_sl
рогъ|Nb|68353|rogъ|masc_o|2|rog|e_sl
мѣдь|Nb|64047|mědь|fem_i|2|měd|e_sl
зъвати|V-|65693|zъvati|51_abl|1|zъv|e_sl
пещи|V-|64394|peћi|11|1|pek|ch_sl
хлѣбъ|Nb|60184|xlěbъ|masc_o|2|xlěb|e_sl
попелъ|Nb|68814|popelъ|masc_o|2|popel|e_sl
мазати|V-|66320|mazati|52|1|maz|e_sl
лице|Nb|59927|like|nt_o_PV3|2|lik|e_sl
тѣло|Nb|58822|tělo|nt_S|2|těl|e_sl
христ(ос)овъ|A-|66913|xristosovъ|adj_hard|2|xristosov|ch_sl
бывати|V-|59322|byvati|54|1|byva|e_sl
пьрвѣе|Df|64416|pŕ̥věje||0|pŕ̥věje|e_sl
кънига|Nb|121755|kъńiga|fem_a|2|kъnjig|e_sl
срѣда|Nb|140441|serda|fem_a|2|serd|ch_sl
слава|Nb|64748|slava|fem_a|2|slav|e_sl
небо|Nb|58920|nebo|nt_S|2|neb|e_sl
проити|V-|65648|projьti|jьti|1|pro|e_sl
вьседьржитель|Nb|81169|vьxedŕ̥žiteĺь|masc_tel|2|vьxedŕ̥ži|e_sl
свѣтъ|Nb|70455|světъ|masc_o|2|svět|e_sl
корение|Nb|59276|korenьje|nt_jo|2|korenьj|e_sl
высокыи|A-|65093|vysokъ|adj_hard|2|vysok|e_sl
драгыи|A-|64876|dorgъ|adj_hard|2|dorg|ch_sl
локъть|Nb|66493|olkъtь|ten|2|olkъt|e_sl
малыи|A-|65416|malъ|adj_hard|2|mal|e_sl
жьртва|Nb|64016|žŕ̥tva|fem_a|2|žŕ̥tv|e_sl
дорогыи|A-|64876|dorgъ|adj_hard|2|dorg|e_sl
приносити|V-|60229|prinositi|40|1|prinos|e_sl
поити#2|V-|138242|pojiti|40|1|poj|ch_sl
зачати|V-|67619|začęti|12|1|začьn|e_sl
новыи|A-|65117|novъ|adj_hard|2|nov|e_sl
дьрати|V-|117888|dьrati|51_abl|1|dьr|e_sl
