lemma,lemma_id,pos,lemma_has_jer,tokens,jer_tokens
сколько,163345,Dq,true,сколко,
врѣдьныи,163347,A-,true,вреденъ,
въразумити,163348,V-,true,враȥѹмит|вразꙋмит|вразꙋмит꙽|вразꙋмити|врзѹми|вразѹмит|вразоуми|вразоумившемоу,
беспечальныи,163349,A-,true,беспечалны,
съдьрати,163354,V-,true,содрати|содравше|содравъ|содрали,
рожьнъ,163356,Nb,true,роженъ,
въньзати,163358,V-,true,вонȥахѹ,
издьрати,163360,V-,true,иȥдранѹ,
отъсѣщи,163361,V-,true,ѿсѣщи|ѿсещи,
затъкнути,163362,V-,true,ȥаткнѹ|затче,
съклонити,163363,V-,true,склони,
кралевьскыи,163365,A-,true,кралевьскыи,
поклисарьство,163367,Nb,true,поклисарство,
неизящьныи,163368,A-,true,неиȥѧщенъ,
малоумьныи,163369,A-,true,малоѹмна,
великоумьныи,163370,A-,true,вкеликоѹмнѹ|великоѹмнѹ,
въсаждати,163371,V-,true,всаждаше,
отъписовати,163372,V-,true,ѿписоваше,
посъльство,163373,Nb,true,посольство,
окаяньство,163375,Nb,true,ѡкаанства,
тьмьничьныи,163383,A-,true,темничныѧ,
латыньскыи,163384,A-,true,латыньскѹю|латынски|латынском|латыньскаѧ,
родьныи,163385,A-,true,роднѹю|родных|роднова|роднои|родные,
отъсѣкати,163386,V-,true,ѿсѣкаше|ѿсѣкати|ѿсѣкая,
разбоиничьскы,163392,Df,true,раȥбоиническы,
варадиньскыи,163395,A-,true,варадинског,
молдовьскыи,163397,A-,true,молдовскыи,
воеводьскыи,163398,A-,true,воеводскаго|воеводскѹю|воеводъская,
младеньство,163400,Nb,true,младенства|младеньс꙽тво|младеньс꙽тва|младеньствѣ,младеньс꙽тва
ръкътати,163412,V-,true,рокотаху,
съпалати,163416,V-,true,Спала,
мысльныи,163423,A-,true,мыслену|мысленым,
съвивати,163424,V-,true,свивая,
ръжати,163428,V-,true,ржуть|ръжут|ржетъ,ръжут
звьнѣти,163429,V-,true,звенить|звенит,
седьлати,163432,V-,true,Сѣдлай|седлаи,
съвѣдомыи,163433,A-,true,свѣдоми|свѣдома,
възлелѣяти,163435,V-,true,възлелѣяны|Възлелѣй|возлелиянꙑ,
бълванъ,163445,Nb,true,блъванъ,
въсрожити,163448,V-,true,въсрожатъ,въсрожатъ
клекътъ,163449,Nb,true,клектомъ,
мьркнути,163453,V-,true,мркнетъ,
мьгла,163454,Nb,true,мъгла|мьглѣ|мьглами|мъглами,
щекътъ,163455,Nb,true,щекотъ,
помъчати,163460,V-,true,помчаша|помчали,
орьтъма,163462,Nb,true,Орьтъмами,
японъчица,163463,Nb,true,япончицами,
челъка,163467,Nb,true,чолка,
мутьныи,163478,A-,true,мутно|мутенъ,
грьмѣти,163485,V-,true,гремлеши|гримит|гремят|гремѣли,
харалужьныи,163486,A-,true,харалужными|харалужныя|харалужныи|хараужничьнꙑми,
оварьскыи,163490,A-,true,оварьскыя,
съвычаи,163493,Nb,true,свычая,
постьлати,163499,V-,true,постала|послано|постели,
