самъ|Pd|64012|samъ|pron_hard|2|sam
вязати|V-|68254|vęzati|52|1|vęz
зубъ|Nb|65193|zǫbъ|masc_o|2|zǫb
оболочити|V-|66309|obvolčiti|40|1|obvolč
мѣсто|Nb|60263|město|nt_o|2|měst
приводити|V-|68373|privoditi|40|1|privod
продаяти|V-|59101|prodajǢti|53|1|prodaj
лучии|A-|67912|lučь|adj_soft_comp|2|luč
память|Nb|64973|pamętь|fem_i|2|pamęt
покровъ|Nb|64277|pokrovъ|masc_o|2|pokrov
богородица|Nb|118402|bogorodika|fem_a_PV3|2|bogorodik
пътица|Nb|66252|pъtika|fem_a_PV3|2|pъtik
хоромина|Nb|67990|xormina|fem_a|2|xormin
умрѣти|V-|60024|umerti|13|1|um
мамона|Nb|66469|mamona|fem_a|2|mamon
имати|V-|68173|jьmati|52_abl|1|jьm
куръ|Nb|138777|kurъ|masc_o|2|kur
или|C-|59467|ili||0|ili
камение|Nb|59205|kamenьje|nt_jo|2|kamenьj
посылати|V-|68022|posylati|54|1|posyla
дворъ|Nb|65743|dvorъ|masc_o|2|dvor
вельми|Df|82629|velьmi||0|velьmi
мати|Nb|64173|mati|fem_R|2|mat
метати|V-|64046|metati|iskati|1|met
учити|V-|59070|učiti|40|1|uč
сильныи|A-|67653|silьnъ|adj_hard|2|silьn
добрѣ|Df|60192|dobrě||0|dobrě
носити|V-|64270|nositi|40|1|nos
прѣдъ|R-|58985|perdъ||0|perdъ
водити|V-|64392|voditi|40|1|vod
простыи|A-|66383|prostъ|adj_hard|2|prost
сторожь|Nb|66820|storžь|masc_jo|2|storž
къто|Pi|59233|kъto|kъto|2|
золото|Nb|67808|zolto|nt_o|2|zolt
послѣдьнии|A-|58788|poslědьńь|adj_soft|2|poslědьnj
камы|Nb|59513|kamy|masc_N|2|kam
нощь|Nb|59412|noћь|fem_i|2|nokt
продати|V-|64916|prodati|dati|1|pro
змия|Nb|65965|zmьjǢ|fem_ja|2|zmьj
филиповъ|A-|64761|filipovъ|adj_hard|2|filipov
рожьство|Nb|66509|roђьstvo|nt_o|2|rodjьstv
познати|V-|66596|poznati|54|1|pozna
крыти|V-|135162|kryti|18|1|kr
ни|Df|59339|ni||0|ni
вещь|Nb|67446|veћь|fem_i|2|vekt
вѣровати|V-|59039|věrovati|61|1|věr
родъ|Nb|64405|rodъ|masc_o|2|rod
пити|V-|65114|piti|17|1|p
ясти|V-|60205|jǢsti|eat|1|
женити|V-|60119|ženiti|40|1|žen
рыба|Nb|66668|ryba|fem_a|2|ryb
съвѣщати|V-|67039|sъvěšћǢti|54|1|sъvěstjǢ
