jьz|из 
sъpustivъ|спустив sъpustitъ|спустит sъpustiti|спустити sъpuščenъ|спущен sъpustila|спустила sъpustilъ|спустил sъpuščь|спущ sъpustäčь|спустяч sъpustä|спустя sъpustimь|спустимь sъpuščaaxu|спущааху sъpuščaaxomъ|спущаахом sъpuščaašete|спущаашете sъpuščaašeta|спущаашета sъpustilo|спустило sъpustili|спустили sъpuščaaxově|спущаахове sъpuščaaxъ|спущаах sъpustiša|спустиша sъpuščaaše|спущааше sъpustixomъ|спустихом sъpustiste|спустисте sъpustista|спустиста sъpustixově|спустихове sъpusti|спусти sъpustixъ|спустих sъpustätь|спустять sъpustimъ|спустим sъpustite|спустите sъpustita|спустита sъpustivě|спустиве sъpustitь|спустить sъpustiši|спустиши sъpušču|спущу 
vъzlěste|взлесте vъzlěsta|взлеста vъzlěxъ|взлех vъzlegoxomъ|взлегохом vъzlegoste|взлегосте vъzlegosta|взлегоста vъzlegoxově|взлегохове vъzlegoxъ|взлегох vъzleštь|взлещ vъzlegli|взлегли vъzlegla|взлегла vъzlešti|взлещи vъzleglъ|взлегл vъzläga|взляга vъzläʒěmъ|взлязьем vъzläʒěte|взлязьете vъzlěša|взлеша vъzläʒěvě|взлязьеве vъzlägomъ|взлягом vъzläʒi|взлязьи vъzläʒěmь|взлязьемь vъzlěxově|взлехове vъzležaaxu|взлежааху vъzležaaxomъ|взлежаахом vъzležaašete|взлежаашете vъzležaašeta|взлежаашета vъzležaaxově|взлежаахове vъzležaaše|взлежааше vъzležaaxъ|взлежаах vъzlegu|взлегу vъzležete|взлежете vъzläʒěta|взлязьета vъzležeta|взлежета vъzlegově|взлегове vъzleže|взлеже vъzlegъ|взлег vъzlägutь|взлягуть vъzleženъ|взлежен vъzläžemъ|взляжем vъzläguštь|взлягущ vъzläžete|взляжете vъzleglo|взлегло vъzläžeta|взляжета vъzlegomъ|взлегом vъzläževě|взляжеве vъzlěxomъ|взлехом vъzläžetь|взляжеть vъzläžeši|взляжеши vъzlegoša|взлегоша vъzlägu|взлягу 
otъloživъ|отложив otъložitъ|отложит otъloženъ|отложен otъložilo|отложило otъložili|отложили otъložila|отложила otъložilъ|отложил otъloža|отложа otъložь|отлож otъložačь|отложач otъložimь|отложимь otъložaaxu|отложааху otъložaaxomъ|отложаахом otъložaašete|отложаашете otъložaaxově|отложаахове otъložaaše|отложааше otъložaaxъ|отложаах otъložiti|отложити otъložaašeta|отложаашета otъložiša|отложиша otъložixomъ|отложихом otъložiste|отложисте otъložista|отложиста otъložixově|отложихове otъloži|отложи otъložixъ|отложих otъložatь|отложать otъložimъ|отложим otъložite|отложите otъložita|отложита otъloživě|отложиве otъložitь|отложить otъložiši|отложиши otъložu|отложу 
otъvraštajěmъ|отвращаем otъvraštajěvě|отвращаеве otъvraštatъ|отвращат otъvraštati|отвращати otъvraštanъ|отвращан otъvraštala|отвращала otъvraštajěta|отвращаета otъvraštalъ|отвращал otъvraštajuštь|отвращающ otъvraštaja|отвращая otъvraštajite|отвращаите otъvraštalo|отвращало otъvraštali|отвращали otъvraštajita|отвращаита otъvraštajivě|отвращаиве otъvraštaji|отвращаи otъvraštajimь|отвращаимь otъvraštaaxomъ|отвращаахом otъvraštaašete|отвращаашете otъvraštaaxově|отвращаахове otъvraštaaše|отвращааше otъvraštaaxъ|отвращаах otъvraštaašeta|отвращаашета otъvraštaxomъ|отвращахом otъvraštaste|отвращасте otъvraštasta|отвращаста otъvraštaxově|отвращахове otъvraštaaxu|отвращааху otъvrašta|отвраща otъvraštavъ|отвращав otъvraštaša|отвращаша otъvraštaxъ|отвращах otъvraštajutь|отвращають otъvraštajemъ|отвращаем otъvraštajete|отвращаете otъvraštajeta|отвращаета otъvraštajevě|отвращаеве otъvraštajěte|отвращаете otъvraštajimъ|отвращаим otъvraštajetь|отвращаеть otъvraštaješi|отвращаеши otъvraštaju|отвращаю 
obъxodivъ|обходив obъxoditi|обходити obъxoditъ|обходит obъxodili|обходили obъxodilъ|обходил obъxožь|обхож obъxodäčь|обходяч obъxodä|обходя obъxodila|обходила obъxodimь|обходимь obъxožaaxomъ|обхожаахом obъxožaaxu|обхожааху obъxožaašete|обхожаашете obъxožaašeta|обхожаашета obъxožaaxově|обхожаахове obъxožaaxъ|обхожаах obъxodixomъ|обходихом obъxodiste|обходисте obъxodista|обходиста obъxodixově|обходихове obъxodi|обходи obъxodixъ|обходих obъxodätь|обходять obъxoženъ|обхожен obъxodimъ|обходим obъxodite|обходите obъxožaaše|обхожааше obъxodita|обходита obъxodivě|обходиве obъxoditь|обходить obъxodiša|обходиша obъxodiši|обходиши obъxodilo|обходило obъxožu|обхожу 
čьstivъ|чстив čьstitъ|чстит čьščenъ|чщен čьstilo|чстило čьstili|чстили čьstila|чстила čьstilъ|чстил čьščь|чещ čьstäčь|чстяч čьstä|чстя čьstimь|чстимь čьščaaxomъ|чщаахом čьščaaxu|чщааху čьščaašete|чщаашете čьstiti|чстити čьščaaxově|чщаахове čьščaaše|чщааше čьščaaxъ|чщаах čьstixomъ|чстихом čьstiste|чстисте čьstiša|чстиша čьstista|чстиста čьstixově|чстихове čьsti|чсти čьstixъ|чстих čьstätь|чстять čьstimъ|чстим čьstite|чстите čьščaašeta|чщаашета čьstivě|чстиве čьstitь|чстить čьstita|чстита čьstiši|чстиши čьšču|чщу 
vъznosivъ|взносив vъznositi|взносити vъznošenъ|взношен vъznosilo|взносило vъznosili|взносили vъznosila|взносила vъznošь|взнош vъznosäčь|взносяч vъznosä|взнося vъznosimь|взносимь vъznošaaxu|взношааху vъznošaaxomъ|взношаахом vъznošaašete|взношаашете vъznositъ|взносит vъznošaašeta|взношаашета vъznošaaxově|взношаахове vъznošaaše|взношааше vъznosilъ|взносил vъznošaaxъ|взношаах vъznosiša|взносиша vъznosixomъ|взносихом vъznosiste|взносисте vъznosista|взносиста vъznosixově|взносихове vъznosi|взноси vъznosixъ|взносих vъznosätь|взносять vъznosimъ|взносим vъznosite|взносите vъznosita|взносита vъznosivě|взносиве vъznositь|взносить vъznosiši|взносиши vъznošu|взношу 
zatъxnuša|затхнуша zatъxnuste|затхнусте zatъxnusta|затхнуста zatъxnuxъ|затхнух zatъxnuxomъ|затхнухом zatъxnuvъ|затхнув zatъxoša|затхоша zatъxoxomъ|затхохом zatъxoste|затхосте zatъxnuxově|затхнухове zatъxosta|затхоста zatъxoxově|затхохове zatъxoxъ|затхох zatъxnutъ|затхнут zatъšenъ|затшен zatъxlo|затхло zatъxli|затхли zatъxla|затхла zatъxnuti|затхнути zatъxlъ|затохл zatъxnučь|затхнуч zatъxna|затхна zatъxněmъ|затхнем zatъxněte|затхнете zatъxněta|затхнета zatъxněvě|затхневе zatъxni|затхни zatъxněaxomъ|затхняхом zatъxněašete|затхняшете zatъxněašeta|затхняшета zatъxněaxově|затхняхове zatъxněaše|затхняше zatъxněaxъ|затхнях zatъxu|затху zatъxomъ|затхом zatъšete|затшете zatъšeta|затшета zatъxově|затхове zatъše|затше zatъxъ|затох zatъxnutь|затхнуть zatъxnemъ|затхнем zatъxnete|затхнете zatъxneta|затхнета zatъxněaxu|затхняху zatъxnevě|затхневе zatъxněmь|затхнемь zatъxnetь|затхнеть zatъxneši|затхнеши zatъxnu|затхну 
otъpojěmъ|отпоем otъpojěte|отпоете otъpojěta|отпоета otъpěašete|отпяшете otъpěaxově|отпяхове otъpěaše|отпяше otъpěaxomъ|отпяхом otъpěaxъ|отпях otъpěti|отпети otъpělo|отпело otъpěli|отпели otъpěla|отпела otъpělъ|отпел otъpěvъ|отпев otъpojučь|отпоюч otъpojimъ|отпоим otъpojita|отпоита otъpojěvě|отпоеве otъpojivě|отпоиве otъpoji|отпои otъpojimь|отпоимь otъpojaaxu|отпояаху otъpojaaxomъ|отпояахом otъpojaašete|отпояашете otъpojaašeta|отпояашета otъpěaxu|отпяху otъpojaaxově|отпояахове otъpojaaxъ|отпояах otъpěša|отпеша otъpěxomъ|отпехом otъpěašeta|отпяшета otъpojite|отпоите otъpěste|отпесте otъpěsta|отпеста otъpěxově|отпехове otъpoja|отпоя otъpojaaše|отпояаше otъpě|отпе otъpětъ|отпет otъpěxъ|отпех otъpětь|отпеть otъpojutь|отпоють otъpojemъ|отпоем otъpojete|отпоете otъpojeta|отпоета otъpojevě|отпоеве otъpojetь|отпоеть otъpoješi|отпоеши otъpoju|отпою 
sъměŕajěmъ|смеряем sъměŕajěta|смеряета sъměŕajěvě|смеряеве sъměŕatъ|смерят sъměŕati|смеряти sъměŕanъ|смерян sъměŕalo|смеряло sъměŕali|смеряли sъměŕala|смеряла sъměŕalъ|смерял sъměŕavъ|смеряв sъměŕajučь|смеряюч sъměŕaja|смеряя sъměŕajimъ|смеряим sъměŕajite|смеряите sъměŕajěte|смеряете sъměŕajita|смеряита sъměŕajivě|смеряиве sъměŕaji|смеряи sъměŕajimь|смеряимь sъměŕaaxu|смеряаху sъměŕaaxomъ|смеряахом sъměŕaašete|смеряашете sъměŕaašeta|смеряашета sъměŕaaxově|смеряахове sъměŕaaše|смеряаше sъměŕaaxъ|смеряах sъměŕaša|смеряша sъměŕaxomъ|смеряхом sъměŕaste|смерясте sъměŕaxově|смеряхове sъměŕa|смеря sъměŕaxъ|смерях sъměŕajutь|смеряють sъměŕasta|смеряста sъměŕajete|смеряете sъměŕajeta|смеряета sъměŕajevě|смеряеве sъměŕajetь|смеряеть sъměŕajemъ|смеряем sъměŕaješi|смеряеши sъměŕaju|смеряю 
perebьratъ|перебьрат perebьrati|перебьрати perebьranъ|перебьран perebьrali|перебьрали perebьrala|перебьрала perebьralъ|перебьрал perebьravъ|перебьрав perebьraaxu|перебьрааху perebьraaxomъ|перебьраахом perebьraašete|перебьраашете perebьraašeta|перебьраашета perebьraaxově|перебьраахове perebьraaše|перебьрааше perebьraaxъ|перебьраах perebьraša|перебьраша perebьralo|перебьрало perebьraxomъ|перебьрахом perebьraste|перебьрасте perebьrasta|перебьраста perebьraxově|перебьрахове perebьra|перебьра perebьraxъ|перебьрах 
vъsxvalivъ|всхвалив vъsxvalitъ|всхвалит vъsxvaliti|всхвалити vъsxvaĺenъ|всхвален vъsxvalilo|всхвалило vъsxvalili|всхвалили vъsxvalila|всхвалила vъsxvalilъ|всхвалил vъsxvaĺь|всхваль vъsxvaläčь|всхваляч vъsxvalä|всхваля vъsxvalimь|всхвалимь vъsxvaĺaaxu|всхваляаху vъsxvaĺaaxomъ|всхваляахом vъsxvaĺaašete|всхваляашете vъsxvaĺaaxově|всхваляахове vъsxvaĺaaše|всхваляаше vъsxvaĺaaxъ|всхваляах vъsxvališa|всхвалиша vъsxvalixomъ|всхвалихом vъsxvaliste|всхвалисте vъsxvalista|всхвалиста vъsxvalixově|всхвалихове vъsxvali|всхвали vъsxvalixъ|всхвалих vъsxvalätь|всхвалять vъsxvalimъ|всхвалим vъsxvalite|всхвалите vъsxvaĺaašeta|всхваляашета vъsxvalita|всхвалита vъsxvalivě|всхваливе vъsxvalitь|всхвалить vъsxvališi|всхвалиши vъsxvaĺu|всхвалю 
vъzvorotivъ|взворотив vъzvorotitъ|взворотит vъzvorotiti|взворотити vъzvoročenъ|взворочен vъzvorotilo|взворотило vъzvorotili|взворотили vъzvorotila|взворотила vъzvorotilъ|взворотил vъzvoročь|взвороч vъzvorotäčь|взворотяч vъzvorotä|взворотя vъzvorotimь|взворотимь vъzvoročaaxu|взворочааху vъzvoročaašete|взворочаашете vъzvoročaašeta|взворочаашета vъzvoročaaxově|взворочаахове vъzvoročaaše|взворочааше vъzvoročaaxъ|взворочаах vъzvorotiša|взворотиша vъzvorotixomъ|взворотихом vъzvorotista|взворотиста vъzvorotixově|взворотихове vъzvoroti|взвороти vъzvorotixъ|взворотих vъzvorotiste|взворотисте vъzvorotätь|взворотять vъzvoročaaxomъ|взворочаахом vъzvorotimъ|взворотим vъzvorotite|взворотите vъzvorotita|взворотита vъzvorotivě|взворотиве vъzvorotitь|взворотить vъzvorotiši|взворотиши vъzvoroču|взворочу 
jьzobrětäčь|изобретяч jьzobrětä|изобретя jьzobrěti|изобрети jьzobräčaaxu|изобрячааху jьzobräčaaxomъ|изобрячаахом jьzobrětite|изобретите jьzobräčaašeta|изобрячаашета jьzobräčaaxově|изобрячаахове jьzobrětoša|изобретоша jьzobräčaaše|изобрячааше jьzobrětoste|изобретосте jьzobrětosta|изобретоста jьzobrětoxově|изобретохове jьzobrětoxomъ|изобретохом jьzobrětutь|изобретуть jьzobrětemъ|изобретем jьzobrětetь|изобрететь jьzobräčaaxъ|изобрячаах jьzobrěteši|изобретеши jьzobrěstъ|изобрест jьzobrěsti|изобрести jьzobrětenъ|изобретен jьzobrěli|изобрели jьzobrělъ|изобрел jьzobräčaašete|изобрячаашете jьzobräčučь|изобрячуч jьzobrělo|изобрело jьzobräča|изобряча jьzobräčimъ|изобрячим jьzobräčite|изобрячите jьzobrětoxъ|изобретох jьzobräčita|изобрячита jьzobräčivě|изобрячиве jьzobrěla|изобрела jьzobräčimь|изобрячимь jьzobrětěaxu|изобретяху jьzobrětěašete|изобретяшете jьzobrětěaxově|изобретяхове jьzobrětevě|изобретеве jьzobrětěaše|изобретяше jьzobrětěaxъ|изобретях jьzobrětu|изобрету jьzobrětomъ|изобретом jьzobrětete|изобретете jьzobrěteta|изобретета jьzobrětově|изобретове jьzobrěte|изобрете jьzobrětěašeta|изобретяшета jьzobrětъ|изобрет jьzobräči|изобрячи jьzobräčutь|изобрячуть jьzobräčemъ|изобрячем jьzobrětěaxomъ|изобретяхом jьzobräčete|изобрячете jьzobräčeta|изобрячета jьzobräčevě|изобрячеве jьzobräčetь|изобрячеть jьzobräčeši|изобрячеши jьzobräču|изобрячу 
prozьrěnъ|прозьрен prozьrělo|прозьрело prozьrěli|прозьрели prozьrěla|прозьрела prozьrělъ|прозьрел prozьräčь|прозьряч prozьrěvъ|прозьрев prozьrä|прозьря prozьri|прозьри prozьŕimь|прозьрьимь prozьrěaxu|прозьряху prozьrěaxomъ|прозьряхом prozьrěašete|прозьряшете prozьrěti|прозьрети prozьrěašeta|прозьряшета prozьrěaxově|прозьряхове prozьrěaxъ|прозьрях prozьrěxomъ|прозьрехом prozьrěste|прозьресте prozьrěsta|прозьреста prozьrěxově|прозьрехове prozьrě|прозьре prozьrěxъ|прозьрех prozьrätь|прозьрять prozьrimъ|прозьрим prozьrite|прозьрите prozьrita|прозьрита prozьrěaše|прозьряше prozьrivě|прозьриве prozьrětъ|прозьрет prozьritь|прозьрить prozьriši|прозьриши prozьrěša|прозьреша prozьŕu|прозьрю 
sъtṝpětъ|стерпет sъtṝpěti|стерпети sъtṝpěnъ|стерпен sъtṝpělo|стерпело sъtṝpěli|стерпели sъtṝpěla|стерпела sъtṝpělъ|стерпел sъtṝpěvъ|стерпев sъtṝpäčь|стерпяч sъtṝpä|стерпя sъtṝpi|стерпи sъtṝpěaxu|стерпяху sъtṝpěaxomъ|стерпяхом sъtṝpěašete|стерпяшете sъtṝpěašeta|стерпяшета sъtṝpěaxově|стерпяхове sъtṝpěaše|стерпяше sъtṝpěaxъ|стерпях sъtṝpěša|стерпеша sъtṝpěxomъ|стерпехом sъtṝpĺimь|стерпльимь sъtṝpěste|стерпесте sъtṝpěsta|стерпеста sъtṝpěxově|стерпехове sъtṝpě|стерпе sъtṝpätь|стерпять sъtṝpimъ|стерпим sъtṝpite|стерпите sъtṝpita|стерпита sъtṝpěxъ|стерпех sъtṝpivě|стерпиве sъtṝpitь|стерпить sъtṝpiši|стерпиши sъtṝpĺu|стерплю 
vъdvaŕajěmъ|вдваряем vъdvaŕajěte|вдваряете vъdvaŕajěta|вдваряета vъdvaŕajěvě|вдваряеве vъdvaŕatъ|вдварят vъdvaŕanъ|вдварян vъdvaŕali|вдваряли vъdvaŕala|вдваряла vъdvaŕalъ|вдварял vъdvaŕavъ|вдваряв vъdvaŕajučь|вдваряюч vъdvaŕalo|вдваряло vъdvaŕajimъ|вдваряим vъdvaŕajite|вдваряите vъdvaŕajita|вдваряита vъdvaŕajimь|вдваряимь vъdvaŕaja|вдваряя vъdvaŕaaxu|вдваряаху vъdvaŕajivě|вдваряиве vъdvaŕaaxomъ|вдваряахом vъdvaŕaašete|вдваряашете vъdvaŕati|вдваряти vъdvaŕaji|вдваряи vъdvaŕaašeta|вдваряашета vъdvaŕaaxově|вдваряахове vъdvaŕaaše|вдваряаше vъdvaŕaaxъ|вдваряах vъdvaŕaša|вдваряша vъdvaŕaxomъ|вдваряхом vъdvaŕaste|вдварясте vъdvaŕasta|вдваряста vъdvaŕaxově|вдваряхове vъdvaŕa|вдваря vъdvaŕaxъ|вдварях vъdvaŕajutь|вдваряють vъdvaŕajemъ|вдваряем vъdvaŕajete|вдваряете vъdvaŕajeta|вдваряета vъdvaŕajevě|вдваряеве vъdvaŕajetь|вдваряеть vъdvaŕaješi|вдваряеши vъdvaŕaju|вдваряю 
unъjěmъ|унем unъjěte|унете unъjěta|унета unъjěvě|уневе unъja|уня unъjimъ|уним unъjite|уните unъjivě|униве unъji|уни unъjimь|унимь unъjaaxu|уняаху unъjaašete|уняашете unъjaašeta|уняашета unъjaaxově|уняахове unъjaaxъ|уняах unъjučь|унюч unъjaaxomъ|уняахом unъjutь|унють unъjemъ|унем unъjete|унете unъjaaše|уняаше unъjeta|унета unъjita|унита unъjevě|уневе unъjetь|унеть unъješi|унеши unъvenъ|унвен unъju|уню 
provъzglasivъ|провзгласив provъzglasitъ|провзгласит provъzglašenъ|провзглашен provъzglasilo|провзгласило provъzglasili|провзгласили provъzglasila|провзгласила provъzglasilъ|провзгласил provъzglasiti|провзгласити provъzglašь|провзглаш provъzglasäštь|провзгласящ provъzglasä|провзглася provъzglasimь|провзгласимь provъzglašaaxu|провзглашааху provъzglašaaxomъ|провзглашаахом provъzglašaašete|провзглашаашете provъzglašaašeta|провзглашаашета provъzglašaaxově|провзглашаахове provъzglašaaše|провзглашааше provъzglašaaxъ|провзглашаах provъzglasiša|провзгласиша provъzglasixomъ|провзгласихом provъzglasixově|провзгласихове provъzglasi|провзгласи provъzglasiste|провзгласисте provъzglasixъ|провзгласих provъzglasätь|провзгласять provъzglasimъ|провзгласим provъzglasista|провзгласиста provъzglasite|провзгласите provъzglasita|провзгласита provъzglasivě|провзгласиве provъzglasitь|провзгласить provъzglasiši|провзгласиши provъzglašu|провзглашу 
vъoružajěmъ|воружаем vъoružajěte|воружаете vъoružajěvě|воружаеве vъoružatъ|воружат vъoružajěta|воружаета vъoružanъ|воружан vъoružalo|воружало vъoružali|воружали vъoružala|воружала vъoružalъ|воружал vъoružavъ|воружав vъoružaja|воружая vъoružajita|воружаита vъoružajite|воружаите vъoružaji|воружаи vъoružajimъ|воружаим vъoružajimь|воружаимь vъoružaaxomъ|воружаахом vъoružaašete|воружаашете vъoružaašeta|воружаашета vъoružaaxově|воружаахове vъoružaaxъ|воружаах vъoružaša|воружаша vъoružati|воружати vъoružajivě|воружаиве vъoružaxomъ|воружахом vъoružaste|воружасте vъoružasta|воружаста vъoružaxově|воружахове vъoruža|воружа vъoružaxъ|воружах vъoružajutь|воружають vъoružajemъ|воружаем vъoružajete|воружаете vъoružajučь|воружаюч vъoružajeta|воружаета vъoružajevě|воружаеве vъoružaaxu|воружааху vъoružajetь|воружаеть vъoružaješi|воружаеши vъoružaaše|воружааше vъoružaju|воружаю 
raždьʒěmъ|раждьзьем raždьʒěte|раждьзьете raždьʒěta|раждьзьета raždьʒěvě|раждьзьеве raždьʒi|раждьзьи raždьʒěmь|раждьзьемь 
otъstavivъ|отставив otъstaviti|отставити otъstavĺenъ|отставлен otъstavitъ|отставит otъstavilo|отставило otъstavila|отставила otъstavilъ|отставил otъstavĺь|отставль otъstaväčь|отставяч otъstavä|отставя otъstavimь|отставимь otъstavili|отставили otъstavĺaaxu|отставляаху otъstavĺaaxomъ|отставляахом otъstavĺaašete|отставляашете otъstavĺaašeta|отставляашета otъstavĺaaxově|отставляахове otъstavĺaaše|отставляаше otъstavĺaaxъ|отставляах otъstaviša|отставиша otъstavixomъ|отставихом otъstaviste|отстависте otъstavista|отстависта otъstavixově|отставихове otъstavi|отстави otъstavätь|отставять otъstavimъ|отставим otъstavixъ|отставих otъstavite|отставите otъstavita|отставита otъstavivě|отставиве otъstavitь|отставить otъstaviši|отставиши otъstavĺu|отставлю 
dovьlätь|довьлять dovьlějite|довьлеите dovьlěji|довьлеи dovьlějutь|довьлеють dovьlějete|довьлеете dovьlějeta|довьлеета dovьlějevě|довьлееве dovьlějetь|довьлееть dovьlěješi|довьлееши dovьlěju|довьлею dovьlějemъ|довьлеем dovьlětъ|довьлет dovьlěti|довьлети dovьlěnъ|довьлен dovьlělo|довьлело dovьlěla|довьлела dovьlělъ|довьлел dovьlějučь|довьлеюч dovьlěja|довьлея dovьĺita|довьльита dovьĺivě|довьльиве dovьĺi|довьльи dovьlěaxu|довьляху dovьlěaxomъ|довьляхом dovьĺite|довьльите dovьlěašete|довьляшете dovьlěašeta|довьляшета dovьlěaxově|довьляхове dovьlěaše|довьляше dovьlěaxъ|довьлях dovьlěša|довьлеша dovьlěxomъ|довьлехом dovьlěste|довьлесте dovьlěxově|довьлехове dovьlě|довьле dovьlěxъ|довьлех dovьĺemъ|довьлем dovьlěvъ|довьлев dovьĺete|довьлете dovьĺimъ|довьльим dovьĺimь|довьльимь dovьĺeta|довьлета dovьlěli|довьлели dovьĺevě|довьлеве dovьĺetь|довьлеть dovьĺutь|довьлють dovьĺeši|довьлеши dovьlěsta|довьлеста dovьĺu|довьлю 
sъjědäčь|седяч sъjěxajite|сехаите sъjěxaji|сехаи sъjědoša|седоша sъjědoxomъ|седохом sъjědoste|седосте sъjědosta|седоста sъjědoxově|седохове sъjědoxъ|седох sъjěxatъ|сехат sъjěxati|сехати sъjěxalo|сехало sъjěxali|сехали sъjěxala|сехала sъjěxalъ|сехал sъjěvъ|сев sъjědučь|седуч sъjěxavъ|сехав sъjědä|седя sъjěděmъ|седем sъjěděte|седете sъjěděvě|седеве sъjědi|седи sъjěděmь|седемь sъjěděaxu|седяху sъjěděaxomъ|седяхом sъjěděašete|седяшете sъjěděašeta|седяшета sъjěděaxově|седяхове sъjěděaše|седяше sъjěděaxъ|седях sъjědomъ|седом sъjědově|седове sъjěde|седе sъjědъ|сед sъjědutь|седуть sъjěda|седа sъjědete|седете sъjědeta|седета sъjědevě|седеве sъjědetь|седеть sъjěděta|седета sъjědeši|седеши sъjědemъ|седем sъjědu|седу 
vъzmutivъ|взмутив vъzmutitъ|взмутит vъzmutiti|взмутити vъzmučenъ|взмучен vъzmutilo|взмутило vъzmutila|взмутила vъzmučь|взмуч vъzmutäčь|взмутяч vъzmutä|взмутя vъzmutimь|взмутимь vъzmučaaxu|взмучааху vъzmučaaxomъ|взмучаахом vъzmučaašete|взмучаашете vъzmučaašeta|взмучаашета vъzmučaaxově|взмучаахове vъzmučaaše|взмучааше vъzmučaaxъ|взмучаах vъzmutiša|взмутиша vъzmutixomъ|взмутихом vъzmutiste|взмутисте vъzmutili|взмутили vъzmutixově|взмутихове vъzmutista|взмутиста vъzmuti|взмути vъzmutilъ|взмутил vъzmutixъ|взмутих vъzmutätь|взмутять vъzmutimъ|взмутим vъzmutite|взмутите vъzmutita|взмутита vъzmutivě|взмутиве vъzmutitь|взмутить vъzmutiši|взмутиши vъzmuču|взмучу 
umъjěmъ|умем umъjěte|умете umъjěta|умета umъvenъ|умвен umъjučь|умюч umъja|умя umъjimъ|умим umъjite|умите umъjita|умита umъjivě|умиве umъjaaxomъ|умяахом umъjimь|умимь umъjaašete|умяашете umъjaašeta|умяашета umъjaaše|умяаше umъjaaxъ|умяах umъjěvě|умеве umъjaaxu|умяаху umъjaaxově|умяахове umъjutь|умють umъjemъ|умем umъjete|умете umъjeta|умета umъji|уми umъjevě|умеве umъjetь|уметь umъješi|умеши umъju|умю 
sъjedinivъ|сединив sъjedinitъ|сединит sъjediniti|сединити sъjedińenъ|сединен sъjedinilo|сединило sъjedinili|сединили sъjedinila|сединила sъjedinilъ|сединил sъjedińь|сединь sъjedinäčь|сединяч sъjedinä|сединя sъjedinimь|сединимь sъjedińaaxomъ|сединяахом sъjedińaašete|сединяашете sъjedińaašeta|сединяашета sъjedińaaxově|сединяахове sъjedińaaše|сединяаше sъjediniša|сединиша sъjedinixomъ|сединихом sъjediniste|сединисте sъjedinista|сединиста sъjedinixově|сединихове sъjedińaaxъ|сединяах sъjedini|седини sъjedińaaxu|сединяаху sъjedinixъ|сединих sъjedinätь|сединять sъjedinimъ|сединим sъjedinite|седините sъjedinita|сединита sъjedinivě|сединиве sъjedinitь|сединить sъjediniši|сединиши sъjedińu|сединю 
sъsatъ|ссат sъsati|ссати sъsomъ|ссом sъsanъ|ссан sъsalo|ссало sъsala|ссала sъsalъ|ссал sъsučь|ссуч sъsa|сса sъsali|ссали sъsěmъ|ссем sъsěte|ссете sъsěta|ссета sъsěvě|ссеве sъsi|сси sъsavъ|ссав sъsěmь|ссемь sъsaaxu|ссааху sъsaaxově|ссаахове sъsaaše|ссааше sъsaaxъ|ссаах sъsaša|ссаша sъsaxomъ|ссахом sъsaste|ссасте sъsaxově|ссахове sъsaxъ|ссах sъsasta|ссаста sъsutь|ссуть sъsemъ|ссем sъsaašete|ссаашете sъsaašeta|ссаашета sъsete|ссете sъsaaxomъ|ссаахом sъseta|ссета sъsevě|ссеве sъsetь|ссеть sъseši|ссеши sъsa|сса sъsu|ссу 
pritьcěmъ|притьцем pritьcěte|притьцете pritьcěta|притьцета pritьcěvě|притьцеве pritьcěmь|притьцемь pritьci|притьци 
vъzletětъ|взлетет vъzletěti|взлетети vъzletěnъ|взлетен vъzletělo|взлетело vъzletěli|взлетели vъzletěla|взлетела vъzletělъ|взлетел vъzletěvъ|взлетев vъzletäčь|взлетяч vъzletä|взлетя vъzlečimь|взлечимь vъzletěaxu|взлетяху vъzletěaxomъ|взлетяхом vъzletěašete|взлетяшете vъzletěašeta|взлетяшета vъzletěaxově|взлетяхове vъzletěaše|взлетяше vъzletěaxъ|взлетях vъzletěša|взлетеша vъzletěxomъ|взлетехом vъzleti|взлети vъzletěste|взлетесте vъzletěsta|взлетеста vъzletěxově|взлетехове vъzletě|взлете vъzletěxъ|взлетех vъzletätь|взлетять vъzletimъ|взлетим vъzletite|взлетите vъzletita|взлетита vъzletivě|взлетиве vъzletitь|взлетить vъzletiši|взлетиши vъzleču|взлечу 
sъxrańajěmъ|схраняем sъxrańajěte|схраняете sъxrańajěta|схраняета sъxrańajěvě|схраняеве sъxrańanъ|схранян sъxrańalo|схраняло sъxrańali|схраняли sъxrańala|схраняла sъxrańalъ|схранял sъxrańajuštь|схраняющ sъxrańaja|схраняя sъxrańajimъ|схраняим sъxrańatъ|схранят sъxrańajite|схраняите sъxrańajita|схраняита sъxrańajivě|схраняиве sъxrańaji|схраняи sъxrańajimь|схраняимь sъxrańaaxu|схраняаху sъxrańaaxomъ|схраняахом sъxrańaašete|схраняашете sъxrańaašeta|схраняашета sъxrańaaxově|схраняахове sъxrańaaše|схраняаше sъxrańavъ|схраняв sъxrańaaxъ|схраняах sъxrańaša|схраняша sъxrańaxomъ|схраняхом sъxrańaste|схранясте sъxrańasta|схраняста sъxrańati|схраняти sъxrańaxově|схраняхове sъxrańa|схраня sъxrańaxъ|схранях sъxrańajutь|схраняють sъxrańajemъ|схраняем sъxrańajete|схраняете sъxrańajeta|схраняета sъxrańajevě|схраняеве sъxrańajetь|схраняеть sъxrańaješi|схраняеши sъxrańaju|схраняю 
