jьz|из 
ničьsože|ничсоже ničemьže|ничемьже ničimьže|ничимьже ničьtože|ничтоже 
pravьdami|правьдами pravьdъ|правед pravьdama|правьдама pravьdu|правьду pravьdo|правьдо pravьdoju|правьдою pravьdě|правьде pravьdy|правьды pravьdaxъ|правьдах pravьdu|правьду pravьdamъ|правьдам pravьda|правьда 
čistъmь|чистомь 
někъjimъ|неким někъjima|некима někъjimь|некимь někъjixъ|неких někъjь|некой 
zakonъmь|закономь 
tretьjě|третье tretьjami|третьями tretьjaxъ|третьях tretьjamъ|третьям tretьje|третье tretьju|третью tretьjixъ|третьих tretьjama|третьяма tretьjě|третье tretьjeju|третьею tretьjema|третьема tretьjemь|третьемь tretьji|третьи tretьjemъ|третьем tretьju|третью tretьja|третья tretьjь|третей 
znamenьjami|знаменьями znamenьjaxъ|знаменьях znamenьjamъ|знаменьям znamenьjě|знаменье znamenьjemъ|знаменьем znamenьjь|знаменей znamenьjema|знаменьема znamenьjemь|знаменьемь znamenьjixъ|знаменьих znamenьji|знаменьи znamenьju|знаменью znamenьja|знаменья znamenьje|знаменье 
danьmъ|данем danьjь|даней danьmi|даньми danьma|даньма danьju|данью danьxъ|данех danьju|данью 
gostьmi|гостьми gostьmъ|гостем gostьjь|гостей gostьje|гостье gostьma|гостьма gostьju|гостью gostьxъ|гостех gostьmь|гостемь 
drugъmь|другомь 
smolьnьskaxъ|смоленьсках smolьnьskovi|смоленьскови smolьnьskomъ|смоленьском smolьnьsky|смоленьскы smolьnьskami|смоленьсками smolьnьskovъ|смоленьсков smolьnьsci|смоленьсци smolьnьskoma|смоленьскома smolьnьscěxъ|смоленьсцех smolьnьšče|смоленьще smolьnьskъmь|смоленьскомь smolьnьskamъ|смоленьскам smolьnьscě|смоленьсце smolьnьska|смоленьска smolьnьsku|смоленьску smolьnьskъ|смольнеск 
vasilьjami|васильями vasilьjaxъ|васильях vasilьjamъ|васильям vasilьjьjъ|васильей vasilьjixъ|васильих vasilьjemъ|васильем vasilьjě|василье vasilьjema|васильема vasilьjemь|васильемь vasilьjě|василье vasilьji|васильи vasilьju|василью vasilьja|василья vasilьjь|василей 
ogńьjъ|огней 
kamenьnovъ|каменьнов kamenьnamъ|каменьнам kamenьnama|каменьнама kamenьno|каменьно kamenьnoju|каменьною kamenьnu|каменьну kamenьnomъ|каменьном kamenьny|каменьны kamenьnoma|каменьнома kamenьnaxъ|каменьнах kamenьne|каменьне kamenьnъmь|каменьномь kamenьněxъ|каменьнех kamenьni|каменьни kamenьně|каменьне kamenьnu|каменьну kamenьnami|каменьнами kamenьna|каменьна kamenьnъ|каменен 
pamätьmi|памятьми pamätьxъ|памятех pamätьmъ|памятем pamätьjь|памятей pamätьma|памятьма pamätьju|памятью pamätьju|памятью 
vragъmь|врагомь 
pečalьmi|печальми pečalьxъ|печалех pečalьjь|печалей pečalьma|печальма pečalьju|печалью pečalьju|печалью pečalьmъ|печалем 
rodъmь|родомь 
dьjavolami|дьяволами dьjavolovъ|дьяволов dьjavoly|дьяволы dьjavolěxъ|дьяволех dьjavoli|дьяволи dьjavolovi|дьяволови dьjavoloma|дьяволома dьjavole|дьяволе dьjavolaxъ|дьяволах dьjavolъmь|дьяволомь dьjavolomъ|дьяволом dьjavolě|дьяволе dьjavolamъ|дьяволам dьjavolu|дьяволу dьjavola|дьявола dьjavolъ|дьявол 
prorokъmь|пророкомь 
živъmь|живомь 
pitьjami|питьями pitьjixъ|питьих pitьjě|питье pitьjemъ|питьем pitьjaxъ|питьях pitьjamъ|питьям pitьjь|питей pitьjema|питьема pitьji|питьи pitьju|питью pitьjemь|питьемь pitьja|питья pitьje|питье 
radostьmi|радостьми radostьxъ|радостех radostьmъ|радостем radostьma|радостьма radostьjь|радостей radostьju|радостью radostьju|радостью 
nočьmi|ночми nočьxъ|ночех nočьjь|ночей nočьma|ночма nočьju|ночью nočьju|ночью nočьmъ|ночем 
blagodatьmi|благодатьми blagodatьmъ|благодатем blagodatьju|благодатью blagodatьjь|благодатей blagodatьma|благодатьма blagodatьju|благодатью blagodatьxъ|благодатех 
lodьja|лодья lodьja|лодья lodьjami|лодьями lodьjaxъ|лодьях lodьjь|лодей lodьjama|лодьяма lodьju|лодью lodьje|лодье lodьjeju|лодьею lodьjamъ|лодьям lodьjě|лодье lodьju|лодью lodьji|лодьи 
nicěmьže|ницемьже nikomьže|никомьже nikъtože|никтоже 
xristosovъmь|христосовомь 
umъmь|умомь 
nebesьnovъ|небесьнов nebesьnami|небесьнами nebesьnaxъ|небесьнах nebesьnama|небесьнама nebesьnu|небесьну nebesьnoju|небесьною nebesьněxъ|небесьнех nebesьnomъ|небесьном nebesьno|небесьно nebesьny|небесьны nebesьni|небесьни nebesьnamъ|небесьнам nebesьnoma|небесьнома nebesьnъmь|небесьномь nebesьně|небесьне nebesьnu|небесьну nebesьna|небесьна nebesьne|небесьне nebesьnъ|небесен 
