възложити|58951|V-|vъzložiti|||||||||||||||||40|1|||M|||S|Ps|
риза|58952|Nb|riza|||||||outer clothes||||||||||fem_a|2|||M|||S|Ps|
въсѣсти|58953|V-|vъsěsti|||||||||||||||vъsěd|vъsěd|infix_11|1|||M|||S|Ps|
привести#1|58954|V-|privesti|||||||||||||||prived|prived|11|1|||M||KB|S|Ps|
дроугъ|58955|A-|drugъ|||||||||||||||||adj_hard|2|||M|||S||
вѣиѥ|58956|Nb|vějьje|||||||branches|||1|||||||nt_jo|2|||M|||S||
рѣзати|58957|V-|rězati|||||||||||||||||52|1|||M|||||
дрѣво|58958|Nb|dervo|||||||||||||||||nt_S|2|||M|||S|Ps|
постилати|58959|V-|postilati|||||||||||||||||54|1|||M|||S||
по|58960|R-|po|||||||||||||1|||||0|||M|Eu|KB|S|Ps|
мъногъ|58961|A-|mъnogъ|||||||great, large; many||This behaves mostly as an adjective but occasionally takes the pronominal endings; see Diels 1963 p.212||||||||adj_hard|2|||M|||S|Ps|
абиѥ|58962|Df|abьje|||||||immediately|||||||||||0|||M|||S|Ps|
прѣдъ|58985|R-|perdъ|||||||||||||1|||||0|||M|Eu|KB|S|Ps|
ходити|58986|V-|xoditi|||||||||||||||||40|1|||M|||S|Ps|
въпити|58988|V-|vъpiti|||||||cry out, shout, yell||||||||vъpi|vъpьj|17|1|||M|||S|Ps|
имѧ|58990|Nb|jьmę|||||||||||||||||nt_N|2|||M|Eu||S|Ps|
господьнь|58991|A-|gospodьńь||||||||gospodьnjь|||||||||adj_soft|2|||M|||S|Ps|
отьць|58993|Nb|otьkь|otьkъ|otьcь|||||||||||||||masc_o_PV3|2|||M|Eu|KB|S|Ps|
нашь|58994|Ps|našь|||||||||||||||||pron_soft|2|||M|Eu|KB|S|Ps|
давꙑдъ|58995|Ne|davydъ||||25||W|||||Δαυὶδ||||||masc_o_u|2|||M|||S|Ps|
вꙑшьнь|58997|A-|vyšьńь||||||||vyšьnjь|||||||||adj_soft|2|||M||KB|S|Ps|
цѣсарьствиѥ|58998|Nb|kěsaŕьstvьje||cěsaŕьstvьje||13||||kěsarjьstvьje|||Goth. kaisar < Latin caesar||||||nt_jo|2|||M|||S|Ps|
