id,lemma,pos,normalised,count,Mst,MstCol,NovMarg,OstrCol,RusPrav,Usp,Varl,bitflag
254,евангелистъ,Nb,евангелістъ,1,,,,ostromir-col,,,,8
255,иоанъ,Ne,іоанъ,5,,,,ostromir-col,,usp-sbor,,40
256,матфѣи,Ne,матфѣі,1,,,,ostromir-col,,,,8
257,лука,Ne,лука,1,,,,ostromir-col,,,,8
258,маркъ,Ne,маркъ,1,,,,ostromir-col,,,,8
259,праотьць,Nb,праотьць,1,,,,ostromir-col,,,,8
260,авраамъ,Ne,авраамъ,2,,,,ostromir-col,,usp-sbor,,40
261,исакъ,Ne,ісакъ,2,,,,ostromir-col,,usp-sbor,,40
262,ияковъ,Ne,іꙗковъ,3,,,,ostromir-col,,usp-sbor,,40
263,подружие,Nb,подружіе,2,,,,ostromir-col,,,,8
264,феофана,Ne,феофана,1,,,,ostromir-col,,,,8
265,чадо,Nb,чадо,21,,,,ostromir-col,,usp-sbor,,40
266,съдравьствовати,V-,съдравьствоваті,1,,,,ostromir-col,,,,8
267,съдьржати,V-,съдьржаті,4,,,,ostromir-col,,usp-sbor,,40
268,поручение,Nb,порученіе,1,,,,ostromir-col,,,,8
269,григории,Ne,грігоріі,1,,,,ostromir-col,,,,8
270,дияконъ,Nb,діꙗконъ,2,,,,ostromir-col,,usp-sbor,,40
271,горазьныи,A-,горазьньіі,1,,,,ostromir-col,,,,8
272,мощи,V-,мощі,33,,,,ostromir-col,rusprav,usp-sbor,,56
273,зазьрѣти,V-,зазьрѣті,3,,,,ostromir-col,,usp-sbor,,40
274,грѣшьникъ,Nb,грѣшьнікъ,4,,,,ostromir-col,,usp-sbor,,40
275,октябрь,Nb,октꙗбрь,1,,,,ostromir-col,,,,8
276,иларионъ,Ne,іларіонъ,3,,,,ostromir-col,,usp-sbor,,40
277,маи,Nb,маі,2,,,,ostromir-col,,usp-sbor,,40
278,дъванадесять,Ma,дъванадесꙗть,23,,,,ostromir-col,rusprav,usp-sbor,,56
279,епифанъ,Ne,епіфанъ,1,,,,ostromir-col,,,,8
280,апостолъ,Nb,апостолъ,8,,,,ostromir-col,,usp-sbor,,40
281,павьлъ,Ne,павьлъ,3,,,,ostromir-col,,usp-sbor,,40
282,глаголати,V-,глаголаті,144,,,,ostromir-col,,usp-sbor,,40
283,благословити,V-,благословіті,14,,,,ostromir-col,,usp-sbor,,40
284,судъ#1,Nb,судъ#1,3,,,,,rusprav,,,16
285,ярославль,A-,ꙗрославль,1,,,,,rusprav,,,16
286,володимѣричь,Ne,володімѣрічь,1,,,,,rusprav,,,16
287,аже,G-,аже,105,,,,,rusprav,,,16
288,убити,V-,убіті,18,,,,,rusprav,usp-sbor,,48
289,мужь,Nb,мужь,37,,,,,rusprav,usp-sbor,,48
290,мьстити,V-,мьстіті,4,,,,,rusprav,usp-sbor,,48
291,любо,C-,любо,27,,,,,rusprav,,,16
292,ли,C-,лі,13,,,,,rusprav,usp-sbor,varlaam,112
293,братучадо,Nb,братучадо,1,,,,,rusprav,,,16
294,братьнь,A-,братьнь,1,,,,,rusprav,,,16
295,ли,Df,лі,77,,,,,rusprav,usp-sbor,,48
296,положити,V-,положіті,30,,,,,rusprav,usp-sbor,,48
297,голова,Nb,голова,6,,,,,rusprav,,,16
298,осмьдесятъ,Ma,осмьдесꙗтъ,5,,,,,rusprav,usp-sbor,,48
299,аче,G-,аче,10,,,,,rusprav,,,16
300,къняжь,A-,кънꙗжь,16,,,,,rusprav,usp-sbor,,48
301,тиунъ,Nb,тіунъ,6,,,,,rusprav,usp-sbor,,48
302,русинъ,Nb,русінъ,1,,,,,rusprav,,,16
303,гридь#1,Nb,грідь#1,1,,,,,rusprav,,,16
304,купьць,Nb,купьць,7,,,,,rusprav,usp-sbor,,48
305,боярьскыи,A-,боꙗрьскьіі,5,,,,,rusprav,,,16
306,мечьникъ,Nb,мечьнікъ,2,,,,,rusprav,,,16
307,изгои,Nb,ізгоі,1,,,,,rusprav,,,16
308,словѣнинъ,Nb,словѣнінъ,1,,,,,rusprav,,,16
309,четыредесяте,Ma,четьіредесꙗте,8,,,,,rusprav,usp-sbor,,48
310,пакы,Df,пакьі,124,,,,,rusprav,usp-sbor,,48
311,съвъкупити,V-,съвъкупіті,6,,,,,rusprav,usp-sbor,,48
312,святославъ,Ne,свꙗтославъ,5,,,,,rusprav,usp-sbor,,48
313,коснячько,Ne,коснꙗчько,1,,,,,rusprav,,,16
314,перенѣгъ,Ne,перенѣгъ,1,,,,,rusprav,,,16
315,никифоръ,Ne,нікіфоръ,1,,,,,rusprav,,,16
316,отъложити,V-,отъложіті,1,,,,,rusprav,,,16
317,убиение,Nb,убіеніе,2,,,,,rusprav,usp-sbor,,48
318,куна,Nb,куна,88,,,,,rusprav,usp-sbor,,48
