о̄трочѧ,Nb,1549,отрочѧ
и,C-,13,и
мт҃ръ,V-,0,
е̄го,Pp,64,и
нощиѭ̄,Nb,1293,нощь
ӣ,C-,13,и
о̄тіде,V-,433,отити
въ,R-,111,въ
е̄ђѹпетъ,Nb,0,
й,C-,13,и
бѣ,V-,18,бꙑти
тоу,Df,177,тоу
до,R-,187,до
оум̄р̄ъ̄тв̄иѣ̄,Nb,6712,оумрьтвиѥ
ӣродова,A-,1403,иродовъ
Да,G-,366,да
събѫдетъ,V-,980,събꙑти
сѧ,Pk,21,себе
реченое̄,V-,106,рещи
от҃,R-,80,отъ
г҃а,Nb,342,господь
п҃рркмъ,Nb,0,
г҃лщемъ,V-,102,глаголати
Ѡт҃,R-,80,отъ
е̄ђѹпт̄а,Ne,313,егѵпьтъ
въӡъвахъ,V-,2070,възъвати
с҃нъ,Nb,341,сꙑнъ#1
моӣ,Ps,447,мои
Тогда,Df,673,тъгда
᾽иродъ,Ne,1396,иродъ
відѣвъ,V-,479,видѣти
ѣ̄ко,G-,115,ꙗко
порѫганъ,V-,1990,порѫгати
бъис҃,V-,18,бꙑти
о̄тъ,R-,80,отъ
влъ̄хвъ,Nb,4593,влъхвъ
Ӣӡби,V-,1724,избити
вс̄ѧ,Px,54,вьсь
о̄трокъи,Nb,949,отрокъ
сѫщѧѧ̄,V-,18,бꙑти
въ,R-,111,въ
виѳле᾽ем̄и,Ne,6662,виѳлеемь
ӣ,C-,13,и
въ,R-,111,въ
в᾽сѣхъ,Px,54,вьсь
прѣдѣлѣхъ,Nb,1028,прѣдѣлъ
᾽е̄᾽ѧ,Pp,64,и
ѡ̄̄тъ,R-,80,отъ
дво̄ю̄,Ma,230,дъва
лѣтоу,Nb,50,лѣто
ӣ,C-,13,и
ниже,Df,2380,низъ
по,R-,77,по
лѣтоу,Nb,50,лѣто
е̄же,Pr,96,иже
ӣ̄спъита,V-,1130,испꙑтати
᾽отъ,R-,80,отъ
вл̄ъ̄хв̄ъ,Nb,4593,влъхвъ
Тог᾽да,Df,673,тъгда
събъис҃,Ne,0,
сѧ,Pk,21,себе
реченое̄,V-,106,рещи
ӣе̄ремие̄мь,Ne,7107,иеремиꙗ
п҃рркмъ,Nb,0,
г҃лщемъ,V-,102,глаголати
Глас҃,Nb,382,гласъ
въ,R-,111,въ
рамѣ,Nb,2869,рамо
слъишанъ,V-,689,слꙑшати
бъіс҃,V-,18,бꙑти
Плачь,Nb,966,плачь
ӣ,C-,13,и
ръидание̄,Nb,0,
ӣ,C-,13,и
въпль,Nb,1875,въпль
мн̄огь,A-,49,мъногъ
Рахиль,Ne,0,
плачѫщи,V-,1051,плакати#1
сѧ,Pk,21,себе
чѧдъ,Nb,876,чѧдо
своӣхъ,Pt,217,свои
ӣ,C-,13,и
не,Df,8,не
хотѣа̄ше̄,V-,301,хотѣти
о̄утѣшіті,V-,3169,оутѣшити
сѧ,Pk,21,себе
ѣ̄ко,G-,115,ꙗко
не,Df,8,не
сѫтъ,V-,18,бꙑти
О̄умер᾽шоу,V-,0,
же,Df,20,же
ӣродоу,Ne,1396,иродъ
се,I-,419,се
а̄н҃ђлъ,Nb,159,ангелъ
г҃нъ,A-,1674,господьнь
въ,R-,111,въ
сьнѣ,Nb,1976,сънъ
᾽ѣви,V-,358,авити
сѧ,Pk,21,себе
ӣосифоу,Ne,1392,иосифъ
въ,R-,111,въ
е̄ђ̄ѹпт̄ѣ,Ne,313,егѵпьтъ
г҃лѧ,V-,102,глаголати
Въставъ,V-,975,въстати
поӣми,V-,734,поѩти
о̄трочѧ,Nb,1549,отрочѧ
ӣ,C-,13,и
м҃рь,Nb,1170,мати
е̄го,Pp,64,и
ӣ̄,C-,13,и
ӣди,V-,671,ити
въ,R-,111,въ
ӡемл҃ѭ,Nb,210,землꙗ
ӣӡ҃лвѫ,Nb,0,
Ӣӡ᾽мрѣшѧ,V-,5105,измрѣти
бо,Df,94,бо
ӣскѫщиӣ,V-,114,искати
д҃шѧ,Nb,408,доуша
о̄̄трочѧте,Nb,1549,отрочѧ
о̄нъ,Pd,83,онъ
же,Df,20,же
въставъ,V-,975,въстати
по᾽ѧтъ,V-,734,поѩти
о̄трочѧ,Nb,1549,отрочѧ
᾽ӣ,C-,13,и
м҃тръ,Nb,1170,мати
᾽его,Pp,64,и
ӣ,C-,13,и
въниде,V-,380,вънити
въ,R-,111,въ
ӡемл҃ѭ,Nb,210,землꙗ
᾽҃иӡлевѫ,A-,0,
Слъишавъ,V-,689,слꙑшати
же,Df,20,же
Ѣ̄ко,G-,115,ꙗко
а̄᾽рхилаӣ,V-,0,
ц҃рствоуе̄тъ,V-,0,
въ,R-,111,въ
ӣю̄деӣ,Nb,2043,июдеи
въ,R-,111,въ
ӣрода,Ne,1396,иродъ
мѣсто,Nb,113,мѣсто
о̄ц҃а,Nb,34,богъ
свое̄го,Pt,217,свои
῾Оубо᾽ѣ,V-,1156,оубоꙗти
сѧ,Pk,21,себе
тамо,Df,1539,тамо
ӣті,V-,671,ити
Вѣсть,Nb,1081,вѣсть
же,Df,20,же
пріе̄мъ,V-,165,приѩти
въ,R-,111,въ
сънѣ,Nb,1976,сънъ
о̄̄тіде,V-,433,отити
въ,R-,111,въ
странѫ,Nb,1009,страна
галилеӣск̄ѫ,A-,1475,галилеискъ
Ӣ,C-,13,и
прішедъ,V-,221,прити
