разоритъ|V-|3spia----i|разорітъ|1444|разорити
е̄динѫ|Ma|-s---fa--i|едінѫ|243|ѥдинъ
заповѣдіӣ|Nb|-p---fg--i|заповѣдіі|603|заповѣдь
сихъ|Pd|-p---mg--i|сіхъ|47|сь
малъіӣхъ|A-|-p---mgpwi|малъііхъ|125|малъ
ӣ|C-|---------n|і|13|и
наѹ̄читъ|V-|3spia----i|наоучітъ|181|наоучити
тако|Df|---------n|тако|48|тако
ч҃лкъі|Nb|-p---ma--i|члкъі|211|чловѣкъ
мьнеӣ|A-|-s---mncti|мьнеі|135|мьнии
наречетъ|V-|3spia----i|наречетъ|311|нарещи
сѧ|Pk|3s---qa--i|сѧ|21|себе
въ|R-|---------n|въ|111|въ
ц҃рствѣ|Nb|-s---nl--i|црствѣ|622|цѣсарьство
н҃бсьнѣмъ|A-|-p---fdpsi|нбсьнѣмъ|399|небесьнъ
А|C-|---------n|а|85|а
ꙇ̄же|Pr|-s---mn--i|іже|96|иже
ӣсплънітъ|V-|3spia----i|ісплънітъ|1383|испльнити
ӣ|C-|---------n|і|13|и
наѹчитъ|V-|3spia----i|наоучітъ|181|наоучити
сь|Pd|-s---mn--i|сь|47|сь
велеӣ|A-|-s---mnpsi|велеі|924|велии
наречетъ|V-|3spia----i|наречетъ|311|нарещи
сѧ|Pk|3s---qa--i|сѧ|21|себе
въ|R-|---------n|въ|111|въ
ц҃рствѣ|Nb|-s---nl--i|црствѣ|622|цѣсарьство
н҃бснѣмъ|V-|1ppma----i|нбснѣмъ|0|FIXME
в|R-|---------n|в|111|въ
ц҃рстві|Nb|-s---nl--i|црстві|782|цѣсарьствиѥ
н҃бм|Ps|2s---nl--i|нбм|0|FIXME
въ|R-|---------n|въ|111|въ
ц҃рствѣ|Nb|-s---nl--i|црствѣ|622|цѣсарьство
н҃бснѣмъ|Pd|-p---md--i|нбснѣмъ|0|FIXME
Просѧштѹмѹ|V-|-sppamd-wi|просѧштоумоу|553|просити
ѹ̄|R-|---------n|оу|736|оу
тебе|Pp|2s---pg--i|тебе|304|тꙑ
даӣ|V-|2spma----i|даі|116|дати
ӣ|C-|---------n|і|13|и
хотѧщаа̄го|V-|-sppamg-wi|хотѧштааго|301|хотѣти
заѩ̄ті|V-|--pna----i|заѧті|738|заѩти
не|Df|---------n|не|8|не
о̄тъвраті|V-|2spma----i|отъвраті|739|отъвратити
Слъішасте|V-|2paia----i|слъішасте|689|слꙑшати
ѣко|G-|---------n|ѣко|115|ꙗко
речено|V-|-suppnn-si|речено|106|рещи
е̄стъ|V-|3spia----i|естъ|18|бꙑти
Възлюбі|V-|3saia----i|възлюбі|635|възлюбити
искнѣа̄го|A-|-s---mgpwi|іскнѣаго|0|FIXME
свое̄го|Pt|3s---mg--i|своего|217|свои
и|C-|---------n|і|13|и
възненавіді̄|V-|2spma----i|възненавіді|741|възненавидѣти
в̄рага|Nb|-s---mg--i|врага|742|врагъ
с)вое҅го|Pt|3s---mg--i|своего|217|свои
А̄зь|Pp|1s---mn--i|азь|440|азъ
же|Df|---------n|же|20|же
г҃лѭ|V-|1spia----i|глѭ|102|глаголати
вамь|Pp|2p---pd--i|вамь|266|вꙑ
любите|V-|2ppma----i|любіте|743|любити
врагъи|Nb|-p---ma--i|врагъі|742|врагъ
вашѧ|Ps|2p---pa--i|вашѧ|723|вашь
б҃лте|V-|2ppma----i|блте|348|благословити
клънѫштѧѩ|V-|-pppama-wi|клънѫштѧѧ|712|клѧти
въі|Pp|2p---qa--i|въі|266|вꙑ
добро|A-|-s---napsi|добро|371|добръ
т̄воріте|V-|2ppma----i|творіте|637|творити
ненавідѧщиӣмъ|V-|-pppapd-si|ненавідѧштіімъ|744|ненавидѣти
вась|Pp|2p---pg--i|вась|266|вꙑ
ӣ|C-|---------n|і|13|и
моліте|V-|2ppma----i|моліте|409|молити
за|R-|---------n|за|726|за
творѧштѧ|V-|-pppama-si|творѧштѧ|637|творити
вамъ|Pp|2p---md--i|вамъ|266|вꙑ
напасть|Nb|-s---fa--i|напасть|745|напасть
ӣ|C-|---------n|і|13|и
ӣзгонѧштѧѩ̄|V-|-pppama-wi|ізгонѧштѧѧ|746|изгонити
въі|Pp|2p---pa--i|въі|266|вꙑ
да|G-|---------n|да|366|да
бѫдете|V-|2pfia----i|бѫдете|18|бꙑти
с҃нве|Nb|-p---mn--i|снве|341|сꙑнъ#1
о҃̄ца|Nb|-s---mg--i|оца|34|богъ
вашего|Ps|2s---og--i|вашего|723|вашь
ꙇ̄же|Pr|-s---mn--i|іже|96|иже
е̄стъ|V-|3spia----i|естъ|18|бꙑти
на|R-|---------n|на|117|на
н҃схь|Nb|-p---ml--i|нсхь|209|небо
ѣ̄коже|G-|---------n|ѣкоже|498|ꙗкоже
ӣ|C-|---------n|і|13|и
слънц̄е|Nb|-s---nn--i|слънце|747|слъньце
свое̄|Pt|3s---na--i|свое|217|свои
сиѣе̄тъ|V-|3spia----i|сіѣетъ|748|сиꙗти
на|R-|---------n|на|117|на
зьлъиѩ|A-|-s---fgpwi|зьлъіѧ|522|зълъ
ӣ|C-|---------n|і|13|и
на|R-|---------n|на|117|на
благъиѩ̄|A-|-p---mapwi|благъіѧ|363|благъ
ӣ|C-|---------n|і|13|и
дьждітъ|V-|3spia----i|дьждітъ|749|дъждити
на|R-|---------n|на|117|на
праведънъіѩ̄|A-|-p---mapwi|праведънъіѧ|71|правьдьнъ
и|C-|---------n|і|13|и
на|R-|---------n|на|117|на
неправедънъіѩ̄|A-|-p---mapwi|неправедънъіѧ|482|неправьдьнъ
ӣ|C-|---------n|і|13|и
а̄ште|G-|---------n|аште|248|аще
любіте|V-|2ppia----i|любіте|743|любити
любѧштѧѩ|V-|-pppama-wi|любѧштѧѧ|743|любити
въі|Pp|2p---qa--i|въі|266|вꙑ
кѫѭ̄|Pi|-s---fa--i|кѫѭ|267|кꙑи
мъздѫ|Nb|-s---fa--i|мъздѫ|750|мьзда
имате|V-|2ppia----i|імате|9|имѣти
Не|Df|---------n|не|8|не
ӣ|C-|---------n|і|13|и
мъітарі|Nb|-p---mn--i|мъітарі|751|мꙑтарь
лі|Du|---------n|лі|752|ли
тожде|Pd|-s---na--i|тожде|155|тъжде
творѧтъ|V-|3ppia----i|творѧтъ|637|творити
ӣ|C-|---------n|і|13|и
а҅ште|G-|---------n|аште|248|аще
цѣлѹе̄те|V-|2ppia----i|цѣлоуете|753|цѣловати
дрѹгъи|Nb|-p---ma--i|дроугъі|754|дроугъ
вашѧ|Ps|2p---pa--i|вашѧ|723|вашь
тькм̄о|Df|---------n|тькмо|224|тъкъмо
чт̄о|Pi|-s---na--i|что|134|чьто
ліхо|A-|-s---napsi|ліхо|462|лихъ
творите|V-|2ppia----i|творіте|637|творити
не|Df|---------n|не|8|не
ӣ|C-|---------n|і|13|и
мъітарі|Nb|-p---mn--i|мъітарі|751|мꙑтарь
ли|Du|---------n|лі|752|ли
такожде|Df|---------n|такожде|255|такожде
творѧтъ|V-|3ppia----i|творѧтъ|637|творити
бѫдѣте|V-|2ppma----i|бѫдѣте|18|бꙑти
ѹ̄бо|Df|---------n|оубо|6|оубо
въи|Pp|2p---qn--i|въі|266|вꙑ
съвръшени|A-|-p---mnpsi|съвръшені|756|съврьшенъ
ѣ̄коже|Dq|---------n|ѣкоже|88|ꙗкоже
ӣ|C-|---------n|і|13|и
о҃҅ць|Nb|-s---mn--i|оць|306|отьць
вашь|Ps|2s---mn--i|вашь|723|вашь
н҃бснъі|A-|-s---mnpwi|нбснъі|399|небесьнъ
съвръшенъ|A-|-s---mnpsi|съвръшенъ|756|съврьшенъ
е̄стъ|V-|3spia----i|естъ|18|бꙑти
Вънемлѣте|V-|2ppma----i|вънемлѣте|758|вънимати
м҃лстъінѧ|Nb|-s---fg--i|млстъінѧ|320|милость
вашѧ|Ps|2s---fg--i|вашѧ|723|вашь
Не|Df|---------n|не|8|не
творіте|V-|2ppia----i|творіте|637|творити
прѣд|R-|---------n|прѣд|493|прѣдъ
ч҃лкъі|Nb|-p---mi--i|члкъі|211|чловѣкъ
да|G-|---------n|да|366|да
відімі|V-|-ppppmn-si|відімі|479|видѣти
бѫдете|V-|2pfia----i|бѫдете|18|бꙑти
ӣмі|Pp|3p---mi--i|імі|64|и
А̄ште|G-|---------n|аште|248|аще
лі|Df|---------n|лі|249|ли
же|Df|---------n|же|20|же
ні|Df|---------n|ні|760|ни
мьздъі|Nb|-s---fg--i|мьздъі|750|мьзда
не|Df|---------n|не|8|не
ӣмате|V-|2ppia----i|імате|9|имѣти
ѡ̄тъ|R-|---------n|отъ|80|отъ
о҃̄ца|Nb|-s---mg--i|оца|34|богъ
вашего|Ps|2s---og--i|вашего|723|вашь
ꙇ̄же|Pr|-s---mn--i|іже|96|иже
е̄стъ|V-|3spia----i|естъ|18|бꙑти
на|R-|---------n|на|117|на
н҃бсх|Nb|-p---nl--i|нбсх|209|небо
Е̄гда|Dq|---------n|егда|300|ѥгда
ѹ̄бо|Df|---------n|оубо|6|оубо
творите|V-|2ppia----i|творіте|637|творити
мілостъінѭ|Nb|-s---fa--i|мілостъінѭ|759|милостꙑни
не|Df|---------n|не|8|не
въстрѫбіте|V-|2ppma----i|въстрѫбіте|761|въстрѫбити
прѣдъ|R-|---------n|прѣдъ|493|прѣдъ
собоѭ̄|Pk|3s---qi--i|собоѭ|21|себе
ѣ̄коже|Dq|---------n|ѣкоже|88|ꙗкоже
ӣ|C-|---------n|і|13|и
ѵ̄покріті|Nb|-p---mn--i|упокріті|762|ѵпокритъ
творѩтъ|V-|3ppia----i|творѧтъ|637|творити
въ|R-|---------n|въ|111|въ
сьньміщиӣхъ|Nb|-p---nl--i|сьньміштііхъ|763|съньмище
да|Df|---------n|да|591|да
прославѧтъ|V-|3ppia----i|прославѧтъ|392|прославити
сѧ|Pk|3s---qa--i|сѧ|21|себе
ѡт|R-|---------n|от|80|отъ
ч҃кь|Nb|-p---mg--i|чкь|211|чловѣкъ
А̄мін|I-|---------n|амін|298|аминъ
г҃лѭ|V-|1spia----i|глѭ|102|глаголати
вам|Pp|2p---md--i|вам|266|вꙑ
въспріӣмѫтъ|V-|3ppia----i|въспріімѫтъ|775|въсприимати
мъздѫ|Nb|-s---fa--i|мъздѫ|750|мьзда
своѭ̄|Pt|3s---fa--i|своѭ|217|свои
Тебѣ|Pp|2s---qd--i|тебѣ|304|тꙑ
же|Df|---------n|же|20|же
творѩщѹ|V-|-sppamd-si|творѧштоу|637|творити
мілостъінѭ|Nb|-s---fa--i|мілостъінѭ|759|милостꙑни
да|Df|---------n|да|591|да
не|Df|---------n|не|8|не
чюе̄тъ|V-|3spia----i|чоуетъ|766|чоути
шюӣца|Nb|-s---fn--i|шоуіца|767|шоуица
чьто|Pi|-s---nn--i|чьто|134|чьто
творітъ|V-|3spia----i|творітъ|637|творити
десніца|Nb|-s---fn--i|десніца|768|десница
твоѣ̄|Ps|2s---fn--i|твоѣ|307|твои
да|G-|---------n|да|366|да
бѫдетъ|V-|3sfia----i|бѫдетъ|18|бꙑти
милостъіні|Nb|-s---fn--i|мілостъіні|759|милостꙑни
твоѣ̄|Ps|2s---fn--i|твоѣ|307|твои
въ|R-|---------n|въ|111|въ
таӣнѣ|Nb|-s---fl--i|таінѣ|769|таина
И|C-|---------n|і|13|и
о҃҅ць|Nb|-s---mn--i|оць|306|отьць
твоӣ|Ps|2s---mn--i|твоі|307|твои
відѧӣ|V-|-sppamn-wi|відѧі|479|видѣти
тѧ|Pp|2s---ma--i|тѧ|304|тꙑ
въ|R-|---------n|въ|111|въ
таи҅нѣ|Nb|-s---fl--i|таінѣ|769|таина
въздастъ|V-|3spia----i|въздастъ|686|въздати
тебѣ|Pp|2s---qd--i|тебѣ|304|тꙑ
ѣ̄вѣ|Df|---------n|ѣвѣ|770|авѣ
Ӣ|C-|---------n|і|13|и
е̄гда|Dq|---------n|егда|300|ѥгда
м҃лиші|V-|2spia----i|мліші|0|FIXME
сѧ|Pk|3s---qa--i|сѧ|21|себе
не|Df|---------n|не|8|не
бѫді|V-|3spma----i|бѫді|18|бꙑти
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ӣ|C-|---------n|і|13|и
ліцемѣрі|Nb|-p---mv--i|ліцемѣрі|772|лицемѣръ
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ті|Pd|-p---mn--i|ті|105|тъ
любѧтъ|V-|3ppia----i|любѧтъ|743|любити
на|R-|---------n|на|117|на
сьньмиштиӣхъ|V-|-pppamg-wi|сьньміштііхъ|2376|сънѧти
ӣ|C-|---------n|і|13|и
въ|R-|---------n|въ|111|въ
стьгнахъ|Nb|-p---fl--i|стьгнахъ|764|стьгна
ӣ|C-|---------n|і|13|и
на|R-|---------n|на|117|на
распѫтіӣх|V-|-ppppnl-wi|распѫтііх|3162|распѫдити
стоѩ̄ште|V-|-pppamn-si|стоѧште|774|стоꙗти
молиті|V-|--pna----i|моліті|409|молити
сѧ|Pk|3s---qa--i|сѧ|21|себе
да|G-|---------n|да|366|да
ѣ̄вѧтъ|V-|3ppia----i|ѣвѧтъ|358|авити
сѧ|Pk|3s---qa--i|сѧ|21|себе
ч҃лкомъ|Nb|-p---md--i|члкомъ|211|чловѣкъ
А҅мін|I-|---------n|амін|298|аминъ
г҃лѭ|V-|1spia----i|глѭ|102|глаголати
вам|Pp|2p---md--i|вам|266|вꙑ
въсприӣмѫт|V-|3ppia----i|въспріімѫт|775|въсприимати
мъздѫ|Nb|-s---fa--i|мъздѫ|750|мьзда
своѭ̆|Pt|3s---fa--i|своѭ|217|свои
Тъі|Pp|2s---pn--i|тъі|304|тꙑ
же|Df|---------n|же|20|же
е̄гда|Dq|---------n|егда|300|ѥгда
моліші|V-|2spia----i|моліші|409|молити
сѧ|Pk|3s---qa--i|сѧ|21|себе
въниді|V-|2spma----i|въніді|380|вънити
въ|R-|---------n|въ|111|въ
клѣть|Nb|-s---fa--i|клѣть|776|клѣть
твоѭ̄|Ps|2s---fa--i|твоѭ|307|твои
ӣ|C-|---------n|і|13|и
затворі|V-|2spma----i|затворі|777|затворити
дв̄ьрі|Nb|-p---fa--i|двьрі|435|двьрь
твоѩ̄|Ps|2p---pa--i|твоѧ|307|твои
ӣ|C-|---------n|і|13|и
помолі|V-|2spma----i|помолі|661|помолити
сѧ|Pk|3s---qa--i|сѧ|21|себе
о҃̄цю|Nb|-s---md--i|оцоу|306|отьць
твое̄мѹ|Ps|2s---md--i|твоемоу|307|твои
въ|R-|---------n|въ|111|въ
таӣнѣ|Nb|-s---fl--i|таінѣ|769|таина
ӣ|C-|---------n|і|13|и
о҃̄ць|Nb|-s---mn--i|оць|306|отьць
твоӣ|Ps|2s---mn--i|твоі|307|твои
видѧӣ|V-|-sppamn-wi|відѧі|479|видѣти
тѧ|Pp|2s---ma--i|тѧ|304|тꙑ
въ|R-|---------n|въ|111|въ
таӣнѣ|Nb|-s---fl--i|таінѣ|769|таина
въздастъ|V-|3spia----i|въздастъ|686|въздати
тебѣ|Pp|2s---pd--i|тебѣ|304|тꙑ
ѣ̄в̄ѣ|Df|---------n|ѣвѣ|770|авѣ
М҃лте|V-|-pppamn-si|млте|0|FIXME
же|Df|---------n|же|20|же
сѧ|Pk|3s---qa--i|сѧ|21|себе
ӣ|C-|---------n|і|13|и
не|Df|---------n|не|8|не
ліхо|A-|-s---napsi|ліхо|462|лихъ
г҃літе|V-|2ppma----i|гліте|102|глаголати
ѣ̄ко|Df|---------n|ѣко|771|ꙗко#1
ӣ|C-|---------n|і|13|и
ѩ̄зъичьници|Nb|-p---mn--i|ѧзъічьніці|778|ѩзꙑчьникъ
Мьнѧтъ|V-|3ppia----i|мьнѧтъ|166|мьнѣти
бо|Df|---------n|бо|94|бо
сѧ|Pk|3s---qa--i|сѧ|21|себе
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
вь|R-|---------n|вь|111|въ
мн̄оѕѣ|A-|-s---nlpsi|мнозѣ|49|мъногъ
г҃ланіӣ|Nb|-s---nl--i|гланіі|779|глаголаниѥ
своемъ|Pt|3s---nl--i|своемъ|217|свои
ѹ̄слъишані|V-|-puppmn-si|оуслъішані|582|оуслꙑшати
бѫдѫт|V-|3pfia----i|бѫдѫт|18|бꙑти
Не|Df|---------n|не|8|не
подобіте|V-|2ppma----i|подобіте|89|подобити
сѧ|Pk|3s---qa--i|сѧ|21|себе
ѹ̄бо|Df|---------n|оубо|6|оубо
ӣмъ|Pp|3p---md--i|імъ|64|и
Вѣстъ|V-|3spia----i|вѣстъ|138|вѣдѣти
бо|Df|---------n|бо|94|бо
о҃̄ць|Nb|-s---mn--i|оць|306|отьць
ваш|Ps|1s---mn--i|ваш|0|FIXME
ӣхъже|Pr|-p---ng--i|іхъже|96|иже
трѣбѹе̄те|V-|2ppia----i|трѣбоуете|780|трѣбовати
прѣжде|R-|---------n|прѣжде|216|прѣжде
прошениѣ̄|Nb|-s---ng--i|прошеніѣ|781|прошениѥ
вашего|Ps|2s---ng--i|вашего|723|вашь
Сіце|Df|---------n|сіце|127|сице
же|Df|---------n|же|20|же
моліте|V-|2ppma----i|моліте|409|молити
сѧ|Pk|3s---qa--i|сѧ|21|себе
ѡ҃̄҅че|Nb|-s---mv--i|оче|306|отьць
нашъ|Ps|1s---mv--i|нашъ|338|нашь
ꙇ̄же|Pr|-s---mn--i|іже|96|иже
е̄сі|V-|2spia----i|есі|18|бꙑти
на|R-|---------n|на|117|на
н҃бсі|Nb|-s---nl--i|нбсі|209|небо
Да|G-|---------n|да|366|да
с҃тітъ|V-|3spia----i|стітъ|536|свѧтити
сѧ|Pk|3s---qa--i|сѧ|21|себе
ӣмѧ|Nb|-s---nn--i|імѧ|442|имѧ
твое̄|Ps|2s---nn--i|твое|307|твои
да|Df|---------n|да|591|да
прідетъ|V-|3spia----i|прідетъ|221|прити
ц҃рство|Nb|-s---nn--i|црство|622|цѣсарьство
твое̄|Ps|2s---nn--i|твое|307|твои
да|Df|---------n|да|591|да
бѫдет|V-|3sfia----i|бѫдет|18|бꙑти
волѣ|Nb|-s---fn--i|волѣ|505|волꙗ
твоѣ|Ps|2s---fn--i|твоѣ|307|твои
ѣ)ко|Df|---------n|ѣко|771|ꙗко#1
на|R-|---------n|на|117|на
н҃бсі|Nb|-s---nl--i|нбсі|209|небо
ӣ|C-|---------n|і|13|и
на|R-|---------n|на|117|на
земі|Nb|-s---fl--i|земі|210|землꙗ
Хлѣбь|Nb|-s---ma--i|хлѣбь|783|хлѣбъ
нашь|Ps|1s---ma--i|нашь|338|нашь
насѫщьнъі|A-|-s---mapwi|насѫштьнъі|2764|насѫщьнъ
даждъ|V-|2spma----i|даждъ|116|дати
намъ|Pp|1p---qd--i|намъ|167|мꙑ
дьнес|V-|2spia----i|дьнес|0|FIXME
ӣ|C-|---------n|і|13|и
о̄стави|V-|2spma----i|оставі|669|оставити
нам|Pp|1p---md--i|нам|167|мꙑ
длъгъі|Nb|-p---ma--i|длъгъі|786|длъгъ
нашѧ|Ps|1p---ma--i|нашѧ|338|нашь
Ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ӣ|Df|---------n|і|91|и
мъи|Pp|1p---pn--i|мъі|167|мꙑ
о̄ставлѣемъ|V-|1ppia----i|оставлѣемъ|55|оставлꙗти
длъжьникомъ|Nb|-p---md--i|длъжьнікомъ|788|длъжьникъ
нашімъ|Ps|1p---qd--i|нашімъ|338|нашь
Ӣ|C-|---------n|і|13|и
не|Df|---------n|не|8|не
вьведі|V-|2spma----i|вьведі|789|въвести
насъ|Pp|1p---pg--i|насъ|167|мꙑ
въ|R-|---------n|въ|111|въ
ӣскѹшение̄|Nb|-s---na--i|іскоушеніе|2598|искоушениѥ
нъ|C-|---------n|нъ|11|нъ
ӣзбаві|V-|2spma----i|ізбаві|325|избавити
нъи|Pp|1p---pa--i|нъі|167|мꙑ
ѡт|R-|---------n|от|80|отъ
лѫкаваа̄го|A-|-s---mgpwi|лѫкавааго|808|лѫкавъ
Ѣ̄ко|G-|---------n|ѣко|115|ꙗко
твое̄|Ps|2s---nn--i|твое|307|твои
е̄сть|V-|3spia----i|есть|18|бꙑти
ц҃рство|Nb|-s---nn--i|црство|622|цѣсарьство
ӣ|C-|---------n|і|13|и
сіла|Nb|-s---fn--i|сіла|502|сила
ӣ|C-|---------n|і|13|и
слав|Nb|-s---fn--i|слав|291|слава
в|R-|---------n|в|111|въ
в̄̄ѣкъи|Nb|-p---ma--i|вѣкъі|297|вѣкъ
Амин|I-|---------n|амін|298|аминъ
А̄ще|G-|---------n|аште|248|аще
ѡтпѹстіте|V-|2ppia----i|отпоустіте|732|отъпоустити
ч҃л҃кмъ|Nb|-p---md--i|члкмъ|211|чловѣкъ
съгрѣшениѣ̄|Nb|-p---na--i|съгрѣшеніѣ|790|съгрѣшениѥ
ӣх|Pp|3p---mg--i|іх|64|и
Ѡ̄̄тъпѹститъ|V-|3spia----i|отъпоустітъ|732|отъпоустити
ӣ|Df|---------n|і|91|и
вамъ|Pp|2p---pd--i|вамъ|266|вꙑ
о҃҅ць|Nb|-s---mn--i|оць|306|отьць
вашъ|Ps|2s---mn--i|вашъ|723|вашь
н҃бсънъи|A-|-s---mnpwi|нбсънъі|399|небесьнъ
Аще|G-|---------n|аште|248|аще
лі|Du|---------n|лі|752|ли
не|Df|---------n|не|8|не
о̄тъпѹстіте|V-|2ppia----i|отъпоустіте|732|отъпоустити
ч҃л҃кмъ|Nb|-p---md--i|члкмъ|211|чловѣкъ
съгрѣшениӣ|Nb|-p---ng--i|съгрѣшеніі|790|съгрѣшениѥ
ӣхъ|Pp|3p---mg--i|іхъ|64|и
ні|C-|---------n|ні|157|ни
о҃̄ць|Nb|-s---mn--i|оць|306|отьць
вашъ|Ps|2s---mn--i|вашъ|723|вашь
н҃бснъи|A-|-s---mnpwi|нбснъі|399|небесьнъ
о҅тъпѹститъ|V-|3spia----i|отъпоустітъ|732|отъпоустити
вамъ|Pp|2p---pd--i|вамъ|266|вꙑ
съгрѣшеніӣ|Nb|-p---ng--i|съгрѣшеніі|790|съгрѣшениѥ
вашіх|A-|-p---ngpwi|вашіх|0|FIXME
Е̄гда|Dq|---------n|егда|300|ѥгда
же|Df|---------n|же|20|же
постите|V-|2ppia----i|постіте|791|постити
сѧ|Pk|3s---qa--i|сѧ|21|себе
Не|Df|---------n|не|8|не
бѫдѣте|V-|2ppma----i|бѫдѣте|18|бꙑти
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ѹ̄покръіті|V-|--pna----i|оупокръіті|3827|оупоити
