е̄стъ|V-|3spia----i|естъ|18|бꙑти
ськазае̄мо|V-|-spppnn-si|ськазаемо|97|съказати
сь|R-|---------n|сь|92|съ
нами|Pp|1p---pi--i|намі|167|мꙑ
б҃ъ|Nb|-s---mn--i|бъ|34|богъ
Въставъ|V-|-supamn-si|въставъ|975|въстати
же|Df|---------n|же|20|же
ӣо̄сіфь|Ne|-s---mn--i|іосіфь|1392|иосифъ
о̄тъ|R-|---------n|отъ|80|отъ
сьна|Nb|-s---mg--i|сьна|1976|сънъ
сьтворі|V-|3saia----i|сьтворі|73|сътворити
ѣ̄коже|Dq|---------n|ѣкоже|88|ꙗкоже
повелѣ|V-|3saia----i|повелѣ|169|повелѣти
е̄мѹ|Pp|3s---md--i|емоу|64|и
а҃̄нꙉлъ|Nb|-s---mn--i|англъ|159|ангелъ
ӣ|C-|---------n|і|13|и
приѩ̄тъ|V-|3saia----i|пріѧтъ|165|приѩти
женѫ|Nb|-s---fa--i|женѫ|693|жена
своѭ̄|Pt|3s---fa--i|своѭ|217|свои
ӣ|C-|---------n|і|13|и
не|Df|---------n|не|8|не
знаа̄ше|V-|3siia----i|знааше|907|знати
е̄ѩ̄|Pp|3s---fg--i|еѧ|64|и
донд̄еже|G-|---------n|дондеже|677|доньде
роді|V-|3saia----i|роді|1198|родити#1
с҃нъ|Nb|-s---ma--i|снъ|341|сꙑнъ#1
своӣ|Pt|3s---ma--i|своі|217|свои
пръвѣнець|Nb|-s---ma--i|пръвѣнець|2474|прьвѣньць
и|C-|---------n|і|13|и
нарече|V-|3saia----i|нарече|311|нарещи
ӣмѧ|Nb|-s---na--i|імѧ|442|имѧ
е̄мѹ|Pp|3s---md--i|емоу|64|и
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
ӣ|C-|---------n|і|13|и
нареч|Ma|---------n|нареч|0|FIXME
имѧ|Nb|-s---na--i|імѧ|442|имѧ
емѹ|Pp|3s---md--i|емоу|64|и
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
и҃҅сѹ|Ne|-s---md--i|ісоу|343|исоусъ
рождьшю|V-|-supamd-si|рождьшоу|6114|родити
сѧ|Pk|3s---qa--i|сѧ|21|себе
въ|R-|---------n|въ|111|въ
віѳл҅ео̄ми|V-|-ppppmn-si|віѳлеомі|0|FIXME
ӣю̄деистѣмь|A-|-s---mlpwi|іюдеістѣмь|1587|июдеискъ
Въ|R-|---------n|въ|111|въ
дьні|Nb|-s---ml--i|дьні|523|дьнь
ӣрода|Ne|-s---mg--i|ірода|1396|иродъ
ц҃рѣ|Nb|-s---mg--i|црѣ|275|цѣсарь
Се|I-|---------n|се|419|се
влъсві|Nb|-p---mn--i|влъсві|4593|влъхвъ
о̄тъ|R-|---------n|отъ|80|отъ
въстокь|Nb|-p---mg--i|въстокь|960|въстокъ
Прідѫ|V-|3paia----i|прідѫ|221|прити
въ|R-|---------n|въ|111|въ
ӣе̄рлмъ|Ne|-s---ma--i|іерлмъ|717|иѥроусалимъ
г҃лште|V-|-pppamn-si|глште|102|глаголати
Кьде|Du|---------n|кьде|993|къде
е̄стъ|V-|3spia----i|естъ|18|бꙑти
рождеӣ|V-|-supamn-wi|рождеі|1198|родити#1
сѧ|Pk|3s---qa--i|сѧ|21|себе
ц҃рь|Nb|-s---mn--i|црь|275|цѣсарь
и҅ю̄деӣскь|A-|-s---mnpsi|іюдеіскь|1587|июдеискъ
Видѣхомъ|V-|1paia----i|відѣхомъ|479|видѣти
бо|Df|---------n|бо|94|бо
ѕв҅ѣздѫ|Nb|-s---fa--i|звѣздѫ|1853|ѕвѣзда
е̄го|Pp|3s---mg--i|его|64|и
на|R-|---------n|на|117|на
вьстоцѣ|Nb|-s---ml--i|вьстоцѣ|960|въстокъ
ӣ|C-|---------n|і|13|и
прідомъ|V-|1paia----i|прідомъ|221|прити
поклонітъ|V-|3spia----i|поклонітъ|1434|поклонити
сѧ|Pk|3s---qa--i|сѧ|21|себе
е̄мѹ|Pp|3s---md--i|емоу|64|и
Слъішавъ|V-|-supamn-si|слъішавъ|689|слꙑшати
же|Df|---------n|же|20|же
