дондеже|G----------n|донд̄еже
роді|V-3saia----i|роді
снъ|Nb-s---ma--i|с҃нъ
своі|Pt3s---ma--i|своӣ
пръвѣнець|Nb-s---ma--i|пръвѣнець
і|C----------n|и
нарече|V-3saia----i|нарече
імѧ|Nb-s---na--i|ӣмѧ
емоу|Pp3s---md--i|е̄мѹ
ісъ|Ne-s---mn--i|и҃̄съ
і|C----------n|ӣ
нареч|Ma---------n|нареч
імѧ|Nb-s---na--i|имѧ
емоу|Pp3s---md--i|емѹ
ісъ|Ne-s---mn--i|и҃̄съ
ісоу|Ne-s---md--i|и҃҅сѹ
рождьшоу|V--supamd-si|рождьшю
сѧ|Pk3s---qa--i|сѧ
въ|R----------n|въ
віѳлеомі|V--ppppmn-si|віѳл҅ео̄ми
іюдеістѣмь|A--s---mlpwi|ӣю̄деистѣмь
въ|R----------n|Въ
дьні|Nb-s---ml--i|дьні
ірода|Ne-s---mg--i|ӣрода
црѣ|Nb-s---mg--i|ц҃рѣ
се|I----------n|Се
влъсві|Nb-p---mn--i|влъсві
отъ|R----------n|о̄тъ
въстокь|Nb-p---mg--i|въстокь
прідѫ|V-3paia----i|Прідѫ
въ|R----------n|въ
іерлмъ|Ne-s---ma--i|ӣе̄рлмъ
глште|V--pppamn-si|г҃лште
кьде|Du---------n|Кьде
естъ|V-3spia----i|е̄стъ
рождеі|V--supamn-wi|рождеӣ
сѧ|Pk3s---qa--i|сѧ
црь|Nb-s---mn--i|ц҃рь
іюдеіскь|A--s---mnpsi|и҅ю̄деӣскь
відѣхомъ|V-1paia----i|Видѣхомъ
бо|Df---------n|бо
звѣздѫ|Nb-s---fa--i|ѕв҅ѣздѫ
его|Pp3s---mg--i|е̄го
на|R----------n|на
вьстоцѣ|Nb-s---ml--i|вьстоцѣ
і|C----------n|ӣ
прідомъ|V-1paia----i|прідомъ
поклонітъ|V-3spia----i|поклонітъ
сѧ|Pk3s---qa--i|сѧ
емоу|Pp3s---md--i|е̄мѹ
слъішавъ|V--supamn-si|Слъішавъ
же|Df---------n|же
іродъ|Ne-s---mn--i|ӣродъ
црь|Nb-s---mn--i|ц҃рь
сьмѧте|V-3saia----i|сьмѧте
сѧ|Pk3s---qa--i|сѧ
і|Pp3s---ma--i|ӣ
весь|Px-s---mn--i|весь
іерслмъ|Ne-s---mn--i|ӣе̄р̄слмъ
съ|R----------n|съ
німъ|Pp3s---mi--i|німъ
і|C----------n|ӣ
събьравъ|V--supamn-si|събьравъ
вьсѧ|Px-p---ma--i|вьсѧ
архіереѧ|Nb-p---ma--i|а̄рх̄ие̄ре̄ѩ̄
і|C----------n|ӣ
кьніжьнікъі|Nb-p---ma--i|кьніжьникъі
людьскъіѧ|A--p---mapwi|людьскъіѩ̄
въпрашааше|V-3siia----i|въпрашаа̄ше
ѧ|Pp3p---ma--i|ѩ̄
кьде|Du---------n|кьде
хъ|Ne-s---mn--i|х҃ъ
раждаетъ|V-3spia----i|раждае̄тъ
сѧ|Pk3s---qa--i|сѧ
оні|Pd-p---mn--i|о̄ни
же|Df---------n|же
рѣшѧ|V-3paia----i|рѣшѧ
емоу|Pp3s---md--i|е̄мѹ
въ|R----------n|въ
віѳлеомі|Ne---------n|віѳлео̄ми
іюдеістѣі|A--s---flpwi|ӣю̄деӣстѣӣ
тако|Df---------n|Тако
бо|Df---------n|бо
пісано|V--suppnn-si|пісано
естъ|V-3spia----i|е̄стъ
і|C----------n|ӣ
тъі|Pp2s---mn--i|тъі
віѳлееме|Ne-s---mv--i|віѳлее̄ме
земле|Nb-s---fg--i|земле
іюдова|V-3saia----i|ӣю̄дова
нічімъ|V-1ppma----i|Нічімъ
же|Df---------n|же
меньші|A--s---mncwi|меньші
есі|V-2spia----i|е̄сі
вь|R----------n|вь
влдкахъ|Nb-p---fl--i|в҃лдкахъ
іюдовахъ|A--p---flpsi|ӣю̄довахъ
іс|Ne-s---mn--i|и҅с
тебе|Pp2s---mg--i|тебе
бо|Df---------n|бо
ізідетъ|V-3spia----i|ӣзідетъ
вождъ|Nb-s---mn--i|вождъ
іже|Pr-s---mn--i|ꙇ̄же
оупасетъ|V-3spia----i|ѹ̄пасетъ
люді|Nb-p---ma--i|люді
своѧ|Pt3p---ma--i|своѩ̄
ілѣ|Ne-s---mg--i|и҃҅лѣ
тогда|Df---------n|Тогда
іродъ|Ne-s---mn--i|ӣродъ
таі|Df---------n|таӣ
прізьвавъ|V--supamn-si|призьвавъ
вльхвъі|Nb-p---mi--i|вльх̄въи
іспъіта|V-3saia----i|ӣсп҅ъіта
от|R----------n|ѡт
ніхъ|Pp3p---ml--i|ніхъ
врѣмѧ|Nb-s---nn--i|врѣмѧ
ѣвльшѧѧ|A--s---fgcwi|ѣ̄вльшѧѩ̄
сѧ|Pk3s---qa--i|сѧ
звѣздъі|Nb-p---fn--i|ѕв̄ѣздъі
і|C----------n|Ӣ
посьлавь|V--supamn-si|посьлавь
ѧ|Pp3p---ma--i|ѩ̄
въ|R----------n|въ
віѳлеомъ|Nb-p---md--i|віѳлео̄мъ
рече|V-3saia----i|рече
шедьше|V--pupamn-si|шедьше
іспъітаіте|V-2ppma----i|ӣспъітаӣте
ізвѣстъно|A--s---nnpsi|ӣзвѣстъно
о|R----------n|о̄
отрочѧті|V---pna----i|о̄трочѧті
і|C----------n|ӣ
егда|Dq---------n|е̄гд̄а
обрѧштете|V-2ppia----i|о̄брѧштете
вьзвѣстіте|V-2ppma----i|вьзвѣстите
мі|Pp1s---md--i|мі
да|G----------n|да
і|Df---------n|ӣ
азь|Pp1s---mn--i|а̄зь
шедъ|V--supamn-si|шедъ
поклонѭ|V-1spia----i|поклонѭ
сѧ|Pk3s---qa--i|сѧ
емоу|Pp3s---md--i|е̄мѹ
оні|Pd-p---mn--i|О҅ни
же|Df---------n|же
послоушавъше|V--pupamn-si|послѹшавъше
црѣ|Nb-s---mg--i|ц҃рѣ
ідѫ|V-3paia----i|ӣдѫ
і|C----------n|Ӣ
се|I----------n|се
звѣзда|Nb-s---fn--i|ѕвѣзда
ѭже|Pr-s---fa--i|ѭ̄же
відѣшѧ|V-3paia----i|відѣшѧ
на|R----------n|на
вьстоцѣ|Nb-s---ml--i|вьстоцѣ
ідѣаше|V-3siia----i|ӣдѣа̄ше
прѣдь|R----------n|прѣдь
німі|Pp3p---mi--i|німі
доідеже|G----------n|доӣдеже
прішедші|V--supafn-si|прішедші
ста|V-3saia----i|ста
връхоу|R----------n|връхѹ
ідеже|Dq---------n|ӣдеже
бѣ|V-3siia----i|бѣ
отрочѧ|Nb-s---nn--i|о̄трочѧ
відѣвъше|V--pupamn-si|Видѣвъше
же|Df---------n|же
звѣздѫ|Nb-s---fa--i|ѕвѣздѫ
въздрадоваше|V-3siia----i|възд̄радоваше
сѧ|Pk3s---qa--i|сѧ
радостіѭ|Nb-s---fi--i|радостіѭ̆
радостіѭ|Nb-s---fi--i|радостіѭ̆
веліеѭ|A--s---fipsi|веліе҅ѭ̄
зѣло|Df---------n|ѕѣло
і|C----------n|Ӣ
въшедъше|V--pupamn-si|въшедъше
въ|R----------n|въ
храмінѫ|Nb-s---fa--i|храмінѫ
відѣшѧ|V-3paia----i|в)ӣдѣшѧ
отрочѧ|Nb-s---nn--i|о̄тр̄очѩ
съ|R----------n|съ
маріеѭ|Ne-s---fi--i|маріе̄ѭ̆
мтріѭ|Nb-s---fa--i|м҃триѭ
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ
падъше|V--pupamn-si|падъше
поклонішѧ|V-3paia----i|поклонішѧ
сѧ|Pk3s---qa--i|сѧ
емоу|Pp3s---md--i|е̄мѹ
і|C----------n|ӣ
отвръзьше|V--pupamn-si|о̄тв̄ръзьше̄
съкровішта|Nb-p---na--i|сък҅ровіща
своѣ|Pt3p---na--i|своѣ̄
прінѣсѧ|V-3paia----i|Прінѣсѩ
емоу|Pp3s---md--i|е҅мѹ
даръі|Nb-p---ma--i|даръи
злато|Nb-s---nn--i|злато
і|C----------n|ӣ
ліванъ|V--suppmn-si|ливанъ
і|C----------n|ӣ
змурнѫ|Nb-s---fa--i|зм҅ѵрн̄ѫ
і|C----------n|ӣ
отъвѣтъ|Nb-s---ma--i|о̄тъвѣтъ
пріемъше|V--pupamn-si|пріе̄мъше
въ|R----------n|въ
сьнѣ|Nb-s---ml--i|сьнѣ
не|Df---------n|не
възвратішѧ|V-3paia----i|възвратішѧ
сѧ|Pk3s---qa--i|сѧ
кь|R----------n|кь
іродоу|Ne-s---md--i|ӣродѹ
нъ|C----------n|Нъ
інѣмъ|Px-p---md--i|и҅нѣмъ
пѫтемъ|Nb-p---md--i|пѫтемъ
отідѫ|V-3paia----i|о̄̄ті̄д̄ѫ
въ|R----------n|въ
странѫ|Nb-s---fa--i|стр̄анѫ
своѭ|Pt3s---fa--i|своѭ̄
ошедъшемъ|V--pupamd-si|О҅шедъшемъ
влъхвомъ|Nb-p---md--i|влъ҅хво̄мъ
се|I----------n|Се
англъ|Nb-s---mn--i|а҃̄нꙉлъ
гнь|A--s---mnpsi|г҃нь
ѣві|V-3saia----i|ѣ̄ви
сѧ|Pk3s---qa--i|сѧ
въ|R----------n|въ
сънѣ|Nb-s---ml--i|сънѣ
іосіфоу|Ne-s---md--i|ӣо̄сӣфѹ
глѧ|V--sppamn-si|г҃лѧ
въставъ|V--supamn-si|въставъ
поімі|V-2spma----i|поӣми
отрочѧ|Nb-s---na--i|о̄трочѧ
і|C----------n|ӣ
мтрь|Nb-s---fa--i|м҃трь
его|Pp3s---mg--i|е̄го
і|C----------n|Ӣ
бѣжі|V-2spma----i|бѣжи
въ|R----------n|въ
егупетъ|Nb-s---mn--i|е̄ꙉѵ̄пе̄тъ
і|C----------n|Ӣ
бѫді|V-2spma----i|бѫди
тоу|Df---------n|тѹ
доідеже|G----------n|доӣде̄же
рекѫ|V-1spia----i|рекѫ
ті|Pp2s---qd--i|ті
хоштетъ|V-3spia----i|Хощетъ
бо|Df---------n|бо
іродъ|Ne-s---mn--i|ӣродъ
іскаті|V---pna----i|ӣск̄аті
отрочѧте|Nb-s---ng--i|о̄трочѩте
да|C----------n|да
погоубітъ|V-3spia----i|погѹбітъ
