мьнѣ|Pp1s---qd--i|мьнѣ
лі|Du---------n|лі
не|Df---------n|не
глеші|V-2spia----i|г҃леші
не|Df---------n|не
вѣсі|V-2spia----i|вѣсі
лі|Du---------n|лі
ѣко|G----------n|ѣ̄ко
власть|Nb-s---fa--i|власть
імамъ|V-1spia----i|ӣмамъ
распѧті|V---pna----i|распѩти
тѧ|Pp2s---qa--i|тѧ
і|C----------n|ӣ
власть|Nb-s---fa--i|власть
імамь|V-1spia----i|ӣмамь
поустіті|V---pna----i|пѹстіти
тѧ|Pp2s---qa--i|тѧ
гла|V-3saia----i|Г҃ла
емоу|Pp3s---md--i|е̄мѹ
пілатъ|Ne-s---mn--i|пілатъ
мьнѣ|Pp1s---qd--i|мьнѣ
лі|Du---------n|ли
не|Df---------n|не
глеші|V-2spia----i|г҃леші
не|Df---------n|Не
вѣсі|V-2spia----i|вѣсі
лі|Du---------n|ли
ѣко|G----------n|ѣ҅ко
власть|Nb-s---fa--i|власть
імамъ|V-1spia----i|ӣмамъ
распѧті|V---pna----i|распѩти
тѧ|Pp2s---qa--i|тѧ
і|C----------n|ӣ
власть|Nb-s---fa--i|власть
імамъ|V-1spia----i|ӣмамъ
поустіті|V---pna----i|пѹстіті
тѧ|Pp2s---qa--i|тѧ
отъвѣшта|V-3saia----i|Ѡ̄̄тъвѣшта
ісъ|Ne-s---mn--i|и҃҅съ
не|Df---------n|не
імаші|V-2spia----i|ӣмаші
області|Nb-s---fg--i|о̄бласті
на|R----------n|на
мьнѣ|Pp1s---ql--i|мьнѣ
нікоеѧ|Px-s---fg--i|никое̄ѩ̄
же|Df---------n|же
аште|G----------n|а̄ште
не|Df---------n|не
бі|V-3spsa----i|бі
ті|Pp2s---qd--i|ті
дано|V--suppnn-si|дано
сьвъіше|Df-------c-i|сьвъіше
сего|Pd-s---ng--i|Сего
раді|R----------n|раді
прѣдавъі|V--supamn-wi|прѣдавъі
мѧ|Pp1s---qa--i|мѧ
тебѣ|Pp2s---qd--i|тебѣ
болеі|A--s---mncti|болеӣ
грѣхъ|Nb-s---mn--i|грѣхъ
іматъ|V-3spia----i|ӣматъ
отъвѣшта|V-3saia----i|Ѡ̄̄тъвѣшта
ісъ|Ne-s---mn--i|и҃̄съ
не|Df---------n|Не
імаші|V-2spia----i|ӣмаші
тъі|Pd-p---fa--i|тъи
власті|Nb-p---fa--i|власти
на|R----------n|на
мьнѣ|Pp1s---ql--i|мьнѣ
нікоеѧже|Px-s---fg--i|никое̄ѩ̄же
аште|G----------n|а҅ще
не|Df---------n|не
бі|V-3spsa----i|би
ті|Pp2s---qd--i|ті
дано|V--suppnn-si|дано
съ|R----------n|съ
въіше|Df-------c-i|въіше
отъ|R----------n|ѡ҅̄тъ
толі|C----------n|толі
пілатъ|Ne-s---mn--i|пілатъ
іскааше|V-3siia----i|ӣскаа̄ше
поустіті|V---pna----i|пѹстіти
і|C----------n|ӣ
іюдеі|Nb-p---mn--i|Ӣю̄деӣ
же|Df---------n|же
въпіѣахѫ|V-3piia----i|въпіѣ̄а̄хѫ
глште|V--pppamn-si|г҃лще
аште|G----------n|А̄ште
сего|Pd-s---mg--i|сего
поустіші|V-2spia----i|пѹстіши
нѣсі|V-2spia----i|нѣсі
дроугъ|Nb-s---mn--i|дрѹгъ
кесароу|Nb-s---md--i|кесарѹ
вьсѣкь|V--supamn-si|вьсѣкь
іже|Pr-s---mn--i|ꙇ̄же
сѧ|Pk3s---qa--i|сѧ
творітъ|V-3spia----i|творітъ
црь|Nb-s---mn--i|ц҃рь
протівітъ|V-3spia----i|противитъ
сѧ|Pk3s---qa--i|сѧ
кесароу|Nb-s---md--i|ке̄сар̄ѹ
пілатъ|Ne-s---mn--i|Пілатъ
же|Df---------n|же
слъішавъ|V--supamn-si|слъишавъ
та|Pd-p---na--i|та
словеса|Nb-p---na--i|словеса
ізведе|V-3saia----i|ӣзведе
вонъ|Df---------n|вонъ
іса|Ne-s---mg--i|и҃̄са
і|C----------n|ӣ
сѣде|V-3saia----i|сѣде
на|R----------n|на
сѫдішті|Nb-s---nl--i|сѫдіщи
на|R----------n|на
мѣстѣ|Nb-s---nl--i|мѣстѣ
наріцаемѣмъ|A--s---nlpwi|нарицае̄мѣмъ
літострата|Ne-s---mg--i|літост̄рата
евреіскъі|Df---------n|е̄вреӣскъи
же|Df---------n|же
гавваѳа|Ne-s---mg--i|гавв̄аѳа
пілат|Ne-s---fn--i|Пілат
же|Df---------n|же
слъішавъ|V--supamn-si|слъішавъ
та|Pd-p---na--i|та
словеса|Nb-p---na--i|словеса
ізведе|V-3saia----i|ӣзведе
вонъ|Df---------n|вонъ
іса|Ne-s---mg--i|и҃̄са
і|C----------n|ӣ
сѣде|V-3saia----i|сѣде
на|R----------n|на
сѫдішті|Nb-s---nl--i|сѫдишти
на|R----------n|На
мѣстѣ|Nb-s---nl--i|мѣстѣ
рекомѣмь|V--spppol-wi|рекомѣмь
літострата|Ne-s---mg--i|лі̄тостр̄ата
евреіскъі|Df---------n|Е̄вреӣскъи
же|Df---------n|же
гаввата|Ne-s---fn--i|гавв̄ата
бѣ|V-3siia----i|бѣ
же|Df---------n|же
параскевгіі|Nb-s---fn--i|параскевꙉ̄іӣ
пастѣ|Nb-s---fd--i|пас̄тѣ
годіна|Nb-s---fn--i|Годіна
же|Df---------n|же
бѣ|V-3siia----i|бѣ
ѣко|Df---------n|ѣ̄ко
третіѣа|Mo-s---fn--i|третіѣ̄а̄
і|C----------n|ӣ
гла|V-3saia----i|г҃ла
іюдеомъ|Nb-p---md--i|ӣю̄део̄мъ
се|I----------n|се
црь|Nb-s---mn--i|ц҃рь
вашъ|Ps2s---mn--i|вашъ
бѣ|V-3siia----i|бѣ
же|Df---------n|же
параскевгіі|Nb-s---fn--i|па̄ра̄скевꙉ҅і̄ӣ
пастѣ|Nb-d---fn--i|пастѣ
годіна|Nb-s---fn--i|годіна
же|Df---------n|же
бѣ|V-3siia----i|бѣ
ѣко|Df---------n|ѣ̄ко
третіѣа|Mo-s---fn--i|третіѣ̄а̄
і|C----------n|Ӣ
гла|V-3saia----i|г҃ла
іюдеомъ|Nb-p---md--i|ӣю̄део̄мъ
се|I----------n|Се
цръ|Nb-s---mn--i|ц҃ръ
вашъ|Ps2s---mn--i|вашъ
оні|Pd-p---mn--i|о҅ни
же|Df---------n|же
въпіѣахѫ|V-3piia----i|въпіѣ̄а̄хѫ
възьмі|V-2spma----i|възьмі
і|C----------n|ӣ
възьмі|V-2spma----i|възьмі
распьні|V-2spma----i|распь҅ни
і|C----------n|ӣ
гла|V-3saia----i|г҃ла
імъ|Pp3p---md--i|ӣмъ
пілатъ|Ne-s---mn--i|пілатъ
црѣ|Nb-s---mg--i|ц҃рѣ
лі|Du---------n|лі
вашего|Ps2s---og--i|вашего
распьнѫ|V-1spia----i|распьнѫ
отъвѣшташѧ|V-3paia----i|Ѡ҅̄тъвѣшташѧ
архіереі|Nb-p---mn--i|а҅рхі̄е̄реӣ
не|Df---------n|Не
імамъ|V-1ppia----i|ӣма̄мъ
црѣ|Nb-s---mg--i|ц҃рѣ
тъкмо|Df---------n|тъкм̄о
кесарѣ|Nb-s---mg--i|кесарѣ
оні|Pd-p---mn--i|О̄ни
же|Df---------n|же
въпіѣахѫ|V-3piia----i|въпіѣ̄а̄хѫ
възьмі|V-2spma----i|възьмі
і|C----------n|ӣ
възьмі|V-2spma----i|възьмі
і|C----------n|ӣ
распьні|V-2spma----i|распьни
і|C----------n|і̄
гла|V-3saia----i|г҃ла
імъ|Pp3p---md--i|ӣмъ
пілатъ|Ne-s---mn--i|пи(ла)тъ
црѣ|Nb-s---mg--i|ц҃рѣ
лі|Du---------n|лі
вашего|Ps2s---og--i|вашего
распьнѫ|V-1spia----i|распьнѫ
отвѣшташѧ|V-3paia----i|ѡ̈твѣшташѧ
архіереі|Nb-p---mn--i|а̄рх̄ие̄реӣ
не|Df---------n|Не
імамъ|V-1ppia----i|ӣмамъ
црѣ|Nb-s---mg--i|ц҃рѣ
тъкьмо|Df---------n|тъкьмо
кесарѣ|Nb-s---mg--i|кес̄арѣ̄
тогда|Df---------n|Тогда
же|Df---------n|же
прѣдастъ|V-3saia----i|прѣдастъ
імъ|Pp3p---md--i|ӣмъ
да|G----------n|да
і|Pp3s---ma--i|ӣ
распьнѫт|V-3ppia----i|распьнѫт
тогда|Df---------n|Тог҅да
же|Df---------n|же
прѣдастъ|V-3saia----i|прѣдастъ
імъ|Pp3p---md--i|ӣмъ
да|G----------n|да
і|Pp3s---ma--i|и
распънѫтъ|V-3ppia----i|расп̄ънѫтъ
оні|Pd-p---mn--i|О̄ни
же|Df---------n|же
поемъше|V--pupamn-si|пое̄мъше
і|Pp3s---ma--i|ӣ
вѣсѧ|V-3paia----i|вѣсѧ
і|C----------n|ӣ
і|Df---------n|Ӣ
носѧ|V--sppamn-si|носѧ
себѣ|Pk3s---qd--i|себѣ
крстъ|Nb-s---ma--i|к҃рстъ
ізіде|V-3saia----i|ӣзиде
въ|R----------n|въ
наріцаемое|V--spppna-wi|нарицае̄мое̄
краніево|A--s---napsi|краніе҅во
мѣсто|Nb-s---na--i|мѣсто
еже|Pr-s---nn--i|Е̄же
глетъ|V-3spia----i|г҃летъ
сѧ|Pk3s---qa--i|сѧ
евреіскъі|Df---------n|е̄вреӣскъи
голгоѳа|Ne-s---fn--i|голг҅оѳа
ідеже|Dq---------n|Ӣдеже
і|Pp3s---ma--i|ӣ
распѧсѧ|V-3paia----i|распѩ҅сѧ
і|C----------n|Ӣ
сь|R----------n|сь
німъ|Pp3s---mi--i|нимъ
іна|Px-d---ma--i|и҅на
дъва|Ma-d---ma--i|дъва
сѫдоу|Df---------n|сѫдѹ
і|C----------n|ӣ
овѫдоу|Df---------n|о҅вѫдѹ
по|R----------n|по
срѣдѣ|Nb-s---fd--i|срѣдѣ
же|Df---------n|же
іса|Ne-s---mg--i|и҃̄са
напіса|V-3saia----i|Напіса
же|Df---------n|же
тітелъ|Nb-s---mn--i|тітелъ
пілатъ|Ne-s---mn--i|пі҅ла̄тъ
і|C----------n|ӣ
положі|V-3saia----i|положі
крстѣ|Nb-s---ml--i|к҃рстѣ
бѣ|V-3siia----i|Бѣ
же|Df---------n|же
напісано|V--suppnn-si|напісано
ісъ|Ne-s---mn--i|и҃̄съ
назареі|V--supamn-wi|назареӣ
цръ|Nb-s---ma--i|ц҃ръ
іюдескъ|A--s---mapsi|ӣю̄дескъ̄
сего|Pd-s---mg--i|Сего
тітъла|A--s---fnpsi|тітъла
мнозі|A--p---mnpsi|мно̄ѕі
чісѧ|V-3paia----i|чісѧ
отъ|R----------n|о̄тъ
іюдеі|Ne-s---fd--i|ӣю̄деӣ
ѣко|G----------n|ѣ̄ко
блізь|R----------n|близь
бѣ|V-3siia----i|бѣ
мѣсто|Nb-s---nn--i|мѣсто
града|Nb-s---mg--i|града
ідеже|Dq---------n|ӣдеже
і|Pp3s---ma--i|ӣ
распѧсѧ|V-3paia----i|расп҅ѩ̄сѧ
бѣ|V-3siia----i|Бѣ
же|Df---------n|же
напісано|V--suppnn-si|напісано
евреіскъі|Df---------n|е̄вреӣскъи
і|C----------n|ӣ
гречьскъі|Df-------p-i|гречьскъі
і|C----------n|ӣ
латіньскъі|Df---------n|латиньск̄ъи
стоѣахѫ|V-3piia----i|стоѣ̄а̄хѫ
прі|R----------n|прі
крстѣ|Nb-s---ml--i|к҃̄рстѣ
ісвѣ|A--s---olpsi|и҃̄свѣ
мті|Nb-s---fn--i|м҃ті
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ
сестра|Nb-s---fn--i|сест҅ра
мтре|Ne-s---mv--i|м҃тре
его|Pp3s---mg--i|е̄го
маріѣ|Ne-s---fn--i|маріѣ̄
клеопова|A--s---fnpsi|клео̄пова
і|C----------n|ӣ
маріа|Ne-s---fn--i|мариа̄
магдалъіні|Nb-s---fn--i|магдалъіні
стоѣхѫ|V-3piia----i|Ст̄оѣ̄хѫ
же|Df---------n|же
прі|R----------n|при
крстѣ|Nb-s---ml--i|к҃рстѣ
ісвѣ|A--s---olpsi|и҃̄свѣ
мті|Nb-s---fn--i|м҃ти
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ
сестра|Nb-s---fn--i|сест̄ра
матере|Nb-s---fg--i|матере
его|Pp3s---mg--i|е̄го
маріѣ|Ne-s---fn--i|маріѣ̄
клеопова|A--s---fnpsi|клео̄пова
і|C----------n|ӣ
маріѣ|Ne-s---fn--i|маріѣ̄
магдалъіні|Nb-s---fn--i|магда̄лъіні
стоѣхѫ|V-3piia----i|Стоѣ̄хѫ
прі|R----------n|прі
крстѣ|Nb-s---ml--i|к҃рстѣ
ісвѣ|A--s---olpsi|и҃̄свѣ
маті|Nb-s---fn--i|маті
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ
сестра|Nb-s---fn--i|сестр̄а
матере|Nb-s---fg--i|матере
его|Pp3s---mg--i|е̄го
маріѣ|Ne-s---fn--i|маріѣ̄
клеопова|A--s---fnpsi|клео̄пова
і|C----------n|ӣ
маріа|Ne-s---fn--i|ма̄рі̄а
магдалъіні|Nb-s---fn--i|магд̄алъині
ісъ|Ne-s---mn--i|и҃̄съ
же|Df---------n|же
відѣвъ|V--supamn-si|видѣвъ
мтръ|V-3saia----i|м҃тръ
і|Pp3s---ma--i|ӣ
оученіка|Nb-s---mg--i|ѹ̄ченика
стоѧшта|V--sppamg-si|стоѩ̄ща
егоже|Pr-s---mg--i|е̄гоже
люблѣаше|V-3siia----i|люблѣа̄ше
гла|V-3saia----i|г҃ла
мтрі|V-2spma----i|м҃трі
жено|Nb-s---fv--i|жено
се|I----------n|се
снъ|Nb-s---mn--i|с҃нъ
твоі|Ps2s---mn--i|твоӣ
ісъ|Ne-s---mn--i|и҃̄съ
же|Df---------n|же
відѣвъ|V--supamn-si|відѣвъ
мтръ|V-3saia----i|мтръ
і|Pp3s---ma--i|ӣ
оученіка|Nb-s---mg--i|ѹ̄ченика
стоѧшта|V--sppamg-si|стоѩ̄ща
егоже|Pr-s---mg--i|е̄гоже
люблѣаше|V-3siia----i|люблѣа̄ше
гла|V-3saia----i|г҃ла
мтрі|V-2spma----i|м҃трі
жено|Nb-s---fv--i|же̄н̄о
се|I----------n|се
снь|Nb-s---ma--i|с҃нь
твоі|Ps2s---ma--i|твоӣ
ісъ|Ne-s---mn--i|и҃̄съ
же|Df---------n|же
відѣвъ|V--supamn-si|видѣвъ
матерь|Nb-s---fa--i|матерь
і|C----------n|ӣ
оученіка|Nb-s---mg--i|ѹ̄ченика
стоѧшта|V--sppamg-si|стоѩ̄ща
егоже|Pr-s---mg--i|е̄гоже
люблѣаше|V-3siia----i|люблѣа̄ше
гла|V-3saia----i|г҃ла
мтрі|V-2spma----i|м҃т҃ри
жено|Nb-s---fv--i|же̄но
се|I----------n|се
снь|Nb-s---ma--i|с҃нь
твоі|Ps2s---ma--i|твоӣ
по|R----------n|по
томъ|Pd-s---nl--i|томъ
гла|V-3saia----i|г҃ла
оученікоу|Nb-s---md--i|ѹ̄ченикѹ
се|Pd-s---na--i|се
матіті|V---pna----i|матити
твоѣ|Ps2s---fn--i|твоѣ̄
і|C----------n|Ӣ
от|R----------n|от
того|Pd-s---og--i|того
часа|Nb-s---mg--i|часа
поѧтъ|V-3saia----i|поѩ̄тъ
ѭ|Pp3s---fa--i|ѭ̄
оученікъ|Nb-s---mn--i|ѹ̄ченикъ
въ|R----------n|въ
своѣ|Pt3p---na--i|своѣ̄
сі|Pk3s---qd--i|сі
по|R----------n|По
томъ|Pd-s---nl--i|томъ
же|Df---------n|же
гла|V-3saia----i|г҃ла
оученікоу|Nb-s---md--i|ѹ̄ченікѹ
се|I----------n|се
мті|Nb-s---fn--i|м҃ті
твоѣ|Ps2s---fn--i|твоѣ̄
і|C----------n|ӣ
отъ|R----------n|отъ
того|Pd-s---og--i|того
часа|Nb-s---mg--i|часа
поѧтъ|V-3saia----i|поѩ̄тъ
ѭ|Pp3s---fa--i|ѭ̄
оученікь|Nb-s---mn--i|ѹ̄ченикь
тъ|Pd-s---mn--i|тъ
въ|R----------n|въ
своѣ|Pt3p---na--i|своѣ̄
сі|Pk3s---qd--i|сі
по|R----------n|По
том|Pd-s---nl--i|том
же|Df---------n|же
гла|V-3saia----i|г҃ла
оученікоу|Nb-s---md--i|ѹ̄ченикѹ
се|I----------n|Се
мті|Nb-s---fn--i|м҃ті
твоѣ|Ps2s---fn--i|тво̄ѣ̄
і|C----------n|ӣ
отъ|R----------n|о̄тъ
того|Pd-s---og--i|того
часа|Nb-s---mg--i|часа
поѧтъ|V-3saia----i|поѩ̄тъ
ѭ|Pp3s---fa--i|ѭ̄
оученікь|Nb-s---mn--i|ѹ̄ченикь
ть|Pd-s---mn--i|ть
вь|R----------n|вь
своѣ|Pt3p---na--i|своѣ
сі|Pk3s---qd--i|сі
по|R----------n|По
томъ|Pd-s---nl--i|томъ
вѣдъі|V--sppamn-si|вѣдъі
ісъ|Ne-s---mn--i|и҃̄съ
ѣко|G----------n|ѣ̄ко
всѣ|Px-p---nn--i|всѣ
юже|Df---------n|ю̄же
съвръшішѧ|V-3paia----i|съвръшішѧ
сѧ|Pk3s---qa--i|сѧ
ѣже|Pr-s---fn--i|ѣ̄же
о|R----------n|о̄
немъ|Pp3s---ml--i|немъ
по|R----------n|По
семъ|Pd-s---nl--i|семъ
вѣдъі|V--sppamn-si|вѣдъі
ісъ|Ne-s---mn--i|и҃̄съ
ѣко|G----------n|ѣ̄ко
въсѣ|Px-p---nn--i|въсѣ
юже|Df---------n|ю̄же
съвръшішѧ|V-3paia----i|съвръшишѧ
сѧ|Pk3s---qa--i|сѧ
да|G----------n|да
събѫдѫтъ|V-3ppia----i|събѫдѫтъ
сѧ|Pk3s---qa--i|сѧ
кьнігъі|Nb-p---fn--i|кьнігъі
гла|V-3saia----i|г҃ла
жѧждѫ|V-1spia----i|жѧждѫ
сьсѫд|Nb-s---ma--i|сьсѫд
же|Df---------n|же
стоѣше|V-3siia----i|стоѣше
плънъ|A--s---mnpsi|плънъ
оцьта|Nb-s---mg--i|о̄цьта
на|R----------n|на
плъньше|V--pupamn-si|плъньше
же|Df---------n|же
гбѫ|Nb-s---fa--i|гбѫ
оцьта|Nb-s---mg--i|о̄цьта
прідѣшѧ|V-3paia----i|придѣшѧ
кь|R----------n|кь
оустомь|Nb-s---mi--i|ѹ̄стомь
его|Pp3s---mg--i|е̄го
егда|Dq---------n|Е̄гда
же|Df---------n|же
пріѧтъ|V-3saia----i|пріѩтъ
оцетъ|Nb-s---ma--i|о̄цетъ
ісъ|Ne-s---mn--i|и҃̄съ
рече|V-3saia----i|рече
съвръшішѧ|V-3paia----i|съвръшишѧ
сѧ|Pk3s---qa--i|сѧ
і|C----------n|ӣ
прѣклонь|V--supamn-si|прѣклонь
главѫ|Nb-s---fa--i|главѫ
прѣдастъ|V-3saia----i|прѣдастъ
дхъ|Nb-s---mn--i|д҃хъ
прѣклонь|V--supamn-si|Прѣклонь
главѫ|Nb-s---fa--i|главѫ
прѣдастъ|V-3saia----i|прѣдастъ
дхъ|Nb-s---ma--i|д҃хъ
іюдеі|Nb-p---mn--i|ӣю̄деӣ
же|Df---------n|же
понеже|G----------n|понеже
параскевгіі|Nb-s---fn--i|параскевꙉ̄іӣ
бѣ|V-3siia----i|бѣ
да|G----------n|да
не|Df---------n|не
останѫтъ|V-3ppia----i|о̄станѫтъ
на|R----------n|на
крстѣ|Nb-s---ml--i|к҃рстѣ
тѣлеса|Nb-p---nn--i|тѣлеса
въ|R----------n|въ
сѫботъ|Nb-p---fg--i|сѫботъ
бѣ|V-3siia----i|бѣ
бо|Df---------n|бо
веліі|A--s---mnpsi|веліӣ
день|Nb-s---mn--i|день
тоѧ|Pd-s---fg--i|тоѩ̄
сѫботъі|Nb-s---fg--i|сѫботъі
молішѧ|V-3paia----i|моліш̄ѩ̄
пілата|Ne-s---mg--i|пілата
да|G----------n|да
прѣбіѭтъ|V-3ppia----i|прѣбіѭ̄тъ
голѣні|Nb-d---fa--i|голѣни
іхъ|Pp3p---mg--i|ӣхъ
і|C----------n|ӣ
възьмѫтъ|V-3ppia----i|възьмѫтъ
ѧ|Pp3p---ma--i|ѩ̄
іюдеі|Nb-p---mn--i|ӣю̄деӣ
же|Df---------n|же
понеже|G----------n|понеже
паскеоугіі|Ne-s---mn--i|паске̄ѹ̄ꙉі̄ӣ
бѣ|V-3siia----i|бѣ
да|G----------n|да
не|Df---------n|не
останѫтъ|V-3ppia----i|о̄станѫтъ
на|R----------n|на
крстѣ|Nb-s---ml--i|к҃рстѣ
тѣлеса|Nb-p---nn--i|тѣлеса
въ|R----------n|въ
сѫботѫ|Nb-s---fa--i|сѫботѫ
бѣ|V-3siia----i|бѣ
бо|Df---------n|бо
веліі|A--s---mapti|веліӣ
денъ|Nb-s---ma--i|денъ
тоѧ|Pd-s---fg--i|тоѩ
сѫботъі|Nb-s---fg--i|сѫботъи
молішѧ|V-3paia----i|молішѧ
пілата|Ne-s---mg--i|пілата
да|G----------n|да
прѣбіѭтъ|V-3ppia----i|прѣбіѭ҅тъ
голѣні|Nb-d---fa--i|голѣні
іхъ|Pp3p---mg--i|ӣхъ
і|C----------n|ӣ
възьмѫтъ|V-3ppia----i|възьмѫтъ
ѧ|Pp3p---ma--i|ѩ̄
іюдеі|Nb-p---mn--i|И҅ю̄деӣ
же|Df---------n|же
понеже|G----------n|понеже
параскевгіі|Nb-s---fn--i|параскевꙉ҅иӣ
бѣ|V-3siia----i|бѣ
да|G----------n|да
не|Df---------n|не
останѫтъ|V-3ppia----i|о̄станѫтъ
на|R----------n|на
крстѣ|Nb-s---ml--i|к҃рстѣ
тѣлеса|Nb-p---nn--i|тѣлеса
въ|R----------n|въ
сѫбот|Nb-s---mn--i|сѫбот
бѣ|V-3siia----i|бѣ
бо|Df---------n|бо
веліі|A--s---mnpsi|веліӣ
день|Nb-s---mn--i|день
тоѧ|Pd-s---fg--i|тоѩ̄
сѫботъі|Nb-s---fg--i|сѫботъі
молішѧ|V-3paia----i|Молішѧ
пілата|Ne-s---mg--i|пілата
да|G----------n|да
прѣбіѭтъ|V-3ppia----i|прѣбіѭ̄тъ
голѣні|Nb-d---fa--i|голѣни
іхъ|Pp3p---mg--i|ӣхъ
і|C----------n|ӣ
възьмѫтъ|V-3ppia----i|възьмѫтъ
ѧ|Pp3p---ma--i|ѩ̄
прідѫ|V-3paia----i|Прідѫ
же|Df---------n|же
воіні|Nb-p---mn--i|воӣни
і|C----------n|ӣ
пръвоумоу|Mo-s---md--i|пръвѹмѹ̄
прѣбішѧ|V-3paia----i|прѣбішѧ
голѣні|Nb-d---fa--i|голѣни
і|C----------n|ӣ
дроугоумоу|A--s---odpwi|дрѹгѹмѹ
распѧтоумоу|V--suppmd-wi|распѩтѹмѹ
сь|R----------n|сь
німь|Pp3s---mi--i|нимь
прідѫ|V-3paia----i|прідѫ
же|Df---------n|же
воіні|Nb-p---mn--i|воӣни
і|C----------n|ӣ
пръвоумоу|Mo-s---md--i|пръвѹмѹ
прѣбішѧ|V-3paia----i|прѣбишѧ
голѣні|Nb-d---fa--i|голѣни
і|C----------n|ӣ
дроугомоу|A--s---odpwi|дрѹгомѹ
распѧтоумоу|V--suppmd-wi|распѩтѹмѹ
съ|R----------n|съ
німъ|Pp3s---mi--i|нимъ
прідѫ|V-3paia----i|Прідѫ
же|Df---------n|же
воіні|Nb-p---mn--i|воӣни
і|C----------n|ӣ
пръвоумоу|Mo-s---md--i|пръвѹмѹ
прѣбішѧ|V-3paia----i|прѣбішѧ
голѣні|Nb-d---fa--i|голѣні
і|C----------n|ӣ
дроугоумоу|A--s---odpwi|дрѹгѹмѹ
распѧтоумоу|V--suppmd-wi|расп̄ѩтѹмѹ
сь|R----------n|сь
німъ|Pp3s---mi--i|німъ
на|R----------n|На
іса|Ne-s---mg--i|и҃̄са
же|Df---------n|же
прішедъше|V--pupamn-si|прішедъше
ѣко|G----------n|Ѣ̄ко
відѣшѧ|V-3paia----i|відѣшѧ
і|Pp3s---ma--i|ӣ
оуже|Df---------n|ѹ̄же
оумеръшъ|V--pupamg-si|ѹ̄меръшъ
не|Df---------n|не
прѣбішѧ|V-3paia----i|прѣбішѧ
емоу|Pp3s---md--i|е̄мѹ
голѣнію|Nb-d---fg--i|голѣнию̄
на|R----------n|На
іса|Ne-s---mg--i|и҃̄са
же|Df---------n|же
прішедъше|V--pupamn-si|прішедъше
ѣко|G----------n|ѣко
відѣшѧ|V-3paia----i|відѣшѧ
і|Pp3s---ma--i|и
оуже|Df---------n|ѹ҅же
оумеръшь|V--supama-si|ѹ̄меръшь
не|Df---------n|не
прѣбішѧ|V-3paia----i|прѣбішѧ
емоу|Pp3s---md--i|е̄мѹ
голѣнію|Nb-d---fg--i|голѣнію̄
на|R----------n|На
іса|Ne-s---mg--i|и҃̄са
же|Df---------n|же
прідъше|V--pupamn-si|прідъше
ѣко|G----------n|ѣ҅ко
відѣшѧ|V-3paia----i|відѣшѧ
і|C----------n|ӣ
оуже|Df---------n|ѹ̄же
оумеръша|V--supamg-si|ѹ̄меръша
не|Df---------n|не
прѣбішѧ|V-3paia----i|прѣбішѧ
емоу|Pp3s---md--i|е̄мѹ
голѣнію|Nb-d---fg--i|голѣнію̄
нъ|C----------n|нъ
едінъ|Ma-s---mn--i|е̄дінъ
от|R----------n|ѡт
воінъ|Nb-p---mg--i|воӣнъ
копіемъ|V-1ppia----i|копіе̄мъ
емоу|Pp3s---md--i|е̄мѹ
ребра|Nb-p---na--i|ребра
прободе|V-3saia----i|прободе
і|C----------n|Ӣ
ізіде|V-3saia----i|ӣзіде
абіе|Df---------n|а̄біе̄
кръвъ|Nb-s---fn--i|кръвъ
і|C----------n|ӣ
вода|Nb-s---fn--i|вода
нъ|C----------n|Нъ
едінъ|Ma-s---mn--i|едінъ
отъ|R----------n|о̄тъ
воінъ|Nb-p---mg--i|воӣнъ
копіемъ|V-1ppia----i|копие̄мъ
емоу|Pp3s---md--i|е̄мѹ
ребра|Nb-p---na--i|ребра
прободе|V-3saia----i|прободе
і|C----------n|Ӣ
ізіде|V-3saia----i|ӣзіде
абіе|Df---------n|а̄біе̄
кръвъ|Nb-s---fn--i|кръвъ
і|C----------n|ӣ
вода|Nb-s---fn--i|вода
нъ|C----------n|нъ
едінъ|Ma-s---mn--i|е̄дінъ
отъ|R----------n|о̄тъ
воінъ|Nb-p---mg--i|воӣнъ
копіемъ|V-1ppia----i|копіе̄мъ
ребра|Nb-p---na--i|ребра
емоу|Pp3s---md--i|е̄мѹ
прободе|V-3saia----i|прободе
і|C----------n|ӣ
ізіде|V-3saia----i|ӣзиде
абіе|Df---------n|а̄бие̄
кръвъ|Nb-s---fn--i|кръвъ
і|C----------n|и
вода|Nb-s---fn--i|вода
і|C----------n|ӣ
відѣвъі|V--supamn-si|відѣвъі
сьвѣѣдѣтельствова|V-3saia----i|сьвѣѣдѣтельствова
і|C----------n|ӣ
істінно|A--s---nnpsi|ӣстинн҅о̄
естъ|V-3spia----i|е̄стъ
съвѣдѣтелство|Nb-s---nn--i|съвѣдѣтелство
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ
тъ|Pd-s---mn--i|тъ
вѣстъ|V-3spia----i|вѣстъ
ѣко|G----------n|ѣ̄ко
істінѫ|Nb-s---fa--i|ӣстинѫ
глетъ|V-3spia----i|г҃летъ
да|G----------n|да
і|Df---------n|ӣ
въі|Pp2p---qn--i|въи
вѣрѫ|Nb-s---fa--i|вѣрѫ
імете|V-2ppia----i|ӣмете
і|C----------n|ӣ
відѣвъі|V--supamn-si|відѣвъі
сьвѣдѣтельствова|V-3saia----i|сьвѣдѣтельств҅ова
і|C----------n|Ӣ
