Кьнігъі|| 
р҃одства|| 
и҃ѹ҃хва|| · 
е̄моу|| 
прѣдь|| 
ними|| · 
не|| 
вѣровахѫ|| 
вь|| 
нь|| · 
да|| 
събодет|| 
сѧ|| 
слово|| 
ӣсаӣѧ̄|| 
прр҃ка|| 
еже|| 
рече|| · 
г҃и|| 
кт̄о|| 
вѣрова|| 
слоухоу|| 
нашемоу|| · 
᾽и|| 
мъишц̄а|| 
г҃нѣ|| 
комоу|| 
от҃кръи|| 
сѧ|| · 
сего|| 
раді|| 
не|| 
можаа̄хѫ|| 
вѣроваті|| · 
ѣ̄ко|| 
пак҃|| 
рече|| 
ӣсаӣѣ̄|| · 
о̄слѣпи|| 
о̄чи|| 
йхъ|| · 
ӣ|| 
окамѣниль|| 
естъ|| 
срд҃ца|| 
ихъ|| · 
да|| 
не|| 
видѧт|| 
о̄чима|| · 
ни|| 
раӡоумѣѭтъ|| 
с҃рдцмъ|| · 
ӣ|| 
о̄братѧтъ|| 
сѧ|| 
᾽и|| 
ӣ|| 
цѣлѭ|| 
ѧ|| · 
се|| 
же|| 
рече|| 
ӣсаиѣ̄|| · 
е̄гда|| 
видѣ|| 
славѫ|| 
е̄го|| · 
ӣ|| 
г҃ла|| 
о̄|| 
немъ|| · 
обаче|| 
оубо|| 
ӣ|| 
отъ|| 
кнѧѕь|| 
мно̄ѕи|| 
вѣровашѧ|| 
во|| 
нь|| · 
нъ|| 
фарісеӣ|| 
ради|| 
не|| 
ӣсповѣдаа̄хѫ|| · 
да|| 
не|| 
от҃|| 
сьньмищъ|| 
ӣӡгьнані|| 
бѫдѫтъ·|| 
въӡлюбишѧ|| 
бо|| 
паче|| 
славѫ|| 
ч҃лчѭ|| 
неже|| 
славѫ|| 
б҃жиѭ̄|| · 
ӣс҃ъ|| 
же|| 
въӡьва|| 
ӣ|| 
рече|| 
вѣроуѧ̄ӣ|| 
въ|| 
мѧ|| · 
не|| 
вѣроуе̄тъ|| 
въ|| 
мене|| · 
нъ|| 
въ|| 
посълавъшаа̄го|| 
мѧ|| · 
а̄ӡъ|| 
свѣтъ|| 
въ|| 
миръ|| 
придъ|| · 
да|| 
вс̄ѣкъ|| 
вѣроуѧ̄ӣ|| 
въ|| 
мѧ|| · 
въ|| 
тьмѣ|| 
не|| 
прѣбѫдет҃|| · 
ӣ|| 
а̄ще|| 
кто|| 
о̄услъишитъ|| 
г҃лъи|| 
моѧ̄|| · 
ӣ|| 
не|| 
сьхранитъ|| 
ӣхъ|| · 
а̄ӡь|| 
же|| 
не|| 
сѫждѫ|| 
е̄моу|| · 
Не|| 
придъ|| 
бо|| 
да|| 
шѫждѫ|| 
мироу|| · 
нъ|| 
да|| 
с҃псѫ|| 
миръ|| ·· - 
Вѣдъи|| 
же|| 
ӣс҃ъ|| · 
Ѣ̄ко|| 
вьса|| 
въдастъ|| 
е̄моу|| 
о̄ц҃ь|| 
въ|| 
рѫцѣ|| · 
ӣ|| 
ѣ̄ко|| 
от҃|| 
б҃а|| 
ӣӡіде|| 
ӣ|| 
кь|| 
б҃оу|| 
грѧдетъ|| · 
Въста|| 
съ|| 
вечерѧ|| · 
ӣ|| 
положі|| 
риӡъі|| 
своѧ̄|| · 
ӣ|| 
пріӣмъ|| 
лен᾽тіӣ|| 
прѣпоѣ̄са|| 
сѧ|| · 
по|| 
томь|| 
же|| 
въліѣ|| 
водѫ|| 
вь|| 
о̄умъивальницѫ|| · 
ӣ|| 
начѧтъ|| 
о̄умъіваті|| 
ноѕѣ|| 
о̄ученікомъ|| · 
ӣ|| 
о?̄тираті|| 
ле̄нт̄іе̄мъ|| · 
ӣмъже|| 
бѣ|| 
прѣпоѣ̄санъ|| · 
Приде|| 
же|| 
кь|| 
сімоноу|| 
петроу|| · 
Ӣ|| 
г҃ла|| 
е̄моу|| 
тъ|| · 
Г҃и|| 
тъи|| 
лі|| 
моӣ|| 
о̄умъіе̄ши|| 
ноѕѣ|| · 
῾Ѡ̄тъвѣшта|| 
ӣс҃ъ|| 
ӣ|| 
рече|| 
е̄моу|| · 
Е̄же|| 
а̄ӡь|| 
творѭ|| 
тъи|| 
не|| 
вѣсі|| 
нъінѣ|| · 
раӡоумѣе̄ши|| 
же|| 
по|| 
сіхъ|| · 
Г҃ла|| 
е̄моу|| 
петрь|| · 
не|| 
о̄мъіе̄ші|| 
мо᾽ею̄|| 
ногоу|| 
въ|| 
вѣкь|| · 
῾Ѡ̄тъвѣшта|| 
е̄моу|| 
ӣс҃ъ|| · 
а̄ще|| 
не|| 
о̄умъиѭ̄|| 
тебѣ|| · 
не|| 
ӣмаші|| 
чѧсті|| 
съ|| 
мьноѭ̄|| · 
Г҃ла|| 
е̄моу|| 
сімонъ|| 
петръ|| · 
Г҃и|| 
не|| 
ноѕѣ|| 
тъкьмо·|| 
нъ|| 
ӣ|| 
рѫцѣ|| 
ӣ|| 
главѫ|| · 
г҃ла|| 
е̄моу|| 
ӣс҃ъ|| · 
ӣӡм̄ьвенъі|| 
не|| 
трѣбоу᾽етъ|| · 
тъкьмо|| 
ноѕѣ|| 
о̄мъиті|| · 
Е̄стъ|| 
бо|| 
весь|| 
чістъ|| · 
Ӣ|| 
въі|| 
чісті|| 
е̄сте|| 
нъ|| 
не|| 
вьсі|| · 
вѣдѣа̄ше|| 
бо|| 
прѣда̄ѭ̄щаа̄го|| 
ӣ|| · 
сего|| 
раді|| 
рече|| · 
᾽ѣко|| 
ӡач҃|| · 
не|| 
въсі|| 
чісті|| 
е̄сте|| · 
῾Егда|| 
же|| 
᾽оумъі|| 
ногъи|| 
ӣхъ|| · 
пріѧ̄тъ|| 
ріӡъі|| 
своѧ̄|| · 
й|| 
въӡлежаа̄ше|| · 
ӣ|| 
рече|| 
ӣмъ|| 
вѣсте|| 
лі|| 
чьто|| 
сьтворіхъ|| 
вам|| · 
Въі|| 
глашае̄те|| 
мѧ|| · 
о̄учітелѣ|| 
ӣ|| 
г҃а|| · 
е̄ӣ|| 
добрѣ|| 
г҃лете|| 
е̄см̄ъ|| 
бо|| · 
а̄ще|| 
о̄умъіхъ|| 
ваші|| 
ноѕѣ|| · 
г҃ь|| 
ӣ|| 
о̄учітель|| · 
ӣ|| 
въи|| 
длъжьні|| 
есте|| · 
дроугь|| 
дроугоу|| 
о̄умъиваті|| 
ноѕѣ|| · 
О̄браӡь|| 
бо|| 
дахъ|| 
вамъ|| · 
да|| 
ѣ̄коже|| 
а̄ӡь|| 
сьтворіхъ|| 
вамъ|| · 
ӣ|| 
въи|| 
сътворіте|| · 
῾Амін҃|| 
г҃лѭ|| 
вамь|| · 
нѣстъ|| 
рабь|| 
боле᾽и|| 
г҃а|| 
свое̄го|| · 
ни|| 
сьлъ|| 
болеӣ|| 
посълавъшаа̄го|| 
ӣ|| · 
а̄ще|| 
си|| 
вѣсте|| · 
блажені|| 
е̄сте|| 
а̄ште|| 
тво҃ріте|| 
ѣ̄|| · 
Нъінѣ|| 
прославі|| 
сѧ|| 
с҃нъ|| 
ч҃лчь|| · 
Ӣ|| 
б҃ъ|| 
прославі|| 
сѧ|| 
о̄|| 
немъ|| · 
а̄ще|| 
б҃ъ|| 
прославітъ|| 
сѧ|| 
о̄|| 
немъ|| · 
Ӣ|| 
б҃ъ|| 
провітъи|| 
въ|| 
себѣ|| · 
ӣ|| 
а̄біе̄|| 
прослави|| 
тъі|| · 
Чѧд̄ца|| · 
῾Еште|| 
мало|| 
съ|| 
вами|| 
е̄см̄ъ|| · 
Въӡіштете|| 
мене|| · 
ӣ|| 
ѣ̄коже|| 
рѣхъ|| 
ӣю̄де[о̄]м[ъ]|| · 
ѣ̄ко|| 
ѣ̆може|| 
аӡь|| 
идѫ|| 
въі|| 
не|| 
можете|| 
пріті|| · 
Ӣ|| 
вамъ|| 
г҃лѭ|| 
нъінѣ|| · 
Ӡаповѣдъ|| 
новѫ|| 
даѭ̄|| 
вамъ|| · 
да|| 
любіте|| 
дроугь|| 
дроуга|| · 
Ѣ̄коже|| 
въӡлюбіхъ|| 
въи|| · 
да|| 
ӣ|| 
въі|| 
любіте|| 
дроугь|| 
дроуга|| · 
О̄|| 
семь|| 
раӡоумѣѭ̄тъ|| 
вьси|| · 
ѣ̄ко|| 
моӣ|| 
о̄ученіци|| 
е̄сте·|| 
а̄ште|| 
любовь|| 
ӣмате|| 
междю|| 
собоѭ̄|| · 
г҃ла|| 
е̄моу|| 
сімонъ|| 
петръ|| · 
Г҃и|| 
камо|| 
ӣдеші|| · 
᾽̄Ѡтъвѣшта|| 
е̄моу|| 
ӣс҃ъ|| · 
Ѣ̄може|| 
а̄ӡь|| 
ӣдѫ|| · 
не|| 
можеші|| 
нъинѣ|| 
ӣті|| · 
послѣдь|| 
же|| 
по|| 
мьнѣ|| 
ӣдеші|| · 
г҃ла|| 
е̄моу|| 
петръ|| · 
Г҃і|| 
по|| 
чьто|| 
не|| 
могѫ|| 
нъінѣ|| 
по|| 
тебѣ|| 
ӣті|| · 
нъінѣ|| 
д҃шѫ|| 
моѭ̄|| 
ӡа|| 
тѧ|| 
положѭ̄|| · 
῾Ѡ̄тъвѣща|| 
ӣс҃ъ|| · 
д҃шѫ|| 
лі|| 
твоѭ̄|| 
ӡа|| 
мѧ|| 
положіші|| · 
῾А/мі̀н҃̅|| 
а̄мин҃|| 
г҃лѭ|| 
тебѣ|| · 
Не|| 
въӡг̄ла҃сітъ|| 
коуръ|| · 
доньдеже|| 
о̄твръжеші|| · 
ӡач҃|| · 
сѧ|| 
мене|| 
трі|| 
кратъи|| · 
Рече|| 
г҃ъ|| 
своімъ|| 
оученикомъ|| · 
да|| 
не|| 
съмѫщае̄тъ|| 
сѧ|| 
с҃҃рдьце|| 
ваше|| · 
ні|| 
᾽оустрашае̄тъ|| · 
Вѣроуӣте|| 
въ|| 
б҃а|| 
ӣ|| 
въ|| 
мѧ|| 
вѣроуӣте|| · 
Въ|| 
домоу|| 
о̄ц҃а|| 
мое̄го|| 
м᾽ногъи|| 
о̄битѣли|| 
сѫтъ|| · 
а̄ще|| 
ли|| 
же|| 
ни|| · 
реклъ|| 
бимъ|| 
вамъ|| · 
ѣ̄ко|| 
ӣдѫ|| · 
᾽оуготовати|| 
мѣсто|| 
вамъ|| · 
пакъи|| 
прідѫ|| 
ӣ|| 
поӣмѫ|| 
въи|| 
кь|| 
себѣ|| · 
да|| 
ӣдеже|| 
е̄смъ|| 
а̄ӡъ|| 
ӣ|| 
въи|| 
бѫдете|| · 
ӣ|| 
ѣможе|| 
аӡь|| 
᾽идѫ|| 
вѣсте|| 
пѫт|| · 
Г҃ла|| 
е̄моу|| 
ѳома|| · 
г҃и|| · 
Не|| 
вѣмъ|| 
камо|| 
ӣдеши|| 
ӣ|| 
како|| 
пѫть|| 
можемъ|| 
вѣдѣті|| · 
г҃ла|| 
᾽емоу|| 
ӣс҃ъ|| · 
῾Аӡь|| 
е̄смъ|| 
пѫть|| 
᾽и|| 
᾽истіна|| 
ӣ|| 
животъ|| · 
никт̄оже|| 
придетъ|| 
кь|| 
о̄ц҃ю|| · 
тькьмо|| 
мьно᾽ѭ|| · 
А̄ще|| 
мѧ|| 
бісте|| 
ӡнали|| · 
ӣ|| 
о̄ц҃а|| 
мое̄го|| 
ӡнали|| 
бисте|| 
о̄убо|| · 
от҃|| 
селѣ|| 
поӡнаете|| 
ӣ|| · 
ӣ|| 
о̄увѣсте|| 
ӣ|| · 
г҃ла|| 
е̄моу|| 
филіпь|| · 
Г҃и|| 
покажі|| 
намъ|| 
о̄ц҃а|| · 
ӣ|| 
довьлетъ|| 
намъ|| · 
Г҃ла|| 
е̄моу|| 
ӣс҃ъ|| · 
толіко|| 
врѣмѧ|| 
съ|| 
вамі̄|| 
е̄с᾽мъ|| · 
῾И|| 
не|| 
поӡна|| 
лі|| 
мене|| 
філіпе|| · 
Видѣвъі|| 
мѧ|| 
видѣ|| 
о̄ц҃а|| · 
како|| 
тъи҃|| 
г҃леши|| 
покажі|| 
намъ|| 
о̄ц҃а|| · 
не|| 
вѣроуе̄ші|| 
ли|| · 
ѣ̄ко|| 
а̄ӡь|| 
въ|| 
᾽҃оці|| · 
ӣ|| 
о̄ц҃ь|| 
в|| 
мнѣ̄|| 
есть|| · 
г҃льи|| 
ѧже|| 
аӡь|| 
г҃лѭ|| 
вамь҃|| · 
о̀|| 
себѣ|| 
не|| 
г҃лѫ|| · 
о҃ць|| 
же|| 
прѣбьиваѧӣ|| 
вь|| 
мн̄ѣ|| · 
ть|| 
творитъ|| 
дѣла|| · 
вѣрѫ|| 
имѣте|| 
мнѣ|| · 
ѣко|| 
а̄ӡь|| 
вь|| 
о҃ци|| · 
і|| 
о҃ць|| 
вь|| 
м᾽нѣ|| · - 
А̄мін҃|| 
А̄мінъ|| 
г҃лѭ|| 
вамъ|| · 
вѣроуѧ̄ӣ|| 
въ|| 
мѧ|| · 
дѣла|| 
ѣ̄же|| 
᾽аӡь|| 
творѭ̄|| · 
ӣ|| 
тъ|| 
сьтворітъ|| · 
ӣ|| 
большаа̄|| 
сьтворітъ|| 
сихъ|| · 
ѣ̄ко|| 
а̄ӡь|| 
кь|| 
о̄ц҃ю|| 
грѧдѫ|| · 
ӣ|| 
е̄гоже|| 
коліжьдо|| 
просіте|| · 
въ|| 
᾽имѧ|| 
мо᾽е|| 
то|| 
сътво҃рѭ|| · 
да|| 
прославитъ|| 
сѧ|| 
᾽҃оць|| 
о̄|| 
с҃нѣ|| · 
а̄ште|| 
чесо|| 
просіте|| 
въ|| 
і̄мѧ|| 
мое̄то|| 
сьтворѭ̄|| · 
А̄ще|| 
любіте|| 
мѧ|| · 
ӡаповѣді|| 
мо᾽ѧ|| 
съблюдѣте|| · 
ӣ|| 
а̄ӡь|| 
о̄умолѭ|| 
᾽҃оца|| 
мое̄го|| · 
ӣ|| 
ӣного|| 
паракліта|| 
дастъ|| 
вамъ|| · 
да|| 
бѫдет|| 
съ|| 
вамі|| 
въ|| 
вѣкь|| · 
д҃хъ|| 
ӣстінънъі|| · 
е̄гоже|| 
весь|| 
миръ|| 
не|| 
можетъ|| 
пріѧ̄ті|| · 
Ѣ̄ко|| 
не|| 
відітъ|| 
е̄го|| · 
ні|| 
ӡна᾽етъ|| 
е̄го|| · 
въі|| 
же|| 
ӡнае̄те|| 
ӣ|| · 
ѣ̄ко|| 
въ|| 
васъ|| 
прѣбъівае̄т|| · 
ӣ|| 
въ|| 
васъ|| 
бѫдетъ|| · 
Не|| 
о̄ставлѭ|| 
вась|| 
сирь|| · 
прідѫ|| 
кь|| 
вамъ|| · 
Е̄ште|| 
мало|| · 
ӣ|| 
весь|| 
міръ|| 
кь|| 
томоу|| 
не|| 
відітъ|| 
мене|| · 
въі|| 
же|| 
видіте|| 
мѧ|| · 
ѣ̄|| 
᾽аӡь|| 
живѫ|| 
ӣ|| 
въи|| 
жіві|| 
бѫдете|| · 
въ|| 
тъ|| 
денъ|| 
раӡоумѣе̄те|| 
въи|| · 
ѣ̄ко|| 
а̄ӡь|| 
въ|| 
о̄ц҃и|| 
мое̄мь|| · 
ӣ|| 
въи|| 
вь|| 
м̄ьнѣ|| · 
ї|| 
а̄ӡь|| 
въ|| 
вась|| · 
ӣмѣѧ̄ӣ|| 
ӡаповѣді|| 
моѧ̄|| 
ӣ|| 
съблюдаѧ̄|| 
ѧ̄|| · 
тъ|| 
е̄стъ|| 
любѧӣ|| 
мѧ|| · 
а̄|| 
любѧӣ|| 
мѧ|| 
въӡлюбенъ|| 
бѫдетъ|| 
о̄ц҃мъ|| 
моїмъ|| · 
ӣ|| 
а̄ӡь|| 
вьӡлюблѭ|| 
ӣ|| · 
ӣ|| 
ѣ̄влѭ̄|| 
сѧ|| 
е̄моу|| 
самъ|| ·· · - 
Г҃ла|| 
е̄моу|| 
ӣю̄да|| 
не|| 
ӣскаріо̄тьскъі|| · 
г҃и|| 
чьто|| 
бъис҃|| 
ѣ̄ко|| 
намъ|| 
хощеші|| 
а̄віти|| 
сѧ|| 
а̄|| 
не|| 
въсемоу|| 
мироу|| · 
г҃ла|| 
емо̄у|| 
с̄ъ҃|| · 
а̄ште|| 
кт̄о|| 
любитъ|| 
мѧ|| 
ӣ|| 
слово|| 
мое̄|| 
сьблюдетъ|| · 
ӣ|| 
о̄ц҃ь|| 
моӣ|| ·:· 
въӡлюбитъі|| · 
ӣ|| 
кь|| 
немоу|| 
ӣдевѣ|| · 
ӣ|| 
о̄бітѣль|| 
о̄у|| 
него|| 
сътворівѣ|| · 
не|| 
любѧй|| 
мене|| · 
словесъ|| 
моӣхъ|| 
не|| 
съблюдаетъ|| · 
ӣ|| 
слово|| 
еже|| 
слъишасте|| · 
нѣстъ|| 
мое̄|| 
нъ|| 
посьлавъшаа̄го|| 
мѧ|| 
о̄ц҃а|| · 
Сі|| 
г҃лахъ|| 
въ|| 
вась|| 
съі|| · 
параклитъ|| 
же|| · 
д҃хъ|| 
с҃тъи|| · 
е̄гоже|| 
посълетъ|| 
о̄ц҃ь|| · 
въ|| 
ӣмѧ|| 
мое̄|| · 
тъ|| 
въі|| 
нао̄учітъ|| 
въсемоу|| · 
ӣ|| 
въспомѧнетъ|| 
вамъ|| 
вьсѣ|| 
ѣ̄же|| 
рѣхъ|| 
вамъ|| · 
Міръ|| 
о̄ставлѣѭ̄|| 
вамъ|| · ·:· 
миръ|| 
моӣ|| · 
даѭ̄|| 
вамъ|| · 
Да|| 
не|| 
съмѫщае̄тъ|| 
сѧ|| 
ваше|| 
с҃рце|| 
ни|| 
о̄устрашае̄тъ|| · 
слъішасте|| · 
ѣ̄ко|| 
а̄ӡь|| 
рѣхъ|| 
вам|| · 
ӣдѫ|| 
ӣ|| ·· 
пакъі|| 
прідѫ|| 
кь|| 
вамъ|| · 
А̄ще|| 
бісте|| 
любилі|| 
мѧ|| · 
въӡдр̄адовалі|| 
сѧ|| 
бісте|| 
о̄убо|| · 
ѣ̄ко|| 
ӣдѫ|| 
кь|| 
о̄ц҃ю|| · 
Ѣ̄ко|| 
о̄ц҃ъ|| 
боліӣ|| 
мене|| 
е̄стъ|| · 
ӣ|| 
нъи҃нѣ|| 
рѣхъ|| 
вамъ|| 
прѣжде|| · 
даже|| 
не|| 
бѫдет|| · 
да|| 
е̄гда|| 
бѫдет|| · 
в̄ѣрѫ̄|| 
ӣмете|| · 
Ѣ̄ко|| 
а̄ӡъ|| 
рѣхъ|| 
вамъ|| · 
ю̄же|| 
не|| 
мъного|| 
г҃лѭ|| 
вамъ|| · 
грѧдетъ|| 
бо|| 
сего|| 
міра|| 
кьнѧѕь|| · 
ӣ|| 
въ|| 
мьнѣ|| 
не|| 
ӣматъ|| 
ничесоже|| · 
нъ|| 
да|| 
раӡоумѣе̄тъ|| 
весь|| 
мирь|| · 
ѣ̄ко|| 
люблѭ̄|| 
о̄ц҃а|| · 
ӣ|| 
ѣ̄ко|| 
ӡаповѣда|| 
мьнѣ|| 
о̄ц҃ь|| · 
тако|| 
творѭ|| · 
вьстанѣте|| 
ӣдѣмь|| 
о̄тсѫдѣ|| · 
А̄ӡь|| 
е̄смъ|| 
лоӡа|| 
ӣстінънаѣ̄|| · 
᾽и|| 
о̄ц҃ь|| 
моӣ|| 
дѣлатель|| 
е̄стъ|| · 
В҃ьсѣкѫ|| 
роӡгѫ|| 
о̄|| 
мьнѣ|| 
не|| 
творѭщѫѭ̄|| 
плода|| 
ӣӡьметъ|| 
ѭ̄|| · 
ӣ|| 
вьсѣкѫ|| 
творѧщѫѭ̄|| 
плодъ|| 
о̄трѣбітъ|| 
᾽ѭ|| · 
да|| 
плодъ|| 
больші|| 
сьтворіт|| · 
ю̄же|| 
въі|| 
чісті|| 
е̄сте|| 
ӡа|| 
слово|| 
е̄же|| 
г҃лахъ|| 
вамъ|| · 
бѫдѣте|| 
въ|| 
мьнѣ|| · 
ӣ|| 
а̄ӡь|| 
въ|| 
вась|| · 
Ѣ̄коже|| 
бо|| 
роӡга̄|| · 
не|| 
мо̄жетъ|| 
плода|| 
твориті|| 
о̄|| 
себѣ|| · 
а̄ще|| 
не|| 
бѫдет|| 
на|| 
лоӡѣ|| · 
тако|| 
ӣ|| 
въи|| 
а̄ште|| 
вь|| 
мънѣ|| 
не|| 
прѣбѫдете|| · 
а̄ӡь|| 
е̄смъ|| 
лоӡа|| 
а̄|| 
въі|| 
рождіе̄|| · 
і̄же|| 
бѫдетъ|| 
въ|| 
мьнѣ|| · 
᾽и|| 
а̄ӡь|| 
въ|| 
немь|| · 
сътворітъ|| 
плодъ|| 
мън̄ог|| · 
Ѣ̄ко|| 
беӡ|| 
мене|| 
не|| 
можете|| 
сътворити|| 
ничесоже|| · 
а̄ще|| 
кьто|| 
въ|| 
мьнѣ|| 
не|| 
прѣбѫдетъ|| · 
ӣ|| 
ӡвръжетъ|| 
сѧ|| 
вонъ|| 
ѣ̄коже|| 
роӡга|| 
ӣ|| 
ӣсъхн̄етъ|| · 
ӣ|| 
събираѭ̄тъ|| 
ѭ̄|| · 
ӣ|| 
въ|| 
о̄гнь|| 
вълагаѭ̄тъ|| · 
ӣ|| 
съгарае̄тъ|| · 
῾Аще|| 
прѣбѫдете|| 
въ|| 
мьнѣ|| · 
ӣ|| 
г҃лі|| 
моӣ|| 
въ|| 
васъ|| 
прѣбѫдѫтъ|| · ·:· 
Ӣ|| 
е̄моуже|| 
коліждо|| 
хощете|| · 
Просите|| 
ӣ|| 
бѫдетъ|| 
вамъ|| · 
коц҃|| ·· 
О̄|| 
семъ|| ·:· 
прославітъ|| 
сѧ|| 
о̄ц҃ь|| 
моӣ|| · 
да|| 
плод|| 
мно̄гь|| 
сътворіте|| 
ӣ|| 
бѫдете|| 
мі|| 
о̄ученіці|| ·· - 
Ѣ̄ко|| 
въӡлюбі|| 
мѧ|| 
о̄ц҃ь|| · 
ӣ|| 
а̄ӡь|| 
въӡь{въӡ}любіхъ|| 
въі|| · 
бѫдѣте|| 
въ|| 
любьві|| 
мое̄ӣ|| · 
Ѣ̄ко|| 
же|| 
а̄ӡь|| 
ӡаповѣді|| 
о̄ц҃а|| 
мое̄го|| 
съблюсъ|| · 
ӣ|| 
прѣбъіваѭ|| 
вь|| 
него|| 
любьві|| · 
сі|| 
г҃лахъ|| 
вамъ|| · 
да|| 
радость|| 
моѣ̄|| · 
въ|| 
васъ|| 
бѫдетъ|| · 
ӣ|| 
радость|| 
ваша|| 
ӣсплънітъ|| 
сѧ|| · 
Сі|| 
же|| 
е̄стъ|| 
ӡаповѣдъ|| 
моѣ|| · 
да|| 
любіте|| 
дро̄угъ|| 
дроуга|| · 
ѣ̄коже|| 
въӡлюбихъ|| 
въі|| · 
больше|| 
сеѧ̄|| 
любьве|| · 
ніктоже|| 
не|| 
ӣматъ|| · 
да|| 
кт̄о|| 
д҃шѫ|| 
своѭ̄|| 
положітъ|| 
ӡа|| 
дроугъі|| 
своѧ̄|| · 
Въі|| 
дроуѕі|| 
моӣ|| 
е̄сте|| · 
а̄ще|| 
творіте|| · 
е̄лико|| 
а̄ӡь|| 
ӡаповѣдахъ|| 
вамъ|| · 
юже|| 
не|| 
г҃лѭ|| 
васъ|| 
рабъ|| · 
Рабь|| 
бо|| 
не|| 
вѣстъ|| 
чь[то]|| 
творітъ|| 
г҃днъ|| 
е̄го|| · 
въі|| 
же|| 
рѣхъ|| 
дроугъі|| · 
Ѣ̄ко|| 
вьсѣ|| 
ѣ̄же|| 
слъішахъ|| 
ѡ̄т|| 
о̄ц҃а|| 
мое̄го|| · 
съкаӡахъ|| 
вамъ|| · 
Не|| 
въі|| 
мене|| 
ӣӡбърасте|| · 
нъ|| 
а̄ӡъ|| 
ӣӡбьрахъ|| 
въі|| · 
ӣ|| 
положіхъ|| 
въі|| · 
да|| 
въи|| 
ӣдете|| 
ӣ|| 
плод|| 
прінесете|| · 
ӣ|| 
плодъ|| 
вашъ|| 
прѣбѫдетъ|| · 
Да|| 
᾽егоже|| 
коліждо|| 
просіте|| 
о̄у|| 
о̄ц҃а|| 
въ|| 
ӣмѧ|| 
мое̄|| · 
дастъ|| 
вамъ|| · 
Сі|| 
ӡаповѣдаѭ̄|| 
вамъ|| · 
да|| 
любіте|| 
дроугь|| 
дроуга|| · 
А̄ште|| 
ӣ|| 
весь|| 
міръ|| 
вас|| 
ненавідітъ|| · 
вѣдіте|| 
ѣ̄ко|| 
ме҃не|| 
прѣжде|| 
вас|| 
въӡненавідѣ|| · 
А̄ште|| 
от҃|| 
въсего|| 
міра|| 
бисте|| 
бъілі|| · 
весь|| 
міръ|| 
о̄убо|| 
свое|| 
любілъ|| 
бі|| · 
ѣ̄коже|| 
отъ|| 
въсего|| 
міра|| 
нѣсте|| · 
нъ|| 
аӡъ|| 
᾽иӡбьрахъ|| 
въі|| 
ѡ̄тъ|| 
въсего|| 
міра|| · 
сего|| 
ради|| 
ненавідітъ|| 
васъ|| 
весь|| 
миръ|| · 
Помъните|| 
слово|| 
еже|| 
а̄ӡ|| 
рѣхъ|| 
вамъ|| · 
нѣстъ|| 
рабъ|| 
боліӣ|| 
г҃а|| 
свое̄го|| · 
а̄ште|| 
мѧ|| 
ӣӡгьнашѧ|| · 
ӣ|| 
въі|| 
ижденѫтъ|| · 
А̄ште|| 
слово|| 
мое|| 
съблюсѧ|| · 
ӣ|| 
ваше|| 
съблюдѫтъ|| · 
Нъ|| 
сіӣ|| 
въсѣ|| 
сътворѧт|| 
вамъ|| 
ӡа|| 
ӣмѧ|| 
мое̄|| · 
ѣ̄ко|| 
не|| 
вѣдѧтъ|| 
посьлавъшаа̄го|| 
мѧ|| · 
А̄ште|| 
не|| 
бім|| 
прішелъ|| 
ӣ|| 
г҃ла̄лъ|| 
ӣмъ|| · 
грѣха|| 
не|| 
бѫ|| 
ӣмѣлі|| · 
нъінѣ|| 
же|| 
ӣ|| 
винъі|| 
не|| 
ӣмѫт|| 
о̄|| 
грѣсѣ|| 
свое̄м|| · 
Ненавідѧӣ|| 
мене|| · 
ӣ|| 
о̄ц҃а|| 
мое̄го|| 
ненавідітъ|| · 
нъ|| 
да|| 
събѫдетъ|| 
сѧ|| 
слово|| 
пісаное̄|| 
въ|| 
ӡаконѣ|| 
ӣхъ|| · 
ѣ̄ко|| 
въӡненавідѣшѧ|| 
мѧ|| 
спъіті|| · 
Е̄гда|| 
же|| 
прідетъ|| 
параклітъ|| · 
Е̄гоже|| 
а̄ӡь|| 
посьлѭ|| 
вамъ|| · 
ѡ̄тъ|| 
о̄ц҃а|| 
д҃хъ|| 
ӣстінънъи|| · 
і̄же|| 
ѡт҃|| 
о̄ц҃а|| 
ӣсходітъ|| · 
тъ|| 
сьвѣдѣтельствоуе̄тъ|| 
о̄|| 
мьнѣ|| · 
ӣ|| 
въи|| 
же|| 
съвѣ[д]ѣ[те]льствоуе̄те|| · 
ѣ̄ко|| 
искони|| 
съ|| 
мьноѭ̄|| 
е̄сте|| · 
Си|| 
г҃лахъ|| 
вамъ|| · 
да|| 
не|| 
съблаӡніте|| 
сѧ|| · 
Нъ|| 
прідетъ|| 
годіна|| · 
да|| 
въсѣкъ|| 
і̄же|| 
о̄убие̄тъ|| 
въі|| · 
мьнітъ|| 
сѧ|| 
слоужбѫ|| 
пріносіті|| 
б҃оу|| ·· 
Ӣ|| 
сі|| 
сътворѧт|| 
вамъ|| · 
ѣ̄ко|| 
не|| 
поӡн̄ашѧ|| 
ни|| 
о̄ц҃а|| 
ні|| 
мене|| · 
нъ|| 
сі|| 
г҃лахъ|| 
вамъ|| · 
да|| 
е̄гд̄а|| 
прідетъ|| 
годіна|| · 
помінаӣте|| 
сіӣ|| · 
ѣ̄ко|| 
а̄ӡь|| 
рѣхъ|| 
вамъ|| · 
сіхъ|| 
же|| 
а̄ӡъ|| 
не|| 
рѣхъ|| 
вамъ|| 
ӣспръва|| · 
