Кьнігъі|| 
р҃одства|| 
и҃ѹ҃хва|| · 
ӣсх̄одѧщиӣмъ|| · 
ӣӡъ|| 
о̄устъ|| 
б҃жіи|| · 
Тогда|| 
поѧ̄т[ъ]и|| 
діѣ̄волъ|| · 
въ|| 
с҃тъі|| 
градъ|| · 
Ӣ|| 
постави|| 
ӣ|| 
на|| 
крілѣ|| 
ц҃рковьнѣа̄м|| - 
ӣ|| 
рече|| 
е̄моу|| 
а̄ще|| 
с҃нъ|| 
е̄сі|| 
б҃жіи|| · 
връѕі|| 
сѧ|| 
ниӡоу|| · 
Пісано|| 
бо|| 
е̄стъ|| · 
ѣ̄ко|| 
а̄н҃ђломъ|| 
своӣмъ|| 
ӡаповѣстъ|| 
о̄|| 
тебѣ|| · 
ӣ|| 
на|| 
рѫкахъ|| 
въӡьмѫтъ|| 
тѧ|| · 
да|| 
не|| 
прѣтъкнеши|| 
о̄|| 
камень|| 
ногъи|| 
твое̄ѧ̄|| · 
Рече|| 
е̄моу|| 
ӣс҃ъ|| · 
пакъи|| 
писано|| 
е̄стъ|| · 
не|| 
ӣскоусиши|| 
г҃а|| 
б҃а|| 
свое̄го|| · 
Пакъі|| 
поѧ̄тъі|| 
діѣ̄волъ|| · 
на|| 
горѫ|| 
въисокѫ|| 
ѕѣло|| · 
ӣ|| 
покаӡа|| 
е̄моу|| 
всѣ̄|| 
ц҃рствіѣ̄|| 
въсего|| 
мира|| · 
ӣ|| 
славѫ|| 
ӣхъ|| · 
ӣ|| 
рече|| 
е̄моу|| · 
въса|| 
сіӣ|| 
тебѣ|| 
да̄мъ|| · 
а̄ште|| 
падъ|| 
поклониши|| 
ми|| 
сѧ|| · 
Тогда̄|| 
рече|| 
е̄моу|| 
ӣс҃ъ|| · 
о̄тіди|| 
сотоно|| · 
Писано|| 
бо|| 
е̄стъ|| · 
г҃ю|| 
б҃оу|| 
свое̄моу|| 
поклониши|| 
сѧ|| · 
ӣ|| 
томоу|| 
е̄диномоу|| 
послоужиші|| · 
тогда|| 
ӣ|| 
о̄стави|| 
діѣ̄волъ|| · 
ӣ|| 
се|| 
прист̄ѫпішѧ|| 
а̄н҃ђли|| 
б҃жіӣ|| · 
и|| 
слоужаа̄хѫ|| 
е̄мо҃у|| ·· · - 
слъішавъ|| 
ӣс҃ъ|| · 
ѣ̄ко|| 
ӣо̄а̄нъ|| 
прѣданъ|| 
бъіс҃|| · 
о̄тіде|| 
въ|| 
галилеѭ̄|| · 
о̄ставль|| 
наӡаретъ|| · 
ӣ|| 
пришедъ|| 
въсели|| 
сѧ|| · 
въ|| 
каперн̄ао̄умъ|| · 
въ|| 
поморие̄|| 
въ|| 
прѣдѣлѣхъ|| 
ӡавьлоніихъ|| · 
ӣ|| 
невт̄алімл҃ихъ|| · 
Да|| 
събѫдетъ|| 
сѧ|| · 
реченое̄|| 
ӣсаӣ᾽е̄мъ|| 
п҃рркмъ|| 
г҃лщемъ|| · 
ӡ̄емл҃ѣ̄|| 
ӡавлона|| 
ӣ|| 
ӡем̄л҃ѣ̄|| 
невт̄алімѣ|| · 
пѫтъ|| 
морѣ|| 
о̄б|| 
онъ|| 
полъ|| 
ӣо̄рда̄н̄а|| · 
галілеа̄|| 
ѧ̄̄҃ӡкъ|| · 
людіе̄|| 
сѣдѧщи᾽и|| 
въ|| 
тьмѣ|| 
відѣшѧ|| 
свѣт҃|| 
веліӣ|| · 
ӣ|| 
сѣдѧдѧщиӣ|| 
въ|| 
странѣ|| 
свѣт҃|| 
въсіѣ̄|| 
ӣмъ|| · 
ѡт҃|| 
толѣ|| 
начѧтъ|| 
ӣс҃ъ|| · 
проповѣдати|| 
ӣ|| 
г҃лати|| · 
Покаӣте|| 
сѧ|| 
пріближи|| 
бо|| 
сѧ|| 
ц҃рство|| 
н҃бсное̄|| ·· - 
ходѧ|| 
ӣс҃ъ|| 
при|| 
морі|| 
галіле᾽истѣа̄мь|| · 
відѣ|| 
дъва|| 
брата|| · 
сімона|| 
наріцаемаа̄го|| 
петра|| · 
Ӣ|| 
анд̄реа̄|| 
брата|| 
е̄го|| · 
въмѣтаѭ̄ща|| 
мрѣжѧ|| 
въ|| 
море|| · 
бѣсте|| 
бо|| 
ловц̄а|| · 
Ӣ|| 
рече|| 
ӣма|| 
грѧдѣта|| 
по|| 
мьнѣ|| · 
Ӣ|| 
сътворѭ|| 
въі|| 
ловца|| 
ч҃комъ|| · 
О̄на|| 
же|| 
абие̄|| 
о̄ставлъша|| 
мрѣжѧ|| 
по|| 
немъ|| 
ӣдете|| · 
ӣ|| 
прѣшедъ|| 
о̄тъ|| 
тѫдѣ|| · 
о̄уӡьрѣ|| 
ӣна|| 
дъва|| 
братр̄а|| · 
ӣа̄кова|| 
с҃на|| 
ӡеведео̄ва|| 
ӣ|| 
ӣо̄а̄на|| 
бра[та]|| 
его|| · 
въ|| 
кораби|| · 
съ|| 
ӡеведео̄мъ|| 
о҃цмъ|| 
е̄ю̄|| 
ӡавѧӡаѭ̄ща|| 
мрѣжѧ|| 
сво᾽ѧ|| · 
ӣ|| 
въӡьва|| 
ѣ̄|| · 
о̄на|| 
а̄біе̄|| 
о̄ставлъша|| 
корабь|| 
ӣ|| 
о̄ц҃а|| 
свое̄го|| · 
по|| 
немь|| 
᾽идете|| · 
᾽и|| 
прохождаа̄ше|| 
въсѭ|| 
галілеѭ̄|| 
ӣс҃ъ|| · 
о̄учѧ|| 
на|| 
сьнъмишиӣх|| · 
ӣ|| 
проповѣдаѧ̄|| 
е̄в҃ђлие̄|| 
ц҃рстви҃ю̄|| · 
ӣ|| 
ӣцѣлѣѧ|| 
въсѣкъ|| 
недѫгь|| · 
ӣ|| 
вс̄ѣкѫ|| 
ѧ̄ѕѫ|| 
въ|| 
людехъ|| ·· ·· - 
въ|| 
слѣдъ|| 
ӣс҃а|| 
ӣдѫ|| 
