ма᾽тт̄ана|Ne|1042|матътeи|-s---mg--i|| · |10|1|MATT 1.15|5000014
матт̄анъ|V-|0|FIXME|-s---mn--i|| |10|1|MATT 1.15|5000014
же|Df|20|же|---------n|| |10|1|MATT 1.15|5000014
роді|V-|1198|родити#1|3saia----i|| · |10|1|MATT 1.15|5000014
ӣа̄кова|Ne|412|иꙗковъ|-s---mg--i|| · |10|1|MATT 1.15|5000014
ӣа̄ковъ|Ne|412|иꙗковъ|-s---mn--i|| |10|1|MATT 1.16|5000015
же|Df|20|же|---------n|| |10|1|MATT 1.16|5000015
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.16|5000015
ӣо̄сіфа|Ne|1392|иосифъ|-s---mg--i|| |10|1|MATT 1.16|5000015
мѫжа|Nb|70|мѫжь|-s---mg--i|| |10|1|MATT 1.16|5000015
мариӣна|A-|2165|мариинъ|-s---ogpsi|| · |10|1|MATT 1.16|5000015
ӣӡ|R-|486|из|---------n|| |10|1|MATT 1.16|5000015
неѧ̄же|Pr|96|иже|-s---fg--i|| |10|1|MATT 1.16|5000015
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.16|5000015
сѧ|Pk|21|себе|3s---qa--i|| |10|1|MATT 1.16|5000015
ӣс҃ъ|Ne|343|исоусъ|-s---mn--i|| · |10|1|MATT 1.16|5000015
наріцае̄мъи|V-|68|нарицати|-spppmn-wi|| |10|1|MATT 1.16|5000015
х҃ъ|Ne|305|христ(ос)ъ|-s---mn--i|| · |10|1|MATT 1.16|5000015
Вьсѣхъ|Px|54|вьсь|-p---mg--i|| |10|1|MATT 1.17|5000016
же|Df|20|же|---------n|| |10|1|MATT 1.17|5000016
родовъ|Nb|57|родъ|-p---mg--i|| · |10|1|MATT 1.17|5000016
ѡт҃|R-|80|отъ|---------n|| |10|1|MATT 1.17|5000016
а̄враа̄ма|Ne|963|авраамъ|-s---mg--i|| |10|1|MATT 1.17|5000016
до|R-|187|до|---------n|| |10|1|MATT 1.17|5000016
д҃да|Nb|0|FIXME|-s---mg--i|| · |10|1|MATT 1.17|5000016
Родовъ|Nb|57|родъ|-p---mg--i|| |10|1|MATT 1.17|5000016
г҃і҃|Nb|342|господь|-s---mv--i|| |10|1|MATT 1.17|5000016
те|Pp|304|тꙑ|2s---ma--i|| · |10|1|MATT 1.17|5000016
Ӣ|C-|13|и|---------n|| |10|1|MATT 1.17|5000016
ѡт҃|R-|80|отъ|---------n|| |10|1|MATT 1.17|5000016
д҃да|Nb|0|FIXME|-s---mg--i|| |10|1|MATT 1.17|5000016
до|R-|187|до|---------n|| |10|1|MATT 1.17|5000016
прѣселениѣ̄|Nb|3824|прѣселѥниѥ|-s---ng--i|| |10|1|MATT 1.17|5000016
вавілон᾽скаа̄го|A-|4268|вавѵлоньскъ|-s---ngpwi|| · |10|1|MATT 1.17|5000016
Родовъ|Nb|57|родъ|-p---mg--i|| |10|1|MATT 1.17|5000016
г҃і҃|Nb|342|господь|-s---mv--i|| |10|1|MATT 1.17|5000016
те|Pp|304|тꙑ|2s---ma--i|| · |10|1|MATT 1.17|5000016
Ӣ|C-|13|и|---------n|| |10|1|MATT 1.17|5000016
ѡт҃|R-|80|отъ|---------n|| |10|1|MATT 1.17|5000016
прѣселениѣ̄|Nb|3824|прѣселѥниѥ|-s---ng--i|| |10|1|MATT 1.17|5000016
вавилон̄с̄каа̄го|A-|4268|вавѵлоньскъ|-s---ngpwi|| |10|1|MATT 1.17|5000016
до|R-|187|до|---------n|| |10|1|MATT 1.17|5000016
х҃а|Ne|305|христ(ос)ъ|-s---mg--i|| · |10|1|MATT 1.17|5000016
Родовъ|Nb|57|родъ|-p---mg--i|| |10|1|MATT 1.17|5000016
г҃і҃|Nb|342|господь|-s---mv--i|| |10|1|MATT 1.17|5000016
те|Pp|304|тꙑ|---------n|| · |10|1|MATT 1.17|5000016
И҃схво|A-|2045|исоухристосовъ|-s---nnpsi|| |10|1|MATT 1.18|5000017
же|Df|20|же|---------n|| |10|1|MATT 1.18|5000017
р҃одство|Nb|0|FIXME|-s---nn--i|| |10|1|MATT 1.18|5000017
сіце|Df|127|сице|---------n|| |10|1|MATT 1.18|5000017
бъіс҃|V-|18|бꙑти|3saia----i|| · |10|1|MATT 1.18|5000017
о̄брѫченѣ|V-|2430|обрѫчити|-suppfd-si|| |10|1|MATT 1.18|5000017
бъивьші|V-|18|бꙑти|-supafd-si|| |10|1|MATT 1.18|5000017
матері|Nb|1170|мати|-s---fd--i|| |10|1|MATT 1.18|5000017
е̄го|Pp|64|и|3s---mg--i|| |10|1|MATT 1.18|5000017
маріӣ|Ne|663|мариꙗ|-s---fd--i|| · |10|1|MATT 1.18|5000017
Ӣо̄сіфові|Ne|1392|иосифъ|-s---md--i|| · |10|1|MATT 1.18|5000017
прѣжде|Df|5|прѣжде|---------n|| |10|1|MATT 1.18|5000017
даже|G-|1923|даже|---------n|| |10|1|MATT 1.18|5000017
не|Df|8|не|---------n|| |10|1|MATT 1.18|5000017
сьнѧсте|V-|2376|сънѧти|2paia----i|| |10|1|MATT 1.18|5000017
сѧ|Pk|21|себе|3s---qa--i|| · |10|1|MATT 1.18|5000017
О̄брѣте|V-|225|обрѣсти|3saia----i|| |10|1|MATT 1.18|5000017
сѧ|Pk|21|себе|3s---qa--i|| |10|1|MATT 1.18|5000017
ӣмѫщі|V-|9|имѣти|-sppafn-si|| |10|1|MATT 1.18|5000017
въ|R-|111|въ|---------n|| |10|1|MATT 1.18|5000017
чрѣвѣ|Nb|1291|чрѣво|-s---nl--i|| |10|1|MATT 1.18|5000017
ѡт҃|R-|80|отъ|---------n|| |10|1|MATT 1.18|5000017
д҃ха|Nb|443|доухъ|-s---mg--i|| |10|1|MATT 1.18|5000017
с҃та|V-|1274|стати|-s---ogpsi|| · |10|1|MATT 1.18|5000017
Ӣо̄сіфь|Ne|1392|иосифъ|-s---mn--i|| |10|1|MATT 1.19|5000018
же|Df|20|же|---------n|| |10|1|MATT 1.19|5000018
мѫжь|Nb|70|мѫжь|-s---mn--i|| |10|1|MATT 1.19|5000018
е̄ѧ̄|Pp|64|и|3s---fg--i|| · |10|1|MATT 1.19|5000018
правьденъ|A-|71|правьдьнъ|-s---mnpsi|| |10|1|MATT 1.19|5000018
съі|V-|18|бꙑти|-sppamn-si|| |10|1|MATT 1.19|5000018
ӣ|C-|13|и|---------n|| |10|1|MATT 1.19|5000018
не|Df|8|не|---------n|| |10|1|MATT 1.19|5000018
хотѧ|V-|301|хотѣти|-sppamn-si|| |10|1|MATT 1.19|5000018
о̄блічіті|V-|1567|обличити|--pna----i|| |10|1|MATT 1.19|5000018
е̄ѧ̄|Pp|64|и|3s---fg--i|| · |10|1|MATT 1.19|5000018
Въсх̄отѣ|V-|578|въсхотѣти|3saia----i|| |10|1|MATT 1.19|5000018
таӣ|Df|3136|таи|---------n|| |10|1|MATT 1.19|5000018
поустіті|V-|704|поустити|--pna----i|| |10|1|MATT 1.19|5000018
᾽ѭ|Pp|64|и|3s---fa--i|| · |10|1|MATT 1.19|5000018
Се|Pd|47|сь|---------n|| |10|1|MATT 1.20|5000019
же|Df|20|же|---------n|| |10|1|MATT 1.20|5000019
е̄моу|Pp|64|и|3s---md--i|| |10|1|MATT 1.20|5000019
о̄умъішльшоу|V-|795|оумꙑти|-supamd-si|| · |10|1|MATT 1.20|5000019
се|I-|419|се|---------n|| |10|1|MATT 1.20|5000019
а̄н҃ђлъ|Nb|159|ангелъ|-s---mn--i|| |10|1|MATT 1.20|5000019
г҃нь|A-|1674|господьнь|-s---mnpsi|| |10|1|MATT 1.20|5000019
вь|R-|111|въ|---------n|| |10|1|MATT 1.20|5000019
сьнѣ|Nb|1976|сънъ|-s---ml--i|| |10|1|MATT 1.20|5000019
ѣ̄ви|V-|358|авити|3saia----i|| |10|1|MATT 1.20|5000019
сѧ|Pk|21|себе|3s---qa--i|| |10|1|MATT 1.20|5000019
е̄моу|Pp|64|и|3s---md--i|| |10|1|MATT 1.20|5000019
г҃лѧ|V-|102|глаголати|-sppamn-si|| · |10|1|MATT 1.20|5000019
Ӣо̄сіфе|Ne|1392|иосифъ|-s---mv--i|| |10|1|MATT 1.20|5000019
с҃не|Nb|341|сꙑнъ#1|-s---mv--i|| |10|1|MATT 1.20|5000019
д҃двъ|A-|0|FIXME|-s---mvpsi|| · |10|1|MATT 1.20|5000019
не|Df|8|не|---------n|| |10|1|MATT 1.20|5000019
о̄убоӣ|V-|1156|оубоꙗти|2spma----i|| |10|1|MATT 1.20|5000019
сѧ|Pk|21|себе|3s---qa--i|| |10|1|MATT 1.20|5000019
пріѧ̄ті|V-|165|приѩти|--pna----i|| |10|1|MATT 1.20|5000019
женъі|Nb|693|жена|-s---fg--i|| |10|1|MATT 1.20|5000019
твое̄ѧ̄|Ps|307|твои|2s---fg--i|| |10|1|MATT 1.20|5000019
м̄ар̄іѧ̄|Ne|663|мариꙗ|-s---fg--i|| · ·:· ·:· |10|1|MATT 1.20|5000019
сѫштее̄|V-|18|бꙑти|-sppana-wi|| |10|1|MATT 1.20|5000019
бо|Df|94|бо|---------n|| |10|1|MATT 1.20|5000019
вь|R-|111|въ|---------n|| |10|1|MATT 1.20|5000019
неӣ|Pp|64|и|3s---fl--i|| · |10|1|MATT 1.20|5000019
Ѡт҃|R-|80|отъ|---------n|| |10|1|MATT 1.20|5000019
д҃ха|Nb|443|доухъ|-s---mg--i|| |10|1|MATT 1.20|5000019
с҃та|V-|1274|стати|-s---mgpsi|| |10|1|MATT 1.20|5000019
е̄стъ|V-|18|бꙑти|3spia----i|| · |10|1|MATT 1.20|5000019
Родіт|V-|1562|родити#2|3spia----i|| |10|1|MATT 1.21|5000020
же|Df|20|же|---------n|| |10|1|MATT 1.21|5000020
с҃на|Nb|341|сꙑнъ#1|-s---mg--i|| · |10|1|MATT 1.21|5000020
Ӣ|C-|13|и|---------n|| |10|1|MATT 1.21|5000020
наречеші|V-|311|нарещи|2spia----i|| |10|1|MATT 1.21|5000020
ӣмѧ|Nb|442|имѧ|-s---na--i|| |10|1|MATT 1.21|5000020
е̄моу|Pp|64|и|3s---md--i|| |10|1|MATT 1.21|5000020
ӣс҃ъ|Ne|343|исоусъ|-s---mn--i|| · |10|1|MATT 1.21|5000020
тъ|Pd|105|тъ|-s---mn--i|| |10|1|MATT 1.21|5000020
бо|Df|94|бо|---------n|| |10|1|MATT 1.21|5000020
с҃псетъ|V-|509|съпасти#1|3spia----i|| |10|1|MATT 1.21|5000020
люді|Nb|564|людиѥ|-p---ma--i|| |10|1|MATT 1.21|5000020
своѧ̄|Pt|217|свои|3p---pa--i|| |10|1|MATT 1.21|5000020
о̄ть|R-|80|отъ|---------n|| |10|1|MATT 1.21|5000020
грѣхъ|Nb|406|грѣхъ|-p---mg--i|| |10|1|MATT 1.21|5000020
ӣхъ|Pp|64|и|3p---mg--i|| · |10|1|MATT 1.21|5000020
Се|Pd|47|сь|-s---na--i|| |10|1|MATT 1.22|5000021
же|Df|20|же|---------n|| |10|1|MATT 1.22|5000021
вьсе|Px|54|вьсь|-s---na--i|| |10|1|MATT 1.22|5000021
бъіс҃|V-|18|бꙑти|3saia----i|| · |10|1|MATT 1.22|5000021
да|G-|366|да|---------n|| |10|1|MATT 1.22|5000021
събѫдет|V-|980|събꙑти|3sfia----i|| |10|1|MATT 1.22|5000021
сѧ|Pk|21|себе|3s---qa--i|| |10|1|MATT 1.22|5000021
реченое̄|V-|106|рещи|-suppnn-wi|| |10|1|MATT 1.22|5000021
о̄тъ|R-|80|отъ|---------n|| |10|1|MATT 1.22|5000021
г҃а|Nb|342|господь|-s---mg--i|| ·· |10|1|MATT 1.22|5000021
исаӣе̄м|Nb|0|FIXME|-supamn-si|| |10|1|MATT 1.22|5000021
п҃рркмъ|Nb|0|FIXME|-p---md--i|| |10|1|MATT 1.22|5000021
г҃лщемъ|V-|102|глаголати|-pppamd-si|| · |10|1|MATT 1.22|5000021
Се|I-|419|се|3s---qa--i|| |10|1|MATT 1.23|5000022
дѣва|Nb|666|дѣва|-s---fn--i|| |10|1|MATT 1.23|5000022
въ|R-|111|въ|---------n|| |10|1|MATT 1.23|5000022
чрѣвѣ|Nb|1291|чрѣво|-s---nl--i|| |10|1|MATT 1.23|5000022
приӣметъ|V-|165|приѩти|3spia----i|| · |10|1|MATT 1.23|5000022
ӣ|C-|13|и|---------n|| |10|1|MATT 1.23|5000022
родітъ|V-|1198|родити#1|3spia----i|| |10|1|MATT 1.23|5000022
с҃на|Nb|341|сꙑнъ#1|-s---mg--i|| · |10|1|MATT 1.23|5000022
ӣ|C-|13|и|---------n|| |10|1|MATT 1.23|5000022
нарекѫтъ|V-|311|нарещи|3ppia----i|| |10|1|MATT 1.23|5000022
ӣмѧ|Nb|442|имѧ|-s---na--i|| |10|1|MATT 1.23|5000022
е̄моу|Pp|64|и|3s---md--i|| |10|1|MATT 1.23|5000022
е̄нм̄аноуӣль|Ne|0|FIXME|-s---mn--i|| · |10|1|MATT 1.23|5000022
