съвѣдѣтел҄ьствоуетъ|съвѣдѣтельствоуетъ|242093|Codex Zographensis|John 2
о|о|242094|Codex Zographensis|John 2
ч҃цѣ|чцѣ|242095|Codex Zographensis|John 2
самъ|самъ|242096|Codex Zographensis|John 2
бо|бо|242097|Codex Zographensis|John 2
вѣдѣаше|вѣдѣаше|242098|Codex Zographensis|John 2
чьто|чьто|242099|Codex Zographensis|John 2
бѣ|бѣ|242100|Codex Zographensis|John 2
въ|въ|242101|Codex Zographensis|John 2
ч҃цѣ|чцѣ|242102|Codex Zographensis|John 2
Бѣ|бѣ|242103|Codex Zographensis|John 3
ч҃къ|чкъ|242104|Codex Zographensis|John 3
отъ|отъ|242105|Codex Zographensis|John 3
фарисѣі|фарісѣі|242106|Codex Zographensis|John 3
никодимъ|нікодімъ|242107|Codex Zographensis|John 3
ꙇмѧ|імѧ|242108|Codex Zographensis|John 3
емоу|емоу|242109|Codex Zographensis|John 3
кънѧзь|кънѧзь|242110|Codex Zographensis|John 3
ꙇюдеꙇскъ|іюдеіскъ|242111|Codex Zographensis|John 3
сь|сь|242112|Codex Zographensis|John 3
приде|пріде|242113|Codex Zographensis|John 3
къ|къ|242114|Codex Zographensis|John 3
н҄емоу|немоу|242115|Codex Zographensis|John 3
ноштиѭ|ноштіѭ|242116|Codex Zographensis|John 3
ꙇ|і|242117|Codex Zographensis|John 3
рече|рече|242118|Codex Zographensis|John 3
емоу|емоу|242119|Codex Zographensis|John 3
равⸯви|равві|242120|Codex Zographensis|John 3
вѣмь|вѣмь|242121|Codex Zographensis|John 3
ѣко|ѣко|242122|Codex Zographensis|John 3
отъ|отъ|242123|Codex Zographensis|John 3
б҃а|ба|242124|Codex Zographensis|John 3
пришьлъ|прішьлъ|242125|Codex Zographensis|John 3
еси|есі|242126|Codex Zographensis|John 3
оучител҄ь|оучітель|242127|Codex Zographensis|John 3
никътоже|нікътоже|242128|Codex Zographensis|John 3
бо|бо|242129|Codex Zographensis|John 3
не|не|242130|Codex Zographensis|John 3
можетъ|можетъ|242131|Codex Zographensis|John 3
знамени|знамені|242132|Codex Zographensis|John 3
сихъ|сіхъ|242133|Codex Zographensis|John 3
творити|творіті|242134|Codex Zographensis|John 3
ѣже|ѣже|242135|Codex Zographensis|John 3
тꙑ|тъі|242136|Codex Zographensis|John 3
сътвориши|сътворіші|242137|Codex Zographensis|John 3
аште|аште|242138|Codex Zographensis|John 3
не|не|242139|Codex Zographensis|John 3
бѫдетъ|бѫдетъ|242140|Codex Zographensis|John 3
б҃ъ|бъ|242141|Codex Zographensis|John 3
съ|съ|242142|Codex Zographensis|John 3
н҄имь|німь|242143|Codex Zographensis|John 3
отъвѣшта|отъвѣшта|242144|Codex Zographensis|John 3
и҃с|іс|242145|Codex Zographensis|John 3
ꙇ|і|242146|Codex Zographensis|John 3
рече|рече|242147|Codex Zographensis|John 3
емоу|емоу|242148|Codex Zographensis|John 3
амин|амін|242149|Codex Zographensis|John 3
амин|амін|242150|Codex Zographensis|John 3
г҃лѭ|глѭ|242151|Codex Zographensis|John 3
тебѣ|тебѣ|242152|Codex Zographensis|John 3
аште|аште|242153|Codex Zographensis|John 3
къто|къто|242154|Codex Zographensis|John 3
не|не|242155|Codex Zographensis|John 3
родитъ|родітъ|242156|Codex Zographensis|John 3
сѧ|сѧ|242157|Codex Zographensis|John 3
съвꙑше|съвъіше|242158|Codex Zographensis|John 3
не|не|242159|Codex Zographensis|John 3
можетъ|можетъ|242160|Codex Zographensis|John 3
видѣти|відѣті|242161|Codex Zographensis|John 3
ц҃рсиѣ|црсіѣ|242162|Codex Zographensis|John 3
б҃жиѣ|бжіѣ|242163|Codex Zographensis|John 3
г҃ла|гла|242164|Codex Zographensis|John 3
къ|къ|242165|Codex Zographensis|John 3
н҄емоу|немоу|242166|Codex Zographensis|John 3
никодимъ|нікодімъ|242167|Codex Zographensis|John 3
како|како|242168|Codex Zographensis|John 3
можетъ|можетъ|242169|Codex Zographensis|John 3
ч҃къ|чкъ|242170|Codex Zographensis|John 3
родити|родіті|242171|Codex Zographensis|John 3
сѧ|сѧ|242172|Codex Zographensis|John 3
старъ|старъ|242173|Codex Zographensis|John 3
сꙑ|съі|242174|Codex Zographensis|John 3
еда|еда|242175|Codex Zographensis|John 3
можетъ|можетъ|242176|Codex Zographensis|John 3
въторицеѭ|въторіцеѭ|242177|Codex Zographensis|John 3
въ|въ|242178|Codex Zographensis|John 3
ѫтробѫ|ѫтробѫ|242179|Codex Zographensis|John 3
вьлѣсти|вьлѣсті|242180|Codex Zographensis|John 3
матере|матере|242181|Codex Zographensis|John 3
своеѩ|своеѧ|242182|Codex Zographensis|John 3
ꙇ|і|242183|Codex Zographensis|John 3
родити|родіті|242184|Codex Zographensis|John 3
сѧ|сѧ|242185|Codex Zographensis|John 3
отъвѣшта|отъвѣшта|242186|Codex Zographensis|John 3
и҃с|іс|242187|Codex Zographensis|John 3
амин|амін|242188|Codex Zographensis|John 3
амин|амін|242189|Codex Zographensis|John 3
г҃лѭ|глѭ|242190|Codex Zographensis|John 3
тебѣ|тебѣ|242191|Codex Zographensis|John 3
аште|аште|242192|Codex Zographensis|John 3
къто|къто|242193|Codex Zographensis|John 3
не|не|242194|Codex Zographensis|John 3
родитъ|родітъ|242195|Codex Zographensis|John 3
сѧ|сѧ|242196|Codex Zographensis|John 3
водоѭ|водоѭ|242197|Codex Zographensis|John 3
ꙇ|і|242198|Codex Zographensis|John 3
д҃хомь|дхомь|242199|Codex Zographensis|John 3
не|не|242200|Codex Zographensis|John 3
можетъ|можетъ|242201|Codex Zographensis|John 3
вьнити|вьніті|242202|Codex Zographensis|John 3
вь|вь|242203|Codex Zographensis|John 3
ц҃рсие|црсіе|242204|Codex Zographensis|John 3
б҃жие|бжіе|242205|Codex Zographensis|John 3
рожденъ|рожденъ|242206|Codex Zographensis|John 3
отъ|отъ|242207|Codex Zographensis|John 3
плъти|плъті|242208|Codex Zographensis|John 3
плъть|плъть|242209|Codex Zographensis|John 3
естъ|естъ|242210|Codex Zographensis|John 3
ꙇ|і|242211|Codex Zographensis|John 3
рождено|рождено|242212|Codex Zographensis|John 3
отъ|отъ|242213|Codex Zographensis|John 3
д҃ха|дха|242214|Codex Zographensis|John 3
д҃хъ|дхъ|242215|Codex Zographensis|John 3
естъ|естъ|242216|Codex Zographensis|John 3
не|не|242217|Codex Zographensis|John 3
