id,lemma,pos,count
662,шестьдесятъ,Ma,89
663,футунъ,Nb,1
664,змия,Nb,12
665,улица,Nb,60
666,дьлина,Nb,1
667,сажень,Nb,7
668,заговѣние,Nb,5
669,филиповъ,A-,5
670,рожьство,Nb,31
671,познати,V-,39
672,индѣянe,Nb,7
673,исаядениени,F-,1
674,афанасии,Ne,20
675,хозя,Nb,2
676,исуфъ,Ne,1
677,хоросани,Ne,1
678,учати,V-,31
679,крыти,V-,5
680,ни,Df,203
681,ѣства,Nb,67
682,търговля,Nb,11
683,намазъ,Nb,5
684,вещь,Nb,26
685,распытати,V-,3
686,вѣровати,V-,64
687,адамъ,Ne,31
688,бутъ,Nb,9
689,казати,V-,36
690,родъ,Nb,84
691,индия,Ne,7
692,осмьдесятъ,Ma,77
693,пити,V-,74
694,ясти,V-,142
695,женити,V-,7
696,боранина,Nb,2
697,рыба,Nb,60
698,яице,Nb,6
699,воловина,Nb,1
700,никакыи,Px,19
701,съвѣщати,V-,11
702,первоть,Ne,2
703,ерусалимъ,Ne,2
704,бесерменьскы,Df,2
705,мягъкатъ,Ne,1
706,бутхана,Nb,7
707,тамъ,Df,2
708,полъ#1,Nb,47
709,твѣрь,Ne,13
710,рѣзати,V-,14
711,дѣяние,Nb,15
712,бутовъ,A-,3
713,около,R-,84
714,вѣньць,Nb,29
715,како,Du,259
716,творити,V-,304
717,являти,V-,31
718,образъ,Nb,109
719,пьрвое,Df,51
720,человѣчьскыи,A-,32
721,носъ,Nb,8
722,слоновыи,A-,1
723,видѣние,Nb,19
724,обезиянинъ,A-,2
725,четвьртыи,Nb,1
726,лютыи,A-,28
727,звѣрь,Nb,55
728,хвостъ,Nb,10
729,чересъ,R-,31
730,бутханъ,Nb,4
731,брити,V-,2
732,старыи,A-,123
733,дѣвъка,Nb,14
734,борода,Nb,8
735,шекшень,Mo,1
736,футъ,Nb,1
737,съѣзжати,V-,2
738,азаръ,F-,2
739,лекъ,F-,2
740,вахтъ,F-,1
741,башетъ,F-,1
742,сатъ,F-,1
743,правыи,A-,44
744,подъняти,V-,8
745,высоко,Df,4
746,прострѣти,V-,16
747,акы,Df,124
748,устиниянъ,Ne,4
749,цѣсарьградьскыи,A-,1
750,лѣвыи,A-,8
751,копие,Nb,34
752,гузьно,Nb,7
753,обязати,V-,2
754,ширинъка,Nb,6
755,котъ,F-,1
756,ачукъ,F-,1
757,передъ,R-,62
758,позолотити,V-,1
759,цѣловати,V-,109
760,копыто,Nb,5
761,сыпати,V-,7
762,цвѣтъ,Nb,15
763,никоторыи,Px,11
764,мясо,Nb,34
765,яловичина,Nb,1
766,курятина,Nb,1
767,ли,Df,222
768,свинина,Nb,3
769,свиния,Nb,20
770,сыта,Nb,4
771,плохыи,A-,1
772,брынець,Nb,2
773,кичири,Nb,1
774,трава,Nb,19
775,прияти,V-,291
776,лъжица,Nb,4
777,каша,Nb,15
778,гърньць,Nb,2
779,съкрыти,V-,17
780,посмотрѣти,V-,14
781,яства,Nb,3
782,покрывати,V-,4
783,платъ,Nb,3
784,никъто,Px,47
785,вѣдѣти,V-,161
786,въстокъ,Nb,36
787,русьскы,Df,3
788,оба,Ma,64
789,подъимати,V-,4
790,класти,V-,21
791,тѣмя,Nb,1
792,ложити,V-,4
793,ниць,A-,8
794,истягнути,V-,2
795,поклонъ,Nb,46
796,садити,V-,7
797,омывати,V-,6
798,нога,Nb,84
799,пополаскывати,V-,1
800,без,R-,327
801,двьрь,Nb,46
802,жечи,V-,9
803,пепелъ,Nb,3
804,бабити,V-,1
805,дъчи,Nb,41
806,добронравие,Nb,1
807,кланяти,V-,45
808,чьрньчьскы,Df,2
809,дотыкати,V-,1
810,говорити,V-,158
811,первоть,Nb,1
812,иерусалимъ,Ne,20
813,мякъка,Ne,3
814,индѣискы,Df,1
815,парватъ,Ne,1
816,шия,Nb,11
817,жемчугъ,Nb,11
818,яхонтъ,Nb,7
819,обручь,Nb,5
820,пьрстьнь,Nb,1
821,златыи,A-,39
822,олло,F-,28
823,оакъ,F-,1
824,вънутрь,Df,6
825,рогъ,Nb,11
826,оковати,V-,19
827,мѣдь,Nb,3
828,колокольць,Nb,1
829,подъковати,V-,1
830,зъвати,V-,79
831,корова,Nb,17
832,калъ,Nb,7
833,пещи,V-,42
834,хлѣбъ,Nb,147
835,попелъ,Nb,1
836,мазати,V-,4
837,лице,Nb,81
838,тѣло,Nb,159
839,знамя,Nb,1
840,понедѣльникъ,Nb,13
841,единошьды,Df,1
842,какъпа,F-,1
843,чекътѹръ,F-,1
844,а,F-,3
845,учузе,F-,1
846,дерь,F-,1
847,иларсень,F-,1
848,ики,F-,1
849,акечаны,F-,1
850,илѧ,F-,1
851,атырьсень,F-,1
852,атле,F-,1
853,берь,F-,1
854,бѹлара,F-,1
855,досторъ,F-,1
856,акулъ,F-,1
857,каравашь,F-,2
858,учузъ,F-,1
859,чаръ,F-,2
860,фуна,F-,2
861,хубъ,F-,2
862,бемъ,F-,1
863,хубѣсия,F-,1
864,капкара,F-,1
865,амьчукъ,F-,1
866,кичи,F-,1
867,хошь,F-,1
868,пятьнадесять,Ma,51
869,улубагрь,Nb,1
870,въскрьсение,Nb,19
871,христ(ос)овъ,A-,81
872,вѣдати,V-,69
873,примѣта,Nb,2
874,гадати,V-,9
875,бывати,V-,138
876,хрьстияньскыи,A-,77
877,пьрвѣе,Df,24
878,багримъ,Nb,3
879,кънига,Nb,121
880,коли,Dq,59
881,позабыти,V-,2
882,срѣда,Nb,24
883,пятьница,Nb,14
884,промежу,R-,6
885,тангрыдань,F-,1
886,истремень,F-,1
887,олъсакласынъ,F-,1
888,худо,F-,10
889,ты,F-,3
890,акъберъ,F-,2
891,рагымелъло,F-,3
892,каримелло,F-,1
893,танъ,F-,1
894,танъгрысень,F-,1
895,худосеньсень,F-,1
896,слава,Nb,137
897,творьць,Nb,10
898,небо,Nb,123
899,я,Pp,308
900,кетьмышьтыръ,F-,1
901,имень,F-,1
902,уручь,F-,1
903,тутъ,F-,1
904,тымъ,F-,1
905,мартъ,Nb,38
906,проити,V-,25
907,заговѣти,V-,2
908,говѣти,V-,2
909,скоромьныи,A-,6
910,вратыиялъ,F-,1
911,ятъ,F-,1
912,мадымъ,F-,1
913,вьседьржитель,Nb,19
914,призывати,V-,36
915,варенно,F-,1
916,сеньсень,F-,1
917,голата,Ne,2
918,кучьзрятъ,Ne,1
919,камбатъ,Ne,4
920,дабыль,Ne,8
921,бесерменьство,Nb,3
922,колекотъ,Ne,2
923,силянъ,Ne,5
924,шибаитъ,Ne,2
925,певгу,Ne,2
926,чинь,Ne,3
927,мачинъ,Ne,2
928,кытаи,Ne,1
929,аросто,F-,1
930,хода,F-,1
931,чотомъ,F-,1
932,свѣтъ,Nb,155
933,тамъга,Nb,3
934,десятыи,Mo,10
935,алача,Nb,1
936,пьстрядь,Nb,1
937,киндякъ,Nb,1
938,ниль,Nb,1
939,ахикъ,Nb,3
940,лонъ,Nb,1
941,дабыло,Ne,1
942,мисюрь,Ne,3
943,рабастъ,Ne,1
944,хорасань,Ne,2
945,туркустань,Ne,1
946,негостань,Ne,1
947,келекотъ,Ne,2
948,никаковъ,Px,5
949,кестякъ,Nb,1
950,увидѣти,V-,15
