357,сухо,Nb,сухо
358,пали,Ne,палі
359,осмь,Ma,осмь
360,умри,Ne,умрі
361,чунерь,Ne,чунерь
362,асатъ,Ne,асатъ
363,ханъ,Nb,ханъ
364,чунерьскыи,A-,чунерьскьіі
365,холопъ,Nb,холопъ
366,меликътучаровъ,A-,мелікътучаровъ
367,дьржати,V-,дьржаті
368,съказывати,V-,съказьіваті
369,тьма,Nb,тьма
370,меликътучаръ,Ne,мелікътучаръ
371,сѣдѣти,V-,сѣдѣті
372,дъвадесяти,Ma,дъвадесѣті
373,кафаръ,Nb,кафаръ
374,побити,V-,побіті
375,побивати,V-,побіваті
376,мъногашьды,Df,мъногашьдьі
377,же,Df,же
378,слонъ,Nb,слонъ
379,добрыи,A-,добрьіі
380,хоросаньць,Nb,хоросаньць
381,привозити,V-,прівозіті
382,хорасаньскыи,A-,хорасаньскьіі
383,арабаньскыи,A-,арабаньскьіі
384,туркменьскыи,A-,туркменьскьіі
385,чеготаньскыи,A-,чеготаньскьіі
386,корабль,Nb,корабль
387,привезти,V-,прівезті
388,жеребьць,Nb,жеребьць
389,богъ,Nb,богъ
390,съто,Ma,съто
391,рубль,Nb,рубль
392,зима,Nb,зіма
393,троицинъ,A-,троіцінъ
394,зимовати,V-,зімоваті
395,вьсюда,Df,вьсюда
396,вода,Nb,вода
397,грязь,Nb,грѣзь
398,тыиже,Pd,тьііже
399,орати,V-,ораті
400,сѣяти,V-,сѣѣті
401,пьшеница,Nb,пьшеніца
402,тутурганъ,Nb,тутурганъ
403,ногутъ,Nb,ногутъ
404,съястьныи,A-,съѣстьньіі
405,вино,Nb,віно
406,чинити,V-,чініті
407,орѣхъ,Nb,орѣхъ
408,кози,Nb,козі
409,брага,Nb,брага
410,татьнъ,Nb,татьнъ
411,варити,V-,варіті
412,кичирисъ,Nb,кічірісъ
413,сахаръ,Nb,сахаръ
414,масло,Nb,масло
415,порану,Df,порану
416,даяти,V-,даѣті
417,шьшень,Nb,шьшень
418,волъ,Nb,волъ
419,буиволъ,Nb,буіволъ
420,возити,V-,возіті
421,дѣлати,V-,дѣлаті
422,градъ,Nb,градъ
423,каменьныи,A-,каменьньіі
424,сътворити,V-,сътворіті
425,дорога,Nb,дорога
426,тѣсьныи,A-,тѣсьньіі
427,льзѣ,Df,льзѣ
428,ставити,V-,ставіті
429,подворие,Nb,подворіе
430,ѣсти,V-,ѣсті
431,господарыни,Nb,господарьіні
432,постеля,Nb,постелѣ
433,стьлати,V-,стьлаті
434,съпати,V-,съпаті
435,сикишь,F-,сікішь
436,илересънь,F-,ілересънь
437,ду,F-,ду
438,житель,F-,жітель
439,берсень,F-,берсень
440,достурь,F-,достурь
441,авратъ,F-,авратъ
442,чектуръ,F-,чектуръ
443,муфутъ,F-,муфутъ
444,любити,V-,любіті
445,тъгда,Df,тъгда
446,въздѣвати,V-,въздѣваті
447,пъртъкы,Nb,пъртъкьі
448,сорочица,Nb,сорочіца
449,кафтанъ,Nb,кафтанъ
450,опоясати,V-,опоѣсаті
451,глава,Nb,глава
452,обертѣти,V-,обертѣті
453,оло,F-,оло
454,абрь,F-,абрь
455,акъ,F-,акъ
456,керимъ,F-,керімъ
457,рагымъ,F-,рагьімъ
458,увѣдати,V-,увѣдаті
459,бесерменинъ,Nb,бесерменінъ
460,русинъ,Nb,русінъ
461,мълвити,V-,мълвіті
462,золотыи,A-,золотьіі
463,вѣра,Nb,вѣра
464,махметъдени,F-,махметъдені
465,сърокъ,Nb,сърокъ
466,учинити,V-,учініті
467,говѣино,Nb,говѣіно
468,усъпение,Nb,усъпеніе
469,съпасовъ,A-,съпасовъ
470,съмиловати,V-,съміловаті
471,чьстьныи,A-,чьстьньіі
472,праздьникъ,Nb,праздьнікъ
473,отъставити,V-,отъставіті
474,повелѣти,V-,повелѣті
475,погыбнути,V-,погьібнуті
476,нечьстивыи,A-,нечьстівьіі
477,канунъ,Nb,канунъ
478,приѣхати,V-,пріѣхаті
479,хозяиочи,F-,хозѣіочі
480,махметъ,Ne,махметъ
481,отъпросити,V-,отъпросіті
482,поставити,V-,поставіті
483,таковыи,A-,таковьіі
484,господаревъ,A-,господаревъ
485,чудо,Nb,чудо
486,хрьстиянинъ,Nb,хрьстіѣнінъ
487,къто,Px,къто
488,хотѣти,V-,хотѣті
489,оставити,V-,оставіті
490,въскликнути,V-,въсклікнуті
491,залъгати,V-,залъгаті
492,пьсъ,Nb,пьсъ
493,нѣту,V-,нѣту
494,бесерменьскыи,A-,бесерменьскьіі
495,пьрьць,Nb,пьрьць
496,дешевыи,A-,дешевьіі
497,ачьче,F-,ачьче
498,пошьлина,Nb,пошьліна
499,разбоиникъ,Nb,разбоінікъ
500,розбивати,V-,розбіваті
501,ни,C-,ні
502,молити,V-,моліті
503,болванъ,Nb,болванъ
504,знати,V-,знаті
505,выити,V-,вьііті
506,прѣчистыи,A-,прѣчістьіі
507,бедерь,Ne,бедерь
508,кулонгерь,Ne,кулонгерь
509,пять,Ma,пѣть
510,колубергъ,Ne,колубергъ
511,промежи,R-,промежі
512,колько,Dq,колько
513,ковъ,Nb,ковъ
514,только,Df,только
515,четыредесяте,Ma,четьіредесѣте
516,колуньгерь,Ne,колуньгерь
517,девять,Ma,девѣть
518,търгъ,Nb,търгъ
519,камка,Nb,камка
520,шелкъ,Nb,шелкъ
521,купити,V-,купіті
522,купля,Nb,куплѣ
523,вьсе,Df,вьсе
524,овощь,Nb,овошть
525,зълодѣи,Nb,зълодѣі
526,блядь,Nb,блѣдь
527,вѣдь,Nb,вѣдь
528,тать,Nb,тать
529,лъжь,Nb,лъжь
530,зелие,Nb,зеліе
531,господарь,Nb,господарь
532,морити,V-,моріті
533,къняжити,V-,кънѣжіті
534,гондустаньць,Nb,гондустаньць
535,пѣшеходъ,Nb,пѣшеходъ
536,бързо,Df,бързо
537,прямыи,A-,прѣмьіі
538,бои,Nb,боі
539,пѣшии,A-,пѣшіі
540,пускати,V-,пускаті
541,напередъ,Df,напередъ
542,доспѣхъ,Nb,доспѣхъ
543,самъ,Pd,самъ
544,вязати,V-,вѣзаті
545,рыло,Nb,рьіло
546,зубъ,Nb,зубъ
547,кендарь,Nb,кендарь
548,ковати,V-,коваті
549,оболочити,V-,оболочіті
550,булатьныи,A-,булатьньіі
551,городъкъ,Nb,городъкъ
552,дъванадесять,Ma,дъванадесѣть
553,пушька,Nb,пушька
554,мѣсто,Nb,мѣсто
555,шихбъ,F-,шіхбъ
556,алудинъ,F-,алудінъ
557,пиръ,F-,піръ
558,атыръ,F-,атьіръ
559,базаръ,Nb,базаръ
560,алядинандъ,F-,алѣдінандъ
561,съѣждати,V-,съѣждаті
562,търговати,V-,търговаті
563,приводити,V-,пріводіті
564,тысяща,Ma,тьісѣшта
565,продаяти,V-,продаѣті
566,съвозити,V-,съвозіті
567,лучии,A-,лучіі
568,память,Nb,памѣть
569,шихъ,Nb,шіхъ
570,аладинъ,Ne,аладінъ
571,покровъ,Nb,покровъ
572,богородица,Nb,богородіца
