torot_word|pos|morph_tag|deep_cleaned|lemma|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged|subtitle_short|book_no|chapter|verse|variant_no
е̄лиѹ̄да|||еліоуда||5000013|| ·|10|1|1|MATT 1.14|1|1|14|1
е̄ліѹ̄дъ|||еліоудъ||5000014| | |10|1|1|MATT 1.15|1|1|15|1
же|||же||5000014|| |10|1|1|MATT 1.15|1|1|15|1
роді|||роді||5000014|| |10|1|1|MATT 1.15|1|1|15|1
е̄ліе̄зора|||еліезора||5000014|| · |10|1|1|MATT 1.15|1|1|15|1
Е̄ліе̄зоръ|||еліезоръ||5000014|| |10|1|1|MATT 1.15|1|1|15|1
же|||же||5000014|| |10|1|1|MATT 1.15|1|1|15|1
роді|||роді||5000014|| |10|1|1|MATT 1.15|1|1|15|1
мат҅т̄ана|||маттана||5000014|| · |10|1|1|MATT 1.15|1|1|15|1
матт̄анъ|||маттанъ||5000014|| |10|1|1|MATT 1.15|1|1|15|1
же|||же||5000014|| |10|1|1|MATT 1.15|1|1|15|1
роді|||роді||5000014|| · |10|1|1|MATT 1.15|1|1|15|1
ӣа̄кова|||іакова||5000014|| ·|10|1|1|MATT 1.15|1|1|15|1
ӣа̄ковъ|||іаковъ||5000015| | |10|1|1|MATT 1.16|1|1|16|1
же|||же||5000015|| |10|1|1|MATT 1.16|1|1|16|1
роді|||роді||5000015|| |10|1|1|MATT 1.16|1|1|16|1
ӣо̄сіфа|||іосіфа||5000015|| |10|1|1|MATT 1.16|1|1|16|1
мѫжа|||мѫжа||5000015|| |10|1|1|MATT 1.16|1|1|16|1
мариӣна|||марііна||5000015|| · |10|1|1|MATT 1.16|1|1|16|1
ӣз|||із||5000015|| |10|1|1|MATT 1.16|1|1|16|1
неѩ̄же|||неѧже||5000015|| |10|1|1|MATT 1.16|1|1|16|1
роді|||роді||5000015|| |10|1|1|MATT 1.16|1|1|16|1
сѧ|||сѧ||5000015|| |10|1|1|MATT 1.16|1|1|16|1
и҃̄съ|||ісъ||5000015|| · |10|1|1|MATT 1.16|1|1|16|1
наріцае̄мъи|||наріцаемъі||5000015|| |10|1|1|MATT 1.16|1|1|16|1
х҃ъ|||хъ||5000015|| ·|10|1|1|MATT 1.16|1|1|16|1
Вьсѣхъ|||вьсѣхъ||5000016| | |10|1|1|MATT 1.17|1|1|17|1
же|||же||5000016|| |10|1|1|MATT 1.17|1|1|17|1
родовъ|||родовъ||5000016|| · |10|1|1|MATT 1.17|1|1|17|1
ѡт|||от||5000016|| |10|1|1|MATT 1.17|1|1|17|1
а̄враа̄ма|||авраама||5000016|| |10|1|1|MATT 1.17|1|1|17|1
до|||до||5000016|| |10|1|1|MATT 1.17|1|1|17|1
д҃да|||дда||5000016|| · |10|1|1|MATT 1.17|1|1|17|1
Родовъ|||родовъ||5000016|| |10|1|1|MATT 1.17|1|1|17|1
г҃ꙇ҃|||гі||5000016|| |10|1|1|MATT 1.17|1|1|17|1
те|||те||5000016|| : |10|1|1|MATT 1.17|1|1|17|1
Ӣ|||і||5000016|| |10|1|1|MATT 1.17|1|1|17|1
ѡт|||от||5000016|| |10|1|1|MATT 1.17|1|1|17|1
д҃да|||дда||5000016|| |10|1|1|MATT 1.17|1|1|17|1
до|||до||5000016|| |10|1|1|MATT 1.17|1|1|17|1
прѣселениѣ̄|||прѣселеніѣ||5000016|| |10|1|1|MATT 1.17|1|1|17|1
вавілонс҅каа̄го|||вавілонскааго||5000016|| · |10|1|1|MATT 1.17|1|1|17|1
Родовъ|||родовъ||5000016|| |10|1|1|MATT 1.17|1|1|17|1
г҃ꙇ҃|||гі||5000016|| |10|1|1|MATT 1.17|1|1|17|1
те|||те||5000016|| · |10|1|1|MATT 1.17|1|1|17|1
Ӣ|||і||5000016|| |10|1|1|MATT 1.17|1|1|17|1
ѡт|||от||5000016|| |10|1|1|MATT 1.17|1|1|17|1
прѣселениѣ̄|||прѣселеніѣ||5000016|| |10|1|1|MATT 1.17|1|1|17|1
вавилон̄с̄каа̄го|||вавілонскааго||5000016|| |10|1|1|MATT 1.17|1|1|17|1
до|||до||5000016|| |10|1|1|MATT 1.17|1|1|17|1
х҃а|||ха||5000016|| · |10|1|1|MATT 1.17|1|1|17|1
Родовъ|||родовъ||5000016|| |10|1|1|MATT 1.17|1|1|17|1
г҃ꙇ҃|||гі||5000016|| |10|1|1|MATT 1.17|1|1|17|1
те|||те||5000016|| ·|10|1|1|MATT 1.17|1|1|17|1
И҃схво|||ісхво||5000017| | |10|1|1|MATT 1.18|1|1|18|1
же|||же||5000017|| |10|1|1|MATT 1.18|1|1|18|1
р҃одство|||родство||5000017|| |10|1|1|MATT 1.18|1|1|18|1
сіце|||сіце||5000017|| |10|1|1|MATT 1.18|1|1|18|1
бъіс|||бъіс||5000017|| · |10|1|1|MATT 1.18|1|1|18|1
о̄брѫченѣ|||обрѫченѣ||5000017|| |10|1|1|MATT 1.18|1|1|18|1
бъивьші|||бъівьші||5000017|| |10|1|1|MATT 1.18|1|1|18|1
матері|||матері||5000017|| |10|1|1|MATT 1.18|1|1|18|1
е̄го|||его||5000017|| |10|1|1|MATT 1.18|1|1|18|1
маріӣ|||маріі||5000017|| · |10|1|1|MATT 1.18|1|1|18|1
Ӣо̄сіфові|||іосіфові||5000017|| · |10|1|1|MATT 1.18|1|1|18|1
прѣжде|||прѣжде||5000017|| |10|1|1|MATT 1.18|1|1|18|1
даже|||даже||5000017|| |10|1|1|MATT 1.18|1|1|18|1
не|||не||5000017|| |10|1|1|MATT 1.18|1|1|18|1
сьнѧсте|||сьнѧсте||5000017|| |10|1|1|MATT 1.18|1|1|18|1
сѧ|||сѧ||5000017|| · |10|1|1|MATT 1.18|1|1|18|1
О̄брѣте|||обрѣте||5000017|| |10|1|1|MATT 1.18|1|1|18|1
сѧ|||сѧ||5000017|| |10|1|1|MATT 1.18|1|1|18|1
ӣмѫщі|||імѫшті||5000017|| |10|1|1|MATT 1.18|1|1|18|1
въ|||въ||5000017|| |10|1|1|MATT 1.18|1|1|18|1
чрѣвѣ|||чрѣвѣ||5000017|| |10|1|1|MATT 1.18|1|1|18|1
ѡт|||от||5000017|| |10|1|1|MATT 1.18|1|1|18|1
д҃ха|||дха||5000017|| |10|1|1|MATT 1.18|1|1|18|1
с҃та|||ста||5000017|| ·|10|1|1|MATT 1.18|1|1|18|1
и҃҅схво|||ісхво||5000018| | |10|1|1|MATT 1.18|1|1|18|2
же|||же||5000018|| |10|1|1|MATT 1.18|1|1|18|2
р҃одство|||родство||5000018|| |10|1|1|MATT 1.18|1|1|18|2
сице|||сіце||5000018|| ⁛ коц|10|1|1|MATT 1.18|1|1|18|2
Ӣо̄сіфь|||іосіфь||5000019| | |10|1|1|MATT 1.19|1|1|19|1
же|||же||5000019|| |10|1|1|MATT 1.19|1|1|19|1
мѫжь|||мѫжь||5000019|| |10|1|1|MATT 1.19|1|1|19|1
е̄ѩ̄|||еѧ||5000019|| · |10|1|1|MATT 1.19|1|1|19|1
правьденъ|||правьденъ||5000019|| |10|1|1|MATT 1.19|1|1|19|1
съі|||съі||5000019|| |10|1|1|MATT 1.19|1|1|19|1
ӣ|||і||5000019|| |10|1|1|MATT 1.19|1|1|19|1
не|||не||5000019|| |10|1|1|MATT 1.19|1|1|19|1
хотѧ|||хотѧ||5000019|| |10|1|1|MATT 1.19|1|1|19|1
о̄блічіті|||облічіті||5000019|| |10|1|1|MATT 1.19|1|1|19|1
е̄ѩ̄|||еѧ||5000019|| · |10|1|1|MATT 1.19|1|1|19|1
Въсх̄отѣ|||въсхотѣ||5000019|| |10|1|1|MATT 1.19|1|1|19|1
таӣ|||таі||5000019|| |10|1|1|MATT 1.19|1|1|19|1
пѹстіті|||поустіті||5000019|| |10|1|1|MATT 1.19|1|1|19|1
ѭ|||ѭ||5000019||҅ ·|10|1|1|MATT 1.19|1|1|19|1
Се|||се||5000020| | |10|1|1|MATT 1.20|1|1|20|1
же|||же||5000020|| |10|1|1|MATT 1.20|1|1|20|1
е̄мѹ|||емоу||5000020|| |10|1|1|MATT 1.20|1|1|20|1
ѹ̄мъішльшѹ|||оумъішльшоу||5000020|| · |10|1|1|MATT 1.20|1|1|20|1
се|||се||5000020|| |10|1|1|MATT 1.20|1|1|20|1
а҃̄нꙉлъ|||англъ||5000020|| |10|1|1|MATT 1.20|1|1|20|1
г҃нь|||гнь||5000020|| |10|1|1|MATT 1.20|1|1|20|1
вь|||вь||5000020|| |10|1|1|MATT 1.20|1|1|20|1
сьнѣ|||сьнѣ||5000020|| |10|1|1|MATT 1.20|1|1|20|1
ѣ̄ви|||ѣві||5000020|| |10|1|1|MATT 1.20|1|1|20|1
сѧ|||сѧ||5000020|| |10|1|1|MATT 1.20|1|1|20|1
е̄мѹ|||емоу||5000020|| |10|1|1|MATT 1.20|1|1|20|1
г҃лѩ|||глѧ||5000020|| · |10|1|1|MATT 1.20|1|1|20|1
Ӣо̄сіфе|||іосіфе||5000020|| |10|1|1|MATT 1.20|1|1|20|1
с҃не|||сне||5000020|| |10|1|1|MATT 1.20|1|1|20|1
д҃двъ|||ддвъ||5000020|| · |10|1|1|MATT 1.20|1|1|20|1
не|||не||5000020|| |10|1|1|MATT 1.20|1|1|20|1
ѹ̄боӣ|||оубоі||5000020|| |10|1|1|MATT 1.20|1|1|20|1
сѧ|||сѧ||5000020|| |10|1|1|MATT 1.20|1|1|20|1
пріѩ̄ті|||пріѧті||5000020|| |10|1|1|MATT 1.20|1|1|20|1
женъі|||женъі||5000020|| |10|1|1|MATT 1.20|1|1|20|1
твое̄ѩ̄|||твоеѧ||5000020|| |10|1|1|MATT 1.20|1|1|20|1
м̄ар̄іѩ̄|||маріѧ||5000020|| · ⁛ ⁛ |10|1|1|MATT 1.20|1|1|20|1
сѫштее̄|||сѫштее||5000020|| |10|1|1|MATT 1.20|1|1|20|1
бо|||бо||5000020|| |10|1|1|MATT 1.20|1|1|20|1
вь|||вь||5000020|| |10|1|1|MATT 1.20|1|1|20|1
неӣ|||неі||5000020|| · |10|1|1|MATT 1.20|1|1|20|1
Ѡт|||от||5000020|| |10|1|1|MATT 1.20|1|1|20|1
д҃ха|||дха||5000020|| |10|1|1|MATT 1.20|1|1|20|1
с҃та|||ста||5000020|| |10|1|1|MATT 1.20|1|1|20|1
е̄стъ|||естъ||5000020|| ·|10|1|1|MATT 1.20|1|1|20|1
Родіт|||родіт||5000021| | |10|1|1|MATT 1.21|1|1|21|1
же|||же||5000021|| |10|1|1|MATT 1.21|1|1|21|1
с҃на|||сна||5000021|| · |10|1|1|MATT 1.21|1|1|21|1
Ӣ|||і||5000021|| |10|1|1|MATT 1.21|1|1|21|1
наречеші|||наречеші||5000021|| |10|1|1|MATT 1.21|1|1|21|1
ӣмѧ|||імѧ||5000021|| |10|1|1|MATT 1.21|1|1|21|1
е̄мѹ|||емоу||5000021|| |10|1|1|MATT 1.21|1|1|21|1
и҃̄съ|||ісъ||5000021|| · |10|1|1|MATT 1.21|1|1|21|1
тъ|||тъ||5000021|| |10|1|1|MATT 1.21|1|1|21|1
бо|||бо||5000021|| |10|1|1|MATT 1.21|1|1|21|1
с҃псетъ|||спсетъ||5000021|| |10|1|1|MATT 1.21|1|1|21|1
люді|||люді||5000021|| |10|1|1|MATT 1.21|1|1|21|1
своѩ̄|||своѧ||5000021|| |10|1|1|MATT 1.21|1|1|21|1
о̄ть|||оть||5000021|| |10|1|1|MATT 1.21|1|1|21|1
грѣхъ|||грѣхъ||5000021|| |10|1|1|MATT 1.21|1|1|21|1
ӣхъ|||іхъ||5000021|| ·|10|1|1|MATT 1.21|1|1|21|1
Се|||се||5000022| | |10|1|1|MATT 1.22|1|1|22|1
же|||же||5000022|| |10|1|1|MATT 1.22|1|1|22|1
вьсе|||вьсе||5000022|| |10|1|1|MATT 1.22|1|1|22|1
бъіс|||бъіс||5000022|| · |10|1|1|MATT 1.22|1|1|22|1
да|||да||5000022|| |10|1|1|MATT 1.22|1|1|22|1
събѫдет|||събѫдет||5000022|| |10|1|1|MATT 1.22|1|1|22|1
сѧ|||сѧ||5000022|| |10|1|1|MATT 1.22|1|1|22|1
реченое̄|||реченое||5000022|| |10|1|1|MATT 1.22|1|1|22|1
о̄тъ|||отъ||5000022|| |10|1|1|MATT 1.22|1|1|22|1
г҃а|||га||5000022|| ⁛ |10|1|1|MATT 1.22|1|1|22|1
исаӣе̄м|||ісаіем||5000022|| |10|1|1|MATT 1.22|1|1|22|1
п҃рркмъ|||прркмъ||5000022|| |10|1|1|MATT 1.22|1|1|22|1
г҃лщемъ|||глштемъ||5000022|| ·|10|1|1|MATT 1.22|1|1|22|1
Се|||се||5000023| | |10|1|1|MATT 1.23|1|1|23|1
дѣва|||дѣва||5000023|| |10|1|1|MATT 1.23|1|1|23|1
въ|||въ||5000023|| |10|1|1|MATT 1.23|1|1|23|1
чрѣвѣ|||чрѣвѣ||5000023|| |10|1|1|MATT 1.23|1|1|23|1
приӣметъ|||прііметъ||5000023|| · |10|1|1|MATT 1.23|1|1|23|1
ӣ|||і||5000023|| |10|1|1|MATT 1.23|1|1|23|1
родітъ|||родітъ||5000023|| |10|1|1|MATT 1.23|1|1|23|1
с҃на|||сна||5000023|| · |10|1|1|MATT 1.23|1|1|23|1
ӣ|||і||5000023|| |10|1|1|MATT 1.23|1|1|23|1
нарекѫтъ|||нарекѫтъ||5000023|| |10|1|1|MATT 1.23|1|1|23|1
ӣмѧ|||імѧ||5000023|| |10|1|1|MATT 1.23|1|1|23|1
е̄мѹ|||емоу||5000023|| |10|1|1|MATT 1.23|1|1|23|1
е̄нм̄анѹӣль|||енманоуіль||5000023|| · |10|1|1|MATT 1.23|1|1|23|1
Е̄же|||еже||5000023|| |10|1|1|MATT 1.23|1|1|23|1
е̄стъ|||естъ||5000023|| |10|1|1|MATT 1.23|1|1|23|1
ськазае̄мо|||ськазаемо||5000023|| |10|1|1|MATT 1.23|1|1|23|1
